,Kenya,"China, Taiwan Province of",Mozambique,Croatia,Burkina Faso,Tonga,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Australia & New Zealand,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Maldives,Liberia,Greece,Zimbabwe,Bangladesh,Malawi,Melanesia,Uzbekistan,New Caledonia,Rwanda,Bahamas,Yugoslav SFR,Guatemala,French Polynesia,Algeria,Niue,Senegal,Madagascar,Tajikistan,Namibia,Haiti,Guinea,Botswana,Saudi Arabia,Dominica,Fiji,United Arab Emirates,Sri Lanka,Grenada,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,Réunion,China,Saint Vincent and the Grenadines,Colombia,Libya,Sudan (former),Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Guinea-Bissau,Montenegro,Kazakhstan,South Africa,Mauritius,Argentina,France,Martinique,"China, mainland",Russian Federation,Mali,Thailand,Paraguay,Seychelles,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Puerto Rico,Zambia,Malaysia,Cuba,Malta,Dominican Republic,South Sudan,El Salvador,Benin,Cook Islands,Pakistan,Republic of Korea,Japan,Afghanistan,Iraq,Togo,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Belize,Portugal,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Somalia,Kuwait,Nigeria,Kyrgyzstan,French Guiana,Ethiopia PDR,Cambodia,Timor-Leste,Costa Rica,Georgia,India,Guadeloupe,Bahrain,Morocco,Bhutan,Congo,Qatar,Gabon,USSR,Ecuador,Honduras,Jordan,Israel,Mexico,Viet Nam,Suriname,Tunisia,Côte d'Ivoire,Nicaragua,Albania,Jamaica,Trinidad and Tobago,Italy,Saint Lucia,Polynesia,Panama,Sierra Leone,Samoa,Australia,Central African Republic,Ghana,Oman,Angola,Guyana,Swaziland,Turkey
1961,33058.0,60286.0,40816.0,-1.0,-1.0,21053.0,26013.0,52222.0,145117.0,59420.0,111004.0,11667.0,-1.0,-1.0,40000.0,-1.0,27778.0,161554.0,29286.0,50000.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,60167.0,133333.0,69506.0,27500.0,30000.0,73469.0,-1.0,-1.0,-1.0,46000.0,30000.0,58000.0,-1.0,200000.0,150000.0,38065.0,-1.0,-1.0,-1.0,88889.0,-1.0,-1.0,29179.0,-1.0,136000.0,133939.0,111250.0,235849.0,50602.0,-1.0,85897.0,-1.0,-1.0,-1.0,161822.0,-1.0,-1.0,37313.0,78571.0,25210.0,-1.0,30000.0,95233.0,-1.0,-1.0,81395.0,140395.0,-1.0,-1.0,-1.0,33333.0,37500.0,-1.0,-1.0,-1.0,-1.0,103077.0,72624.0,122571.0,10961.0,55079.0,125183.0,69444.0,-1.0,-1.0,55461.0,158394.0,-1.0,180192.0,98440.0,179246.0,85081.0,212003.0,47818.0,143693.0,-1.0,62564.0,70000.0,33333.0,-1.0,-1.0,47826.0,-1.0,-1.0,80000.0,-1.0,129904.0,-1.0,105263.0,-1.0,40506.0,26667.0,-1.0,41667.0,55556.0,213999.0,41662.0,87179.0,194604.0,99379.0,59873.0,42372.0,-1.0,61803.0,50357.0,-1.0,157309.0,80945.0,146390.0,-1.0,56020.0,-1.0,-1.0,50000.0,111329.0,-1.0,62857.0,33333.0,50000.0,60000.0,63750.0,101011.0
1962,35537.0,65255.0,40816.0,-1.0,-1.0,25000.0,23027.0,42222.0,143642.0,59943.0,111868.0,13333.0,-1.0,-1.0,40000.0,-1.0,27778.0,138218.0,32414.0,48000.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,60000.0,132750.0,69824.0,32500.0,30000.0,69388.0,-1.0,-1.0,-1.0,44444.0,30000.0,58095.0,-1.0,200000.0,154167.0,44957.0,-1.0,-1.0,-1.0,124688.0,-1.0,-1.0,31663.0,-1.0,141176.0,134270.0,115854.0,235294.0,50602.0,-1.0,89873.0,-1.0,-1.0,-1.0,173690.0,-1.0,-1.0,31886.0,78571.0,27142.0,-1.0,20000.0,95233.0,-1.0,-1.0,80220.0,139710.0,-1.0,-1.0,-1.0,35294.0,38162.0,-1.0,-1.0,-1.0,-1.0,100488.0,69333.0,111604.0,6767.0,167455.0,114440.0,69444.0,-1.0,-1.0,56084.0,157165.0,-1.0,124137.0,130733.0,165889.0,96140.0,231787.0,47278.0,145858.0,-1.0,64103.0,70000.0,33333.0,-1.0,-1.0,50000.0,-1.0,-1.0,80000.0,-1.0,110952.0,-1.0,105263.0,-1.0,40741.0,26667.0,-1.0,41667.0,62222.0,228083.0,42744.0,114580.0,206494.0,104276.0,60116.0,103004.0,-1.0,75536.0,50000.0,-1.0,136864.0,82835.0,118807.0,-1.0,54382.0,-1.0,-1.0,50000.0,111335.0,-1.0,62857.0,33333.0,50000.0,61753.0,63750.0,103308.0
1963,38017.0,69604.0,40323.0,-1.0,-1.0,30160.0,23166.0,52222.0,148301.0,59392.0,123415.0,15000.0,-1.0,-1.0,40000.0,-1.0,27778.0,134586.0,32583.0,47321.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,60145.0,135500.0,69114.0,30000.0,30000.0,69388.0,-1.0,-1.0,-1.0,44138.0,30000.0,58182.0,-1.0,200000.0,156000.0,37912.0,-1.0,-1.0,-1.0,124571.0,-1.0,-1.0,29604.0,-1.0,144231.0,130000.0,111765.0,250000.0,50526.0,-1.0,80519.0,-1.0,-1.0,-1.0,174974.0,-1.0,-1.0,36959.0,84000.0,23607.0,-1.0,20000.0,95233.0,-1.0,-1.0,80645.0,140595.0,-1.0,-1.0,-1.0,33333.0,38375.0,-1.0,-1.0,-1.0,-1.0,100119.0,70000.0,121548.0,9107.0,118425.0,105450.0,69444.0,-1.0,-1.0,56738.0,164241.0,-1.0,171688.0,122614.0,165396.0,66794.0,189751.0,48413.0,146121.0,-1.0,63107.0,70000.0,33333.0,-1.0,-1.0,50000.0,-1.0,-1.0,79623.0,-1.0,109906.0,-1.0,105263.0,-1.0,40476.0,26667.0,-1.0,41667.0,70676.0,216290.0,49409.0,151915.0,195851.0,103444.0,66667.0,99391.0,-1.0,70386.0,49688.0,-1.0,135664.0,60431.0,147579.0,-1.0,60653.0,-1.0,-1.0,50000.0,123438.0,-1.0,60000.0,33333.0,50000.0,54153.0,60000.0,110042.0
1964,38889.0,76101.0,45313.0,-1.0,-1.0,36364.0,22512.0,51111.0,139328.0,60441.0,111398.0,11227.0,-1.0,-1.0,40000.0,-1.0,27778.0,160068.0,33506.0,48462.0,50000.0,187500.0,-1.0,-1.0,-1.0,-1.0,-1.0,60260.0,134878.0,69643.0,30000.0,30000.0,69388.0,-1.0,-1.0,-1.0,43333.0,30684.0,57826.0,-1.0,187500.0,157480.0,39901.0,-1.0,-1.0,-1.0,118000.0,-1.0,-1.0,33319.0,-1.0,147170.0,130000.0,113793.0,222442.0,50526.0,-1.0,83750.0,-1.0,-1.0,-1.0,185804.0,-1.0,-1.0,31502.0,81250.0,26961.0,-1.0,20000.0,95233.0,-1.0,-1.0,80000.0,141941.0,-1.0,-1.0,-1.0,33333.0,38372.0,-1.0,-1.0,-1.0,-1.0,102907.0,70000.0,130506.0,12025.0,55209.0,122030.0,80349.0,-1.0,-1.0,57425.0,163020.0,-1.0,174737.0,110903.0,168075.0,86800.0,179366.0,48232.0,147862.0,-1.0,63592.0,70000.0,33333.0,-1.0,-1.0,50847.0,-1.0,-1.0,79636.0,-1.0,109907.0,-1.0,105263.0,-1.0,40698.0,26667.0,-1.0,41667.0,21176.0,197513.0,49795.0,145238.0,217345.0,102065.0,69613.0,80919.0,-1.0,64378.0,49701.0,-1.0,137051.0,68848.0,153275.0,-1.0,65564.0,-1.0,-1.0,50000.0,111413.0,-1.0,60000.0,33333.0,51429.0,60453.0,62766.0,84557.0
1965,41270.0,77456.0,40323.0,-1.0,-1.0,33333.0,26684.0,46364.0,148259.0,61216.0,131418.0,13787.0,-1.0,-1.0,40000.0,-1.0,27778.0,158582.0,33924.0,49167.0,50000.0,194444.0,-1.0,-1.0,-1.0,-1.0,-1.0,59583.0,136667.0,69146.0,28571.0,20000.0,65306.0,-1.0,-1.0,-1.0,44444.0,30500.0,57917.0,-1.0,194444.0,153846.0,38828.0,-1.0,-1.0,-1.0,110832.0,-1.0,-1.0,33912.0,-1.0,148148.0,132733.0,112222.0,189800.0,50526.0,-1.0,87654.0,-1.0,-1.0,-1.0,176674.0,-1.0,-1.0,20687.0,87500.0,27144.0,-1.0,20278.0,92955.0,-1.0,-1.0,80808.0,142225.0,-1.0,-1.0,-1.0,33333.0,38767.0,-1.0,-1.0,-1.0,-1.0,102727.0,50000.0,133814.0,11442.0,36602.0,117946.0,84647.0,-1.0,-1.0,58147.0,170981.0,-1.0,174533.0,108867.0,132461.0,90954.0,206814.0,48673.0,148558.0,-1.0,66019.0,70000.0,33333.0,-1.0,-1.0,50794.0,-1.0,-1.0,80000.0,-1.0,112920.0,-1.0,102564.0,-1.0,40909.0,26667.0,-1.0,41667.0,48714.0,191894.0,58041.0,207030.0,221768.0,139081.0,72727.0,70115.0,-1.0,69444.0,49718.0,-1.0,145143.0,93696.0,147053.0,-1.0,63337.0,-1.0,-1.0,50000.0,132138.0,-1.0,59972.0,33333.0,53571.0,60241.0,58654.0,111038.0
1966,43651.0,85199.0,40323.0,-1.0,-1.0,33333.0,28377.0,39083.0,139184.0,60933.0,109602.0,15770.0,-1.0,-1.0,40000.0,-1.0,27778.0,171046.0,34375.0,50000.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,59888.0,136047.0,69248.0,-1.0,20000.0,65909.0,-1.0,-1.0,-1.0,46875.0,30500.0,58000.0,-1.0,200000.0,155556.0,48929.0,-1.0,-1.0,-1.0,127969.0,-1.0,-1.0,35939.0,-1.0,150000.0,125400.0,115385.0,203203.0,50000.0,-1.0,79518.0,-1.0,-1.0,-1.0,177018.0,-1.0,-1.0,36486.0,91250.0,28028.0,-1.0,20278.0,90572.0,-1.0,-1.0,79709.0,142668.0,-1.0,-1.0,-1.0,35000.0,38140.0,-1.0,-1.0,-1.0,-1.0,102000.0,50000.0,173620.0,96230.0,37634.0,134649.0,85714.0,-1.0,-1.0,63642.0,163397.0,-1.0,187047.0,92493.0,136481.0,78140.0,228004.0,50619.0,150021.0,-1.0,66505.0,70000.0,33333.0,-1.0,-1.0,50769.0,-1.0,-1.0,79355.0,-1.0,112581.0,-1.0,107143.0,-1.0,40217.0,27500.0,-1.0,41667.0,71429.0,183725.0,68061.0,204851.0,211294.0,132229.0,72816.0,59510.0,-1.0,65000.0,48919.0,-1.0,146083.0,83227.0,160840.0,-1.0,74366.0,-1.0,-1.0,50000.0,110151.0,-1.0,63902.0,33333.0,53571.0,39616.0,58824.0,115565.0
1967,38411.0,87566.0,40323.0,-1.0,-1.0,33333.0,28997.0,40612.0,145114.0,61013.0,126374.0,14961.0,-1.0,-1.0,40000.0,-1.0,27778.0,116774.0,34756.0,52500.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,59681.0,135455.0,69034.0,-1.0,10000.0,56818.0,-1.0,-1.0,-1.0,46440.0,30500.0,58140.0,-1.0,200000.0,164286.0,47651.0,-1.0,-1.0,-1.0,128606.0,-1.0,-1.0,35779.0,-1.0,153704.0,116913.0,114894.0,206849.0,50526.0,-1.0,81609.0,-1.0,-1.0,-1.0,193585.0,-1.0,-1.0,70424.0,88889.0,27035.0,-1.0,20270.0,90572.0,-1.0,-1.0,80000.0,150359.0,-1.0,-1.0,-1.0,36667.0,39485.0,-1.0,-1.0,-1.0,-1.0,114891.0,50000.0,160532.0,95935.0,19687.0,118208.0,92929.0,-1.0,-1.0,65415.0,166155.0,-1.0,167240.0,83485.0,105786.0,77965.0,267485.0,51080.0,149010.0,-1.0,65741.0,70000.0,33333.0,-1.0,-1.0,51429.0,-1.0,-1.0,80000.0,-1.0,114275.0,-1.0,104651.0,-1.0,40860.0,27500.0,-1.0,41667.0,50000.0,197670.0,57975.0,222835.0,256398.0,122518.0,69787.0,69687.0,-1.0,80000.0,50130.0,-1.0,124993.0,76676.0,164471.0,-1.0,71067.0,-1.0,-1.0,50000.0,127896.0,-1.0,63371.0,33333.0,55714.0,43118.0,59211.0,138110.0
1968,40397.0,91676.0,42581.0,-1.0,-1.0,33333.0,29783.0,22674.0,151866.0,60053.0,119467.0,9781.0,-1.0,-1.0,40000.0,-1.0,27778.0,138700.0,35714.0,52500.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,60638.0,134889.0,71820.0,-1.0,20000.0,60345.0,-1.0,-1.0,-1.0,46012.0,30500.0,58015.0,-1.0,200000.0,153333.0,48185.0,-1.0,-1.0,-1.0,106413.0,-1.0,-1.0,36658.0,-1.0,158182.0,115608.0,115026.0,212009.0,50526.0,-1.0,85870.0,-1.0,-1.0,-1.0,193907.0,-1.0,-1.0,80158.0,91111.0,26660.0,-1.0,20270.0,90572.0,-1.0,-1.0,80275.0,146228.0,-1.0,-1.0,-1.0,35385.0,41632.0,-1.0,-1.0,-1.0,-1.0,100729.0,50000.0,132924.0,100000.0,20189.0,154640.0,95876.0,-1.0,-1.0,67240.0,163314.0,-1.0,144243.0,115257.0,106483.0,64378.0,185037.0,51943.0,148333.0,-1.0,65899.0,70000.0,33333.0,-1.0,-1.0,51389.0,-1.0,-1.0,79710.0,-1.0,113103.0,-1.0,108696.0,-1.0,40625.0,28750.0,-1.0,41667.0,47143.0,151696.0,69979.0,120346.0,299844.0,115090.0,65882.0,67364.0,-1.0,82500.0,50125.0,-1.0,127481.0,67274.0,180571.0,-1.0,63976.0,-1.0,-1.0,50000.0,119602.0,-1.0,60833.0,33333.0,57143.0,43653.0,62222.0,180000.0
1969,42384.0,83438.0,43828.0,-1.0,-1.0,33333.0,36575.0,42229.0,153551.0,61125.0,130423.0,10996.0,-1.0,-1.0,40000.0,-1.0,28333.0,151672.0,36824.0,49920.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,60115.0,134348.0,71987.0,-1.0,20000.0,68622.0,-1.0,-1.0,-1.0,45455.0,31143.0,57955.0,-1.0,200000.0,156250.0,40255.0,-1.0,-1.0,-1.0,133452.0,-1.0,-1.0,36092.0,-1.0,158929.0,122533.0,113265.0,199824.0,51042.0,-1.0,82979.0,-1.0,-1.0,-1.0,184808.0,-1.0,-1.0,93981.0,86364.0,26864.0,-1.0,20270.0,90572.0,-1.0,-1.0,80978.0,145881.0,-1.0,-1.0,-1.0,35385.0,41954.0,-1.0,-1.0,-1.0,-1.0,96486.0,50000.0,195297.0,101909.0,9383.0,135016.0,95593.0,-1.0,-1.0,69115.0,167314.0,-1.0,182223.0,70697.0,122994.0,72685.0,235361.0,52087.0,150000.0,-1.0,67281.0,72692.0,33333.0,-1.0,-1.0,51351.0,-1.0,-1.0,80282.0,-1.0,111903.0,-1.0,120000.0,-1.0,40816.0,28750.0,-1.0,41667.0,60000.0,141958.0,73931.0,144384.0,279171.0,109961.0,66415.0,71309.0,-1.0,68615.0,50235.0,-1.0,131226.0,60923.0,176468.0,-1.0,80106.0,-1.0,-1.0,50000.0,132950.0,-1.0,65561.0,34286.0,57857.0,43960.0,64706.0,159084.0
1970,38068.0,95652.0,44667.0,-1.0,-1.0,33333.0,36436.0,33137.0,150205.0,60795.0,121968.0,6472.0,-1.0,-1.0,36897.0,-1.0,28889.0,140136.0,37058.0,50274.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,59651.0,141458.0,71472.0,-1.0,30000.0,81731.0,-1.0,-1.0,-1.0,45045.0,31143.0,57895.0,-1.0,200000.0,155556.0,46433.0,-1.0,-1.0,-1.0,115190.0,-1.0,-1.0,34557.0,-1.0,159649.0,122866.0,114141.0,220894.0,50943.0,-1.0,83838.0,-1.0,-1.0,-1.0,190912.0,-1.0,-1.0,92093.0,86364.0,22364.0,-1.0,21053.0,89577.0,-1.0,-1.0,80485.0,137571.0,-1.0,-1.0,-1.0,33333.0,41679.0,-1.0,-1.0,-1.0,-1.0,89672.0,50000.0,180982.0,102299.0,10407.0,154926.0,91919.0,-1.0,-1.0,71042.0,163880.0,-1.0,134916.0,95253.0,87456.0,65663.0,225001.0,52857.0,152473.0,-1.0,68664.0,72000.0,33333.0,-1.0,17534.0,50000.0,-1.0,-1.0,79865.0,-1.0,115103.0,-1.0,109091.0,-1.0,41000.0,28235.0,-1.0,41667.0,175385.0,137429.0,68166.0,82447.0,318668.0,83995.0,67636.0,65766.0,-1.0,87397.0,49889.0,-1.0,139994.0,65196.0,164831.0,-1.0,76705.0,-1.0,-1.0,50000.0,123212.0,-1.0,67573.0,34286.0,58571.0,33404.0,70270.0,166050.0
