,Paraguay,Burundi,Bolivia (Plurinational State of),Peru,Belarus,Croatia,Myanmar,India,Sierra Leone,Ukraine,Syrian Arab Republic,Norway,Sweden,United Kingdom,Ethiopia,Denmark,Canada,Republic of Korea,Greece,South Africa,Malawi,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Austria,Netherlands,Japan,Eritrea,Guyana,Bulgaria,Australia & New Zealand,United States of America,Yugoslav SFR,Serbia and Montenegro,Democratic Republic of the Congo,Algeria,Slovenia,Morocco,Madagascar,Tajikistan,Czechia,Lesotho,Argentina,Uganda,Luxembourg,USSR,Germany,Republic of Moldova,Belgium,Rwanda,Uruguay,Czechoslovakia,Ethiopia PDR,Poland,Congo,Lebanon,Mexico,Switzerland,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Ireland,Colombia,Latvia,Libya,Slovakia,Jamaica,United Republic of Tanzania,Chile,Hungary,Kazakhstan,Estonia,Israel,Australia,France,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,New Zealand,Italy,Belgium-Luxembourg
1961,140.0,2116.0,150.0,1954.0,-1.0,-1.0,636.0,62908.0,45.0,-1.0,80.0,12.0,3380.0,1200.0,-1.0,600.0,9000.0,54.0,1326.0,960.0,0.0,-1.0,110.0,239.0,3303.0,904.0,-1.0,2.0,1737.0,7059.0,23000.0,648.0,-1.0,90.0,150.0,-1.0,1080.0,0.0,-1.0,-1.0,627.0,3420.0,400.0,-1.0,518760.0,10425.0,-1.0,-1.0,1209.0,50.0,3505.0,6195.0,9720.0,170.0,21.0,266.0,480.0,16340.0,383.0,2000.0,80.0,-1.0,297000.0,160.0,1683.0,-1.0,5.0,-1.0,134.0,200.0,1459.0,14000.0,-1.0,-1.0,293.0,3059.0,7380.0,-1.0,700.0,297000.0,-1.0,290.0,4000.0,10000.0,1431.0
1962,144.0,2292.0,150.0,2069.0,-1.0,-1.0,1069.0,66266.0,45.0,-1.0,80.0,5.0,3011.0,1600.0,-1.0,600.0,9000.0,48.0,1283.0,840.0,0.0,-1.0,110.0,322.0,4073.0,632.0,-1.0,2.0,2728.0,6622.0,22000.0,756.0,-1.0,90.0,150.0,-1.0,1060.0,0.0,-1.0,-1.0,588.0,2979.0,640.0,-1.0,932160.0,10260.0,-1.0,-1.0,1161.0,50.0,4559.0,6775.0,11700.0,175.0,21.0,280.0,480.0,15290.0,286.0,2000.0,50.0,-1.0,252000.0,150.0,2072.0,-1.0,6.0,-1.0,142.0,232.0,1317.0,19000.0,-1.0,-1.0,167.0,2622.0,7935.0,-1.0,400.0,252000.0,-1.0,265.0,4000.0,9600.0,1709.0
1963,140.0,2520.0,150.0,2129.0,-1.0,-1.0,1103.0,65015.0,48.0,-1.0,160.0,5.0,3059.0,1600.0,-1.0,600.0,9000.0,39.0,1264.0,960.0,0.0,-1.0,70.0,309.0,3807.0,571.0,-1.0,4.0,4068.0,6568.0,21000.0,740.0,-1.0,90.0,143.0,-1.0,1000.0,0.0,-1.0,-1.0,588.0,2934.0,600.0,-1.0,930000.0,10136.0,-1.0,-1.0,723.0,60.0,4775.0,6325.0,11880.0,185.0,26.0,283.0,480.0,10640.0,1150.0,2000.0,90.0,-1.0,243000.0,160.0,1908.0,-1.0,5.0,-1.0,134.0,300.0,789.0,22000.0,-1.0,-1.0,182.0,2568.0,7800.0,-1.0,500.0,243000.0,-1.0,400.0,4000.0,8700.0,1686.0
1964,148.0,2660.0,150.0,1772.0,-1.0,-1.0,672.0,56090.0,48.0,-1.0,160.0,0.0,2969.0,1400.0,-1.0,500.0,10000.0,57.0,1150.0,1080.0,0.0,-1.0,70.0,325.0,3049.0,538.0,-1.0,3.0,5604.0,6895.0,15000.0,736.0,-1.0,90.0,142.0,-1.0,1000.0,0.0,-1.0,-1.0,666.0,3060.0,760.0,-1.0,554760.0,9205.0,-1.0,-1.0,1157.0,60.0,4819.0,6385.0,12240.0,190.0,32.0,285.0,352.0,11186.0,1187.0,2100.0,80.0,-1.0,243000.0,160.0,1802.0,-1.0,5.0,-1.0,113.0,455.0,944.0,21700.0,-1.0,-1.0,327.0,2895.0,7005.0,-1.0,600.0,243000.0,-1.0,500.0,4000.0,9000.0,1365.0
1965,154.0,2737.0,150.0,1891.0,-1.0,-1.0,765.0,55465.0,45.0,-1.0,113.0,0.0,2627.0,1400.0,-1.0,400.0,10000.0,52.0,945.0,1080.0,0.0,-1.0,90.0,420.0,3026.0,547.0,-1.0,4.0,6034.0,7154.0,17000.0,788.0,-1.0,90.0,104.0,-1.0,1100.0,0.0,-1.0,-1.0,627.0,3249.0,560.0,-1.0,451560.0,7817.0,-1.0,-1.0,1776.0,60.0,4930.0,6405.0,14220.0,195.0,34.0,288.0,392.0,13330.0,1232.0,2100.0,100.0,-1.0,216000.0,120.0,2079.0,-1.0,6.0,-1.0,219.0,380.0,1394.0,21900.0,-1.0,-1.0,96.0,3154.0,7095.0,-1.0,600.0,216000.0,-1.0,450.0,4000.0,9000.0,1611.0
1966,169.0,2740.0,150.0,1906.0,-1.0,-1.0,851.0,54780.0,48.0,-1.0,124.0,0.0,2685.0,1600.0,-1.0,600.0,9000.0,50.0,923.0,1080.0,0.0,-1.0,100.0,404.0,2809.0,471.0,-1.0,3.0,6204.0,6786.0,17000.0,932.0,-1.0,90.0,102.0,-1.0,1082.0,0.0,-1.0,-1.0,627.0,3105.0,520.0,-1.0,405480.0,6868.0,-1.0,-1.0,1548.0,60.0,3288.0,6500.0,11520.0,200.0,26.0,240.0,384.0,13180.0,1238.0,2100.0,115.0,-1.0,216000.0,100.0,1764.0,-1.0,5.0,-1.0,324.0,380.0,1105.0,22700.0,-1.0,-1.0,82.0,2786.0,7875.0,-1.0,500.0,216000.0,-1.0,490.0,4000.0,9300.0,1637.0
1967,172.0,2752.0,150.0,2134.0,-1.0,-1.0,704.0,51460.0,45.0,-1.0,56.0,0.0,2951.0,2000.0,-1.0,790.0,9000.0,38.0,761.0,1080.0,0.0,-1.0,110.0,412.0,2715.0,408.0,-1.0,3.0,4567.0,6124.0,18000.0,886.0,-1.0,90.0,115.0,-1.0,1308.0,0.0,-1.0,-1.0,588.0,2641.0,760.0,-1.0,376440.0,5815.0,-1.0,-1.0,1570.0,60.0,2459.0,6590.0,9000.0,210.0,23.0,206.0,384.0,12482.0,1639.0,2200.0,130.0,-1.0,207000.0,70.0,2007.0,-1.0,5.0,-1.0,406.0,380.0,2204.0,22100.0,-1.0,-1.0,78.0,3124.0,7890.0,-1.0,400.0,207000.0,-1.0,320.0,3000.0,9200.0,1674.0
1968,172.0,1378.0,150.0,2258.0,-1.0,-1.0,972.0,51990.0,48.0,-1.0,56.0,0.0,2787.0,2200.0,-1.0,190.0,10000.0,38.0,739.0,1080.0,0.0,-1.0,130.0,350.0,2855.0,347.0,-1.0,4.0,3572.0,9229.0,22000.0,937.0,-1.0,90.0,100.0,-1.0,1020.0,0.0,-1.0,-1.0,549.0,2943.0,840.0,-1.0,392040.0,5719.0,-1.0,-1.0,1749.0,60.0,1852.0,6675.0,8640.0,215.0,19.0,218.0,384.0,11190.0,903.0,2000.0,130.0,-1.0,198000.0,80.0,2000.0,-1.0,5.0,-1.0,252.0,400.0,1414.0,24000.0,-1.0,-1.0,76.0,4229.0,7755.0,-1.0,300.0,198000.0,-1.0,380.0,5000.0,9100.0,1942.0
1969,164.0,1535.0,200.0,2211.0,-1.0,-1.0,1117.0,49440.0,45.0,-1.0,96.0,0.0,2980.0,3000.0,-1.0,640.0,11000.0,46.0,800.0,840.0,0.0,-1.0,140.0,345.0,2940.0,408.0,-1.0,4.0,3151.0,10348.0,23000.0,987.0,-1.0,90.0,147.0,-1.0,1220.0,0.0,-1.0,-1.0,627.0,3114.0,560.0,-1.0,375600.0,5378.0,-1.0,-1.0,1890.0,60.0,1633.0,6795.0,9000.0,220.0,15.0,218.0,384.0,12100.0,1216.0,2100.0,210.0,-1.0,198000.0,90.0,1600.0,-1.0,5.0,-1.0,224.0,440.0,1396.0,23900.0,-1.0,-1.0,72.0,4348.0,9000.0,-1.0,400.0,198000.0,-1.0,370.0,6000.0,9300.0,1950.0
1970,232.0,1600.0,200.0,1919.0,-1.0,-1.0,1047.0,45850.0,48.0,-1.0,86.0,0.0,2873.0,2400.0,-1.0,760.0,5000.0,30.0,750.0,720.0,0.0,-1.0,120.0,299.0,2209.0,285.0,-1.0,5.0,2727.0,11885.0,19000.0,963.0,-1.0,90.0,152.0,-1.0,1400.0,0.0,-1.0,-1.0,627.0,3132.0,1120.0,-1.0,426120.0,6142.0,-1.0,-1.0,1830.0,61.0,1546.0,6810.0,9180.0,230.0,12.0,140.0,368.0,11290.0,907.0,1800.0,255.0,-1.0,171000.0,120.0,1720.0,-1.0,2.0,-1.0,287.0,440.0,1310.0,22100.0,-1.0,-1.0,91.0,4885.0,10050.0,-1.0,300.0,171000.0,-1.0,300.0,7000.0,8700.0,1591.0
