,Israel,Portugal,Tunisia,Cyprus,Turkey,Jordan,Mexico,Morocco,Greece,Algeria,Ukraine,Spain,Croatia,Lebanon,Italy,Malta
1961,7368.0,,,16060.0,26654.0,,,,,21773.0,,23087.0,,,61882.0,85000.0
1962,7500.0,,,20851.0,26733.0,,,,,22222.0,,24652.0,,,28412.0,85556.0
1963,7500.0,,,26312.0,27802.0,,,,,22222.0,,22095.0,,,14882.0,84211.0
1964,7500.0,,,13846.0,32895.0,,,,,21998.0,,26473.0,,,62059.0,85641.0
1965,7619.0,,,15591.0,28246.0,,,,,22359.0,,26928.0,,,33059.0,85495.0
1966,7407.0,,,21857.0,31689.0,,,,,22000.0,,21189.0,,,25706.0,85495.0
1967,7500.0,,,19711.0,29683.0,,,,,22048.0,,19830.0,,,30706.0,100932.0
1968,8750.0,,,21261.0,36239.0,,,,,22051.0,,24013.0,,,34529.0,100594.0
1969,10469.0,,,13889.0,34043.0,,,,,22235.0,,20618.0,,,51941.0,88323.0
1970,9688.0,,,16570.0,33684.0,,,,,22045.0,,18702.0,,,44941.0,74278.0
1971,10938.0,,,11046.0,33415.0,,,,,22078.0,,16101.0,,,34412.0,47841.0
1972,12813.0,,,13742.0,44000.0,10000.0,,,,22017.0,,16542.0,,,33529.0,29045.0
1973,11563.0,,,5316.0,41007.0,,,,,21918.0,,20592.0,,,36294.0,45000.0
1974,11875.0,,,3505.0,30952.0,10000.0,,,,22205.0,,15595.0,,,40882.0,39784.0
1975,10938.0,,,11684.0,29655.0,46000.0,,,,22430.0,,15232.0,,,38824.0,26505.0
1976,10625.0,,,18729.0,27586.0,,,,,20164.0,,16164.0,,,41588.0,28830.0
1977,4000.0,,,11100.0,43678.0,,,,,20183.0,,13197.0,,,36706.0,30325.0
1978,8000.0,,,22783.0,42254.0,,,,,20092.0,,15576.0,,,40000.0,27073.0
1979,1750.0,,,23036.0,35047.0,,,,,20086.0,,16038.0,,,35471.0,18954.0
1980,4000.0,,,15822.0,41262.0,,8958.0,,,21560.0,,17042.0,,,37294.0,27868.0
1981,4500.0,,,34175.0,31646.0,,21429.0,,,19918.0,,17553.0,,,35529.0,28034.0
1982,5000.0,,,15949.0,35000.0,,25571.0,,,20000.0,,17468.0,,,35794.0,24397.0
1983,5000.0,,,17013.0,33573.0,,28571.0,,,21880.0,,17398.0,,,28647.0,35577.0
1984,3500.0,,,13639.0,31250.0,,20714.0,,,20740.0,,15755.0,,,32176.0,35577.0
1985,2500.0,21978.0,20000.0,17214.0,30886.0,,11000.0,20320.0,12435.0,20556.0,,15168.0,,,35471.0,36000.0
1986,3333.0,21978.0,20896.0,56625.0,39474.0,,,23284.0,12977.0,20010.0,,14901.0,,,32412.0,35556.0
1987,4333.0,21978.0,21053.0,15855.0,42763.0,,,20465.0,9967.0,19840.0,,16029.0,,,17659.0,35294.0
1988,3000.0,21978.0,21795.0,36905.0,44702.0,,6000.0,23651.0,13961.0,19688.0,,17258.0,,,15882.0,35000.0
1989,1333.0,21978.0,21795.0,20238.0,39867.0,,6429.0,15529.0,11316.0,20881.0,,16812.0,,,19259.0,34933.0
