,Uganda,Papua New Guinea,Comoros,Indonesia,Tonga,Réunion,China,Madagascar,Mexico,Cook Islands,"China, mainland",French Polynesia,Guadeloupe,Melanesia,Kenya,Polynesia,Zimbabwe,Malawi
1961,2000.0,,,1250.0,,643.0,,1207.0,325.0,6667.0,,1016.0,400.0,,,1025.0,,
1962,2000.0,,,1250.0,,449.0,,1000.0,321.0,6667.0,,1016.0,182.0,,,1025.0,,
1963,2000.0,,,1500.0,,500.0,,1613.0,362.0,6667.0,,1000.0,182.0,,,1011.0,,
1964,2000.0,,,1500.0,,643.0,,1694.0,349.0,6667.0,,1000.0,364.0,,,1017.0,,
1965,2000.0,,,1500.0,,500.0,,1767.0,361.0,6667.0,,1015.0,273.0,,,1028.0,,
1966,2000.0,,,1333.0,,600.0,,2075.0,358.0,6667.0,,944.0,273.0,,,963.0,,
1967,2000.0,,,1333.0,,875.0,,2062.0,279.0,6667.0,,700.0,408.0,,,730.0,,
1968,2000.0,,,1333.0,571.0,900.0,,1504.0,269.0,6667.0,,771.0,400.0,,,752.0,,
1969,2000.0,,,1333.0,571.0,657.0,,2090.0,252.0,6667.0,,711.0,400.0,,,701.0,,
1970,2000.0,,,1250.0,571.0,883.0,,1791.0,420.0,6667.0,,429.0,400.0,,,511.0,,
1971,2000.0,,,1250.0,571.0,481.0,,2620.0,426.0,6667.0,,545.0,600.0,,,577.0,,
1972,2000.0,,,1250.0,571.0,457.0,,1736.0,292.0,6667.0,,617.0,600.0,,,630.0,,
1973,2000.0,,,1429.0,565.0,178.0,,1552.0,301.0,6667.0,,583.0,600.0,,,603.0,,
1974,2000.0,,,1429.0,565.0,344.0,,2174.0,341.0,6667.0,,420.0,500.0,,,485.0,,
1975,2000.0,,,1393.0,565.0,446.0,,2317.0,314.0,6667.0,,300.0,571.0,,,438.0,,
1976,2000.0,,,1400.0,618.0,446.0,,1048.0,309.0,6667.0,,400.0,286.0,,,520.0,,
1977,2000.0,,,1475.0,674.0,229.0,,1446.0,918.0,6667.0,,400.0,1333.0,,,577.0,,
1978,2000.0,,,1900.0,562.0,382.0,,1467.0,423.0,6667.0,,300.0,1500.0,,,534.0,,
1979,2000.0,,,5186.0,281.0,392.0,,825.0,241.0,6667.0,,400.0,1500.0,,2222.0,391.0,,
1980,2000.0,,,5436.0,449.0,295.0,,380.0,510.0,7500.0,,300.0,1500.0,,2222.0,496.0,,
1981,2000.0,,,4225.0,750.0,396.0,,566.0,2581.0,7500.0,,308.0,1500.0,,2222.0,659.0,,
1982,2000.0,,,3585.0,1000.0,415.0,,714.0,4079.0,7500.0,,308.0,2222.0,,2500.0,808.0,,
1983,2000.0,,,3629.0,1150.0,500.0,,661.0,4076.0,7500.0,,308.0,2222.0,,2222.0,898.0,,
1984,2000.0,,,2751.0,1231.0,812.0,,866.0,4055.0,7500.0,,300.0,2222.0,,2222.0,749.0,,2500.0
1985,2000.0,,2000.0,3965.0,1366.0,647.0,2000.0,526.0,1774.0,7500.0,2000.0,391.0,3000.0,,2222.0,1007.0,,2500.0
1986,2000.0,,2100.0,3701.0,1364.0,271.0,2500.0,246.0,2088.0,7500.0,2500.0,400.0,2000.0,,2222.0,993.0,,2500.0
