,Paraguay,"China, Hong Kong SAR","China, Taiwan Province of",Burkina Faso,Comoros,Ukraine,Philippines,Syrian Arab Republic,Australia & New Zealand,United Kingdom,Ethiopia,The former Yugoslav Republic of Macedonia,Greece,Iraq,Republic of Korea,Venezuela (Bolivarian Republic of),Cyprus,Japan,Norway,Belize,Bulgaria,Bahamas,French Polynesia,Algeria,American Samoa,Nigeria,Madagascar,Netherlands,Costa Rica,Democratic People's Republic of Korea,Germany,Niger,Morocco,Ethiopia PDR,United Arab Emirates,Switzerland,Mexico,Azerbaijan,Spain,Jordan,Israel,China,Tunisia,Côte d'Ivoire,Libya,Albania,Portugal,Jamaica,Brunei Darussalam,Occupied Palestinian Territory,Ecuador,Hungary,Polynesia,Kazakhstan,Réunion,Singapore,France,Thailand,"China, mainland",Puerto Rico,Angola,Turkey,New Zealand,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,139875.0,76068.0,150100.0,-1.0,-1.0,45652.0,109266.0,-1.0,-1.0,-1.0,-1.0,58328.0,55504.0,101909.0,-1.0,66667.0,157088.0,261176.0,-1.0,115268.0,-1.0,85714.0,-1.0,-1.0,71000.0,-1.0,-1.0,-1.0,110000.0,-1.0,160000.0,116279.0,100000.0,-1.0,200000.0,-1.0,-1.0,126667.0,57080.0,158730.0,92932.0,144578.0,37500.0,55046.0,-1.0,-1.0,34324.0,-1.0,-1.0,134167.0,50000.0,85714.0,-1.0,100000.0,168125.0,115701.0,-1.0,160000.0,-1.0,10000.0,54348.0,-1.0,-1.0,-1.0
1962,-1.0,154714.0,75330.0,150098.0,-1.0,-1.0,45833.0,95455.0,240793.0,-1.0,-1.0,-1.0,63346.0,72197.0,101576.0,-1.0,66667.0,181522.0,201220.0,-1.0,103533.0,-1.0,87143.0,-1.0,-1.0,73000.0,-1.0,-1.0,-1.0,110000.0,-1.0,166667.0,115556.0,100000.0,-1.0,216667.0,-1.0,-1.0,119949.0,59259.0,185185.0,94700.0,150877.0,40000.0,55046.0,-1.0,-1.0,35289.0,-1.0,-1.0,120012.0,50000.0,87143.0,-1.0,100000.0,137857.0,100669.0,-1.0,157895.0,-1.0,10000.0,53846.0,240793.0,-1.0,-1.0
1963,-1.0,183158.0,78184.0,150161.0,-1.0,-1.0,45833.0,86364.0,277527.0,-1.0,-1.0,-1.0,76288.0,72769.0,95331.0,-1.0,58000.0,193333.0,216360.0,-1.0,109089.0,-1.0,88571.0,-1.0,-1.0,74000.0,-1.0,-1.0,-1.0,100000.0,-1.0,160000.0,120000.0,100000.0,-1.0,321429.0,-1.0,-1.0,122928.0,65358.0,178571.0,98245.0,150000.0,42500.0,55046.0,-1.0,-1.0,35289.0,-1.0,-1.0,92723.0,51017.0,88571.0,-1.0,100000.0,123750.0,90657.0,-1.0,157895.0,-1.0,10000.0,53846.0,277527.0,-1.0,-1.0
1964,-1.0,160973.0,77845.0,150252.0,-1.0,-1.0,45200.0,69863.0,323417.0,-1.0,-1.0,-1.0,91342.0,67540.0,93450.0,-1.0,56364.0,185207.0,225281.0,-1.0,103531.0,-1.0,90000.0,-1.0,-1.0,76000.0,-1.0,-1.0,-1.0,109091.0,-1.0,166667.0,120000.0,100000.0,-1.0,303571.0,-1.0,-1.0,137232.0,73873.0,130435.0,97166.0,211111.0,45000.0,55046.0,-1.0,-1.0,35289.0,-1.0,-1.0,187814.0,63230.0,90000.0,-1.0,100000.0,152500.0,85666.0,-1.0,157895.0,-1.0,10000.0,53846.0,323417.0,-1.0,-1.0
1965,-1.0,158000.0,81882.0,150402.0,-1.0,-1.0,46000.0,81403.0,258072.0,-1.0,-1.0,-1.0,90022.0,88668.0,100660.0,-1.0,68000.0,192644.0,239382.0,-1.0,112580.0,-1.0,91429.0,-1.0,-1.0,78000.0,-1.0,-1.0,-1.0,136364.0,-1.0,192867.0,116000.0,100000.0,-1.0,235294.0,-1.0,-1.0,133438.0,70967.0,215648.0,99602.0,204348.0,46250.0,55046.0,-1.0,-1.0,37743.0,-1.0,-1.0,159892.0,56367.0,91429.0,-1.0,100000.0,169167.0,104265.0,-1.0,157895.0,-1.0,10000.0,53846.0,258072.0,-1.0,-1.0
1966,-1.0,160000.0,79756.0,166667.0,-1.0,-1.0,46000.0,87148.0,292052.0,-1.0,-1.0,-1.0,100209.0,84106.0,129611.0,-1.0,86667.0,201803.0,212286.0,-1.0,136245.0,-1.0,92857.0,-1.0,-1.0,80000.0,-1.0,-1.0,-1.0,163636.0,-1.0,179067.0,120000.0,100000.0,-1.0,306250.0,-1.0,-1.0,131364.0,104706.0,141379.0,99393.0,184286.0,50000.0,55046.0,-1.0,-1.0,24656.0,-1.0,-1.0,167029.0,66340.0,92857.0,-1.0,100000.0,169167.0,85118.0,-1.0,160000.0,-1.0,10000.0,37879.0,292052.0,-1.0,-1.0
1967,-1.0,125000.0,81149.0,165000.0,-1.0,-1.0,45385.0,83789.0,312861.0,-1.0,-1.0,-1.0,91165.0,86897.0,97585.0,-1.0,90000.0,209583.0,222202.0,-1.0,116824.0,-1.0,94286.0,-1.0,-1.0,82000.0,-1.0,-1.0,-1.0,166667.0,-1.0,162633.0,127273.0,100000.0,80000.0,300000.0,-1.0,-1.0,129842.0,69167.0,221053.0,103184.0,193750.0,52500.0,55046.0,-1.0,-1.0,25941.0,-1.0,-1.0,150892.0,75900.0,94286.0,-1.0,100000.0,169167.0,66861.0,-1.0,180000.0,-1.0,10000.0,50000.0,312861.0,-1.0,-1.0
1968,-1.0,114286.0,87570.0,165217.0,-1.0,-1.0,46154.0,81686.0,252615.0,-1.0,-1.0,-1.0,89507.0,78964.0,103240.0,-1.0,87500.0,220172.0,293333.0,-1.0,118700.0,-1.0,95714.0,-1.0,-1.0,83000.0,-1.0,-1.0,-1.0,208333.0,-1.0,140967.0,127273.0,100000.0,55556.0,300000.0,-1.0,-1.0,133040.0,74545.0,150000.0,104664.0,179375.0,56250.0,54945.0,-1.0,-1.0,36071.0,-1.0,-1.0,123866.0,59036.0,95714.0,-1.0,100000.0,169167.0,72259.0,-1.0,172727.0,-1.0,10000.0,49952.0,252615.0,-1.0,-1.0
1969,-1.0,114286.0,88512.0,165217.0,-1.0,-1.0,46154.0,78961.0,259750.0,-1.0,-1.0,-1.0,96434.0,74351.0,102060.0,-1.0,160000.0,220786.0,219580.0,-1.0,118978.0,-1.0,97143.0,-1.0,-1.0,83000.0,-1.0,-1.0,-1.0,200000.0,-1.0,187450.0,133333.0,100000.0,51724.0,300000.0,-1.0,-1.0,126452.0,52778.0,101190.0,104256.0,181875.0,58750.0,60976.0,-1.0,-1.0,26596.0,-1.0,-1.0,100632.0,71118.0,97143.0,-1.0,100000.0,166667.0,71858.0,-1.0,172727.0,-1.0,13333.0,49992.0,259750.0,-1.0,-1.0
1970,-1.0,120000.0,115444.0,165217.0,-1.0,-1.0,45556.0,82600.0,363641.0,-1.0,-1.0,-1.0,101125.0,86918.0,115660.0,-1.0,100000.0,220827.0,235127.0,-1.0,97535.0,-1.0,98571.0,-1.0,-1.0,88000.0,-1.0,-1.0,-1.0,230769.0,-1.0,200800.0,133333.0,100000.0,57692.0,275000.0,-1.0,-1.0,127647.0,118182.0,91765.0,126442.0,203750.0,62500.0,63091.0,-1.0,-1.0,34703.0,-1.0,-1.0,97885.0,64820.0,98571.0,-1.0,100000.0,166667.0,73700.0,-1.0,166667.0,-1.0,13333.0,50370.0,363641.0,-1.0,419048.0
