,Seychelles,United Republic of Tanzania,Kenya,Morocco,Malaysia,Comoros,Sri Lanka,China,Togo,Mexico,Indonesia,"China, mainland",Madagascar
1961,-1,25000.0,-1.0,-1,200.0,-1.0,600.0,-1.0,-1,-1,20000.0,-1.0,35000.0
1962,-1,25000.0,-1.0,-1,130.0,-1.0,300.0,-1.0,-1,-1,20000.0,-1.0,28000.0
1963,-1,35000.0,-1.0,-1,350.0,-1.0,300.0,-1.0,-1,-1,23000.0,-1.0,28000.0
1964,-1,30000.0,-1.0,-1,150.0,-1.0,300.0,-1.0,-1,-1,40000.0,-1.0,28245.0
1965,-1,32000.0,-1.0,-1,130.0,-1.0,300.0,-1.0,-1,-1,27000.0,-1.0,29540.0
1966,-1,40000.0,-1.0,-1,180.0,-1.0,300.0,-1.0,-1,-1,52000.0,-1.0,28650.0
1967,-1,40000.0,65.0,-1,190.0,-1.0,300.0,-1.0,-1,-1,27000.0,-1.0,31340.0
1968,-1,35000.0,65.0,-1,200.0,-1.0,300.0,-1.0,-1,-1,53000.0,-1.0,28665.0
1969,-1,20000.0,65.0,-1,200.0,-1.0,700.0,-1.0,-1,-1,34000.0,-1.0,29000.0
1970,-1,15000.0,65.0,-1,300.0,-1.0,700.0,-1.0,-1,-1,48000.0,-1.0,31765.0
1971,-1,30000.0,65.0,-1,400.0,-1.0,700.0,-1.0,-1,-1,36000.0,-1.0,34100.0
1972,-1,35000.0,65.0,-1,270.0,-1.0,700.0,-1.0,-1,-1,46000.0,-1.0,41265.0
1973,-1,35000.0,65.0,-1,400.0,-1.0,1400.0,-1.0,-1,-1,56800.0,-1.0,46690.0
1974,-1,15000.0,65.0,-1,500.0,-1.0,1500.0,-1.0,-1,-1,69600.0,-1.0,40875.0
1975,-1,35000.0,65.0,-1,500.0,-1.0,1500.0,-1.0,-1,-1,71000.0,-1.0,45225.0
1976,-1,30000.0,65.0,-1,600.0,-1.0,1600.0,-1.0,-1,-1,79000.0,-1.0,46925.0
1977,-1,28000.0,65.0,-1,600.0,-1.0,2600.0,-1.0,-1,-1,92245.0,-1.0,63195.0
1978,-1,15000.0,65.0,-1,700.0,-1.0,2700.0,-1.0,-1,-1,100477.0,-1.0,68900.0
1979,-1,35000.0,65.0,-1,700.0,-1.0,2800.0,-1.0,-1,-1,110610.0,-1.0,69925.0
1980,-1,25000.0,65.0,-1,900.0,-1.0,2900.0,-1.0,-1,-1,138022.0,-1.0,71950.0
