,Indonesia,Philippines,Angola,Madagascar,Togo,United Republic of Tanzania,Malaysia,Thailand,Belize,Kenya,Nigeria,Viet Nam,Bangladesh,Senegal,Mali,Dominican Republic,Brazil,Mexico,Benin,Peru,China,Ghana,Mozambique,Burkina Faso,Guinea,"China, mainland",El Salvador,Guadeloupe,Sri Lanka,Honduras,Guinea-Bissau,Côte d'Ivoire,Kyrgyzstan,Myanmar,Gambia,India
1961,,,3000.0,10000.0,,83000.0,2000.0,500.0,-1.0,10000.0,15000.0,1000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,180000.0,,-1.0,-1.0,1750.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,200000.0
1962,,5500.0,3000.0,10000.0,,108000.0,2000.0,500.0,-1.0,20000.0,24000.0,1000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,180000.0,,-1.0,-1.0,1750.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,200000.0
1963,,4500.0,3000.0,10000.0,,80000.0,2000.0,600.0,-1.0,20000.0,25000.0,1000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,230000.0,,-1.0,-1.0,1800.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,215000.0
1964,,3800.0,3000.0,10000.0,,100000.0,2000.0,700.0,-1.0,26000.0,31000.0,1000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,230000.0,,-1.0,-1.0,1800.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,215000.0
1965,,3800.0,3000.0,10000.0,,113000.0,2000.0,800.0,-1.0,26000.0,35500.0,1000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,210000.0,,-1.0,-1.0,1850.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,230000.0
1966,,3300.0,3000.0,10000.0,,120000.0,2000.0,900.0,-1.0,28000.0,37000.0,3000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,190000.0,,-1.0,-1.0,1850.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,241314.0
1967,,3800.0,3000.0,10000.0,,140000.0,2000.0,1000.0,-1.0,34000.0,38500.0,3000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,180000.0,,-1.0,-1.0,1900.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,249024.0
1968,,3800.0,3000.0,10200.0,,163000.0,2100.0,1100.0,-1.0,24000.0,40000.0,3000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1.0,300000.0,,-1.0,-1.0,1950.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,257107.0
1969,,3700.0,3000.0,10200.0,,183000.0,2200.0,1200.0,-1.0,20000.0,40000.0,3000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,8500.0,-1.0,-1.0,-1.0,250000.0,,-1.0,-1.0,2000.0,,-1.0,,10000.0,8000.0,,-1.0,-1.0,265698.0
1970,,4400.0,3000.0,10200.0,,186000.0,2398.0,1300.0,-1.0,68000.0,40000.0,3000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,9148.0,-1.0,-1.0,-1.0,290000.0,,-1.0,-1.0,2050.0,,-1.0,,12000.0,8215.0,,-1.0,-1.0,281171.0
1971,,3470.0,3000.0,10500.0,,210000.0,2008.0,1400.0,-1.0,50000.0,40000.0,5000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,320000.0,,-1.0,-1.0,2100.0,,-1.0,,12000.0,8000.0,,-1.0,-1.0,302732.0
1972,,3670.0,3000.0,10500.0,,200000.0,2100.0,1500.0,-1.0,35000.0,40000.0,5000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,320000.0,,-1.0,-1.0,2150.0,,-1.0,,12000.0,8000.0,,-1.0,-1.0,320034.0
1973,,3810.0,3000.0,10500.0,,240000.0,1878.0,1600.0,-1.0,45000.0,40000.0,5000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,360000.0,,-1.0,-1.0,2200.0,,-1.0,,12000.0,8000.0,,-1.0,-1.0,328294.0
