,Portugal,Yugoslav SFR,Germany,Chile,China,Czechoslovakia,Serbia and Montenegro,Bulgaria,USSR,Romania,Italy,France,Poland,"China, mainland",Denmark,Turkey,Spain,Hungary,Russian Federation
1961,58.0,1461.0,383.0,648.0,3500.0,13.0,-1.0,1400.0,5000.0,0.0,1178.0,161.0,1350.0,3500.0,44.0,130.0,237.0,700.0,-1.0
1962,93.0,1332.0,350.0,648.0,4200.0,10.0,-1.0,1400.0,5000.0,0.0,977.0,168.0,1165.0,4200.0,55.0,113.0,464.0,690.0,-1.0
1963,46.0,1359.0,364.0,648.0,4550.0,12.0,-1.0,1300.0,5000.0,0.0,701.0,209.0,1300.0,4550.0,48.0,100.0,265.0,860.0,-1.0
1964,67.0,1422.0,232.0,648.0,4900.0,8.0,-1.0,1500.0,6000.0,0.0,709.0,211.0,1520.0,4900.0,54.0,100.0,116.0,640.0,-1.0
1965,85.0,1365.0,208.0,648.0,5355.0,9.0,-1.0,2000.0,5550.0,0.0,753.0,61.0,1505.0,5355.0,64.0,100.0,76.0,640.0,-1.0
1966,91.0,1167.0,164.0,648.0,5425.0,12.0,-1.0,1800.0,5100.0,0.0,485.0,42.0,1395.0,5425.0,70.0,94.0,58.0,510.0,-1.0
1967,15.0,516.0,150.0,648.0,5495.0,11.0,-1.0,1490.0,4900.0,0.0,320.0,14.0,1070.0,5495.0,62.0,96.0,23.0,400.0,-1.0
1968,36.0,494.0,117.0,648.0,5495.0,3.0,-1.0,1500.0,4400.0,0.0,149.0,6.0,965.0,5495.0,0.0,84.0,21.0,230.0,-1.0
1969,56.0,539.0,136.0,504.0,5600.0,2.0,-1.0,1300.0,3400.0,0.0,72.0,9.0,850.0,5600.0,0.0,84.0,19.0,250.0,-1.0
1970,48.0,481.0,124.0,504.0,5705.0,5.0,-1.0,1200.0,3100.0,0.0,36.0,9.0,855.0,5705.0,0.0,85.0,6.0,300.0,-1.0
1971,33.0,350.0,38.0,432.0,5775.0,3.0,-1.0,1200.0,2450.0,0.0,22.0,9.0,810.0,5775.0,0.0,82.0,6.0,160.0,-1.0
1972,56.0,323.0,0.0,270.0,5845.0,3.0,-1.0,863.0,3250.0,0.0,13.0,210.0,655.0,5845.0,0.0,78.0,14.0,230.0,-1.0
