,USSR,South Africa,Panama,Madagascar,United Republic of Tanzania,Burundi,Thailand,Japan,Ethiopia,Kenya,Bangladesh,Lao People's Democratic Republic,Zambia,Mauritius,Uganda,Papua New Guinea,Brazil,Mozambique,El Salvador,Argentina,Colombia,Zimbabwe,Malawi,India,"China, Taiwan Province of",Ecuador,Réunion,Indonesia,Seychelles,Turkey,Ethiopia PDR,Melanesia,Malaysia,Georgia,Azerbaijan,Viet Nam,Republic of Korea,Democratic Republic of the Congo,Mali,Montenegro,Russian Federation,Cameroon,Bolivia (Plurinational State of),Iran (Islamic Republic of),Peru,Guatemala,"China, mainland",Nepal,Sri Lanka,Rwanda,Portugal,Myanmar,China
1961,6284.0,18182.0,,,8107.0,,,16672.0,,7119.0,8294.0,,,12064.0,9273.0,5000.0,12098.0,6231.0,,4951.0,,9002.0,12989.0,10699.0,4016.0,2353.0,12500.0,7206.0,3333.0,3639.0,,5000.0,7484.0,,,3927.0,9091.0,8090.0,,,,1116.0,16667.0,5467.0,6103.0,,2548.0,,8686.0,5000.0,6400.0,1083.0,2734.0
1962,6641.0,18182.0,,,6631.0,,,15774.0,,8258.0,7087.0,,,10418.0,11086.0,5000.0,12010.0,6231.0,,4483.0,,9673.0,10663.0,10427.0,5480.0,2353.0,12500.0,7514.0,3333.0,5178.0,,5000.0,8123.0,,,3571.0,9091.0,7429.0,,,,1833.0,16667.0,5973.0,5771.0,,2349.0,,8856.0,6563.0,5556.0,1079.0,2671.0
1963,7068.0,18182.0,,,7722.0,,,16579.0,,8431.0,6833.0,,,10908.0,9794.0,5000.0,14407.0,6615.0,,6917.0,,6687.0,9317.0,10371.0,5812.0,2353.0,12500.0,7200.0,3714.0,5757.0,,5000.0,7787.0,,,3810.0,9091.0,8277.0,,,,3193.0,15714.0,5899.0,5495.0,,2625.0,,9247.0,6667.0,6000.0,1091.0,2950.0
1964,6799.0,18182.0,,,7403.0,,,17096.0,,8777.0,7631.0,,,6446.0,10650.0,5000.0,14501.0,6927.0,,6879.0,,6465.0,9360.0,10899.0,5195.0,2500.0,12500.0,7294.0,3714.0,5274.0,,5000.0,9011.0,,,4091.0,8750.0,9596.0,,,,4487.0,16429.0,4493.0,5513.0,,2788.0,,9121.0,6400.0,6000.0,2103.0,3020.0
1965,6798.0,18182.0,,,8117.0,,,15961.0,,8007.0,6998.0,,,9181.0,11460.0,7500.0,14490.0,8266.0,,7283.0,,6208.0,9509.0,10612.0,5990.0,2500.0,12222.0,7901.0,3750.0,6635.0,,7500.0,9778.0,,,4030.0,8750.0,10625.0,,,,7131.0,15000.0,5027.0,5526.0,,3003.0,,9490.0,5484.0,6000.0,2258.0,3283.0
1966,8185.0,18182.0,,,9215.0,,,17173.0,,9297.0,7192.0,,,9052.0,14019.0,7500.0,7599.0,9322.0,,7889.0,,11340.0,11828.0,10815.0,6232.0,2500.0,12222.0,7628.0,3750.0,10589.0,,7500.0,8809.0,,,5357.0,8889.0,11905.0,,,,8966.0,16250.0,4706.0,6855.0,,3118.0,,9210.0,5118.0,6604.0,2408.0,3405.0
1967,8016.0,14286.0,,,9249.0,3600.0,,17548.0,,7584.0,7151.0,,,9065.0,14053.0,3900.0,7931.0,9613.0,,8305.0,,11584.0,12465.0,10960.0,7074.0,2500.0,12222.0,8354.0,3778.0,9282.0,,3900.0,9294.0,,,3913.0,8889.0,6601.0,,,,10176.0,16000.0,5882.0,6890.0,,2974.0,,9109.0,5181.0,6667.0,2399.0,3315.0
1968,7771.0,13333.0,,,10365.0,5267.0,,17370.0,,8868.0,6715.0,,,8803.0,15163.0,3700.0,8657.0,9500.0,,6623.0,,13078.0,11307.0,11390.0,7124.0,2500.0,12000.0,8687.0,4222.0,10550.0,,3700.0,11202.0,,,5400.0,9091.0,9792.0,,,,13540.0,16000.0,7299.0,6919.0,,2878.0,,9297.0,6484.0,6667.0,2280.0,3206.0
1969,8266.0,10526.0,,,9778.0,4600.0,,18033.0,,9873.0,7002.0,,,10863.0,17627.0,3995.0,10301.0,9444.0,,7641.0,,12100.0,11279.0,11114.0,7788.0,2857.0,12500.0,8322.0,4200.0,12587.0,,3995.0,10211.0,,,5185.0,9375.0,8965.0,,,,12395.0,15000.0,7037.0,7827.0,,2773.0,,9099.0,6608.0,6667.0,2280.0,3130.0
1970,8980.0,3333.0,,,8492.0,4900.0,,17679.0,,10198.0,6862.0,,,9485.0,17670.0,5581.0,13136.0,9429.0,,8217.0,,13150.0,13100.0,11739.0,8260.0,3750.0,13000.0,7210.0,4600.0,12869.0,,5581.0,10507.0,,,5034.0,9356.0,6953.0,,,,14082.0,20000.0,7222.0,6375.0,,2798.0,,8776.0,7915.0,6667.0,2280.0,3148.0
1971,9093.0,6250.0,,,8745.0,4322.0,,17243.0,,8362.0,2633.0,,,11237.0,12000.0,5767.0,14686.0,9449.0,,9271.0,,13341.0,12826.0,12141.0,8188.0,4444.0,13000.0,7712.0,4545.0,11846.0,,5767.0,9961.0,,,4952.0,9310.0,7212.0,,,,15061.0,22000.0,7917.0,7441.0,,2782.0,,9011.0,8484.0,6667.0,2282.0,3087.0
1972,9548.0,8333.0,,,10753.0,5369.0,1000.0,17099.0,,10715.0,5278.0,,,12933.0,16027.0,10111.0,14726.0,9831.0,,10339.0,,14863.0,13976.0,12663.0,8063.0,5455.0,13000.0,7885.0,4909.0,16156.0,,10111.0,11269.0,,,4545.0,9423.0,7170.0,,,,17349.0,20000.0,8943.0,8142.0,,2833.0,,8636.0,9470.0,6667.0,2329.0,3102.0
1973,10125.0,8333.0,,,11867.0,6165.0,1111.0,17658.0,,10321.0,5968.0,,,11181.0,13415.0,10189.0,14460.0,9892.0,,10275.0,,13043.0,15526.0,13049.0,8931.0,6557.0,13333.0,8448.0,4833.0,10671.0,,10189.0,11629.0,,,4286.0,9333.0,6762.0,,,,19692.0,19000.0,8519.0,7761.0,,2600.0,,8720.0,10256.0,6667.0,2809.0,2877.0
1974,10705.0,10000.0,,17647.0,10477.0,7092.0,1154.0,16308.0,,9148.0,7453.0,,12000.0,9935.0,13497.0,13326.0,14434.0,9799.0,,9183.0,,15508.0,14185.0,13473.0,7596.0,10000.0,12500.0,7740.0,4500.0,10546.0,,13326.0,11279.0,,,4722.0,9280.0,6442.0,5000.0,,,12517.0,19000.0,8889.0,8172.0,,2475.0,15875.0,8425.0,10698.0,6667.0,2767.0,2671.0
1975,11357.0,8103.0,,20000.0,11188.0,4279.0,1154.0,17812.0,,9218.0,6809.0,,11333.0,6486.0,10514.0,13469.0,14452.0,9388.0,,10186.0,,18116.0,16399.0,13373.0,8297.0,7127.0,13125.0,8344.0,4500.0,11051.0,,13469.0,10892.0,,,4639.0,9091.0,6442.0,5000.0,,,20876.0,20968.0,9000.0,8184.0,,2344.0,15913.0,8844.0,11550.0,6667.0,2767.0,2545.0
1976,11973.0,9883.0,,17778.0,8642.0,6115.0,1176.0,16795.0,,9398.0,7911.0,9839.0,10000.0,10319.0,8556.0,13305.0,14468.0,9875.0,,8583.0,,14958.0,16458.0,13974.0,8280.0,9524.0,13125.0,8996.0,4500.0,11450.0,3571.0,13305.0,11608.0,,,6661.0,9091.0,6602.0,5000.0,,,10659.0,19483.0,7333.0,8028.0,,2425.0,15800.0,8172.0,12730.0,6722.0,2767.0,2601.0
1977,13848.0,8648.0,,16667.0,10789.0,5268.0,1250.0,17136.0,,12617.0,8610.0,9286.0,10933.0,8107.0,9048.0,17105.0,14483.0,9444.0,,9527.0,,15051.0,18282.0,15067.0,9485.0,10046.0,13750.0,10487.0,4526.0,14821.0,3553.0,17105.0,12955.0,,,5773.0,9091.0,6505.0,5294.0,,,18542.0,18966.0,10038.0,8198.0,,2486.0,15885.0,8618.0,10535.0,6675.0,2902.0,2672.0
1978,14371.0,10136.0,,17143.0,9719.0,4615.0,1304.0,17456.0,,12960.0,8870.0,8630.0,11077.0,8874.0,5956.0,16629.0,20022.0,9510.0,,5569.0,,20548.0,17904.0,15086.0,9325.0,12859.0,13750.0,11325.0,4526.0,16310.0,3800.0,16629.0,12427.0,,,5929.0,9091.0,6505.0,5556.0,,,18967.0,25526.0,10000.0,7475.0,,2558.0,16300.0,8184.0,9002.0,6625.0,2782.0,2732.0
1979,14943.0,10050.0,,16667.0,9615.0,5038.0,1346.0,16145.0,,13361.0,8478.0,8718.0,10826.0,12263.0,4500.0,21142.0,20111.0,9927.0,,7158.0,,24478.0,18634.0,14369.0,9925.0,10866.0,12500.0,11519.0,4600.0,19021.0,2770.0,21142.0,12387.0,,,5904.0,9091.0,6000.0,5789.0,,,23078.0,25505.0,11769.0,7897.0,,2638.0,16125.0,8538.0,8613.0,6646.0,2431.0,2822.0
