,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Burkina Faso,China,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Uganda,Bangladesh,Malawi,South Africa,Yemen,Rwanda,Nicaragua,Australia & New Zealand,Yugoslav SFR,Mozambique,Guatemala,Mauritius,Senegal,Madagascar,Tajikistan,Ukraine,Algeria,Bhutan,Guinea,Botswana,Saudi Arabia,Belgium,Chad,Equatorial Guinea,Sri Lanka,Grenada,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,Germany,Uzbekistan,Colombia,Latvia,Portugal,Kyrgyzstan,Chile,Guinea-Bissau,Kazakhstan,Estonia,"Saint Helena, Ascension and Tristan da Cunha",Saint Vincent and the Grenadines,Hungary,France,Namibia,Kenya,Poland,"China, mainland",Russian Federation,Mali,Haiti,Thailand,Paraguay,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,United Kingdom,Malaysia,Comoros,Armenia,Dominican Republic,South Sudan,El Salvador,Benin,Denmark,Canada,Japan,Afghanistan,Iraq,Togo,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Philippines,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Zambia,Democratic Republic of the Congo,Sudan,Turkmenistan,Somalia,Pakistan,Morocco,Cuba,Turkey,Czechia,Argentina,Cambodia,Ghana,Costa Rica,Georgia,India,Guadeloupe,Austria,Niger,Czechoslovakia,Ethiopia PDR,Sweden,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Israel,Viet Nam,Tunisia,Côte d'Ivoire,Angola,Albania,Slovakia,Jamaica,Spain,Italy,Montserrat,Australia,Egypt,Lithuania,Netherlands,Sudan (former),Gambia,Nigeria,Swaziland,Belgium-Luxembourg
1961,12182.0,24642.0,-1.0,-1.0,139645.0,22925.0,4109642.0,249603.0,2279428.0,5300.0,450000.0,30000.0,-1.0,138465.0,-1.0,217462.0,2730.0,841100.0,883083.0,34066.0,21000.0,19176.0,300.0,55915.0,16595.0,62100.0,367000.0,45900.0,3000.0,500.0,33500.0,-1.0,-1.0,5510.0,-1.0,1000.0,1000.0,-1,-1.0,298100.0,1000.0,3034.0,567.0,658.0,-1.0,133900.0,-1,30.0,29277.0,-1.0,163500.0,-1.0,393.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,240.0,27400.0,53995.0,0.0,113850.0,128260.0,4085000.0,-1.0,42565.0,61000.0,290217.0,35000.0,320.0,2000.0,244601.0,22000.0,-1.0,63412.0,0.0,1836.0,1000.0,-1,13400.0,-1,63965.0,20608.0,876.0,0.0,15240.0,76892.0,34000.0,51000.0,55881.0,1204.0,500.0,190500.0,213.0,79866.0,6327000.0,349036.0,-1.0,110600.0,-1.0,-1.0,15000.0,1403900.0,7000.0,29100.0,656100.0,-1.0,505105.0,19302.0,-1.0,2600.0,-1,9265515.0,250.0,98.0,5770.0,50987.0,180000.0,2700.0,56900.0,968307.0,4185000.0,58900.0,20400.0,1743.0,16720.0,31100.0,650.0,12000.0,90154.0,22916.0,-1.0,1214.0,332687.0,41817.0,130.0,16382.0,848444.0,-1.0,21663.0,380525.0,-1.0,300000.0,6515.0,26645.0
1962,7296.0,22350.0,-1.0,-1.0,177982.0,36600.0,3748350.0,302835.0,2500988.0,4300.0,500000.0,30000.0,-1.0,140200.0,-1.0,278740.0,2100.0,732400.0,746388.0,37612.0,26000.0,19773.0,300.0,73475.0,28699.0,64030.0,356000.0,72900.0,4000.0,804.0,35670.0,-1.0,-1.0,5000.0,-1.0,1000.0,1000.0,-1,-1.0,338800.0,1000.0,236.0,567.0,1088.0,-1.0,136930.0,-1,30.0,31543.0,-1.0,183000.0,-1.0,425.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,450.0,30418.0,62175.0,0.0,121395.0,151000.0,3726000.0,-1.0,50440.0,60000.0,204729.0,50000.0,260.0,2000.0,254547.0,22000.0,-1.0,67686.0,0.0,1821.0,1700.0,-1,11400.0,-1,82993.0,24925.0,1046.0,0.0,14450.0,91056.0,34000.0,43325.0,57385.0,1271.0,375.0,190930.0,15263.0,74032.0,6300462.0,366897.0,-1.0,128600.0,-1.0,-1.0,16500.0,1383800.0,9900.0,30600.0,666000.0,-1.0,544665.0,6300.0,-1.0,3250.0,-1,9304000.0,350.0,78.0,8195.0,51864.0,182500.0,2733.0,61486.0,964177.0,4309000.0,53637.0,24097.0,4532.0,16540.0,33300.0,570.0,17000.0,87865.0,21913.0,-1.0,1295.0,363325.0,43370.0,110.0,13436.0,709280.0,-1.0,23956.0,475791.0,-1.0,300000.0,6809.0,32696.0
1963,9398.0,23129.0,-1.0,-1.0,219257.0,45800.0,4695129.0,292201.0,2527794.0,4300.0,529000.0,32000.0,-1.0,118800.0,-1.0,233550.0,4470.0,815900.0,737088.0,37518.0,38300.0,27857.0,300.0,91750.0,32786.0,60780.0,313000.0,91600.0,1000.0,2023.0,39140.0,-1.0,-1.0,4600.0,-1.0,1000.0,1000.0,-1,-1.0,282200.0,1000.0,1631.0,603.0,1817.0,-1.0,130400.0,-1,30.0,22124.0,-1.0,155600.0,-1.0,383.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,120.0,31125.0,75106.0,0.0,127267.0,132000.0,4672000.0,-1.0,57049.0,58000.0,270904.0,63000.0,180.0,2000.0,260420.0,22000.0,-1.0,72227.0,0.0,2023.0,1600.0,-1,11000.0,-1,94881.0,21099.0,1425.0,0.0,10850.0,121408.0,24600.0,55590.0,52006.0,1338.0,445.0,219820.0,16203.0,70744.0,5751000.0,374821.0,546.0,128600.0,-1.0,-1.0,10000.0,1480700.0,13852.0,30300.0,634785.0,-1.0,524770.0,6325.0,-1.0,3850.0,-1,9714000.0,200.0,-1.0,11800.0,56310.0,182100.0,2604.0,33931.0,1030384.0,4170000.0,53800.0,21105.0,6693.0,12340.0,36000.0,490.0,24000.0,88191.0,22956.0,-1.0,1295.0,276007.0,34470.0,120.0,16583.0,696527.0,-1.0,26608.0,447777.0,-1.0,300000.0,10364.0,33917.0
1964,8270.0,24689.0,-1.0,-1.0,260667.0,52500.0,5247689.0,286915.0,2685495.0,5850.0,574620.0,32000.0,-1.0,118100.0,-1.0,141480.0,7000.0,865800.0,724964.0,39060.0,57500.0,23303.0,600.0,112660.0,32912.0,60550.0,337000.0,98500.0,1000.0,100.0,40025.0,-1.0,-1.0,3950.0,-1.0,1000.0,1287.0,-1,-1.0,289300.0,1000.0,573.0,283.0,2798.0,-1.0,121100.0,-1,30.0,16637.0,-1.0,165000.0,-1.0,437.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,185.0,32278.0,80916.0,0.0,135830.0,143000.0,5223000.0,-1.0,67589.0,57500.0,334628.0,48600.0,195.0,4000.0,249610.0,22000.0,-1.0,78922.0,0.0,2064.0,1400.0,-1,6900.0,-1,119936.0,25150.0,1445.0,650.0,10180.0,121408.0,36000.0,61000.0,59200.0,321.0,250.0,207820.0,16208.0,64542.0,5688000.0,374000.0,1295.0,86600.0,-1.0,-1.0,10000.0,1477300.0,14700.0,15300.0,686000.0,-1.0,523946.0,7900.0,-1.0,6650.0,-1,9677100.0,200.0,-1.0,14900.0,56566.0,185500.0,2710.0,31124.0,1020360.0,4305000.0,51100.0,22810.0,8576.0,12825.0,36800.0,254.0,18000.0,90453.0,23073.0,-1.0,1214.0,203439.0,29228.0,100.0,16704.0,692607.0,-1.0,30651.0,440849.0,-1.0,300000.0,11149.0,39187.0
1965,9932.0,25383.0,-1.0,-1.0,253548.0,49720.0,5339383.0,288154.0,2728969.0,5850.0,655956.0,32000.0,-1.0,120700.0,-1.0,135940.0,15761.0,908333.0,952774.0,41974.0,47500.0,38706.0,719.0,130690.0,32224.0,60530.0,417000.0,100500.0,1271.0,400.0,39920.0,-1.0,-1.0,3830.0,-1.0,1000.0,1100.0,-1,-1.0,296300.0,1000.0,1133.0,283.0,2055.0,-1.0,115500.0,-1,30.0,17348.0,-1.0,163500.0,-1.0,402.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,240.0,34176.0,62131.0,0.0,134466.0,136100.0,5314000.0,-1.0,56228.0,52000.0,502234.0,56700.0,185.0,4000.0,241535.0,22000.0,-1.0,91755.0,0.0,2289.0,1200.0,-1,6550.0,-1,117550.0,27218.0,1178.0,0.0,6918.0,80939.0,32000.0,57305.0,65949.0,726.0,400.0,206990.0,16115.0,66253.0,5508787.0,376000.0,2469.0,67700.0,-1.0,-1.0,10000.0,1571100.0,18500.0,18200.0,691700.0,-1.0,538120.0,7700.0,-1.0,9080.0,-1,9227400.0,150.0,-1.0,16580.0,44940.0,190000.0,1791.0,28723.0,1015710.0,4212000.0,43985.0,27410.0,13945.0,17450.0,38600.0,200.0,20000.0,92720.0,22765.0,-1.0,647.0,200310.0,27749.0,90.0,16109.0,811057.0,-1.0,21623.0,448466.0,-1.0,300000.0,12950.0,27012.0
1966,9364.0,22866.0,-1.0,-1.0,232472.0,52355.0,5343866.0,255597.0,2611192.0,6350.0,684534.0,32000.0,-1.0,120600.0,-1.0,133270.0,19638.0,880909.0,915200.0,53618.0,76000.0,17687.0,365.0,143256.0,39189.0,57790.0,423428.0,85050.0,1081.0,1000.0,40060.0,-1.0,-1.0,4640.0,-1.0,1000.0,798.0,-1,-1.0,299487.0,1000.0,952.0,283.0,920.0,-1.0,128700.0,-1,30.0,18696.0,-1.0,179800.0,-1.0,413.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,240.0,33786.0,62954.0,0.0,130266.0,126800.0,5321000.0,-1.0,48080.0,51500.0,634448.0,62800.0,230.0,5061.0,206510.0,22000.0,-1.0,97820.0,0.0,2198.0,1000.0,-1,3900.0,-1,89961.0,29093.0,783.0,2650.0,4000.0,48000.0,32000.0,57305.0,54889.0,602.0,790.0,206980.0,16180.0,73594.0,3865503.0,350000.0,2711.0,66800.0,-1.0,-1.0,10000.0,1618700.0,22000.0,19400.0,718700.0,-1.0,445470.0,5700.0,-1.0,7750.0,-1,9132500.0,450.0,-1.0,16327.0,41624.0,199000.0,-1.0,28855.0,900785.0,4134000.0,52800.0,25100.0,14294.0,21930.0,35200.0,150.0,20000.0,89434.0,22728.0,-1.0,650.0,236554.0,24020.0,40.0,23009.0,793082.0,-1.0,18317.0,440997.0,-1.0,300000.0,16187.0,23554.0
1967,9692.0,21557.0,-1.0,-1.0,197902.0,65408.0,5519557.0,239700.0,4105978.0,6380.0,644416.0,32000.0,-1.0,125800.0,-1.0,136711.0,25113.0,871219.0,1037050.0,57434.0,78300.0,14400.0,416.0,152074.0,38479.0,53050.0,463700.0,90900.0,1384.0,3000.0,40940.0,-1.0,-1.0,4310.0,9.0,1000.0,742.0,-1,-1.0,298388.0,1000.0,2017.0,283.0,1122.0,-1.0,128800.0,-1,30.0,17111.0,-1.0,191400.0,-1.0,373.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,185.0,30281.0,56174.0,0.0,124430.0,142500.0,5498000.0,-1.0,58839.0,45500.0,493567.0,38200.0,95.0,4888.0,183755.0,22000.0,-1.0,98081.0,0.0,2023.0,1000.0,-1,2050.0,-1,56691.0,29713.0,617.0,0.0,1990.0,52800.0,37000.0,61574.0,60664.0,696.0,781.0,194740.0,16170.0,75659.0,3236226.0,304000.0,2388.0,73900.0,-1.0,-1.0,10000.0,1743000.0,17800.0,20693.0,722300.0,-1.0,334710.0,7200.0,-1.0,8750.0,-1,9589700.0,850.0,-1.0,17225.0,41053.0,206000.0,-1.0,27678.0,870804.0,4069000.0,60500.0,25006.0,13945.0,29410.0,32600.0,50.0,31000.0,93416.0,22662.0,-1.0,650.0,145101.0,18750.0,80.0,22309.0,695245.0,-1.0,9529.0,486604.0,-1.0,300000.0,17401.0,14012.0
1968,9376.0,22981.0,-1.0,-1.0,202614.0,71648.0,5388981.0,279813.0,4294662.0,6480.0,612999.0,47000.0,-1.0,122300.0,-1.0,141210.0,51421.0,828300.0,936302.0,46299.0,81200.0,10289.0,298.0,147680.0,48464.0,32480.0,432347.0,97600.0,839.0,6400.0,42675.0,-1.0,-1.0,4290.0,10.0,1000.0,890.0,-1,-1.0,295435.0,1000.0,1138.0,283.0,1173.0,-1.0,132800.0,-1,30.0,12637.0,-1.0,216700.0,-1.0,386.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,120.0,21736.0,31470.0,0.0,120900.0,132000.0,5366000.0,-1.0,71053.0,36000.0,403295.0,37200.0,55.0,5960.0,168870.0,22000.0,-1.0,101314.0,0.0,1214.0,900.0,-1,1950.0,-1,48250.0,40049.0,337.0,1800.0,1355.0,54600.0,36000.0,54000.0,56898.0,468.0,405.0,177470.0,16150.0,66620.0,4111549.0,344000.0,5746.0,127800.0,-1.0,-1.0,12000.0,1768100.0,15800.0,16537.0,719135.0,-1.0,287500.0,12700.0,170.0,6750.0,-1,8621500.0,800.0,-1.0,17963.0,43102.0,211800.0,-1.0,24398.0,890900.0,4025000.0,63110.0,22536.0,11156.0,30165.0,31000.0,100.0,41000.0,98384.0,22115.0,-1.0,650.0,137007.0,12523.0,80.0,32314.0,632223.0,-1.0,10370.0,482662.0,-1.0,300000.0,16187.0,14621.0
1969,9154.0,22823.0,-1.0,-1.0,154510.0,84976.0,5221323.0,299456.0,4586628.0,6400.0,693047.0,46000.0,-1.0,173497.0,-1.0,158040.0,89833.0,844300.0,1028790.0,38212.0,91500.0,23234.0,337.0,132663.0,49509.0,30577.0,434198.0,85704.0,748.0,9808.0,49030.0,-1.0,-1.0,4170.0,10.0,1000.0,931.0,-1,-1.0,291162.0,1000.0,1206.0,260.0,615.0,-1.0,136506.0,-1,30.0,11908.0,-1.0,253860.0,-1.0,372.0,-1.0,5600.0,-1.0,-1.0,-1.0,-1,120.0,22345.0,42356.0,0.0,116749.0,115100.0,5198500.0,-1.0,51940.0,34000.0,488944.0,60000.0,50.0,7200.0,171620.0,22000.0,-1.0,108193.0,0.0,1820.0,800.0,-1,3700.0,-1,58140.0,31884.0,267.0,0.0,1350.0,55000.0,33000.0,49000.0,59071.0,602.0,350.0,180030.0,16200.0,65187.0,4472159.0,386000.0,8500.0,149800.0,-1.0,-1.0,12000.0,1753100.0,18300.0,12018.0,644020.0,-1.0,413560.0,24570.0,705.0,3400.0,-1,8966000.0,800.0,-1.0,22031.0,38582.0,220200.0,-1.0,25191.0,702069.0,4088000.0,63690.0,23530.0,10110.0,32745.0,30000.0,350.0,50000.0,123562.0,21886.0,-1.0,650.0,150461.0,9865.0,30.0,33309.0,700653.0,-1.0,8940.0,469646.0,-1.0,364000.0,12997.0,15576.0
1970,9275.0,18101.0,-1.0,-1.0,151787.0,80557.0,5386101.0,250090.0,4678877.0,6600.0,690369.0,51700.0,-1.0,176836.0,-1.0,143100.0,80541.0,881600.0,952868.0,49216.0,91500.0,16574.0,280.0,109663.0,48700.0,33713.0,417936.0,75599.0,706.0,13600.0,47843.0,-1.0,-1.0,1960.0,15.0,1000.0,800.0,-1,-1.0,301575.0,1000.0,1400.0,180.0,983.0,-1.0,130028.0,-1,30.0,12347.0,-1.0,285800.0,-1.0,224.0,-1.0,5400.0,-1.0,-1.0,-1.0,-1,120.0,23374.0,39833.0,0.0,132936.0,112300.0,5368000.0,-1.0,66131.0,34500.0,466345.0,46250.0,30.0,8280.0,147925.0,22000.0,-1.0,102055.0,0.0,182.0,700.0,-1,4150.0,-1,62096.0,38507.0,132.0,3900.0,1250.0,54300.0,33000.0,29000.0,53403.0,268.0,400.0,180860.0,16200.0,60953.0,4514205.0,324000.0,7000.0,186100.0,-1.0,-1.0,12000.0,1755989.0,18300.0,17500.0,533235.0,-1.0,459320.0,11300.0,894.0,1430.0,-1,8849700.0,800.0,-1.0,19995.0,31773.0,223000.0,-1.0,23020.0,589942.0,4257000.0,58862.0,10570.0,4114.0,34930.0,29900.0,100.0,35000.0,131300.0,21994.0,-1.0,650.0,91150.0,6552.0,35.0,32500.0,696887.0,-1.0,5188.0,527729.0,11.0,445000.0,14108.0,8203.0
