,USSR,Bulgaria,Poland,Chile,Belarus,United States of America,Estonia,The former Yugoslav Republic of Macedonia,Latvia,Azerbaijan,France,Spain,Tunisia,Romania,Canada,Ukraine,Germany
1961,-1.0,-1.0,,,,8680.0,,,,,,,-1.0,-1.0,50.0,,-1.0
1962,-1.0,-1.0,,,,8320.0,,,,,,,-1.0,-1.0,45.0,,-1.0
1963,-1.0,-1.0,,,,8140.0,,,,,,,-1.0,-1.0,80.0,,-1.0
1964,-1.0,-1.0,,,,8340.0,,,,,,,-1.0,-1.0,80.0,,-1.0
1965,-1.0,-1.0,,,,8350.0,,,,,,,-1.0,-1.0,100.0,,-1.0
1966,-1.0,-1.0,,,,8400.0,,,,,,,-1.0,-1.0,100.0,,-1.0
1967,-1.0,-1.0,,,,8580.0,,,,,,,-1.0,-1.0,100.0,,-1.0
1968,-1.0,-1.0,,,,8590.0,,,,,,,-1.0,-1.0,105.0,,-1.0
1969,-1.0,-1.0,,,,8610.0,,,,,,,-1.0,-1.0,105.0,,-1.0
1970,-1.0,-1.0,,,,8780.0,,,,,,,-1.0,-1.0,240.0,,-1.0
1971,-1.0,-1.0,,,,9060.0,,,,,,,-1.0,-1.0,500.0,,-1.0
1972,-1.0,-1.0,,,,9150.0,,,,,,,-1.0,-1.0,310.0,,-1.0
1973,-1.0,-1.0,,,,9350.0,,,,,,,-1.0,-1.0,400.0,,-1.0
1974,-1.0,-1.0,,,,9470.0,,,,,,,-1.0,-1.0,380.0,,-1.0
1975,-1.0,-1.0,,,,9430.0,,,,,,,-1.0,-1.0,400.0,,-1.0
1976,-1.0,-1.0,,,,9350.0,,,,,,,-1.0,-1.0,520.0,,-1.0
1977,-1.0,-1.0,,,,9110.0,,,,,,,-1.0,-1.0,550.0,,-1.0
1978,-1.0,-1.0,,,,9350.0,,,,,,,-1.0,-1.0,640.0,,-1.0
1979,-1.0,-1.0,,,,9390.0,,,,,,,-1.0,-1.0,650.0,,-1.0
1980,-1.0,-1.0,,,,9390.0,,,,,,,-1.0,-1.0,490.0,,-1.0
1981,-1.0,-1.0,,,,9390.0,,,,,,,-1.0,-1.0,690.0,,-1.0
1982,-1.0,-1.0,,,,9470.0,,,,,,,-1.0,-1.0,540.0,,-1.0
1983,-1.0,-1.0,,,,9750.0,,,,,,,-1.0,-1.0,760.0,,-1.0
1984,-1.0,-1.0,,,,9960.0,,,,,,,-1.0,-1.0,540.0,,-1.0
1985,-1.0,-1.0,,,,10400.0,,,,,,,-1.0,-1.0,680.0,,-1.0
1986,-1.0,-1.0,,,,10640.0,,,,,,,-1.0,-1.0,700.0,,-1.0
1987,-1.0,-1.0,,,,10800.0,,,,,,,-1.0,-1.0,960.0,,-1.0
1988,-1.0,-1.0,,,,11050.0,,,,,,,-1.0,-1.0,886.0,,-1.0
1989,715.0,-1.0,,,,11129.0,,,,,,,8.0,-1.0,983.0,,-1.0
