,Bolivia (Plurinational State of),Côte d'Ivoire,Peru,Brazil,Ghana,Gambia,Morocco
1961,2834.0,3000.0,1800.0,51713.0,,-1.0,30.0
1962,3117.0,3000.0,1800.0,45442.0,,-1.0,30.0
1963,4306.0,3000.0,1200.0,40431.0,,-1.0,50.0
1964,5000.0,3000.0,1800.0,44223.0,,-1.0,30.0
1965,6000.0,3000.0,1700.0,40798.0,,-1.0,30.0
1966,6000.0,3000.0,1588.0,55470.0,,-1.0,50.0
1967,7000.0,3000.0,1443.0,34164.0,,-1.0,50.0
1968,7000.0,3000.0,1317.0,50977.0,,-1.0,30.0
1969,6200.0,3000.0,1387.0,40004.0,,-1.0,30.0
1970,8500.0,3000.0,1680.0,104487.0,,-1.0,
1971,10500.0,3000.0,1635.0,67005.0,,-1.0,
1972,11400.0,3000.0,1247.0,70000.0,,-1.0,
1973,7500.0,3000.0,1349.0,52095.0,,-1.0,
1974,10700.0,3000.0,1367.0,35776.0,,-1.0,
1975,11800.0,3000.0,1384.0,51719.0,,-1.0,
1976,14750.0,3000.0,1283.0,61043.0,,-1.0,
1977,11900.0,3000.0,1315.0,53958.0,,-1.0,
1978,11350.0,3000.0,1240.0,40449.0,,-1.0,
1979,8700.0,3000.0,1177.0,43242.0,,-1.0,
1980,9380.0,3000.0,1107.0,40456.0,,-1.0,
1981,10412.0,3000.0,1302.0,36702.0,,-1.0,
1982,11000.0,3000.0,1476.0,36849.0,,-1.0,
1983,13000.0,3000.0,1521.0,50860.0,,-1.0,
1984,11500.0,3000.0,1656.0,40710.0,,-1.0,
1985,12000.0,5000.0,1430.0,45020.0,,-1.0,
1986,21366.0,5000.0,1396.0,36136.0,,-1.0,
1987,17777.0,5000.0,1506.0,36241.0,,-1.0,
1988,16080.0,5000.0,1607.0,29391.0,,-1.0,
1989,17496.0,5000.0,1572.0,25672.0,,-1.0,
1990,17000.0,5934.0,1639.0,51195.0,,-1.0,0.0
1991,18000.0,3827.0,1634.0,35838.0,,-1.0,0.0
1992,18500.0,4259.0,1564.0,25303.0,,-1.0,0.0
1993,17500.0,5200.0,1582.0,26505.0,,-1.0,-1.0
1994,16500.0,5130.0,1525.0,38882.0,,-1.0,-1.0
1995,15400.0,5356.0,1662.0,40216.0,,-1.0,-1.0
1996,18000.0,5593.0,1336.0,21469.0,-1.0,-1.0,-1.0
1997,23000.0,5200.0,1500.0,22786.0,-1.0,-1.0,-1.0
1998,15400.0,6473.0,2200.0,23111.0,-1.0,-1.0,-1.0
1999,30000.0,7118.0,4900.0,26856.0,-1.0,-1.0,-1.0
2000,36000.0,7774.0,4000.0,33431.0,-1.0,-1.0,-1.0
2001,38000.0,8441.0,4000.0,28467.0,,-1.0,-1.0
2002,37523.0,9118.0,4000.0,27389.0,,-1.0,-1.0
2003,38500.0,9806.0,4800.0,28000.0,,-1.0,-1.0
2004,40000.0,10505.0,4500.0,28500.0,,-1.0,-1.0
2005,40415.0,11214.0,6800.0,30000.0,,-1.0,-1.0
2006,41000.0,11933.0,6000.0,28806.0,,-1.0,-1.0
2007,42000.0,12664.0,6000.0,30406.0,,-1.0,-1.0
2008,43232.0,13406.0,6100.0,30815.0,,-1.0,-1.0
2009,45000.0,14159.0,6000.0,37467.0,,-1.0,-1.0
2010,45000.0,14925.0,5800.0,40357.0,,-1.0,-1.0
2011,45000.0,15704.0,5800.0,42152.0,,820.0,-1.0
2012,47000.0,17000.0,5600.0,38805.0,,,-1.0
2013,47500.0,17200.0,5600.0,39000.0,,,-1.0
2014,47500.0,17200.0,5600.0,39000.0,,,-1.0
