,Ukraine,Germany,Austria,Belarus,Morocco,Switzerland,USSR,Slovakia,Ecuador,Syrian Arab Republic,Egypt,Greece,Latvia,Lebanon,Peru,Occupied Palestinian Territory,Chile,Hungary,Spain,South Africa,France,Australia & New Zealand,Australia,Portugal,Lithuania,Poland,Russian Federation,Argentina,Italy
1961,-1.0,7207.0,-1.0,-1.0,5000.0,-1.0,4803.0,-1.0,8333.0,-1.0,15265.0,5419.0,-1.0,-1.0,13600.0,-1.0,-1.0,2585.0,5675.0,2315.0,-1.0,3881.0,3881.0,7925.0,-1.0,11280.0,-1.0,7500.0,8661.0
1962,-1.0,8198.0,-1.0,-1.0,5000.0,-1.0,3631.0,-1.0,8234.0,-1.0,15863.0,5515.0,-1.0,-1.0,13535.0,-1.0,-1.0,6278.0,5871.0,2318.0,-1.0,3336.0,3336.0,8070.0,-1.0,11250.0,-1.0,7500.0,8888.0
1963,-1.0,6168.0,-1.0,-1.0,5000.0,-1.0,2469.0,-1.0,8336.0,-1.0,16531.0,6170.0,-1.0,-1.0,13750.0,-1.0,-1.0,5326.0,5996.0,2323.0,-1.0,2823.0,2823.0,8017.0,-1.0,10127.0,-1.0,7556.0,9730.0
1964,-1.0,6848.0,-1.0,-1.0,5000.0,-1.0,4429.0,-1.0,8101.0,-1.0,17067.0,6688.0,-1.0,-1.0,13541.0,-1.0,-1.0,3900.0,5901.0,2276.0,-1.0,3536.0,3536.0,8000.0,-1.0,10315.0,-1.0,9333.0,10162.0
1965,-1.0,10189.0,-1.0,-1.0,5000.0,-1.0,9061.0,-1.0,10832.0,-1.0,17248.0,7069.0,-1.0,-1.0,10018.0,-1.0,-1.0,6790.0,4902.0,2309.0,-1.0,4033.0,4033.0,7000.0,-1.0,12600.0,-1.0,11500.0,9850.0
1966,-1.0,8442.0,-1.0,-1.0,10000.0,-1.0,8275.0,-1.0,10123.0,10000.0,15793.0,7096.0,-1.0,-1.0,11623.0,-1.0,-1.0,5069.0,5366.0,2212.0,-1.0,3708.0,3708.0,7019.0,-1.0,12333.0,-1.0,8889.0,10804.0
1967,-1.0,9569.0,-1.0,-1.0,10000.0,-1.0,7941.0,-1.0,8370.0,10000.0,15213.0,6964.0,-1.0,-1.0,12071.0,-1.0,-1.0,5267.0,5497.0,2491.0,-1.0,3501.0,3501.0,5044.0,-1.0,12074.0,-1.0,6700.0,11211.0
1968,-1.0,8987.0,-1.0,-1.0,10000.0,-1.0,8395.0,-1.0,9870.0,10000.0,15148.0,6027.0,-1.0,-1.0,10850.0,-1.0,-1.0,2488.0,5769.0,2427.0,-1.0,4541.0,4541.0,4684.0,-1.0,11786.0,-1.0,6250.0,11046.0
1969,-1.0,7420.0,-1.0,-1.0,10000.0,-1.0,8490.0,-1.0,4986.0,11429.0,13886.0,7275.0,-1.0,-1.0,12545.0,-1.0,-1.0,5173.0,5712.0,1218.0,-1.0,3029.0,3029.0,4186.0,-1.0,10935.0,-1.0,6333.0,11331.0
1970,-1.0,8518.0,-1.0,-1.0,10000.0,-1.0,8468.0,-1.0,8541.0,5810.0,15789.0,8150.0,-1.0,-1.0,9233.0,-1.0,-1.0,5349.0,6596.0,2391.0,-1.0,5963.0,5963.0,3911.0,-1.0,11776.0,-1.0,8833.0,11409.0
1971,-1.0,8862.0,-1.0,-1.0,10000.0,-1.0,9057.0,-1.0,9105.0,15000.0,12984.0,8754.0,-1.0,-1.0,9594.0,-1.0,-1.0,5323.0,6418.0,1222.0,-1.0,7171.0,7171.0,4362.0,-1.0,12474.0,-1.0,12222.0,12287.0
1972,-1.0,7079.0,-1.0,-1.0,9412.0,-1.0,8321.0,-1.0,6437.0,10055.0,12984.0,10608.0,-1.0,-1.0,9766.0,-1.0,-1.0,3889.0,7800.0,1444.0,-1.0,3399.0,3399.0,4463.0,-1.0,11310.0,-1.0,10811.0,12712.0
1973,-1.0,6461.0,-1.0,-1.0,9412.0,-1.0,9656.0,-1.0,3031.0,8600.0,9522.0,9376.0,-1.0,-1.0,8967.0,-1.0,-1.0,6083.0,6667.0,1222.0,-1.0,7688.0,7688.0,4320.0,-1.0,11333.0,-1.0,10000.0,12894.0
1974,-1.0,9623.0,-1.0,-1.0,9444.0,-1.0,9382.0,-1.0,3542.0,7822.0,14877.0,9650.0,-1.0,-1.0,9520.0,-1.0,-1.0,6860.0,5000.0,1143.0,-1.0,6726.0,6726.0,4485.0,-1.0,11279.0,-1.0,11500.0,12766.0
1975,-1.0,8299.0,-1.0,-1.0,9444.0,-1.0,5811.0,-1.0,6017.0,7926.0,15472.0,9857.0,-1.0,-1.0,9200.0,-1.0,25000.0,6765.0,6000.0,1333.0,-1.0,7459.0,7459.0,4510.0,-1.0,8194.0,-1.0,11333.0,13198.0
1976,-1.0,6380.0,-1.0,-1.0,9474.0,-1.0,8139.0,-1.0,5635.0,10778.0,15855.0,10867.0,-1.0,-1.0,9424.0,-1.0,24000.0,5778.0,5600.0,1500.0,-1.0,2902.0,2902.0,4590.0,-1.0,8215.0,-1.0,14167.0,13664.0
1977,-1.0,8868.0,-1.0,-1.0,9474.0,-1.0,9155.0,-1.0,4605.0,8771.0,16775.0,8850.0,-1.0,-1.0,10305.0,-1.0,26000.0,4931.0,5417.0,2000.0,-1.0,4085.0,4085.0,4491.0,-1.0,9349.0,-1.0,15000.0,13514.0
1978,-1.0,9234.0,-1.0,-1.0,10000.0,-1.0,7855.0,-1.0,4587.0,7509.0,15861.0,10620.0,-1.0,-1.0,12068.0,-1.0,25294.0,5539.0,5721.0,500.0,-1.0,8192.0,8192.0,4457.0,-1.0,9346.0,-1.0,16154.0,13472.0
1979,-1.0,10818.0,-1.0,-1.0,10000.0,-1.0,3681.0,-1.0,4701.0,10148.0,16607.0,12964.0,-1.0,-1.0,11658.0,-1.0,25000.0,3084.0,5317.0,2000.0,-1.0,7392.0,7392.0,4431.0,-1.0,8599.0,-1.0,16000.0,13647.0
1980,-1.0,7787.0,-1.0,-1.0,10000.0,-1.0,5000.0,-1.0,4703.0,7333.0,16857.0,11200.0,-1.0,-1.0,9003.0,-1.0,25000.0,6673.0,5909.0,3500.0,-1.0,8140.0,8140.0,4522.0,-1.0,7896.0,-1.0,11667.0,14677.0
1981,-1.0,9040.0,-1.0,-1.0,10000.0,-1.0,3060.0,-1.0,5574.0,9289.0,17116.0,14000.0,-1.0,-1.0,8588.0,-1.0,20996.0,7903.0,3214.0,3500.0,-1.0,8421.0,8421.0,4387.0,-1.0,8163.0,-1.0,15000.0,15115.0
1982,-1.0,9893.0,-1.0,-1.0,9600.0,-1.0,6716.0,-1.0,5551.0,10419.0,17882.0,15350.0,-1.0,-1.0,8134.0,-1.0,24000.0,8548.0,4839.0,4000.0,-1.0,7738.0,7738.0,4500.0,-1.0,8240.0,-1.0,15000.0,14211.0
1983,-1.0,8587.0,-1.0,-1.0,9615.0,-1.0,11148.0,-1.0,5753.0,9863.0,15789.0,10400.0,-1.0,-1.0,8051.0,-1.0,21667.0,8424.0,3720.0,3500.0,-1.0,9990.0,9990.0,4461.0,-1.0,8153.0,-1.0,16000.0,13142.0
1984,-1.0,9586.0,-1.0,-1.0,9615.0,-1.0,12369.0,-1.0,5949.0,8457.0,16667.0,11167.0,-1.0,-1.0,8624.0,-1.0,20000.0,10821.0,7454.0,3500.0,-1.0,9778.0,9778.0,22993.0,-1.0,9765.0,-1.0,16000.0,13741.0
1985,-1.0,10120.0,-1.0,-1.0,10000.0,-1.0,16881.0,-1.0,10540.0,7212.0,17910.0,11567.0,-1.0,-1.0,8706.0,-1.0,20238.0,8618.0,6028.0,3500.0,-1.0,8922.0,8922.0,15184.0,-1.0,10008.0,-1.0,16000.0,12806.0
1986,-1.0,9745.0,-1.0,-1.0,10000.0,-1.0,5269.0,-1.0,9467.0,5167.0,17857.0,15100.0,-1.0,-1.0,8750.0,-1.0,13000.0,4963.0,6969.0,3500.0,-1.0,10762.0,10762.0,13052.0,-1.0,9042.0,-1.0,16000.0,12790.0
1987,-1.0,10423.0,-1.0,-1.0,10000.0,-1.0,7160.0,-1.0,6624.0,5105.0,20833.0,13077.0,-1.0,-1.0,8027.0,-1.0,18588.0,6450.0,6270.0,3500.0,-1.0,8420.0,8420.0,27157.0,-1.0,10975.0,-1.0,16000.0,12783.0
1988,-1.0,9038.0,-1.0,-1.0,9667.0,-1.0,7071.0,-1.0,2375.0,10000.0,17398.0,12047.0,-1.0,-1.0,8431.0,-1.0,18556.0,11736.0,6897.0,3500.0,27500.0,10912.0,10912.0,10752.0,-1.0,10733.0,-1.0,16000.0,12484.0
1989,-1.0,8221.0,-1.0,-1.0,6000.0,-1.0,7867.0,-1.0,2734.0,5455.0,18998.0,15342.0,-1.0,-1.0,8429.0,-1.0,18294.0,9575.0,6996.0,3500.0,26364.0,9529.0,9529.0,7118.0,-1.0,9991.0,-1.0,16000.0,12385.0
1990,-1.0,6579.0,-1.0,-1.0,6078.0,-1.0,19481.0,-1.0,5462.0,5057.0,19148.0,10850.0,-1.0,-1.0,8594.0,-1.0,20426.0,10382.0,7727.0,4399.0,28029.0,9560.0,9560.0,5439.0,-1.0,12136.0,-1.0,16000.0,12716.0
1991,-1.0,12000.0,-1.0,-1.0,6038.0,-1.0,13443.0,-1.0,2959.0,5446.0,19207.0,15337.0,-1.0,21928.0,5553.0,-1.0,17511.0,7801.0,7917.0,4122.0,28703.0,11159.0,11159.0,11000.0,-1.0,12389.0,-1.0,16667.0,14571.0
1992,-1.0,12000.0,-1.0,-1.0,6111.0,-1.0,-1.0,-1.0,2525.0,6622.0,18714.0,9869.0,-1.0,22389.0,5796.0,-1.0,21917.0,6471.0,5500.0,4286.0,31719.0,11574.0,11574.0,19762.0,2091.0,5917.0,4527.0,16667.0,15092.0
1993,-1.0,12000.0,-1.0,-1.0,6038.0,-1.0,-1.0,-1.0,2514.0,6538.0,20000.0,10000.0,-1.0,23600.0,8679.0,-1.0,20658.0,5346.0,3548.0,4667.0,30674.0,12862.0,12862.0,21176.0,5417.0,10405.0,4563.0,16667.0,13429.0
1994,-1.0,7500.0,-1.0,-1.0,6111.0,-1.0,-1.0,-1.0,2522.0,9878.0,17988.0,10000.0,-1.0,24894.0,9331.0,-1.0,21263.0,8000.0,5181.0,4865.0,30000.0,7649.0,7649.0,12174.0,7402.0,6909.0,9091.0,16667.0,16412.0
1995,-1.0,-1.0,-1.0,-1.0,6265.0,-1.0,-1.0,-1.0,2517.0,14444.0,19169.0,10000.0,-1.0,24536.0,10385.0,-1.0,20130.0,6250.0,4560.0,4615.0,29883.0,11784.0,11784.0,6923.0,6667.0,10000.0,6431.0,16667.0,16756.0
1996,-1.0,-1.0,-1.0,-1.0,6364.0,-1.0,-1.0,-1.0,3700.0,12464.0,18380.0,10000.0,-1.0,24211.0,9902.0,-1.0,19612.0,12241.0,6932.0,5000.0,28789.0,12080.0,12080.0,6250.0,7500.0,10889.0,7140.0,16667.0,15667.0
1997,-1.0,-1.0,-1.0,-1.0,6661.0,-1.0,-1.0,-1.0,3118.0,16957.0,16209.0,10648.0,-1.0,24583.0,9413.0,33333.0,16654.0,6696.0,6770.0,5556.0,30546.0,10954.0,10954.0,10000.0,20000.0,9545.0,8333.0,15000.0,14906.0
1998,-1.0,-1.0,-1.0,-1.0,6538.0,-1.0,-1.0,-1.0,3031.0,18571.0,19294.0,10732.0,-1.0,24509.0,10460.0,-1.0,21925.0,7575.0,7518.0,5521.0,31546.0,12063.0,12063.0,10000.0,4500.0,21000.0,9912.0,15000.0,14894.0
1999,-1.0,-1.0,-1.0,-1.0,6667.0,-1.0,-1.0,-1.0,3020.0,9608.0,16248.0,10000.0,-1.0,24255.0,10705.0,-1.0,11972.0,9852.0,6357.0,6842.0,33926.0,14610.0,14610.0,10355.0,4706.0,11404.0,11087.0,15000.0,14824.0
2000,-1.0,-1.0,-1.0,-1.0,6612.0,-1.0,-1.0,-1.0,3339.0,8475.0,15970.0,10000.0,-1.0,23958.0,10578.0,-1.0,18776.0,7333.0,8086.0,11806.0,30214.0,8941.0,8941.0,10452.0,8947.0,11188.0,12339.0,15000.0,14545.0
2001,-1.0,-1.0,-1.0,-1.0,6653.0,-1.0,-1.0,-1.0,3525.0,1837.0,16065.0,10000.0,-1.0,24490.0,10890.0,-1.0,22725.0,9849.0,6379.0,11050.0,27471.0,10667.0,10667.0,10574.0,10000.0,13021.0,11603.0,15000.0,13714.0
2002,-1.0,-1.0,-1.0,-1.0,6666.0,-1.0,-1.0,-1.0,2944.0,8254.0,14347.0,11250.0,-1.0,23958.0,10033.0,-1.0,19987.0,8693.0,6766.0,10636.0,26162.0,7084.0,7084.0,9780.0,10625.0,14509.0,12916.0,14444.0,14482.0
