,Peru,"China, Taiwan Province of",Serbia and Montenegro,Croatia,Malta,Syrian Arab Republic,Brazil,The former Yugoslav Republic of Macedonia,Spain,Afghanistan,Iran (Islamic Republic of),Cyprus,Greece,France,Australia & New Zealand,United States of America,Yugoslav SFR,Algeria,Slovenia,Kuwait,Argentina,Israel,El Salvador,Iraq,Morocco,Mexico,Uruguay,Azerbaijan,Jordan,Bosnia and Herzegovina,China,Tunisia,Libya,Albania,Lebanon,Uzbekistan,Occupied Palestinian Territory,Chile,Montenegro,Australia,Portugal,Egypt,Italy,Turkey
1961,40700.0,68602.0,-1.0,-1.0,10714.0,10375.0,-1.0,-1.0,-1.0,16667.0,30000.0,13730.0,-1.0,449.0,9926.0,34982.0,-1.0,-1.0,-1.0,-1.0,-1.0,20800.0,6522.0,-1.0,9006.0,14196.0,-1.0,-1.0,18020.0,-1.0,68602.0,3500.0,-1.0,9570.0,24074.0,-1.0,-1.0,-1.0,-1.0,9926.0,-1.0,30586.0,18311.0,17594.0
1962,35892.0,104719.0,-1.0,-1.0,10000.0,10911.0,-1.0,-1.0,-1.0,18333.0,30000.0,3076.0,-1.0,2234.0,9411.0,41199.0,-1.0,-1.0,-1.0,-1.0,-1.0,9600.0,6522.0,-1.0,9063.0,15753.0,-1.0,-1.0,5745.0,-1.0,104719.0,3462.0,-1.0,13918.0,16000.0,-1.0,-1.0,-1.0,-1.0,9411.0,-1.0,29313.0,13947.0,7266.0
1963,35892.0,97801.0,-1.0,-1.0,11333.0,8500.0,-1.0,-1.0,-1.0,16667.0,30000.0,5916.0,-1.0,2548.0,10105.0,45003.0,-1.0,-1.0,-1.0,-1.0,-1.0,13000.0,6522.0,-1.0,8696.0,15630.0,-1.0,-1.0,6857.0,-1.0,97801.0,3446.0,-1.0,12952.0,21818.0,-1.0,-1.0,-1.0,-1.0,10105.0,-1.0,28907.0,23349.0,15289.0
1964,38879.0,138377.0,-1.0,-1.0,10526.0,11145.0,-1.0,-1.0,-1.0,18333.0,30000.0,3190.0,-1.0,1328.0,14954.0,42341.0,-1.0,-1.0,-1.0,-1.0,-1.0,19091.0,6522.0,-1.0,8850.0,26121.0,-1.0,-1.0,16942.0,-1.0,138377.0,3462.0,-1.0,20961.0,10483.0,-1.0,-1.0,-1.0,-1.0,14954.0,-1.0,29511.0,15216.0,16366.0
1965,34764.0,85314.0,-1.0,-1.0,10556.0,5966.0,-1.0,-1.0,-1.0,16667.0,30000.0,11365.0,-1.0,2040.0,9540.0,40463.0,-1.0,-1.0,-1.0,-1.0,-1.0,9545.0,6522.0,-1.0,8903.0,27058.0,-1.0,-1.0,5725.0,-1.0,85314.0,4268.0,-1.0,11952.0,18409.0,-1.0,-1.0,-1.0,-1.0,9540.0,-1.0,29629.0,17961.0,9202.0
1966,31197.0,83168.0,-1.0,-1.0,10588.0,9877.0,-1.0,-1.0,-1.0,18333.0,30000.0,8221.0,-1.0,2267.0,15903.0,53096.0,-1.0,-1.0,-1.0,-1.0,-1.0,9561.0,6522.0,-1.0,8889.0,27076.0,-1.0,-1.0,5003.0,-1.0,83168.0,3607.0,-1.0,12121.0,10894.0,-1.0,-1.0,-1.0,-1.0,15903.0,-1.0,30226.0,14321.0,18932.0
1967,36449.0,90402.0,-1.0,-1.0,10625.0,7979.0,-1.0,-1.0,-1.0,16667.0,30000.0,14418.0,-1.0,2573.0,15244.0,11624.0,-1.0,-1.0,-1.0,-1.0,-1.0,22273.0,6522.0,-1.0,8941.0,25915.0,-1.0,-1.0,17175.0,-1.0,90402.0,4046.0,-1.0,11074.0,25254.0,-1.0,-1.0,-1.0,-1.0,15244.0,-1.0,29730.0,21422.0,11008.0
1968,36080.0,150196.0,-1.0,-1.0,10588.0,7862.0,-1.0,-1.0,-1.0,20000.0,30000.0,7148.0,-1.0,3605.0,16930.0,71405.0,-1.0,-1.0,-1.0,-1.0,-1.0,8716.0,6522.0,-1.0,8927.0,26529.0,-1.0,-1.0,18962.0,-1.0,150196.0,3999.0,-1.0,10828.0,11981.0,-1.0,-1.0,-1.0,-1.0,16930.0,-1.0,32000.0,15224.0,18484.0
1969,29182.0,123657.0,-1.0,-1.0,11333.0,8996.0,-1.0,-1.0,-1.0,16667.0,24000.0,9037.0,-1.0,6505.0,17745.0,57476.0,-1.0,12225.0,-1.0,-1.0,-1.0,19720.0,6522.0,-1.0,9143.0,27709.0,-1.0,-1.0,15929.0,-1.0,123657.0,4061.0,-1.0,9451.0,16726.0,-1.0,-1.0,-1.0,-1.0,17745.0,-1.0,32000.0,18966.0,6879.0
1970,33176.0,78631.0,-1.0,-1.0,6111.0,6862.0,-1.0,-1.0,-1.0,20000.0,30000.0,3560.0,-1.0,1801.0,14961.0,42232.0,-1.0,13919.0,-1.0,-1.0,-1.0,6226.0,6522.0,-1.0,8889.0,26491.0,-1.0,-1.0,10767.0,-1.0,78631.0,4292.0,-1.0,5495.0,16403.0,-1.0,-1.0,-1.0,-1.0,14961.0,-1.0,30435.0,16238.0,15011.0
