,"China, Taiwan Province of",Indonesia,Australia & New Zealand,Dominica,Madagascar,Egypt,Malaysia,Belize,Japan,Uruguay,Republic of Korea,Democratic Republic of the Congo,Suriname,Bolivia (Plurinational State of),Guyana,Peru,Brazil,United States of America,Mexico,Sudan (former),Democratic People's Republic of Korea,El Salvador,Honduras,South Sudan,China,New Zealand
1961,113200.0,221733.0,284.0,100.0,60000.0,3914.0,7920.0,0.0,247000.0,3608.0,57000.0,0.0,53.0,1000.0,0.0,0.0,145000.0,38000.0,14800.0,400.0,2200.0,45.0,340.0,,113200.0,284.0
1962,112200.0,331191.0,328.0,110.0,53000.0,4147.0,7958.0,0.0,250000.0,4185.0,68000.0,0.0,44.0,1000.0,0.0,0.0,152400.0,38000.0,18000.0,400.0,2280.0,46.0,335.0,,112200.0,328.0
1963,113200.0,276282.0,324.0,110.0,53695.0,4466.0,8502.0,0.0,254000.0,4320.0,100000.0,0.0,36.0,1000.0,0.0,0.0,158400.0,32700.0,19000.0,450.0,2400.0,46.0,328.0,,113200.0,324.0
1964,118100.0,356229.0,357.0,110.0,54465.0,4227.0,8744.0,0.0,243000.0,4320.0,114000.0,0.0,40.0,1000.0,0.0,0.0,168400.0,28000.0,14100.0,450.0,2480.0,48.0,324.0,,118100.0,357.0
1965,117000.0,238608.0,429.0,120.0,55135.0,4003.0,8283.0,0.0,204000.0,3658.0,111000.0,0.0,29.0,1170.0,0.0,0.0,175400.0,35000.0,16300.0,450.0,2560.0,48.0,317.0,,117000.0,429.0
1966,800.0,222804.0,364.0,120.0,56090.0,3251.0,8295.0,0.0,196000.0,3510.0,113000.0,0.0,79.0,1150.0,0.0,0.0,185100.0,34382.0,17600.0,500.0,2560.0,50.0,328.0,,800.0,364.0
1967,800.0,192915.0,562.0,110.0,56990.0,3780.0,5846.0,0.0,160000.0,2970.0,131000.0,0.0,127.0,1130.0,0.0,0.0,182300.0,31298.0,14200.0,600.0,2600.0,50.0,339.0,,800.0,562.0
1968,800.0,212787.0,632.0,110.0,57750.0,4200.0,5243.0,0.0,143000.0,3510.0,130000.0,0.0,32.0,1550.0,0.0,0.0,185100.0,33747.0,15400.0,700.0,2640.0,50.0,351.0,,800.0,632.0
1969,900.0,203416.0,726.0,100.0,60715.0,4200.0,4742.0,0.0,129000.0,3833.0,136000.0,0.0,31.0,1650.0,0.0,0.0,180800.0,36400.0,16300.0,800.0,2680.0,50.0,363.0,,900.0,726.0
1970,900.0,195779.0,810.0,110.0,59555.0,3781.0,5535.0,0.0,102000.0,3496.0,107000.0,0.0,20.0,1700.0,0.0,0.0,183200.0,35000.0,12100.0,840.0,2720.0,55.0,370.0,,900.0,810.0
1971,900.0,199022.0,676.0,110.0,65145.0,3781.0,4500.0,0.0,82000.0,3478.0,100000.0,0.0,19.0,1740.0,0.0,0.0,174200.0,31100.0,11100.0,1260.0,2800.0,55.0,394.0,,900.0,676.0
1972,6300.0,185970.0,763.0,110.0,53215.0,3361.0,3422.0,0.0,78000.0,3645.0,100000.0,0.0,29.0,1950.0,0.0,0.0,159200.0,30800.0,9400.0,1260.0,2920.0,56.0,299.0,,6300.0,763.0
1973,3600.0,214808.0,837.0,120.0,59845.0,2941.0,2992.0,0.0,69000.0,3834.0,105000.0,0.0,30.0,2062.0,0.0,0.0,147800.0,32100.0,7500.0,1800.0,3000.0,58.0,300.0,,3600.0,837.0
1974,5100.0,222229.0,929.0,120.0,60285.0,3781.0,2917.0,0.0,65000.0,3780.0,109000.0,0.0,30.0,2220.0,0.0,0.0,153500.0,36500.0,7400.0,1700.0,3200.0,60.0,310.0,,5100.0,929.0
1975,4400.0,218935.0,749.0,120.0,79105.0,3361.0,2970.0,0.0,72000.0,4050.0,100000.0,0.0,30.0,3000.0,0.0,0.0,138000.0,35900.0,7300.0,1700.0,3320.0,60.0,340.0,,4400.0,749.0
1976,3500.0,214309.0,577.0,130.0,73105.0,3286.0,3234.0,0.0,65000.0,4050.0,89000.0,0.0,35.0,3400.0,0.0,0.0,117100.0,39700.0,7400.0,1700.0,3440.0,63.0,360.0,,3500.0,577.0
1977,3100.0,221432.0,609.0,200.0,70225.0,2914.0,3420.0,0.0,71000.0,4050.0,85000.0,0.0,23.0,2690.0,0.0,0.0,98300.0,34900.0,5600.0,1700.0,3600.0,60.0,370.0,,3100.0,609.0
1978,2600.0,187452.0,1524.0,310.0,77710.0,4379.0,3060.0,0.0,64000.0,4050.0,70000.0,0.0,27.0,2895.0,0.0,0.0,91600.0,41500.0,4800.0,1700.0,3700.0,60.0,400.0,,2600.0,1524.0
1979,2100.0,197497.0,839.0,350.0,76825.0,3605.0,3285.0,0.0,68000.0,4050.0,63000.0,0.0,30.0,2735.0,0.0,0.0,83600.0,46100.0,2391.0,1700.0,3700.0,60.0,500.0,,2100.0,839.0
1980,1700.0,187089.0,1577.0,350.0,85745.0,3781.0,2565.0,0.0,70000.0,4050.0,57000.0,0.0,38.0,1395.0,0.0,0.0,84300.0,42000.0,3439.0,1700.0,3740.0,60.0,400.0,,1700.0,1577.0
1981,1500.0,188422.0,1030.0,340.0,86430.0,5430.0,2295.0,0.0,71000.0,4050.0,51000.0,0.0,17.0,1575.0,0.0,0.0,82100.0,42000.0,3506.0,1700.0,3800.0,60.0,400.0,,1500.0,1030.0
1982,1300.0,150809.0,680.0,320.0,96450.0,3360.0,2385.0,0.0,69000.0,4050.0,48000.0,0.0,18.0,1271.0,0.0,0.0,76600.0,50300.0,2881.0,1700.0,4000.0,60.0,450.0,,1300.0,680.0
1983,1000.0,199172.0,700.0,320.0,97065.0,3780.0,2205.0,0.0,64000.0,4050.0,42000.0,0.0,23.0,1750.0,0.0,0.0,81100.0,44900.0,3495.0,1500.0,4000.0,60.0,460.0,,1000.0,700.0
1984,800.0,194088.0,800.0,325.0,90805.0,5040.0,2160.0,0.0,65000.0,4050.0,38000.0,0.0,12.0,1891.0,0.0,0.0,79700.0,47500.0,2339.0,1200.0,4500.0,60.0,485.0,,800.0,800.0
1985,800.0,194534.0,800.0,350.0,93615.0,4620.0,2160.0,0.0,66000.0,4050.0,32000.0,0.0,10.0,1978.0,0.0,0.0,78700.0,47600.0,1990.0,750.0,4700.0,60.0,500.0,,800.0,800.0
1986,700.0,188151.0,720.0,350.0,92270.0,2520.0,2160.0,0.0,56500.0,4050.0,29000.0,0.0,10.0,2430.0,0.0,0.0,76100.0,41000.0,3061.0,600.0,4860.0,60.0,510.0,,700.0,720.0
1987,500.0,181156.0,990.0,330.0,89960.0,4620.0,2475.0,0.0,59000.0,4050.0,28000.0,0.0,14.0,2169.0,0.0,0.0,69269.0,40000.0,2687.0,650.0,4940.0,60.0,530.0,,500.0,990.0
1988,500.0,194277.0,990.0,335.0,91200.0,2100.0,2880.0,0.0,57000.0,4050.0,29000.0,0.0,9.0,2770.0,0.0,0.0,67532.0,40000.0,2335.0,600.0,4980.0,71.0,540.0,,500.0,990.0
1989,400.0,200191.0,1051.0,435.0,91000.0,3966.0,3060.0,56.0,52000.0,1184.0,22000.0,0.0,15.0,2445.0,0.0,0.0,64323.0,42000.0,2042.0,400.0,5000.0,70.0,140.0,,400.0,1051.0
1990,400.0,177432.0,1283.0,340.0,97000.0,4715.0,3150.0,69.0,53000.0,4050.0,20000.0,0.0,13.0,2806.0,0.0,0.0,61642.0,46000.0,2003.0,600.0,5040.0,82.0,145.0,,400.0,1283.0
1991,400.0,183529.0,1675.0,470.0,85101.0,3722.0,3330.0,74.0,46000.0,2700.0,20000.0,0.0,52.0,2770.0,0.0,0.0,58199.0,38600.0,2333.0,610.0,5200.0,75.0,150.0,,400.0,1675.0
1992,400.0,195394.0,1987.0,410.0,97925.0,5484.0,3574.0,70.0,46000.0,1564.0,17000.0,0.0,55.0,2950.0,0.0,0.0,54393.0,41500.0,2079.0,576.0,5760.0,75.0,155.0,,400.0,1987.0
1993,300.0,187939.0,2145.0,380.0,104000.0,6161.0,3263.0,20.0,42000.0,1620.0,15000.0,0.0,62.0,3000.0,0.0,0.0,58306.0,40000.0,1570.0,615.0,2720.0,80.0,157.0,,300.0,2145.0
1994,300.0,166067.0,2592.0,400.0,76200.0,6352.0,3304.0,24.0,47000.0,1512.0,16000.0,0.0,71.0,2990.0,0.0,0.0,56504.0,41400.0,1744.0,620.0,3840.0,80.0,147.0,,300.0,2592.0
1995,300.0,195393.0,2655.0,371.0,86000.0,6381.0,2880.0,23.0,46000.0,1620.0,11200.0,0.0,24.0,3052.0,0.0,0.0,47769.0,41900.0,1624.0,625.0,2880.0,75.0,136.0,,300.0,2655.0
1996,300.0,181604.0,2764.0,450.0,91000.0,8463.0,2430.0,17.0,44000.0,1512.0,20000.0,0.0,30.0,3100.0,0.0,0.0,50088.0,42400.0,2360.0,3000.0,3440.0,56.0,143.0,,300.0,2764.0
