,Finland,Australia & New Zealand,Australia,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Singapore,United Arab Emirates,Zambia,Lebanon,Papua New Guinea,Tajikistan,Suriname,Albania,Niger,"China, Hong Kong SAR",Serbia,Slovenia,Sri Lanka,Congo,Argentina,South Sudan,Spain,Central African Republic,India,Ecuador,Cabo Verde,Indonesia,Poland,Canada,Jordan,Belgium-Luxembourg,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Slovakia,France,Timor-Leste,Democratic Republic of the Congo,Tunisia,Mali,Hungary,Republic of Moldova,Martinique,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,"China, mainland",Madagascar,Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Austria,Puerto Rico,Bermuda,Romania,Norway,Philippines,Iraq,New Zealand,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Senegal,Germany,Sweden,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Antigua and Barbuda,Chile,Uruguay,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Denmark,Switzerland,United States of America,Sudan,United Kingdom,Azerbaijan,Mauritius,Yemen,Bosnia and Herzegovina,Turkey,Cameroon,Bolivia (Plurinational State of),American Samoa,Mexico,Ukraine,Kuwait,South Africa,Guadeloupe,Ireland,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Montenegro,China
1961,30.0,8758.0,8498.0,,-1.0,10880.0,-1.0,,-1.0,-1.0,81.0,,,1000.0,56.0,,90.0,-1.0,-1.0,250.0,,,2140.0,-1.0,1991.0,,14350.0,,80000.0,4600.0,-1.0,11300.0,-1.0,6212.0,514.0,1018.0,15294.0,56.0,,9754.0,790.0,,7739.0,-1.0,-1.0,200.0,-1.0,16393.0,,200.0,1200.0,3500.0,-1.0,,-1.0,100000.0,1400.0,272.0,3700.0,-1.0,,1500.0,4590.0,-1.0,308.0,-1.0,15.0,9100.0,85.0,2600.0,331.0,260.0,-1.0,,-1.0,,,-1.0,4266.0,41940.0,-1.0,-1.0,10754.0,1970.0,,-1.0,,,-1.0,3300.0,1.0,9400.0,337.0,,2800.0,-1.0,670.0,465.0,,137.0,1700.0,47174.0,,5018.0,,330.0,,,28600.0,-1.0,-1.0,-1.0,6923.0,,-1.0,4000.0,61.0,,-1.0,0.0,,6048.0,,100250.0
1962,25.0,10077.0,9467.0,,-1.0,17920.0,-1.0,,-1.0,-1.0,69.0,,,1100.0,38.0,,90.0,-1.0,-1.0,300.0,,,3776.0,-1.0,1801.0,,14600.0,,81000.0,4402.0,-1.0,12200.0,-1.0,7167.0,927.0,1429.0,8270.0,38.0,,9848.0,651.0,,7641.0,-1.0,-1.0,200.0,-1.0,9299.0,,220.0,1489.0,3500.0,-1.0,,-1.0,98000.0,1500.0,305.0,3800.0,-1.0,,1500.0,4100.0,-1.0,305.0,-1.0,15.0,10200.0,103.0,2600.0,394.0,610.0,-1.0,,-1.0,,,-1.0,3952.0,41051.0,-1.0,-1.0,11824.0,1780.0,,-1.0,,,-1.0,3293.0,1.0,9500.0,400.0,,2600.0,-1.0,625.0,465.0,,120.0,700.0,43556.0,,5463.0,,382.0,,,29700.0,-1.0,-1.0,-1.0,6282.0,,-1.0,5000.0,61.0,,-1.0,0.0,,5747.0,,98300.0
1963,25.0,11789.0,11139.0,,-1.0,15840.0,-1.0,,-1.0,-1.0,93.0,,,1000.0,30.0,,95.0,-1.0,-1.0,200.0,,,2575.0,-1.0,1606.0,,14325.0,,83000.0,5619.0,-1.0,12200.0,-1.0,9324.0,732.0,2102.0,12280.0,30.0,,9656.0,687.0,,8882.0,-1.0,-1.0,200.0,-1.0,13933.0,,220.0,1426.0,3500.0,-1.0,,-1.0,100000.0,1600.0,338.0,3900.0,-1.0,,1700.0,4639.0,-1.0,418.0,-1.0,16.0,11500.0,102.0,2600.0,368.0,650.0,-1.0,,-1.0,,,-1.0,4281.0,41311.0,-1.0,-1.0,12068.0,1180.0,,-1.0,,,-1.0,3000.0,2.0,9500.0,400.0,,2400.0,-1.0,660.0,465.0,,191.0,470.0,35025.0,,7244.0,,345.0,,,30700.0,-1.0,-1.0,-1.0,6411.0,,-1.0,5000.0,73.0,,-1.0,0.0,,6419.0,,100200.0
1964,30.0,7555.0,6755.0,,-1.0,15040.0,-1.0,,-1.0,-1.0,81.0,,,1125.0,16.0,,95.0,-1.0,-1.0,160.0,,,2566.0,-1.0,1541.0,,18161.0,,85000.0,4600.0,-1.0,13000.0,-1.0,11339.0,980.0,2446.0,11779.0,16.0,,9790.0,723.0,,8321.0,-1.0,-1.0,148.0,-1.0,12041.0,,260.0,2430.0,3000.0,-1.0,,-1.0,102000.0,1800.0,339.0,4000.0,-1.0,,1800.0,4429.0,-1.0,438.0,-1.0,17.0,12000.0,123.0,2500.0,736.0,800.0,-1.0,,-1.0,,,-1.0,4329.0,41773.0,-1.0,-1.0,12381.0,1150.0,,-1.0,,,-1.0,3000.0,2.0,10000.0,400.0,,1840.0,-1.0,644.0,465.0,,218.0,450.0,36081.0,,7689.0,,243.0,,,31400.0,-1.0,-1.0,-1.0,6536.0,,-1.0,5000.0,180.0,,-1.0,0.0,,5811.0,,102160.0
1965,28.0,7819.0,7009.0,,-1.0,14400.0,-1.0,,-1.0,-1.0,81.0,,,998.0,11.0,,100.0,-1.0,-1.0,200.0,,,3648.0,-1.0,1145.0,,17925.0,,88000.0,5000.0,-1.0,14400.0,-1.0,10667.0,566.0,1473.0,16412.0,11.0,,9670.0,602.0,,8202.0,-1.0,-1.0,160.0,-1.0,15321.0,,280.0,2500.0,3000.0,-1.0,,-1.0,103000.0,2000.0,70.0,4440.0,-1.0,,1800.0,3005.0,-1.0,454.0,-1.0,18.0,12000.0,140.0,2500.0,783.0,810.0,-1.0,,-1.0,,,-1.0,4251.0,43062.0,-1.0,-1.0,9831.0,1080.0,,-1.0,,,-1.0,7072.0,2.0,10477.0,400.0,,1750.0,-1.0,555.0,500.0,,206.0,338.0,38797.0,,7001.0,,291.0,,,33200.0,-1.0,-1.0,-1.0,6632.0,,-1.0,5000.0,180.0,,-1.0,0.0,,5884.0,,103200.0
1966,22.0,8214.0,7314.0,,-1.0,14800.0,-1.0,,-1.0,-1.0,81.0,,,1018.0,16.0,,100.0,-1.0,-1.0,350.0,,,3944.0,-1.0,1115.0,,16800.0,,87000.0,1800.0,-1.0,14800.0,-1.0,10026.0,566.0,2111.0,11706.0,16.0,,9810.0,658.0,,8647.0,-1.0,-1.0,250.0,-1.0,16760.0,,250.0,2400.0,3000.0,-1.0,,-1.0,103500.0,2200.0,210.0,8425.0,-1.0,,2000.0,3427.0,-1.0,459.0,-1.0,17.0,12000.0,141.0,2800.0,783.0,900.0,-1.0,,-1.0,,,-1.0,4222.0,44163.0,-1.0,-1.0,11175.0,1330.0,,-1.0,,,-1.0,3998.0,2.0,10500.0,539.0,,1620.0,-1.0,763.0,500.0,,262.0,340.0,43766.0,,7446.0,,260.0,,,35100.0,-1.0,-1.0,-1.0,6823.0,,-1.0,5000.0,365.0,,-1.0,0.0,,6532.0,,103850.0
1967,29.0,8645.0,7540.0,,-1.0,15200.0,-1.0,,-1.0,-1.0,81.0,,,1444.0,15.0,,100.0,-1.0,-1.0,350.0,,,3098.0,-1.0,1063.0,,16536.0,,90000.0,1800.0,-1.0,15000.0,-1.0,11300.0,528.0,1867.0,12484.0,15.0,,10240.0,620.0,,8946.0,-1.0,-1.0,260.0,-1.0,14363.0,,250.0,3300.0,3000.0,-1.0,,-1.0,104000.0,2400.0,192.0,9870.0,-1.0,,2000.0,3981.0,-1.0,560.0,-1.0,16.0,12000.0,128.0,2600.0,788.0,1105.0,-1.0,,-1.0,,,-1.0,4236.0,44767.0,-1.0,-1.0,11203.0,1260.0,,-1.0,,,-1.0,2000.0,5.0,10500.0,500.0,,1970.0,-1.0,787.0,500.0,,254.0,370.0,43790.0,,8013.0,,223.0,,,23500.0,-1.0,-1.0,-1.0,7508.0,,-1.0,5000.0,370.0,,-1.0,0.0,,6596.0,,104350.0
1968,17.0,8611.0,7990.0,,-1.0,15700.0,-1.0,,-1.0,-1.0,81.0,1.0,,1505.0,15.0,,105.0,-1.0,-1.0,300.0,,,3685.0,-1.0,911.0,,16000.0,,94000.0,1800.0,-1.0,15608.0,-1.0,9570.0,269.0,1456.0,16383.0,15.0,,9130.0,561.0,,9917.0,-1.0,-1.0,210.0,-1.0,14490.0,,280.0,2354.0,3600.0,-1.0,,-1.0,110000.0,1670.0,217.0,5700.0,-1.0,,2000.0,3811.0,-1.0,500.0,-1.0,18.0,12500.0,128.0,2600.0,851.0,621.0,-1.0,,-1.0,,,-1.0,4192.0,44994.0,-1.0,-1.0,8818.0,1550.0,,-1.0,,,-1.0,4000.0,7.0,11000.0,500.0,,2830.0,-1.0,810.0,560.0,,249.0,370.0,46623.0,,8296.0,,214.0,,,21800.0,-1.0,-1.0,-1.0,7681.0,,-1.0,5000.0,420.0,,-1.0,0.0,,6734.0,,110300.0
1969,18.0,9115.0,8104.0,,-1.0,16200.0,-1.0,,-1.0,-1.0,60.0,1.0,,1623.0,10.0,,110.0,-1.0,-1.0,300.0,,,4514.0,-1.0,786.0,,15462.0,,96000.0,1900.0,-1.0,13000.0,-1.0,9860.0,556.0,2087.0,14283.0,10.0,,9530.0,614.0,,10335.0,-1.0,-1.0,210.0,-1.0,11596.0,,250.0,2304.0,4300.0,-1.0,,-1.0,114000.0,1100.0,185.0,9130.0,-1.0,,2200.0,5007.0,-1.0,764.0,-1.0,14.0,12300.0,66.0,2600.0,934.0,1011.0,-1.0,,-1.0,,,-1.0,4150.0,44530.0,-1.0,-1.0,9372.0,140.0,,-1.0,,,-1.0,4000.0,10.0,11000.0,500.0,,2390.0,-1.0,850.0,560.0,,285.0,400.0,37710.0,,10643.0,,219.0,,,28000.0,-1.0,-1.0,-1.0,7679.0,,-1.0,5000.0,470.0,,-1.0,0.0,,5651.0,,114300.0
1970,18.0,8544.0,7492.0,,-1.0,16600.0,-1.0,,-1.0,-1.0,40.0,1.0,,1994.0,8.0,,118.0,-1.0,-1.0,350.0,,,3471.0,-1.0,740.0,,20360.0,,100000.0,2100.0,-1.0,10000.0,-1.0,9894.0,232.0,2407.0,15963.0,8.0,,9900.0,586.0,,10800.0,-1.0,-1.0,210.0,-1.0,12553.0,,280.0,2651.0,4400.0,-1.0,,-1.0,115000.0,555.0,223.0,9400.0,-1.0,,2500.0,4592.0,-1.0,831.0,-1.0,15.0,13000.0,66.0,2700.0,1125.0,1052.0,-1.0,,-1.0,,,-1.0,4549.0,44043.0,-1.0,-1.0,10207.0,140.0,,-1.0,,,-1.0,4000.0,12.0,11500.0,487.0,,2400.0,-1.0,650.0,560.0,,295.0,500.0,32629.0,,10320.0,,149.0,,,36800.0,-1.0,-1.0,-1.0,7564.0,,-1.0,5000.0,300.0,,-1.0,0.0,,5102.0,,115350.0
