,USSR,Cambodia,Bahrain,Australia & New Zealand,Australia,Pakistan,Thailand,Belize,Ethiopia,Kenya,Nigeria,Romania,Serbia,Solomon Islands,Lebanon,Papua New Guinea,Peru,Micronesia,Togo,Tunisia,Albania,Brazil,Mozambique,Democratic People's Republic of Korea,Slovenia,El Salvador,Hungary,Argentina,Colombia,New Caledonia,Tajikistan,India,Swaziland,Indonesia,Poland,Turkey,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,France,Republic of Korea,New Zealand,Mali,United Arab Emirates,Montenegro,Republic of Moldova,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,Spain,"China, mainland",Nepal,Madagascar,Cyprus,Guinea-Bissau,Bosnia and Herzegovina,Cameroon,Guatemala,Slovakia,United States of America,Bhutan,Turkmenistan,Dominica,Iraq,Czechia,United Republic of Tanzania,Philippines,Belgium,Kiribati,Luxembourg,Libya,Costa Rica,Bangladesh,Italy,Senegal,Germany,Benin,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Armenia,Morocco,Mongolia,Chile,Honduras,Denmark,Zimbabwe,Kyrgyzstan,Malawi,Algeria,Austria,Israel,Japan,Maldives,Belarus,Afghanistan,Switzerland,Trinidad and Tobago,Georgia,Azerbaijan,Yemen,Viet Nam,Russian Federation,Portugal,Bolivia (Plurinational State of),Latvia,Guinea,Ukraine,South Africa,Guadeloupe,Sri Lanka,Guam,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Occupied Palestinian Territory,Liberia
1961,0.0,0.0,0.0,106.0,106.0,6550.0,500.0,0.0,,11200.0,15000.0,0.0,,200.0,1950.0,4000.0,1950.0,210.0,,85000.0,0.0,0.0,180000.0,2500.0,,1750.0,0.0,0.0,0.0,,,214000.0,0.0,0.0,0.0,328464.0,1600.0,0.0,3000.0,0.0,800.0,4200.0,,2000.0,0.0,0.0,0.0,1375.0,0.0,0.0,5.0,,,0.0,14000.0,2045.0,0.0,44550.0,,0.0,0.0,227290.0,0.0,0.0,10000.0,6052.0,10000.0,,0.0,,,101258.0,0.0,,,0.0,,87000.0,,,210.0,,0.0,,,401600.0,1500.0,0.0,2000.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,13300.0,0.0,1000.0,11000.0,200.0,,7000.0,0.0,,,,,2300.0,,83080.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,280.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,119.0,119.0,6800.0,500.0,0.0,,21200.0,24000.0,0.0,,200.0,2650.0,4200.0,2020.0,210.0,,98000.0,0.0,0.0,180000.0,2500.0,,1750.0,0.0,0.0,0.0,,,214000.0,0.0,0.0,0.0,337025.0,2500.0,0.0,3000.0,0.0,800.0,4400.0,,2000.0,0.0,0.0,0.0,1375.0,0.0,0.0,5.0,,,0.0,12000.0,1736.0,0.0,44600.0,,0.0,0.0,230367.0,0.0,0.0,10000.0,6066.0,10000.0,,0.0,,,102746.0,0.0,,,0.0,,112100.0,6100.0,,210.0,,0.0,,,396800.0,1500.0,0.0,2000.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,13300.0,0.0,1100.0,12300.0,200.0,,7150.0,0.0,,,,,2300.0,,91080.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,440.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,111.0,111.0,7050.0,600.0,0.0,,21200.0,25000.0,0.0,,200.0,2650.0,4400.0,1500.0,220.0,,85000.0,0.0,0.0,230000.0,2500.0,,1800.0,0.0,0.0,0.0,,,230000.0,0.0,0.0,0.0,340179.0,2500.0,0.0,3000.0,0.0,800.0,4600.0,,2000.0,0.0,0.0,0.0,1730.0,0.0,0.0,6.0,,,0.0,10804.0,1932.0,0.0,37700.0,,0.0,0.0,232863.0,0.0,0.0,10000.0,6080.0,10000.0,,0.0,,,103598.0,0.0,,,0.0,,84200.0,5100.0,,220.0,,0.0,,,393600.0,2000.0,0.0,2000.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,13300.0,0.0,1200.0,16100.0,200.0,,7300.0,0.0,,,,,2300.0,,74300.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,320.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,113.0,113.0,7300.0,700.0,0.0,,27200.0,31000.0,0.0,,200.0,1170.0,4500.0,2100.0,220.0,,120000.0,0.0,0.0,230000.0,2500.0,,1800.0,0.0,0.0,0.0,,,231000.0,0.0,0.0,0.0,350155.0,2500.0,0.0,3000.0,0.0,800.0,4700.0,,2000.0,0.0,0.0,0.0,1830.0,0.0,0.0,6.0,,,0.0,12140.0,2002.0,0.0,37650.0,,0.0,0.0,241067.0,0.0,0.0,10000.0,6160.0,10000.0,,0.0,,,106066.0,0.0,,,0.0,,104300.0,4480.0,,220.0,,0.0,,,390800.0,1500.0,0.0,2000.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,14200.0,0.0,1300.0,22600.0,200.0,,7450.0,0.0,,,,,2300.0,,82350.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,440.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,131.0,131.0,7550.0,800.0,0.0,,27200.0,35500.0,0.0,,200.0,1970.0,4600.0,1880.0,220.0,,120000.0,0.0,0.0,210000.0,2500.0,,1850.0,0.0,0.0,0.0,,,246000.0,0.0,0.0,0.0,355691.0,2633.0,0.0,3000.0,0.0,800.0,4800.0,,2000.0,0.0,0.0,0.0,2145.0,0.0,0.0,7.0,,,0.0,13250.0,2748.0,0.0,42650.0,,0.0,0.0,239591.0,0.0,0.0,10000.0,8874.0,10000.0,,0.0,,,111129.0,0.0,,,0.0,,117400.0,4470.0,,220.0,,0.0,,,386900.0,2000.0,0.0,2000.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,13800.0,0.0,1700.0,27100.0,200.0,,8000.0,0.0,,,,,2200.0,,87400.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,560.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,129.0,129.0,7700.0,900.0,0.0,,29200.0,37000.0,0.0,,200.0,2083.0,4800.0,1700.0,225.0,,140000.0,0.0,0.0,190000.0,2500.0,,1850.0,0.0,0.0,0.0,,,259314.0,0.0,0.0,0.0,360256.0,3014.0,0.0,3000.0,0.0,800.0,5000.0,,2000.0,0.0,0.0,0.0,2265.0,0.0,0.0,8.0,,,0.0,13968.0,2841.0,0.0,48650.0,,0.0,0.0,234882.0,0.0,0.0,10000.0,8888.0,10000.0,,0.0,,,113434.0,0.0,,,0.0,,124600.0,3960.0,,225.0,,0.0,,,385700.0,2000.0,0.0,2000.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,12700.0,0.0,2300.0,29800.0,200.0,,9250.0,0.0,,,,,4200.0,,93700.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,800.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,137.0,137.0,7850.0,1000.0,0.0,,35200.0,38500.0,0.0,,260.0,918.0,5000.0,1550.0,225.0,,110000.0,0.0,0.0,180000.0,2500.0,,1900.0,0.0,0.0,0.0,,,261524.0,0.0,0.0,0.0,365844.0,3120.0,0.0,3000.0,0.0,800.0,5260.0,,2000.0,0.0,0.0,0.0,2280.0,0.0,0.0,10.0,,,0.0,14400.0,2968.0,0.0,44650.0,,0.0,0.0,234184.0,0.0,0.0,10000.0,9916.0,10000.0,,0.0,,,116273.0,0.0,,,0.0,,144700.0,4500.0,,225.0,,0.0,,,386800.0,2000.0,0.0,5000.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,12900.0,0.0,2700.0,33500.0,200.0,,9500.0,0.0,,,,,4200.0,,95740.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,640.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,100.0,100.0,8300.0,1100.0,0.0,,25200.0,40000.0,0.0,,200.0,583.0,5200.0,1372.0,225.0,,180000.0,0.0,0.0,300000.0,3000.0,,1950.0,0.0,0.0,0.0,,,273107.0,0.0,0.0,0.0,336542.0,307.0,0.0,3000.0,0.0,800.0,5400.0,,2100.0,0.0,0.0,0.0,2680.0,0.0,0.0,10.0,,,0.0,14051.0,3548.0,0.0,64150.0,,0.0,0.0,247279.0,0.0,0.0,10200.0,12422.0,10000.0,,0.0,,,120712.0,0.0,,,0.0,,167800.0,4620.0,,225.0,,0.0,,,385100.0,2000.0,0.0,7000.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,2900.0,36100.0,200.0,,9950.0,0.0,,,,,4200.0,,98890.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,1320.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,120.0,120.0,8550.0,1200.0,0.0,,21200.0,40000.0,0.0,,200.0,635.0,5400.0,1478.0,230.0,,100000.0,0.0,0.0,250000.0,3000.0,,2000.0,0.0,0.0,0.0,,,276698.0,0.0,0.0,0.0,336343.0,54.0,0.0,3000.0,0.0,800.0,5600.0,,2200.0,0.0,0.0,0.0,2670.0,0.0,0.0,12.0,,,0.0,14817.0,4508.0,0.0,64150.0,,0.0,0.0,241776.0,0.0,0.0,10200.0,9908.0,10000.0,,0.0,,,127587.0,0.0,,,0.0,,187900.0,4580.0,,230.0,,0.0,,,382500.0,2000.0,0.0,8500.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,5500.0,0.0,3200.0,37700.0,200.0,,10100.0,0.0,,,,,4200.0,,99050.0,0.0,,0.0,,0.0,,0.0,0.0,8000.0,,1300.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,129.0,129.0,8800.0,1300.0,0.0,,69200.0,40000.0,0.0,,200.0,1004.0,5500.0,1791.0,230.0,,188000.0,0.0,0.0,290000.0,3000.0,,2050.0,0.0,0.0,0.0,,,297171.0,0.0,0.0,0.0,340195.0,0.0,0.0,3000.0,0.0,800.0,5700.0,,2398.0,0.0,0.0,0.0,2990.0,0.0,0.0,12.0,,,0.0,13803.0,4847.0,0.0,64150.0,,0.0,0.0,292865.0,0.0,0.0,10200.0,9124.0,12000.0,,0.0,,,137360.0,0.0,,,0.0,,191000.0,6900.0,,230.0,,0.0,,,381100.0,2000.0,0.0,9148.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,60.0,6700.0,0.0,3200.0,39000.0,200.0,,10350.0,0.0,,,,,4200.0,,99260.0,0.0,,0.0,,0.0,,0.0,0.0,8215.0,,1270.0,0.0,0.0,0.0
