,Israel,Japan,USSR,Argentina,Turkey,Australia & New Zealand,Australia,Ethiopia PDR,Pakistan,United Republic of Tanzania,Mexico,Tajikistan,Ethiopia,Ukraine,Hungary,Russian Federation,Kyrgyzstan,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Morocco,"China, mainland",Canada,Uzbekistan,Spain,Portugal,Occupied Palestinian Territory,India
1961,700.0,,4500.0,,550.0,1560.0,1560.0,26000.0,,-1.0,41394.0,,,,-1.0,,,,,-1.0,163293.0,3000.0,-1.0,-1.0,,20000.0,,-1.0,66000.0
1962,400.0,,4500.0,,650.0,1633.0,1633.0,25800.0,,-1.0,46777.0,,,,-1.0,,,,,-1.0,343823.0,3000.0,-1.0,-1.0,,20000.0,,-1.0,67000.0
1963,100.0,,4500.0,,730.0,5496.0,5496.0,26800.0,,-1.0,47159.0,,,,-1.0,,,,,-1.0,358338.0,2800.0,-1.0,-1.0,,20000.0,,-1.0,68000.0
1964,400.0,,4500.0,,900.0,12644.0,12644.0,27200.0,,-1.0,47150.0,,,,-1.0,,,,,-1.0,251290.0,2500.0,-1.0,-1.0,,20000.0,,-1.0,62000.0
1965,1200.0,,2800.0,,900.0,9977.0,9977.0,28000.0,,-1.0,79626.0,,,,-1.0,,,,,-1.0,271248.0,2100.0,-1.0,-1.0,,20000.0,,-1.0,71500.0
1966,200.0,,5100.0,,700.0,24834.0,24834.0,28600.0,,-1.0,236243.0,,,,-1.0,,,,,-1.0,309350.0,2000.0,-1.0,-1.0,,30000.0,,-1.0,69000.0
1967,400.0,,5700.0,,890.0,15927.0,15927.0,30000.0,,-1.0,149043.0,,,,-1.0,,,,,-1.0,252197.0,1600.0,-1.0,-1.0,,55824.0,,-1.0,72000.0
1968,800.0,,6500.0,7.0,1050.0,10340.0,10340.0,31700.0,,-1.0,102145.0,,,,-1.0,,,57.0,,-1.0,162386.0,1500.0,-1.0,-1.0,,39008.0,,-1.0,77700.0
1969,500.0,,5300.0,10.0,1080.0,4172.0,4172.0,33700.0,,-1.0,208873.0,,,,-1.0,,,206.0,,-1.0,196859.0,1020.0,-1.0,-1.0,,5388.0,,-1.0,93700.0
1970,15.0,,6500.0,105.0,900.0,9351.0,9351.0,36200.0,,-1.0,288493.0,,,,-1.0,,,700.0,,-1.0,170055.0,620.0,-1.0,-1.0,,8415.0,,-1.0,142400.0
1971,400.0,,6300.0,1308.0,910.0,15398.0,15398.0,39300.0,66.0,-1.0,410734.0,,,,-1.0,,,400.0,,-1.0,237682.0,650.0,-1.0,-1.0,,13400.0,21947.0,-1.0,153900.0
1972,2250.0,,7700.0,2850.0,1350.0,4173.0,4173.0,23800.0,38.0,-1.0,271285.0,,,,-1.0,,,,,-1.0,233700.0,420.0,-1.0,-1.0,,7800.0,14957.0,-1.0,130500.0
1973,2050.0,,4400.0,4510.0,1350.0,6860.0,6860.0,24200.0,57.0,-1.0,298170.0,,,,-1.0,,,,,-1.0,179080.0,100.0,-1.0,-1.0,,19700.0,10912.0,-1.0,81800.0
1974,2300.0,,3000.0,7850.0,1200.0,30502.0,30502.0,30000.0,55.0,-1.0,272443.0,,,,-1.0,,,,,-1.0,160000.0,0.0,-1.0,-1.0,,16500.0,7236.0,-1.0,191000.0
1975,3850.0,,2000.0,3330.0,1350.0,18163.0,18163.0,25000.0,50.0,-1.0,532297.0,,,,-1.0,,,,,-1.0,180000.0,,-1.0,-1.0,,16200.0,12433.0,-1.0,211900.0
1976,300.0,,4600.0,5880.0,1600.0,6300.0,6300.0,30000.0,48.0,-1.0,240318.0,,,,-1.0,,,,,-1.0,69000.0,,-1.0,-1.0,,20000.0,14523.0,-1.0,238300.0
1977,400.0,,3700.0,2000.0,1250.0,26300.0,26300.0,30000.0,45.0,-1.0,518444.0,,,,-1.0,,,,,-1.0,159000.0,,-1.0,-1.0,,13300.0,2574.0,-1.0,219600.0
1978,1300.0,,5900.0,1520.0,750.0,57721.0,57721.0,30000.0,39.0,-1.0,615556.0,,,,-1.0,,,,,-1.0,168000.0,,-1.0,-1.0,,14800.0,3531.0,-1.0,187800.0
1979,1050.0,,3000.0,1320.0,470.0,29974.0,29974.0,30000.0,215.0,-1.0,634724.0,,,,-1.0,,,,,-1.0,185000.0,,-1.0,-1.0,,14460.0,1322.0,-1.0,209000.0
1980,600.0,,2800.0,700.0,535.0,8111.0,8111.0,31000.0,242.0,-1.0,479692.0,,,,-1.0,,,,,-1.0,105000.0,,-1.0,-1.0,,19500.0,2419.0,-1.0,279400.0
1981,750.0,,3200.0,630.0,300.0,19644.0,19644.0,31000.0,2162.0,-1.0,324170.0,,,,-1.0,,,,,-1.0,92000.0,,-1.0,-1.0,,4400.0,324.0,-1.0,335100.0
1982,30.0,,1300.0,1860.0,250.0,5281.0,5281.0,32000.0,4401.0,-1.0,239108.0,,,,-1.0,,,,,-1.0,108171.0,,-1.0,-1.0,,13000.0,1366.0,-1.0,421500.0
1983,100.0,,6300.0,4600.0,260.0,30627.0,30627.0,32000.0,4447.0,-1.0,278936.0,,,,-1.0,,,,,-1.0,85000.0,,-1.0,-1.0,,12800.0,349.0,-1.0,395900.0
1984,100.0,,2800.0,5770.0,250.0,32335.0,32335.0,32000.0,1631.0,-1.0,212324.0,,,,-1.0,,,,,-1.0,128600.0,,-1.0,-1.0,,14366.0,1194.0,-1.0,500900.0
1985,100.0,,4100.0,10400.0,200.0,27704.0,27704.0,32000.0,1178.0,-1.0,151585.0,,,,-1.0,,,,,-1.0,135500.0,,-1.0,-1.0,,16436.0,815.0,-1.0,515200.0
1986,150.0,,5000.0,3150.0,200.0,19442.0,19442.0,32500.0,2925.0,-1.0,164218.0,,,,-1.0,,,,,-1.0,149000.0,,-1.0,-1.0,,12900.0,600.0,-1.0,347900.0
1987,50.0,,3800.0,6800.0,260.0,25312.0,25312.0,33000.0,890.0,-1.0,219785.0,,,,-1.0,,,,,-1.0,147000.0,,-1.0,-1.0,,10899.0,-1.0,-1.0,352500.0
1988,55.0,,7400.0,17900.0,150.0,30984.0,30984.0,33500.0,472.0,-1.0,247642.0,,,,-1.0,,,,,-1.0,150000.0,,-1.0,-1.0,,6426.0,-1.0,-1.0,462200.0
1989,100.0,,8500.0,18153.0,168.0,20891.0,20891.0,34000.0,102.0,-1.0,142108.0,,,,-1.0,,,,,-1.0,161000.0,,-1.0,500.0,,5638.0,-1.0,-1.0,444900.0
1990,25.0,,6000.0,15870.0,124.0,10477.0,10477.0,36473.0,234.0,-1.0,159384.0,,,,300.0,,,0.0,,-1.0,120000.0,0.0,-1.0,561.0,,1425.0,-1.0,-1.0,486500.0
1991,60.0,,6500.0,16500.0,138.0,25701.0,25701.0,34500.0,198.0,-1.0,88173.0,,,,800.0,,,500.0,,-1.0,113760.0,0.0,-1.0,1501.0,,324.0,-1.0,-1.0,320100.0
1992,180.0,,,17500.0,126.0,23344.0,23344.0,35000.0,635.0,-1.0,41033.0,146.0,,-1.0,800.0,7000.0,1807.0,388.0,19200.0,15000.0,184510.0,0.0,15000.0,669.0,180.0,630.0,-1.0,-1.0,202800.0
1993,200.0,,,15697.0,122.0,45000.0,45000.0,,840.0,-1.0,63885.0,281.0,2300.0,-1.0,1000.0,6000.0,2678.0,424.0,19100.0,33000.0,243080.0,-1.0,33000.0,500.0,168.0,302.0,-1.0,-1.0,348300.0
1994,100.0,,,6700.0,90.0,14500.0,14500.0,,932.0,-1.0,63924.0,263.0,2400.0,-1.0,650.0,4290.0,7186.0,453.0,21600.0,25000.0,193500.0,-1.0,25000.0,1100.0,2000.0,398.0,-1.0,-1.0,522000.0
1995,50.0,,,7252.0,125.0,29800.0,29800.0,,779.0,-1.0,113267.0,177.0,2403.0,-1.0,450.0,3682.0,10736.0,477.0,21100.0,30000.0,190280.0,-1.0,30000.0,2000.0,6500.0,48.0,-1.0,-1.0,423000.0
1996,0.0,-1.0,,6320.0,74.0,21300.0,21300.0,,1171.0,-1.0,181589.0,113.0,3500.0,-1.0,850.0,5000.0,18809.0,495.0,15700.0,32000.0,190810.0,-1.0,32000.0,700.0,10000.0,634.0,-1.0,-1.0,383300.0
