,Ukraine,Democratic People's Republic of Korea,Bolivia (Plurinational State of),Peru,Serbia and Montenegro,Cameroon,USSR,Romania,Azerbaijan,Spain,Bosnia and Herzegovina,China,The former Yugoslav Republic of Macedonia,Japan,Latvia,Albania,Slovakia,Republic of Korea,France,Chile,Hungary,Greece,Bulgaria,Yugoslav SFR,Portugal,Slovenia,"China, mainland",Italy,Turkey
1961,-1.0,12500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,7914.0
1962,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22846.0,-1.0,-1.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,7234.0
1963,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14658.0,-1.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19394.0,-1.0,-1.0,-1.0,6481.0
1964,-1.0,16500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12611.0,-1.0,-1.0,-1.0,13333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21951.0,-1.0,-1.0,-1.0,6531.0
1965,-1.0,17000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9668.0,-1.0,-1.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10682.0,-1.0,-1.0,-1.0,6600.0
1966,-1.0,17500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11275.0,-1.0,-1.0,-1.0,14175.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18779.0,-1.0,-1.0,-1.0,6383.0
1967,-1.0,18000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11851.0,-1.0,-1.0,-1.0,15013.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17244.0,-1.0,-1.0,-1.0,7149.0
1968,-1.0,14800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13352.0,-1.0,-1.0,-1.0,14942.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13429.0,-1.0,-1.0,-1.0,11559.0
1969,-1.0,15200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12891.0,-1.0,-1.0,-1.0,14450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15134.0,-1.0,-1.0,-1.0,12166.0
1970,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12385.0,-1.0,-1.0,-1.0,15553.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16975.0,-1.0,-1.0,-1.0,12189.0
1971,-1.0,16400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12321.0,-1.0,-1.0,-1.0,15494.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8633.0,-1.0,-1.0,-1.0,12195.0
1972,-1.0,16800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13381.0,-1.0,-1.0,-1.0,15289.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15500.0,-1.0,-1.0,-1.0,12372.0
1973,-1.0,17200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14606.0,-1.0,-1.0,-1.0,15521.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15600.0,-1.0,-1.0,-1.0,12935.0
1974,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13348.0,-1.0,-1.0,-1.0,17245.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14087.0,-1.0,-1.0,-1.0,12000.0
1975,-1.0,15333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13499.0,-1.0,-1.0,-1.0,17104.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14228.0,-1.0,-1.0,-1.0,11059.0
1976,-1.0,15667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12890.0,-1.0,-1.0,-1.0,17622.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14512.0,-1.0,-1.0,-1.0,11042.0
1977,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13649.0,-1.0,-1.0,-1.0,20783.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12480.0,-1.0,-1.0,-1.0,10905.0
1978,-1.0,16667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14028.0,-1.0,-1.0,-1.0,23270.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12231.0,-1.0,-1.0,-1.0,10417.0
1979,-1.0,17333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14909.0,-1.0,-1.0,-1.0,23123.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13890.0,-1.0,-1.0,-1.0,10648.0
1980,-1.0,15714.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10658.0,-1.0,-1.0,-1.0,22830.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12640.0,-1.0,-1.0,-1.0,18056.0
1981,-1.0,14500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13493.0,-1.0,-1.0,-1.0,22482.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12133.0,-1.0,-1.0,-1.0,18438.0
1982,-1.0,13333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11839.0,-1.0,-1.0,-1.0,21340.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11527.0,-1.0,-1.0,-1.0,18644.0
1983,-1.0,14444.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12356.0,-1.0,-1.0,-1.0,21818.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12564.0,-1.0,-1.0,-1.0,18333.0
1984,-1.0,13333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12657.0,-1.0,-1.0,-1.0,21290.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11934.0,-1.0,-1.0,-1.0,17273.0
1985,-1.0,13000.0,13333.0,-1.0,-1.0,10000.0,20833.0,-1.0,-1.0,39381.0,-1.0,21333.0,-1.0,11422.0,-1.0,-1.0,-1.0,22154.0,8987.0,-1.0,31373.0,12616.0,-1.0,18750.0,11337.0,-1.0,21333.0,25058.0,20996.0
1986,-1.0,10600.0,13889.0,-1.0,-1.0,10000.0,22222.0,-1.0,-1.0,37499.0,-1.0,24455.0,-1.0,12971.0,-1.0,-1.0,-1.0,20142.0,9012.0,-1.0,33871.0,13062.0,-1.0,28235.0,11346.0,-1.0,24455.0,29303.0,19126.0
1987,-1.0,10400.0,14444.0,-1.0,-1.0,10000.0,25000.0,-1.0,-1.0,48130.0,-1.0,25739.0,-1.0,11872.0,-1.0,-1.0,-1.0,19671.0,10000.0,-1.0,31609.0,11960.0,-1.0,26471.0,12339.0,-1.0,25739.0,29306.0,24510.0
1988,-1.0,14000.0,15000.0,-1.0,-1.0,10000.0,23256.0,-1.0,-1.0,51030.0,-1.0,23276.0,-1.0,11894.0,-1.0,-1.0,-1.0,22906.0,11027.0,-1.0,29714.0,10847.0,-1.0,26923.0,11765.0,-1.0,23276.0,27524.0,24390.0
1989,-1.0,14400.0,15244.0,9661.0,-1.0,10000.0,22917.0,-1.0,-1.0,36560.0,-1.0,23044.0,-1.0,10313.0,-1.0,-1.0,-1.0,23162.0,12034.0,-1.0,30571.0,15320.0,-1.0,23077.0,13841.0,-1.0,23044.0,26459.0,19550.0
1990,-1.0,16297.0,9426.0,9644.0,-1.0,10000.0,25918.0,-1.0,-1.0,33530.0,-1.0,26367.0,-1.0,10691.0,-1.0,-1.0,-1.0,23623.0,10935.0,-1.0,22868.0,12366.0,21000.0,21325.0,13424.0,-1.0,26367.0,26206.0,20975.0
1991,-1.0,16276.0,12790.0,9667.0,-1.0,9959.0,27380.0,-1.0,-1.0,13370.0,-1.0,41452.0,-1.0,8828.0,-1.0,-1.0,-1.0,25050.0,15890.0,-1.0,18449.0,17291.0,15000.0,21180.0,9882.0,-1.0,41452.0,28331.0,20684.0
1992,-1.0,16057.0,12815.0,9657.0,35310.0,9962.0,-1.0,-1.0,20000.0,13488.0,14615.0,43846.0,8000.0,9465.0,-1.0,-1.0,-1.0,26088.0,20000.0,-1.0,17530.0,15427.0,23731.0,-1.0,8949.0,36535.0,43846.0,26294.0,21750.0
1993,-1.0,15838.0,12669.0,9645.0,27058.0,9964.0,-1.0,100000.0,10000.0,13607.0,14528.0,42059.0,10668.0,7878.0,-1.0,-1.0,-1.0,26998.0,17995.0,-1.0,16647.0,13766.0,33333.0,-1.0,7109.0,33333.0,42059.0,25930.0,20408.0
1994,-1.0,15620.0,12723.0,23014.0,26367.0,9967.0,-1.0,100000.0,15000.0,13726.0,13889.0,45000.0,8000.0,9880.0,-1.0,-1.0,-1.0,27071.0,16968.0,-1.0,15754.0,14744.0,25000.0,-1.0,9975.0,33333.0,45000.0,25568.0,19299.0
1995,-1.0,15401.0,13012.0,22150.0,25672.0,9970.0,-1.0,100000.0,16667.0,13844.0,14364.0,44709.0,15000.0,11429.0,-1.0,-1.0,-1.0,26177.0,15090.0,-1.0,14865.0,15453.0,25000.0,-1.0,10049.0,33333.0,44709.0,25209.0,19376.0
