,"China, mainland",United Republic of Tanzania,Kenya,Madagascar,China,Indonesia,Malaysia,Comoros,Sri Lanka
1961,-1.0,3800.0,-1.0,3143.0,-1.0,3500.0,2500.0,-1.0,2500.0
1962,-1.0,3600.0,-1.0,1143.0,-1.0,3300.0,2308.0,-1.0,3333.0
1963,-1.0,3714.0,-1.0,1857.0,-1.0,3435.0,2571.0,-1.0,3333.0
1964,-1.0,3333.0,-1.0,1791.0,-1.0,3500.0,2667.0,-1.0,3333.0
1965,-1.0,3438.0,-1.0,2229.0,-1.0,3185.0,2308.0,-1.0,3333.0
1966,-1.0,4250.0,-1.0,284.0,-1.0,3365.0,2500.0,-1.0,3333.0
1967,-1.0,4250.0,3077.0,4320.0,-1.0,3267.0,2632.0,-1.0,3333.0
1968,-1.0,4429.0,3077.0,321.0,-1.0,3237.0,2500.0,-1.0,3333.0
1969,-1.0,3714.0,3077.0,1652.0,-1.0,3246.0,2500.0,-1.0,4286.0
1970,-1.0,3214.0,3077.0,4228.0,-1.0,3218.0,2500.0,-1.0,4286.0
1971,-1.0,3667.0,3077.0,1861.0,-1.0,3148.0,2500.0,-1.0,2857.0
1972,-1.0,3714.0,3077.0,1408.0,-1.0,3289.0,2407.0,-1.0,2857.0
1973,-1.0,3714.0,3077.0,922.0,-1.0,4832.0,2500.0,-1.0,4643.0
1974,-1.0,3333.0,3077.0,5627.0,-1.0,2155.0,2500.0,-1.0,4000.0
1975,-1.0,3812.0,3077.0,995.0,-1.0,2717.0,2500.0,-1.0,2667.0
1976,-1.0,3386.0,3077.0,2755.0,-1.0,2536.0,2500.0,-1.0,3125.0
1977,-1.0,3372.0,3077.0,2145.0,-1.0,4328.0,2500.0,-1.0,5000.0
1978,-1.0,2513.0,3077.0,1856.0,-1.0,2145.0,2500.0,-1.0,3704.0
1979,-1.0,3592.0,3077.0,598.0,-1.0,1646.0,2500.0,-1.0,3571.0
1980,-1.0,2594.0,3077.0,1703.0,-1.0,2479.0,2500.0,-1.0,4483.0
1981,-1.0,2458.0,3077.0,1490.0,-1.0,1697.0,2500.0,-1.0,4667.0
1982,-1.0,2255.0,3077.0,1340.0,-1.0,1713.0,2471.0,-1.0,3871.0
1983,-1.0,2737.0,3077.0,560.0,-1.0,1893.0,2500.0,-1.0,5625.0
1984,-1.0,3605.0,3077.0,2346.0,-1.0,1831.0,2500.0,-1.0,4857.0
1985,-1.0,2211.0,3077.0,1814.0,-1.0,1445.0,2500.0,2000.0,1856.0
1986,3333.0,3229.0,3077.0,920.0,3333.0,1596.0,2471.0,2500.0,1434.0
1987,3333.0,2848.0,3077.0,842.0,3333.0,2242.0,2500.0,2167.0,1127.0
1988,3333.0,4097.0,3077.0,1348.0,3333.0,2308.0,2527.0,2167.0,1784.0
1989,2667.0,2904.0,3077.0,882.0,2667.0,1524.0,2527.0,2167.0,1949.0
1990,4095.0,2474.0,3182.0,1188.0,4095.0,1612.0,2554.0,2265.0,2253.0
1991,3636.0,5131.0,1412.0,1829.0,3636.0,1745.0,2553.0,2539.0,2304.0
1992,3333.0,2125.0,1661.0,1440.0,3333.0,1806.0,2551.0,2542.0,2927.0
1993,3973.0,3406.0,1933.0,2063.0,3973.0,1754.0,2550.0,2644.0,2500.0
1994,4352.0,3942.0,2113.0,1795.0,4352.0,1999.0,2556.0,2755.0,2414.0
1995,4773.0,2251.0,2712.0,1733.0,4773.0,2338.0,2523.0,2500.0,2700.0
1996,5230.0,5170.0,3000.0,1733.0,5230.0,1648.0,2510.0,2500.0,2877.0
1997,5718.0,3133.0,3077.0,1822.0,5718.0,1605.0,2500.0,2587.0,3125.0
1998,6226.0,5727.0,2941.0,1696.0,6226.0,1770.0,2481.0,2699.0,3195.0
1999,6731.0,6689.0,3182.0,1565.0,6731.0,1701.0,2468.0,2438.0,3500.0
2000,7211.0,6062.0,3143.0,1475.0,7211.0,1535.0,2455.0,2543.0,3000.0
2001,7707.0,6255.0,3784.0,1487.0,7707.0,1817.0,2441.0,2477.0,3030.0
2002,8839.0,6726.0,4167.0,1486.0,8839.0,2120.0,2428.0,2586.0,3727.0
2003,8967.0,7600.0,4294.0,2401.0,8967.0,2772.0,2413.0,2613.0,4095.0
2004,9320.0,7615.0,4255.0,2288.0,9320.0,1893.0,2399.0,2667.0,4057.0
2005,9648.0,7752.0,5344.0,2652.0,9648.0,1959.0,2385.0,2727.0,4090.0
2006,9949.0,7840.0,6264.0,2700.0,9949.0,2052.0,2371.0,2778.0,4057.0
2007,10667.0,7920.0,7521.0,2686.0,10667.0,2649.0,2356.0,2692.0,4234.0
2008,10313.0,8861.0,8718.0,2751.0,10313.0,2262.0,2342.0,2727.0,5377.0
2009,10620.0,9389.0,8696.0,2700.0,10620.0,2572.0,2327.0,2747.0,5163.0
2010,10933.0,9893.0,8621.0,2712.0,10933.0,3065.0,2312.0,2761.0,5164.0
2011,11295.0,10360.0,8718.0,2822.0,11295.0,2184.0,2296.0,2782.0,5181.0
2012,11500.0,11417.0,8750.0,2903.0,11500.0,2023.0,2200.0,2798.0,5743.0
2013,12000.0,11417.0,9000.0,2972.0,12000.0,2186.0,2259.0,2814.0,5348.0
2014,12476.0,11742.0,9473.0,3040.0,12476.0,2417.0,2291.0,2830.0,7657.0
