,Malaysia,Ecuador,Indonesia,Equatorial Guinea,Costa Rica,Philippines
1961,23965.0,12000.0,6667.0,4000.0,10400.0,5000.0
1962,21966.0,12000.0,6667.0,4000.0,10357.0,5863.0
1963,19773.0,12727.0,6667.0,5000.0,10444.0,6364.0
1964,21318.0,12500.0,6000.0,5000.0,10182.0,5896.0
1965,13980.0,12000.0,6000.0,4260.0,10089.0,5443.0
1966,14827.0,20833.0,6000.0,2570.0,10158.0,6833.0
1967,16218.0,21538.0,6000.0,1180.0,10000.0,6319.0
1968,28987.0,20000.0,13333.0,3000.0,10000.0,6057.0
1969,14676.0,19444.0,12667.0,4000.0,10000.0,6124.0
1970,20495.0,19459.0,35000.0,4000.0,10000.0,7074.0
1971,6099.0,21429.0,40000.0,4000.0,10000.0,6735.0
1972,20000.0,13258.0,43333.0,4091.0,10000.0,7583.0
1973,,10049.0,33333.0,4091.0,10000.0,7301.0
1974,,12879.0,33333.0,4182.0,10000.0,7400.0
1975,,12744.0,9471.0,4182.0,10000.0,7434.0
1976,,12765.0,6558.0,3917.0,10000.0,5716.0
1977,,12731.0,9031.0,3917.0,10000.0,6016.0
1978,,7424.0,4000.0,3917.0,10000.0,5322.0
1979,,7424.0,4521.0,4000.0,10000.0,6321.0
1980,,8000.0,5229.0,3429.0,10000.0,6664.0
1981,,6824.0,5035.0,3571.0,10000.0,5575.0
1982,,6017.0,6045.0,3125.0,10000.0,5792.0
1983,,6552.0,6951.0,3125.0,10000.0,5242.0
1984,,8813.0,5860.0,3000.0,10000.0,5214.0
1985,,7369.0,6530.0,3000.0,10000.0,4996.0
1986,,4857.0,7143.0,3000.0,10000.0,7280.0
1987,,9607.0,9485.0,3000.0,10000.0,7140.0
1988,,12355.0,9783.0,3000.0,10000.0,7765.0
1989,,8174.0,9583.0,2833.0,10000.0,6280.0
1990,,9716.0,9804.0,2709.0,8632.0,5797.0
1991,,9429.0,9670.0,2398.0,10389.0,6133.0
1992,,11729.0,9630.0,2361.0,10414.0,6136.0
1993,,12000.0,9667.0,2323.0,10000.0,5826.0
1994,,10867.0,9692.0,2285.0,10480.0,6440.0
1995,,12428.0,9677.0,2389.0,10562.0,6137.0
1996,,14209.0,9595.0,2462.0,10645.0,6056.0
1997,,14217.0,9541.0,2778.0,10729.0,5968.0
1998,,14634.0,9478.0,2382.0,10813.0,6700.0
1999,,14848.0,9408.0,2312.0,10897.0,6565.0
2000,,14881.0,9332.0,2242.0,10982.0,7226.0
2001,,14706.0,9254.0,2172.0,11069.0,6800.0
2002,,14857.0,9176.0,2103.0,11156.0,5169.0
2003,,14359.0,8960.0,2035.0,11164.0,5743.0
2004,,13338.0,8841.0,1967.0,11173.0,5842.0
2005,,12994.0,8713.0,1899.0,11184.0,5443.0
2006,,12174.0,8582.0,1831.0,11196.0,5139.0
2007,,13913.0,8467.0,1764.0,11210.0,4883.0
2008,,13463.0,8374.0,1698.0,11227.0,4973.0
2009,,12953.0,8305.0,1632.0,11245.0,4873.0
2010,,12620.0,8261.0,1568.0,11266.0,4924.0
2011,,12275.0,8243.0,1278.0,11289.0,4909.0
2012,,12043.0,7647.0,1463.0,11429.0,4946.0
2013,,11810.0,8571.0,1316.0,11667.0,4689.0
2014,,11578.0,8351.0,1392.0,11317.0,4586.0
