,Indonesia,Bhutan,Trinidad and Tobago,Dominica,Sri Lanka,Togo,Melanesia,United Republic of Tanzania,Malaysia,Thailand,Nepal,Ethiopia,Kenya,Ethiopia PDR,Lao People's Democratic Republic,Papua New Guinea,Grenada,Saint Vincent and the Grenadines,Guatemala,Madagascar,Saint Lucia,Malawi,India,Honduras
1961,3300.0,1750.0,75.0,-1.0,1000.0,-1.0,,200.0,550.0,,280.0,,-1.0,,900.0,,469.0,80.0,,,3.0,-1.0,3000.0,-1.0
1962,3200.0,1800.0,75.0,-1.0,1000.0,-1.0,0.0,200.0,200.0,,290.0,,-1.0,,900.0,-1.0,758.0,80.0,,,3.0,-1.0,4000.0,-1.0
1963,6000.0,1850.0,80.0,-1.0,1000.0,-1.0,0.0,200.0,300.0,,300.0,,-1.0,,850.0,-1.0,885.0,60.0,,,4.0,-1.0,4000.0,-1.0
1964,6400.0,1900.0,80.0,-1.0,1000.0,-1.0,0.0,200.0,500.0,,310.0,,-1.0,,940.0,-1.0,768.0,80.0,,,4.0,-1.0,4000.0,-1.0
1965,4900.0,1950.0,85.0,-1.0,1000.0,-1.0,0.0,200.0,300.0,,320.0,,-1.0,,970.0,-1.0,1568.0,120.0,,,5.0,-1.0,4000.0,-1.0
1966,5800.0,1950.0,85.0,-1.0,1000.0,-1.0,0.0,200.0,210.0,,330.0,,-1.0,,1100.0,-1.0,1450.0,90.0,442.0,,5.0,-1.0,4000.0,-1.0
1967,6350.0,2000.0,85.0,-1.0,1000.0,-1.0,0.0,200.0,210.0,,340.0,,-1.0,,1150.0,-1.0,1450.0,90.0,530.0,,6.0,-1.0,3000.0,-1.0
1968,7470.0,2000.0,90.0,-1.0,1000.0,-1.0,0.0,228.0,210.0,,350.0,,-1.0,,1000.0,-1.0,1558.0,90.0,615.0,,6.0,-1.0,3000.0,-1.0
1969,8158.0,2050.0,90.0,-1.0,1000.0,-1.0,0.0,257.0,210.0,,410.0,,-1.0,,1200.0,-1.0,1839.0,120.0,760.0,,7.0,-1.0,3000.0,-1.0
1970,9612.0,2050.0,90.0,-1.0,1000.0,-1.0,0.0,215.0,235.0,,407.0,,-1.0,,950.0,-1.0,2117.0,150.0,980.0,,8.0,-1.0,3000.0,-1.0
1971,9005.0,2100.0,95.0,-1.0,1000.0,-1.0,0.0,201.0,300.0,,550.0,,-1.0,,1200.0,-1.0,1817.0,150.0,718.0,,8.0,-1.0,3600.0,-1.0
1972,10442.0,2100.0,95.0,-1.0,1000.0,-1.0,0.0,161.0,230.0,,450.0,,-1.0,,1200.0,-1.0,1664.0,118.0,762.0,,11.0,-1.0,2900.0,-1.0
1973,10883.0,2150.0,97.0,-1.0,1000.0,-1.0,0.0,740.0,210.0,,589.0,,-1.0,,1200.0,-1.0,1673.0,131.0,1360.0,,13.0,-1.0,3200.0,-1.0
1974,13217.0,2150.0,98.0,-1.0,1000.0,-1.0,0.0,820.0,210.0,,520.0,,-1.0,,1200.0,-1.0,2022.0,164.0,1542.0,,13.0,-1.0,4800.0,-1.0
1975,14634.0,2200.0,99.0,-1.0,2000.0,-1.0,0.0,1010.0,210.0,,600.0,,-1.0,,800.0,-1.0,1743.0,151.0,1837.0,,10.0,-1.0,5200.0,-1.0
1976,14374.0,2250.0,100.0,-1.0,1000.0,-1.0,0.0,610.0,210.0,,900.0,,-1.0,,1000.0,-1.0,2640.0,115.0,2041.0,,12.0,-1.0,4400.0,-1.0
1977,19138.0,2300.0,102.0,-1.0,1000.0,-1.0,0.0,500.0,210.0,,900.0,,-1.0,,1000.0,-1.0,2815.0,120.0,3660.0,,13.0,-1.0,4500.0,-1.0
1978,16336.0,2400.0,105.0,-1.0,1000.0,-1.0,0.0,500.0,210.0,,900.0,,10.0,,1100.0,-1.0,2358.0,144.0,4645.0,,15.0,-1.0,5100.0,-1.0
1979,17952.0,2500.0,108.0,-1.0,1000.0,-1.0,0.0,700.0,210.0,,900.0,,20.0,100.0,1200.0,-1.0,2685.0,169.0,3443.0,,16.0,-1.0,5300.0,-1.0
1980,18353.0,2600.0,110.0,-1.0,1428.0,-1.0,0.0,500.0,325.0,,800.0,,10.0,100.0,1300.0,-1.0,2613.0,213.0,5008.0,,18.0,-1.0,5500.0,-1.0
1981,18603.0,2800.0,115.0,-1.0,1446.0,-1.0,50.0,750.0,325.0,,800.0,,10.0,100.0,1400.0,50.0,3306.0,72.0,5030.0,,7.0,-1.0,9400.0,-1.0
1982,15028.0,2770.0,120.0,-1.0,1428.0,-1.0,40.0,850.0,320.0,,1000.0,,10.0,100.0,1500.0,40.0,2363.0,65.0,6334.0,,12.0,-1.0,8050.0,-1.0
1983,14878.0,2800.0,122.0,-1.0,1425.0,-1.0,90.0,500.0,340.0,,1000.0,,10.0,100.0,1600.0,90.0,1959.0,91.0,7820.0,,13.0,-1.0,8900.0,-1.0
1984,17982.0,3013.0,124.0,-1.0,1448.0,-1.0,200.0,400.0,305.0,,1100.0,,10.0,200.0,1700.0,200.0,2839.0,95.0,7348.0,,14.0,-1.0,9300.0,-1.0
1985,14250.0,3000.0,125.0,-1.0,1438.0,-1.0,380.0,300.0,345.0,,1200.0,,10.0,150.0,2000.0,380.0,2137.0,87.0,7450.0,,15.0,50.0,10020.0,-1.0
1986,15072.0,3500.0,128.0,-1.0,1432.0,-1.0,420.0,350.0,390.0,,1200.0,,10.0,100.0,2000.0,420.0,2750.0,92.0,8970.0,,15.0,50.0,9710.0,400.0
