,"China, Taiwan Province of",Sudan,Mali,Central African Republic,Iran (Islamic Republic of),China,Mexico,Sudan (former),"China, mainland",Greece,Chad,South Sudan,Democratic Republic of the Congo,Nigeria,Senegal,Cameroon,Mauritania,Congo
2005,,,59386.0,6489.0,5793.0,15714.0,1786.0,6410.0,15714.0,29412.0,6844.0,,5522.0,6499.0,2177.0,5500.0,5969.0,4782.0
2006,,,73415.0,6522.0,5839.0,15000.0,2000.0,6400.0,15000.0,29412.0,6931.0,,5584.0,6598.0,2148.0,5456.0,5978.0,4795.0
2007,,,89775.0,6515.0,5886.0,15455.0,1923.0,6341.0,15455.0,33333.0,7105.0,,5649.0,6595.0,2420.0,5420.0,5989.0,4787.0
2008,,,107805.0,6541.0,5934.0,13845.0,1875.0,6667.0,13845.0,33333.0,6915.0,,5713.0,6809.0,2033.0,5365.0,6002.0,4787.0
2009,,,102026.0,6577.0,5983.0,13781.0,2699.0,6538.0,13781.0,30052.0,6891.0,,5776.0,8222.0,1949.0,5714.0,6017.0,4787.0
2010,,,141034.0,6599.0,6035.0,14131.0,3333.0,6538.0,14131.0,25397.0,6875.0,,5836.0,10802.0,1862.0,5849.0,6032.0,4789.0
2011,,,141011.0,6620.0,6087.0,14345.0,5667.0,6535.0,14345.0,22047.0,6870.0,,5894.0,12173.0,1776.0,4875.0,6049.0,4779.0
2012,,6538.0,156968.0,6642.0,6250.0,14559.0,3585.0,,14559.0,17391.0,6748.0,6667.0,6200.0,7561.0,1455.0,3644.0,6047.0,4710.0
2013,,6542.0,155533.0,6663.0,6467.0,14772.0,3702.0,,14772.0,18000.0,6970.0,4500.0,6200.0,7566.0,1473.0,3644.0,6136.0,4904.0
2014,,7692.0,166101.0,6685.0,6224.0,14986.0,4117.0,,14986.0,17635.0,7004.0,6944.0,6099.0,7546.0,1582.0,4133.0,6114.0,4853.0
