,Malaysia,Ecuador,Indonesia,Equatorial Guinea,Costa Rica,Philippines
1961,1836.0,100.0,600.0,1000.0,500.0,183000.0
1962,1821.0,100.0,600.0,1000.0,700.0,182000.0
1963,2023.0,110.0,600.0,1000.0,900.0,211000.0
1964,2064.0,120.0,500.0,1000.0,1100.0,199290.0
1965,2289.0,150.0,500.0,1000.0,900.0,198040.0
1966,2198.0,1200.0,500.0,1000.0,950.0,198000.0
1967,2023.0,1300.0,500.0,1000.0,950.0,186100.0
1968,1214.0,1500.0,300.0,1000.0,950.0,170710.0
1969,1820.0,1800.0,300.0,1000.0,950.0,172940.0
1970,182.0,1850.0,200.0,1000.0,950.0,173020.0
1971,182.0,2100.0,250.0,1000.0,950.0,155300.0
1972,2.0,3300.0,300.0,1100.0,1000.0,145200.0
1973,,6525.0,300.0,1100.0,1000.0,163300.0
1974,,7370.0,150.0,1100.0,1000.0,170110.0
1975,,8180.0,227.0,1100.0,1000.0,179650.0
1976,,10850.0,308.0,1200.0,1000.0,243760.0
1977,,13000.0,227.0,1200.0,1000.0,250290.0
1978,,14400.0,480.0,1200.0,1000.0,243810.0
1979,,14400.0,480.0,1200.0,1000.0,234700.0
1980,,13807.0,480.0,1400.0,1000.0,235870.0
1981,,13540.0,574.0,1400.0,1000.0,230140.0
1982,,11800.0,574.0,1600.0,1000.0,206750.0
1983,,11600.0,574.0,1600.0,1000.0,170350.0
1984,,20782.0,715.0,1700.0,1000.0,170676.0
1985,,13510.0,438.0,1700.0,1000.0,164549.0
1986,,14000.0,448.0,1700.0,1000.0,114849.0
1987,,16600.0,447.0,1700.0,1000.0,114815.0
1988,,17830.0,460.0,1700.0,1000.0,108300.0
1989,,17060.0,480.0,1800.0,1000.0,105100.0
1990,0.0,17700.0,510.0,1993.0,1038.0,102494.0
1991,0.0,17350.0,520.0,1800.0,1191.0,104346.0
1992,0.0,17470.0,540.0,1800.0,1183.0,102155.0
1993,-1.0,16820.0,600.0,1800.0,1100.0,102164.0
1994,-1.0,14310.0,650.0,1800.0,1167.0,103127.0
1995,-1.0,14450.0,620.0,1800.0,1164.0,105641.0
1996,-1.0,15330.0,594.0,1800.0,1161.0,116300.0
1997,-1.0,16380.0,577.0,1800.0,1159.0,112456.0
1998,-1.0,16400.0,562.0,1800.0,1156.0,106299.0
1999,-1.0,16500.0,549.0,1800.0,1153.0,111384.0
2000,-1.0,16800.0,537.0,1800.0,1151.0,106816.0
2001,-1.0,17000.0,527.0,1800.0,1148.0,107145.0
2002,-1.0,17500.0,519.0,1800.0,1144.0,121941.0
2003,-1.0,19500.0,526.0,1800.0,1149.0,121476.0
2004,-1.0,22910.0,526.0,1800.0,1253.0,127461.0
2005,-1.0,22400.0,530.0,1800.0,1207.0,135966.0
2006,-1.0,23000.0,536.0,1800.0,1161.0,135833.0
2007,-1.0,23000.0,546.0,1800.0,1115.0,136049.0
2008,-1.0,23768.0,560.0,1800.0,1069.0,137520.0
2009,-1.0,23800.0,578.0,1809.0,1106.0,135081.0
2010,-1.0,25320.0,601.0,1800.0,1105.0,135090.0
2011,-1.0,27506.0,627.0,1800.0,1104.0,139771.0
2012,-1.0,28133.0,680.0,1709.0,1050.0,138520.0
2013,-1.0,29245.0,700.0,1900.0,1050.0,138250.0
2014,-1.0,30401.0,748.0,1713.0,1103.0,148385.0
