,USSR,Burkina Faso,France,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Yemen,South Africa,Lao People's Democratic Republic,Zambia,Botswana,Somalia,Suriname,Albania,Brazil,Mozambique,Australia & New Zealand,El Salvador,Montenegro,Argentina,Colombia,New Caledonia,Central African Republic,Bahamas,Honduras,Jamaica,Ecuador,Swaziland,Indonesia,Seychelles,Turkey,Jordan,Ethiopia PDR,Egypt,Melanesia,Togo,Malaysia,Greece,Tajikistan,Haiti,Spain,Democratic Republic of the Congo,Tunisia,Sudan,Mali,Congo,Martinique,Dominican Republic,Syrian Arab Republic,Tonga,Yugoslav SFR,Iran (Islamic Republic of),Peru,Ghana,Philippines,"China, mainland",French Polynesia,Madagascar,Cyprus,Guinea-Bissau,Rwanda,Bosnia and Herzegovina,Portugal,Guatemala,Cuba,Puerto Rico,United States of America,Bhutan,Dominica,Iraq,New Zealand,India,Timor-Leste,Senegal,United Republic of Tanzania,Paraguay,Nepal,Libya,Costa Rica,Bangladesh,Italy,Saint Lucia,Benin,Occupied Palestinian Territory,Cambodia,Serbia and Montenegro,Sudan (former),Morocco,Chile,Malta,Uruguay,Zimbabwe,Lebanon,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Afghanistan,Trinidad and Tobago,Namibia,Georgia,Azerbaijan,Nicaragua,Viet Nam,Russian Federation,Bolivia (Plurinational State of),Grenada,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Brunei Darussalam,Mexico,Cook Islands,Kuwait,Guadeloupe,Sri Lanka,Côte d'Ivoire,Polynesia,Croatia,China,Liberia
1961,55556.0,,31325.0,200000.0,111173.0,,10944.0,,147059.0,175000.0,,25000.0,60000.0,,159543.0,60000.0,33333.0,30000.0,62500.0,34325.0,,148359.0,31667.0,110276.0,65128.0,,,136000.0,,,,33087.0,92880.0,231615.0,50000.0,40000.0,,92719.0,75000.0,50000.0,74762.0,200000.0,,50000.0,176284.0,,,188936.0,145833.0,,,30000.0,26667.0,28571.0,,54000.0,50000.0,,46364.0,150380.0,65000.0,17586.0,25625.0,100000.0,75000.0,186774.0,,,,87333.0,,,,203086.0,40506.0,,,20625.0,139259.0,,30000.0,,,,134785.0,80000.0,50000.0,139476.0,,72624.0,,,,74286.0,,107143.0,,,25000.0,222807.0,67838.0,70081.0,199600.0,,151818.0,70629.0,48571.0,,,,50357.0,58333.0,,80769.0,,,55461.0,50000.0,106488.0,105057.0,70000.0,,29630.0,100000.0,85561.0,,26635.0,27778.0
1962,62222.0,,31262.0,200000.0,111173.0,,6773.0,,147059.0,181250.0,,27500.0,61753.0,,173314.0,60465.0,35294.0,30000.0,65000.0,83915.0,,147103.0,31667.0,110175.0,64390.0,,,141176.0,,,,33110.0,92771.0,229530.0,50000.0,40000.0,,96585.0,98381.0,54545.0,112000.0,200000.0,,50000.0,136181.0,,,129882.0,146575.0,,,20000.0,26667.0,28571.0,,56000.0,50000.0,,45833.0,149286.0,65000.0,12830.0,28824.0,100000.0,70000.0,188333.0,,,,100645.0,,,,231848.0,40741.0,,,27083.0,124074.0,,30000.0,,,,135507.0,80000.0,50000.0,119296.0,,69333.0,,,,77778.0,,114286.0,,,27869.0,229310.0,68955.0,67809.0,217700.0,,141923.0,70629.0,51429.0,,,,50000.0,58824.0,,79630.0,,,56084.0,50000.0,111579.0,85714.0,70000.0,,30394.0,100000.0,73684.0,,29942.0,27778.0
1963,70676.0,,36699.0,200000.0,122786.0,,9119.0,,147059.0,192422.0,,30000.0,54153.0,,174154.0,60000.0,33333.0,30000.0,60000.0,82024.0,,151832.0,31250.0,121537.0,64286.0,,,144231.0,,,,33140.0,94905.0,243199.0,47143.0,40000.0,,107197.0,160313.0,54545.0,124815.0,200000.0,,50000.0,137655.0,,,183765.0,147297.0,,,20000.0,26667.0,30667.0,,54000.0,50800.0,,46400.0,149438.0,60000.0,12900.0,24706.0,100000.0,70000.0,188571.0,,,,68667.0,,,,185681.0,40476.0,,,23333.0,121818.0,,30000.0,,,,129874.0,79623.0,48571.0,144772.0,,70000.0,,,,75676.0,,97500.0,,,26230.0,241935.0,67143.0,78827.0,189850.0,,100000.0,70629.0,37583.0,,,,49688.0,67143.0,,80357.0,,,56738.0,50000.0,109445.0,91429.0,70000.0,,33675.0,100000.0,77474.0,,26643.0,27778.0
1964,21176.0,,50843.0,187500.0,111985.0,,12020.0,,147059.0,173342.0,,32500.0,60453.0,,188315.0,60000.0,33333.0,30684.0,61111.0,67919.0,,142911.0,31250.0,110857.0,67907.0,,,147170.0,,,,33129.0,93104.0,223071.0,47143.0,40000.0,,99204.0,166613.0,53846.0,102813.0,187500.0,,50000.0,181822.0,,,184064.0,148000.0,,,20000.0,26667.0,31250.0,,48000.0,66667.0,,45926.0,150526.0,60000.0,12760.0,27619.0,100000.0,70000.0,186774.0,,,,93125.0,,,,158616.0,40698.0,,,29362.0,123393.0,,30000.0,,,,128613.0,79636.0,51282.0,149283.0,,70000.0,,,,75676.0,,102381.0,,,27419.0,207143.0,68283.0,53600.0,207900.0,,142192.0,82119.0,49014.0,,,,49701.0,70833.0,,79310.0,,,57425.0,50000.0,108163.0,95930.0,70000.0,,39640.0,100000.0,82831.0,,28759.0,27778.0
1965,48714.0,,37089.0,194444.0,135284.0,,11466.0,,147059.0,141249.0,,35000.0,60241.0,,176611.0,60870.0,33333.0,30500.0,63333.0,61916.0,,152108.0,31250.0,133656.0,67955.0,,,148148.0,,,,37729.0,92634.0,223778.0,43750.0,40000.0,,120000.0,222725.0,53846.0,96353.0,194444.0,,48889.0,172695.0,,,189053.0,148684.0,,,20278.0,26667.0,31250.0,,38571.0,66667.0,,45517.0,150505.0,59946.0,17535.0,27727.0,100000.0,65000.0,190313.0,,,,96250.0,,,,194041.0,40909.0,,,24904.0,132203.0,,20000.0,,,,131911.0,80000.0,51282.0,140890.0,,50000.0,,,,78947.0,,104762.0,,,28125.0,171741.0,68033.0,51032.0,214433.0,,150828.0,86164.0,51978.0,,,,49718.0,74667.0,,80000.0,,,58147.0,50000.0,156428.0,100865.0,70000.0,,30160.0,100000.0,85457.0,,28870.0,27778.0
1966,71429.0,,68212.0,200000.0,111583.0,,96317.0,,141026.0,149707.0,,37500.0,39616.0,,174655.0,60870.0,35000.0,30500.0,64444.0,46431.0,,142314.0,31250.0,110369.0,68000.0,,,150000.0,,,,43790.0,94967.0,208374.0,45000.0,40000.0,,124834.0,211971.0,53571.0,119702.0,200000.0,,50000.0,190924.0,,,202866.0,149351.0,,,20278.0,27500.0,35000.0,,41818.0,66667.0,,47000.0,149488.0,64886.0,16793.0,28696.0,100000.0,66667.0,192857.0,,,,80864.0,,,,209847.0,40217.0,,,27115.0,128571.0,,20000.0,,,,122667.0,79355.0,81818.0,156449.0,,50000.0,,,,79487.0,,100000.0,,,28125.0,191696.0,67145.0,70407.0,199188.0,,147059.0,86932.0,52470.0,,,,48919.0,75000.0,,79516.0,,,63642.0,49778.0,145629.0,152738.0,70000.0,,25858.0,100000.0,112444.0,,31129.0,27778.0
1967,50000.0,,145116.0,200000.0,130388.0,,95930.0,,141026.0,109919.0,,32000.0,43118.0,,189231.0,60000.0,36667.0,30500.0,60000.0,54578.0,,150285.0,31250.0,128683.0,81087.0,,,153704.0,,,,45198.0,95623.0,237858.0,46667.0,40000.0,,151413.0,216912.0,53571.0,116851.0,200000.0,,50000.0,125483.0,,,176434.0,150000.0,,,20270.0,27500.0,33333.0,,42727.0,66667.0,,46923.0,160924.0,65075.0,17487.0,27200.0,100000.0,53333.0,192889.0,,,,80124.0,,,,252018.0,40860.0,,,24227.0,133333.0,,10000.0,,,,114867.0,80000.0,90909.0,160861.0,,50000.0,,,,80000.0,,97561.0,,,28788.0,195512.0,67209.0,75929.0,239359.0,,135722.0,94388.0,52592.0,,,,50130.0,71111.0,,79531.0,,,65415.0,50000.0,129823.0,129683.0,70000.0,,29622.0,100000.0,100450.0,,30349.0,27778.0
1968,47143.0,,71475.0,200000.0,116689.0,,100000.0,,141026.0,111101.0,,34000.0,43653.0,,193337.0,58696.0,35385.0,30500.0,61000.0,50316.0,,156918.0,32500.0,115568.0,68333.0,,,158182.0,,,,43643.0,95601.0,170393.0,50000.0,40000.0,,199581.0,93761.0,53333.0,105209.0,200000.0,,50000.0,176138.0,,,153412.0,150000.0,,,20270.0,28750.0,35556.0,,21421.0,66667.0,,47625.0,153590.0,64461.0,17662.0,26800.0,100000.0,60000.0,191698.0,,,,66669.0,,,,163049.0,40625.0,,,39259.0,127684.0,,20000.0,,,,114357.0,79710.0,90909.0,174553.0,,50000.0,,,,80488.0,,104762.0,,,29851.0,200839.0,67260.0,90728.0,282150.0,,138404.0,97396.0,51351.0,,,,50125.0,66000.0,,79545.0,,,67240.0,50000.0,120382.0,86455.0,70000.0,,29058.0,100000.0,77961.0,,31994.0,27778.0
1969,60000.0,,88608.0,200000.0,135555.0,,102048.0,,141026.0,127752.0,,36000.0,43960.0,,176544.0,60000.0,35385.0,31143.0,63000.0,59342.0,,158246.0,32500.0,133770.0,68271.0,,,158929.0,,,,43734.0,97739.0,173461.0,52500.0,40000.0,,171257.0,142415.0,53333.0,130928.0,200000.0,,49231.0,184395.0,,,192915.0,152439.0,,,20270.0,28750.0,31818.0,,44484.0,66667.0,,47536.0,153614.0,65363.0,22705.0,26400.0,100000.0,67179.0,190500.0,,,,76622.0,,,,221323.0,40816.0,,,33937.0,125000.0,,20000.0,,,,120919.0,80282.0,68000.0,170828.0,,50000.0,,,,80000.0,,100000.0,,,29851.0,183810.0,69073.0,86627.0,256688.0,,185497.0,96923.0,41581.0,,,,50235.0,66667.0,,79661.0,,,69115.0,50444.0,113386.0,170029.0,70000.0,,15227.0,100000.0,121439.0,,32243.0,28333.0
1970,175385.0,,85185.0,200000.0,120928.0,,102295.0,8667.0,141026.0,84901.0,,31667.0,33404.0,,187426.0,60714.0,33333.0,31143.0,65000.0,55022.0,,153410.0,34000.0,119548.0,63443.0,,,159649.0,,,,43740.0,100218.0,167916.0,58824.0,36897.0,,179965.0,66667.0,50000.0,114386.0,200000.0,,50000.0,156383.0,,,137759.0,155181.0,,,21053.0,28235.0,31818.0,,32755.0,66667.0,,48108.0,145024.0,67895.0,24211.0,22308.0,125000.0,81071.0,193239.0,,,,65712.0,,,,211422.0,41000.0,,,47634.0,129032.0,,30000.0,,,,121229.0,79865.0,71765.0,154790.0,,50000.0,,,,80000.0,,102381.0,,,30000.0,200302.0,67998.0,100169.0,295158.0,,138519.0,93367.0,46911.0,,,,49889.0,68182.0,,79412.0,,,71042.0,50000.0,81348.0,144092.0,70000.0,,20000.0,100000.0,108696.0,,31789.0,28889.0
