,Kenya,Bolivia (Plurinational State of),Peru,Guyana,Cameroon,Grenada,Tonga,Dominican Republic,Martinique,Lao People's Democratic Republic,Pacific Islands Trust Territory,Liberia,Malawi,Venezuela (Bolivarian Republic of),Melanesia,Guadeloupe,New Caledonia,Belize,Democratic Republic of the Congo,Bahamas,Guatemala,Nigeria,French Guiana,Myanmar,Haiti,Costa Rica,Guinea,Cuba,El Salvador,Dominica,Rwanda,Equatorial Guinea,Congo,Gabon,Cayman Islands,Ecuador,Honduras,Central African Republic,Puerto Rico,Sri Lanka,Suriname,Côte d'Ivoire,Colombia,Trinidad and Tobago,Jamaica,United Republic of Tanzania,Micronesia (Federated States of),Guinea-Bissau,Saint Lucia,Sierra Leone,Saint Vincent and the Grenadines,Panama,Micronesia,Ghana,Polynesia,Nicaragua,Uganda
1961,10000.0,33000.0,365380.0,19000.0,524797.0,200.0,6000.0,443239.0,2000.0,-1,1500.0,23000.0,56000.0,300300.0,2500.0,1500.0,2500.0,-1.0,960000.0,-1.0,21600.0,798000.0,1500.0,92000.0,198000.0,30100.0,250000.0,60000.0,3000.0,-1.0,986976.0,-1.0,27000.0,85000.0,-1.0,327600.0,76590.0,48000.0,38200.0,334000.0,3416.0,500000.0,1275000.0,1800.0,7000.0,344800.0,-1.0,22000.0,-1.0,14900.0,-1.0,66500.0,1500.0,600000.0,6000.0,61900.0,3700000.0
1962,10000.0,42000.0,488280.0,20000.0,661260.0,210.0,5500.0,455820.0,2000.0,-1,1400.0,23000.0,57000.0,275184.0,2500.0,1500.0,2500.0,-1.0,980000.0,-1.0,24000.0,817000.0,1500.0,99086.0,202900.0,30800.0,280000.0,64218.0,3000.0,-1.0,1471830.0,-1.0,27000.0,85000.0,-1.0,340434.0,78140.0,48000.0,42000.0,322097.0,3833.0,570000.0,1292000.0,2000.0,6500.0,337600.0,-1.0,22000.0,-1.0,15100.0,-1.0,71500.0,1400.0,600000.0,5500.0,62300.0,3900000.0
1963,10000.0,50000.0,487750.0,17690.0,696306.0,210.0,5500.0,465780.0,2300.0,-1,1360.0,22000.0,58000.0,276531.0,2500.0,1500.0,2500.0,-1.0,1000000.0,-1.0,27500.0,833000.0,1250.0,120000.0,207200.0,32300.0,230000.0,71705.0,3000.0,-1.0,879180.0,-1.0,28000.0,90000.0,-1.0,365460.0,81010.0,48000.0,47000.0,344000.0,4486.0,550000.0,1309000.0,2268.0,6000.0,374400.0,-1.0,22000.0,-1.0,15400.0,-1.0,70900.0,1360.0,650000.0,5500.0,68900.0,4300000.0
1964,100000.0,59000.0,438995.0,20704.0,964653.0,220.0,5000.0,468666.0,2500.0,-1,1360.0,22000.0,59000.0,286578.0,3000.0,1600.0,3000.0,-1.0,1030000.0,-1.0,35000.0,853000.0,1260.0,130000.0,211500.0,33600.0,250000.0,79256.0,3000.0,-1.0,1033343.0,-1.0,28000.0,90000.0,-1.0,463224.0,83480.0,49000.0,37800.0,380000.0,5239.0,580000.0,1345500.0,2585.0,6000.0,408300.0,-1.0,24000.0,-1.0,15700.0,-1.0,69400.0,1360.0,650000.0,5000.0,74000.0,4500000.0
1965,10000.0,66000.0,586025.0,23541.0,585339.0,220.0,5000.0,469807.0,2500.0,-1,454.0,22000.0,60000.0,283427.0,3000.0,1600.0,3000.0,-1.0,1050000.0,-1.0,34600.0,877000.0,1680.0,147566.0,216700.0,36700.0,250000.0,67742.0,3000.0,-1.0,1202250.0,-1.0,28000.0,95000.0,-1.0,598442.0,85740.0,49000.0,49200.0,420000.0,4236.0,600000.0,1383900.0,2948.0,3538.0,408000.0,-1.0,24000.0,-1.0,16000.0,-1.0,69600.0,454.0,680000.0,5000.0,55500.0,3100000.0
1966,10000.0,76000.0,818045.0,28250.0,641429.0,230.0,4500.0,476382.0,2600.0,-1,450.0,22000.0,61000.0,278732.0,3000.0,1800.0,3000.0,-1.0,1070000.0,-1.0,32200.0,898000.0,1600.0,145441.0,222110.0,40800.0,250000.0,71855.0,3000.0,-1.0,1206900.0,-1.0,29000.0,95000.0,-1.0,657542.0,90089.0,49000.0,66420.0,454381.0,4483.0,615000.0,1423300.0,3493.0,5173.0,538000.0,-1.0,23000.0,-1.0,14000.0,-1.0,69300.0,450.0,696000.0,4500.0,52700.0,3500000.0
1967,10000.0,87400.0,832270.0,23774.0,802233.0,220.0,4500.0,392331.0,2600.0,-1,400.0,22000.0,62000.0,259017.0,3000.0,1800.0,3000.0,-1.0,1100000.0,-1.0,39200.0,918000.0,1350.0,155019.0,224770.0,43400.0,280000.0,58633.0,3000.0,-1.0,1560000.0,-1.0,29000.0,100000.0,-1.0,402043.0,101293.0,50000.0,64800.0,556969.0,3160.0,620000.0,1590400.0,2495.0,9165.0,356000.0,-1.0,23000.0,-1.0,14000.0,-1.0,78800.0,400.0,741000.0,4500.0,57500.0,4500000.0
1968,10000.0,93000.0,805446.0,21464.0,796854.0,210.0,4500.0,395678.0,2700.0,-1,400.0,23000.0,63000.0,293019.0,3000.0,2000.0,3000.0,-1.0,1140000.0,-1.0,35300.0,942000.0,1370.0,160452.0,225000.0,51200.0,250000.0,80311.0,3000.0,-1.0,1615000.0,-1.0,29000.0,100000.0,-1.0,483856.0,104328.0,51000.0,58050.0,409523.0,6280.0,625000.0,1600000.0,2767.0,8930.0,293500.0,-1.0,23000.0,-1.0,14000.0,-1.0,91000.0,400.0,767000.0,4500.0,57000.0,5200000.0
1969,10000.0,97000.0,868299.0,22163.0,623119.0,200.0,4000.0,512550.0,2700.0,-1,400.0,23000.0,64000.0,342646.0,3000.0,2000.0,3000.0,-1.0,1100000.0,-1.0,35600.0,970000.0,1300.0,163490.0,230000.0,57500.0,260000.0,94349.0,3000.0,-1.0,1638000.0,-1.0,29000.0,110000.0,-1.0,445463.0,107392.0,52000.0,65610.0,394972.0,5343.0,638000.0,1650000.0,3175.0,9902.0,390000.0,-1.0,23000.0,-1.0,14000.0,-1.0,104900.0,400.0,800000.0,4000.0,60100.0,5500000.0
1970,10000.0,98500.0,853591.0,23271.0,695781.0,190.0,5800.0,531202.0,2800.0,-1,400.0,24000.0,65000.0,369713.0,3700.0,2000.0,3700.0,-1.0,1215800.0,-1.0,42100.0,985000.0,1900.0,171502.0,235000.0,55100.0,230000.0,30804.0,3100.0,-1.0,1651100.0,-1.0,29000.0,110000.0,-1.0,448990.0,82873.0,53000.0,68310.0,372870.0,2895.0,650000.0,1690000.0,3311.0,11910.0,546000.0,-1.0,23000.0,-1.0,15000.0,-1.0,96700.0,400.0,800000.0,5800.0,61200.0,7657000.0
