,Ecuador,Cuba,El Salvador,Italy,Philippines,Nicaragua,Colombia,Guatemala,Mexico
1961,-1.0,11100.0,3400.0,-1.0,2200.0,400.0,17000.0,500.0,-1.0
1962,-1.0,8800.0,3300.0,-1.0,2450.0,400.0,17500.0,500.0,-1.0
1963,-1.0,10000.0,3700.0,-1.0,2400.0,400.0,18000.0,500.0,-1.0
1964,-1.0,10000.0,3300.0,-1.0,2424.0,400.0,18500.0,500.0,-1.0
1965,-1.0,10000.0,3300.0,-1.0,2521.0,400.0,19000.0,500.0,-1.0
1966,-1.0,10000.0,3300.0,-1.0,2662.0,400.0,19600.0,600.0,-1.0
1967,-1.0,10500.0,3300.0,-1.0,2748.0,400.0,21000.0,600.0,-1.0
1968,-1.0,10500.0,3300.0,-1.0,2748.0,400.0,22000.0,700.0,-1.0
1969,-1.0,10500.0,3264.0,-1.0,2441.0,400.0,22100.0,731.0,-1.0
1970,-1.0,10500.0,3264.0,-1.0,2408.0,400.0,23400.0,731.0,-1.0
1971,-1.0,10500.0,3300.0,-1.0,2400.0,800.0,24100.0,731.0,-1.0
1972,-1.0,10500.0,3495.0,-1.0,2536.0,1200.0,26700.0,750.0,-1.0
1973,-1.0,10700.0,3700.0,-1.0,2518.0,1600.0,29700.0,800.0,-1.0
1974,-1.0,10800.0,3700.0,-1.0,2700.0,2000.0,33000.0,800.0,-1.0
1975,-1.0,10900.0,4189.0,-1.0,1759.0,2133.0,49900.0,850.0,-1.0
1976,-1.0,11000.0,5307.0,-1.0,1393.0,2190.0,42000.0,900.0,-1.0
1977,3517.0,11100.0,5667.0,-1.0,2680.0,2250.0,39200.0,930.0,-1.0
1978,3610.0,11200.0,5925.0,-1.0,3280.0,2300.0,35100.0,950.0,-1.0
1979,4487.0,11300.0,6114.0,-1.0,3900.0,2400.0,33800.0,950.0,-1.0
1980,6081.0,11400.0,7376.0,-1.0,4377.0,2400.0,37100.0,950.0,-1.0
1981,5989.0,11500.0,7616.0,-1.0,3758.0,2400.0,31000.0,950.0,-1.0
1982,7765.0,11600.0,7200.0,-1.0,3601.0,2500.0,28500.0,850.0,3400.0
1983,8212.0,11600.0,6700.0,-1.0,3400.0,2600.0,27100.0,680.0,4800.0
1984,6302.0,11700.0,5461.0,-1.0,3348.0,2700.0,23730.0,530.0,2800.0
1985,6077.0,11800.0,5378.0,-1.0,3328.0,2800.0,23790.0,350.0,1600.0
1986,5852.0,11800.0,4628.0,-1.0,3384.0,2900.0,23920.0,260.0,4100.0
1987,4757.0,11900.0,7250.0,-1.0,3398.0,3000.0,23520.0,289.0,4700.0
1988,3448.0,11900.0,7511.0,-1.0,3500.0,3100.0,23900.0,294.0,4600.0
1989,3571.0,12000.0,8556.0,-1.0,3500.0,3200.0,23980.0,100.0,10500.0
1990,2141.0,7423.0,9140.0,0.0,3191.0,3300.0,21610.0,99.0,12000.0
1991,3173.0,11500.0,9145.0,-1.0,3943.0,3400.0,35080.0,112.0,12100.0
1992,2426.0,10299.0,9900.0,-1.0,3944.0,3500.0,21678.0,111.0,7100.0
1993,2200.0,9954.0,9800.0,-1.0,3935.0,3700.0,23054.0,110.0,12000.0
1994,2245.0,9618.0,9057.0,-1.0,2780.0,3800.0,21353.0,120.0,15700.0
1995,1700.0,9289.0,1000.0,-1.0,3800.0,3900.0,29149.0,130.0,7900.0
1996,1800.0,8969.0,5962.0,-1.0,4000.0,3946.0,33416.0,140.0,8000.0
1997,1900.0,8656.0,5520.0,-1.0,3979.0,4000.0,35570.0,150.0,8600.0
1998,2100.0,8350.0,4140.0,-1.0,3991.0,4044.0,23125.0,150.0,9000.0
1999,2200.0,8050.0,2730.0,-1.0,4000.0,4100.0,21303.0,150.0,9000.0
2000,2310.0,7756.0,2415.0,-1.0,4006.0,4123.0,19355.0,145.0,10000.0
2001,2722.0,7467.0,2500.0,-1.0,4009.0,4150.0,18473.0,140.0,9162.0
2002,2300.0,7182.0,3043.0,-1.0,4010.0,4200.0,19884.0,138.0,9083.0
2003,2300.0,6902.0,2919.0,-1.0,4009.0,4250.0,20508.0,135.0,8990.0
2004,4963.0,6625.0,2799.0,-1.0,4006.0,4350.0,21498.0,133.0,8886.0
2005,3465.0,6350.0,2681.0,-1.0,4003.0,4392.0,22000.0,131.0,8924.0
2006,3440.0,6078.0,2534.0,-1.0,3998.0,4400.0,20436.0,129.0,7900.0
2007,3850.0,5808.0,2418.0,-1.0,3994.0,4441.0,19945.0,126.0,7648.0
2008,3800.0,5540.0,2303.0,-1.0,3989.0,4518.0,19221.0,124.0,7391.0
2009,3900.0,5275.0,2194.0,-1.0,3985.0,4603.0,18660.0,122.0,7138.0
2010,3833.0,5014.0,2092.0,-1.0,3982.0,4712.0,18094.0,120.0,6894.0
2011,3908.0,4756.0,1999.0,-1.0,3980.0,4847.0,17536.0,117.0,6662.0
2012,4000.0,4000.0,1850.0,-1.0,4000.0,5000.0,16000.0,115.0,6000.0
2013,4200.0,4000.0,1900.0,-1.0,4000.0,5250.0,16000.0,115.0,6000.0
2014,4211.0,3800.0,1774.0,-1.0,4000.0,5430.0,15991.0,120.0,6010.0
