,USSR,Romania,Eritrea,Israel,Australia & New Zealand,Australia,Iraq,Madagascar,Pakistan,Nepal,Ethiopia,Kenya,Czechia,Yemen,Bangladesh,Italy,Germany,Tajikistan,Turkey,Slovenia,Uzbekistan,China,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Argentina,Colombia,Spain,Lebanon,Libya,Malawi,India,Cyprus,Slovakia,Ecuador,Canada,Russian Federation,Belarus,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,New Zealand,Bosnia and Herzegovina,Hungary,Martinique,Syrian Arab Republic,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Mexico,Ukraine,"China, mainland",Azerbaijan,Algeria,Peru,Croatia,Bulgaria,Myanmar,Occupied Palestinian Territory
1961,20000.0,1100.0,,200.0,0.0,-1.0,7300.0,300.0,33000.0,30500.0,,-1.0,,,42672.0,14270.0,5.0,,84000.0,,,,,,6000.0,6400.0,15650.0,4600.0,8900.0,28900.0,1100.0,,-1.0,358666.0,532.0,,6080.0,,,,36000.0,34434.0,,12586.0,960.0,9710.0,,,2239.0,-1.0,34325.0,649.0,800.0,28800.0,,10160.0,3718.0,,,,6340.0,1950.0,,1218.0,813.0,-1.0
1962,22000.0,100.0,,200.0,0.0,-1.0,7500.0,300.0,30200.0,31500.0,,-1.0,,,47752.0,13630.0,4.0,,101000.0,,,,,,13000.0,13000.0,12580.0,11140.0,9100.0,33500.0,1000.0,,-1.0,340377.0,508.0,,6170.0,,,,38000.0,55966.0,,9118.0,1263.0,6310.0,,,2410.0,-1.0,69546.0,420.0,600.0,29200.0,,24811.0,4276.0,,,,5500.0,2010.0,,723.0,549.0,-1.0
1963,23000.0,250.0,,100.0,0.0,-1.0,6200.0,300.0,41400.0,32500.0,,-1.0,,,48768.0,14410.0,13.0,,103000.0,,,,,,16000.0,4100.0,12530.0,12050.0,9300.0,33700.0,2000.0,,-1.0,349521.0,657.0,,3957.0,,,,40000.0,47035.0,,7366.0,2131.0,8430.0,,,2008.0,-1.0,58458.0,500.0,1000.0,29500.0,,26626.0,5265.0,,,,4500.0,2160.0,,1057.0,872.0,-1.0
1964,21000.0,200.0,,150.0,0.0,-1.0,5636.0,300.0,44200.0,32500.0,,-1.0,,,47752.0,13750.0,11.0,,90000.0,,,,,,12000.0,25073.0,15350.0,11900.0,9500.0,24694.0,3400.0,,-1.0,289000.0,203.0,,2594.0,,,,40000.0,52460.0,,7468.0,2862.0,8420.0,,,1339.0,-1.0,89638.0,700.0,800.0,30000.0,,36922.0,5354.0,,,,3075.0,2157.0,,1964.0,845.0,-1.0
1965,24000.0,700.0,,150.0,0.0,-1.0,6619.0,300.0,28100.0,37000.0,,-1.0,,,44704.0,12560.0,10.0,,90000.0,,,,,,13000.0,29053.0,9330.0,16500.0,9900.0,22202.0,3250.0,,-1.0,400000.0,203.0,,1715.0,,,,42000.0,61476.0,,7711.0,2103.0,14830.0,,,1162.0,-1.0,65850.0,700.0,900.0,30600.0,,26444.0,5439.0,,,,3696.0,2144.0,,2039.0,883.0,-1.0
1966,40000.0,500.0,,150.0,0.0,-1.0,5891.0,300.0,19800.0,37500.0,,-1.0,,,46700.0,11530.0,5.0,,100000.0,,,,,,7800.0,11000.0,4598.0,15550.0,11000.0,38400.0,1822.0,40.0,-1.0,368900.0,254.0,,813.0,,,,42000.0,44119.0,,9228.0,1009.0,23710.0,,,867.0,-1.0,22293.0,600.0,770.0,31100.0,,28486.0,5545.0,,,,2982.0,1436.0,,3963.0,504.0,-1.0
1967,63000.0,600.0,,150.0,0.0,-1.0,6163.0,400.0,30700.0,38000.0,,-1.0,,,49800.0,12060.0,5.0,,106000.0,,,,,,5000.0,24200.0,3490.0,12900.0,12000.0,38717.0,2779.0,40.0,-1.0,287900.0,305.0,,985.0,,,,43000.0,33986.0,,9303.0,1808.0,11660.0,,,1764.0,-1.0,83600.0,800.0,1200.0,31900.0,,29030.0,5233.0,,,,3532.0,1230.0,,3425.0,494.0,-1.0
1968,74000.0,,,140.0,0.0,-1.0,7433.0,400.0,25000.0,38500.0,,-1.0,,,47800.0,7090.0,3.0,,96000.0,,,,,,21610.0,10800.0,4040.0,8200.0,13000.0,35695.0,1107.0,40.0,-1.0,383600.0,203.0,,865.0,,,,44000.0,35000.0,,6144.0,207.0,6890.0,,,484.0,-1.0,48354.0,900.0,930.0,32600.0,,31978.0,5503.0,,,,8946.0,2396.0,,1274.0,674.0,-1.0
1969,59000.0,,,140.0,0.0,-1.0,6517.0,400.0,22000.0,39000.0,,-1.0,,,51800.0,6490.0,4.0,,107000.0,,,,,,19400.0,19783.0,7813.0,14200.0,13000.0,38300.0,2131.0,40.0,-1.0,400000.0,356.0,,1142.0,,,,45000.0,24000.0,,6316.0,504.0,6480.0,,,817.0,-1.0,100123.0,900.0,1091.0,33500.0,,36196.0,3908.0,,,,11940.0,4507.0,,3120.0,1603.0,-1.0
1970,60000.0,,,115.0,0.0,-1.0,4469.0,400.0,22300.0,39500.0,,-1.0,,,63000.0,4950.0,5.0,,92000.0,,,,,,15100.0,5038.0,11157.0,8900.0,14000.0,31200.0,2138.0,20.0,-1.0,382900.0,356.0,,940.0,,,,46000.0,33000.0,,8057.0,402.0,13820.0,,,1508.0,-1.0,57513.0,900.0,799.0,34400.0,,32670.0,4187.0,,,,6205.0,4610.0,,2349.0,1626.0,-1.0
