,"China, Taiwan Province of",Bhutan,Eritrea,USSR,Australia & New Zealand,Madagascar,United Republic of Tanzania,Togo,Yemen,Armenia,Burundi,Thailand,Ethiopia,Luxembourg,Czechia,Switzerland,Republic of Moldova,Italy,Serbia,Qatar,Senegal,Botswana,Peru,South Africa,Slovenia,Uzbekistan,Occupied Palestinian Territory,Finland,Slovakia,Niger,Morocco,Mongolia,Mexico,Hungary,Chad,Spain,Ireland,New Zealand,Austria,Republic of Korea,Poland,Argentina,Belarus,Ethiopia PDR,Georgia,Greece,Czechoslovakia,Bosnia and Herzegovina,France,Oman,Tunisia,Mali,Zimbabwe,Croatia,Congo,Russian Federation,Bolivia (Plurinational State of),Kazakhstan,Gambia,United States of America,Latvia,Ukraine,"China, mainland",Sierra Leone,Guinea-Bissau,Lithuania,Bulgaria,Myanmar,China,Romania
1961,1000.0,-1.0,,65000.0,5000.0,-1.0,-1.0,2000.0,,,-1.0,,,,,-1.0,,25000.0,,-1.0,6500.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,30500.0,3000.0,-1.0,12000.0,7100.0,,-1.0,5000.0,-1.0,,-1.0,16000.0,,1140000.0,,-1.0,,,-1.0,1500.0,20000.0,,-1.0,,-1.0,,200.0,,-1.0,,,,-1.0,800.0,-1.0,,8000.0,6100.0,1000.0,
1962,1000.0,-1.0,,61000.0,5000.0,-1.0,-1.0,9938.0,,,-1.0,,,,,-1.0,,16670.0,,-1.0,6000.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,36000.0,3000.0,-1.0,12000.0,7200.0,,-1.0,5000.0,-1.0,,-1.0,14000.0,,1170000.0,,-1.0,,,-1.0,1500.0,20000.0,,-1.0,,-1.0,,200.0,,-1.0,,,,-1.0,850.0,-1.0,,15000.0,6100.0,1000.0,
1963,2000.0,-1.0,,51000.0,5000.0,-1.0,-1.0,11940.0,,,-1.0,,,,,-1.0,,13050.0,,-1.0,5500.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,32000.0,3600.0,-1.0,13000.0,7300.0,,-1.0,5000.0,-1.0,,-1.0,15000.0,,1200000.0,,-1.0,,,-1.0,1500.0,30000.0,,-1.0,,-1.0,,200.0,,-1.0,,,,-1.0,850.0,-1.0,,25000.0,8100.0,2000.0,
1964,2000.0,-1.0,,71000.0,5000.0,-1.0,-1.0,7000.0,,,-1.0,,,,,-1.0,,12430.0,,-1.0,3000.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,30000.0,4700.0,-1.0,13000.0,7400.0,,-1.0,5000.0,-1.0,,-1.0,17000.0,,1243700.0,,-1.0,,,-1.0,1600.0,41000.0,,-1.0,,-1.0,,200.0,,-1.0,,,,-1.0,900.0,-1.0,,40000.0,8700.0,2000.0,
1965,3000.0,-1.0,,42000.0,5000.0,-1.0,-1.0,8000.0,,,-1.0,,,,,-1.0,,13460.0,,-1.0,3000.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,33000.0,4200.0,-1.0,13800.0,7500.0,,-1.0,5000.0,-1.0,,-1.0,20000.0,,1255500.0,,-1.0,,,-1.0,1600.0,80000.0,,-1.0,,-1.0,,200.0,,-1.0,,,,-1.0,950.0,-1.0,,67368.0,7100.0,3000.0,
1966,5000.0,-1.0,,63000.0,10000.0,-1.0,-1.0,5000.0,,,-1.0,,,,,-1.0,,13200.0,,-1.0,4700.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,26000.0,1900.0,-1.0,13800.0,7800.0,,-1.0,10000.0,-1.0,,-1.0,16800.0,,1267000.0,,-1.0,413.0,,-1.0,1700.0,45000.0,,-1.0,,-1.0,,300.0,,-1.0,,,,-1.0,1000.0,-1.0,,2920.0,9100.0,5000.0,
1967,7000.0,-1.0,,46000.0,10000.0,-1.0,-1.0,1930.0,,,-1.0,,,,,-1.0,,12510.0,,-1.0,6100.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,32000.0,2000.0,-1.0,14500.0,7900.0,,-1.0,10000.0,-1.0,,-1.0,24400.0,,1285500.0,,-1.0,3429.0,,-1.0,1850.0,36000.0,,-1.0,,-1.0,,300.0,,-1.0,,,,-1.0,950.0,-1.0,,3272.0,10200.0,7000.0,
1968,9000.0,-1.0,,35000.0,10000.0,-1.0,-1.0,1000.0,,,-1.0,,,,,-1.0,,10660.0,,-1.0,3400.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,43000.0,1000.0,-1.0,14500.0,7900.0,,-1.0,10000.0,-1.0,,-1.0,19900.0,,1304300.0,,-1.0,3775.0,,-1.0,1850.0,45000.0,,-1.0,,-1.0,,300.0,,-1.0,,,,-1.0,950.0,-1.0,,5123.0,11648.0,9000.0,
1969,15000.0,-1.0,,23000.0,10000.0,-1.0,-1.0,2000.0,,,-1.0,300.0,,,,-1.0,,8220.0,,-1.0,4370.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,33000.0,300.0,-1.0,14683.0,8000.0,,-1.0,10000.0,-1.0,,-1.0,24900.0,,1323300.0,,-1.0,4240.0,,-1.0,1850.0,19000.0,,-1.0,,-1.0,,300.0,,-1.0,,,,-1.0,950.0,-1.0,,2012.0,16726.0,15000.0,
1970,15000.0,-1.0,,25000.0,4000.0,-1.0,-1.0,3000.0,,,-1.0,600.0,,,,-1.0,,7200.0,,-1.0,3391.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,48300.0,1700.0,-1.0,21851.0,8000.0,,-1.0,4000.0,-1.0,,-1.0,26700.0,,1342600.0,,-1.0,3738.0,,-1.0,1900.0,22000.0,,-1.0,,-1.0,,300.0,,-1.0,,,,-1.0,923.0,-1.0,,12257.0,13453.0,15000.0,
1971,15000.0,-1.0,,11000.0,4000.0,-1.0,-1.0,4000.0,,,-1.0,1200.0,,,,-1.0,,3540.0,,-1.0,4200.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,30100.0,500.0,-1.0,35579.0,8200.0,,-1.0,4000.0,-1.0,,-1.0,27500.0,,1362200.0,,-1.0,3133.0,,-1.0,1900.0,17000.0,,-1.0,,-1.0,,300.0,,-1.0,,,,-1.0,850.0,-1.0,,3982.0,9235.0,15000.0,
1972,10000.0,-1.0,,10000.0,4000.0,-1.0,-1.0,4000.0,,,-1.0,1800.0,,,,-1.0,,2579.0,,-1.0,4200.0,-1.0,-1.0,3000.0,,,-1.0,-1.0,,-1.0,48630.0,1300.0,-1.0,43238.0,8300.0,,-1.0,4000.0,-1.0,,-1.0,25000.0,,1382000.0,,-1.0,1465.0,,-1.0,1950.0,15000.0,,-1.0,,-1.0,,315.0,,-1.0,,,,-1.0,800.0,-1.0,,4893.0,8736.0,10000.0,
