,Paraguay,Kenya,"China, Taiwan Province of",Mozambique,Cameroon,Burkina Faso,Israel,Dominican Republic,South Sudan,Brazil,Benin,Thailand,Ethiopia,Yugoslav SFR,Pakistan,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Bangladesh,Republic of Korea,Togo,Venezuela (Bolivarian Republic of),Cyprus,Nicaragua,Greece,Eritrea,Niger,Bulgaria,United States of America,Iran (Islamic Republic of),Guatemala,Sudan,Nigeria,Madagascar,Syrian Arab Republic,Myanmar,Cambodia,Haiti,Costa Rica,Guinea,India,El Salvador,Senegal,Viet Nam,Chad,Morocco,Ethiopia PDR,Congo,USSR,Mexico,Ecuador,Honduras,Egypt,Sudan (former),Sri Lanka,China,Côte d'Ivoire,Colombia,Angola,Democratic Republic of the Congo,Lebanon,United Republic of Tanzania,Yemen,Occupied Palestinian Territory,Jordan,Italy,Panama,Sierra Leone,Somalia,Central African Republic,"China, mainland",Iraq,Mali,Uganda,Turkey
1961,0.0,42.0,505.0,60.0,74.0,120.0,10.0,2.0,-1.0,80.0,20.0,218.0,-1.0,5.0,150.0,-1.0,45.0,498.0,795.0,48.0,150.0,140.0,7.0,73.0,255.0,-1.0,0.0,10.0,3.0,100.0,15.0,-1.0,2520.0,0.0,83.0,6191.0,140.0,2.0,1.0,20.0,9000.0,96.0,0.0,96.0,150.0,2.0,459.0,1.0,185.0,2383.0,11.0,5.0,180.0,3200.0,331.0,11230.0,40.0,336.0,60.0,88.0,5.0,150.0,106.0,0.0,61.0,17.0,3.0,20.0,150.0,350.0,10725.0,194.0,0.0,830.0,1065.0
1962,0.0,39.0,401.0,40.0,77.0,168.0,10.0,2.0,-1.0,26.0,20.0,218.0,-1.0,11.0,134.0,-1.0,42.0,498.0,783.0,46.0,150.0,150.0,8.0,56.0,450.0,-1.0,0.0,11.0,3.0,115.0,14.0,-1.0,2220.0,0.0,75.0,6377.0,152.0,2.0,1.0,20.0,11000.0,70.0,0.0,85.0,150.0,5.0,465.0,1.0,156.0,2507.0,12.0,6.0,250.0,3800.0,342.0,12776.0,40.0,360.0,60.0,40.0,4.0,195.0,102.0,0.0,54.0,16.0,3.0,20.0,105.0,350.0,12375.0,202.0,0.0,870.0,1110.0
1963,0.0,10.0,312.0,27.0,65.0,240.0,10.0,2.0,-1.0,52.0,20.0,202.0,-1.0,9.0,168.0,-1.0,40.0,498.0,765.0,55.0,150.0,170.0,8.0,69.0,327.0,-1.0,0.0,12.0,2.0,100.0,11.0,-1.0,2340.0,0.0,97.0,6517.0,120.0,2.0,1.0,20.0,10000.0,83.0,0.0,80.0,170.0,7.0,474.0,1.0,51.0,2613.0,19.0,5.0,240.0,3800.0,308.0,12207.0,40.0,384.0,70.0,48.0,2.0,200.0,108.0,0.0,43.0,17.0,3.0,20.0,120.0,340.0,11895.0,251.0,0.0,1090.0,900.0
1964,0.0,29.0,333.0,27.0,57.0,200.0,10.0,2.0,-1.0,60.0,20.0,308.0,-1.0,6.0,142.0,-1.0,36.0,498.0,753.0,61.0,150.0,220.0,5.0,70.0,178.0,-1.0,0.0,2.0,2.0,100.0,15.0,-1.0,2520.0,0.0,69.0,7933.0,96.0,2.0,1.0,20.0,11000.0,134.0,0.0,80.0,170.0,2.0,489.0,1.0,68.0,2672.0,49.0,2.0,220.0,3200.0,302.0,10282.0,40.0,400.0,70.0,88.0,2.0,217.0,108.0,0.0,42.0,17.0,3.0,20.0,140.0,330.0,9950.0,294.0,0.0,950.0,900.0
1965,0.0,29.0,360.0,40.0,48.0,160.0,10.0,2.0,-1.0,17.0,20.0,364.0,-1.0,4.0,152.0,-1.0,33.0,498.0,753.0,68.0,165.0,240.0,4.0,66.0,246.0,-1.0,0.0,21.0,0.0,130.0,15.0,-1.0,2640.0,0.0,64.0,8087.0,117.0,2.0,1.0,20.0,10000.0,288.0,0.0,75.0,140.0,2.0,573.0,1.0,41.0,2521.0,50.0,7.0,130.0,3200.0,210.0,10545.0,40.0,280.0,70.0,72.0,2.0,237.0,114.0,0.0,26.0,17.0,3.0,20.0,360.0,350.0,10185.0,313.0,0.0,960.0,810.0
1966,0.0,75.0,367.0,40.0,104.0,160.0,10.0,2.0,-1.0,87.0,30.0,414.0,-1.0,4.0,160.0,-1.0,28.0,498.0,783.0,81.0,165.0,330.0,5.0,79.0,253.0,-1.0,0.0,29.0,0.0,115.0,45.0,-1.0,2220.0,0.0,118.0,7728.0,60.0,2.0,1.0,20.0,10000.0,282.0,0.0,75.0,140.0,3.0,693.0,1.0,40.0,2708.0,33.0,8.0,90.0,3110.0,259.0,10252.0,40.0,160.0,70.0,72.0,1.0,185.0,114.0,0.0,12.0,17.0,3.0,20.0,360.0,490.0,9885.0,341.0,0.0,940.0,900.0
1967,0.0,75.0,336.0,60.0,112.0,168.0,10.0,2.0,-1.0,17.0,40.0,356.0,-1.0,4.0,138.0,-1.0,10.0,492.0,795.0,82.0,165.0,350.0,4.0,86.0,196.0,-1.0,0.0,24.0,0.0,130.0,57.0,-1.0,2280.0,0.0,130.0,8298.0,110.0,4.0,1.0,20.0,10000.0,83.0,0.0,75.0,400.0,4.0,759.0,2.0,25.0,2590.0,59.0,8.0,65.0,3330.0,273.0,9651.0,40.0,158.0,60.0,80.0,1.0,206.0,115.0,0.0,11.0,18.0,3.0,20.0,360.0,547.0,9315.0,343.0,0.0,960.0,1200.0
1968,0.0,75.0,304.0,70.0,141.0,176.0,10.0,2.0,-1.0,26.0,60.0,316.0,-1.0,4.0,113.0,-1.0,4.0,498.0,753.0,105.0,165.0,380.0,4.0,92.0,147.0,-1.0,0.0,17.0,0.0,130.0,32.0,-1.0,2400.0,0.0,96.0,8245.0,123.0,6.0,1.0,20.0,10000.0,90.0,0.0,75.0,400.0,2.0,843.0,2.0,100.0,2641.0,44.0,9.0,70.0,3430.0,296.0,9289.0,40.0,157.0,60.0,88.0,1.0,215.0,116.0,0.0,4.0,18.0,2.0,20.0,360.0,521.0,8985.0,342.0,0.0,840.0,1005.0
1969,0.0,75.0,207.0,50.0,146.0,212.0,10.0,2.0,-1.0,70.0,60.0,332.0,-1.0,5.0,154.0,-1.0,6.0,498.0,674.0,155.0,180.0,440.0,5.0,79.0,267.0,-1.0,0.0,13.0,0.0,100.0,42.0,-1.0,1284.0,0.0,62.0,9138.0,125.0,8.0,1.0,20.0,10000.0,122.0,0.0,75.0,300.0,3.0,921.0,2.0,40.0,2738.0,54.0,9.0,105.0,4681.0,240.0,8525.0,40.0,219.0,60.0,100.0,1.0,215.0,80.0,0.0,8.0,17.0,2.0,18.0,480.0,501.0,8318.0,366.0,0.0,660.0,930.0
1970,0.0,87.0,208.0,60.0,178.0,176.0,10.0,2.0,-1.0,60.0,80.0,350.0,-1.0,4.0,208.0,-1.0,4.0,504.0,713.0,166.0,180.0,420.0,6.0,62.0,215.0,-1.0,3.0,16.0,0.0,75.0,46.0,-1.0,1368.0,0.0,101.0,10157.0,73.0,10.0,1.0,20.0,13000.0,83.0,0.0,74.0,222.0,6.0,981.0,2.0,10.0,2812.0,40.0,9.0,125.0,4803.0,178.0,9073.0,40.0,376.0,60.0,94.0,1.0,215.0,120.0,0.0,13.0,16.0,2.0,18.0,260.0,462.0,8865.0,411.0,0.0,1030.0,960.0
