,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Slovakia,Democratic Republic of the Congo,Ethiopia,Kenya,Romania,Serbia,Zambia,Lebanon,Yemen,Tunisia,Albania,Brazil,Democratic People's Republic of Korea,Slovenia,Hungary,Argentina,Colombia,Spain,India,Lesotho,Ecuador,Republic of Moldova,Canada,Turkey,Jordan,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Poland,New Zealand,United Arab Emirates,Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Austria,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Libya,Bangladesh,Italy,Qatar,Germany,Syrian Arab Republic,Sweden,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Mongolia,Chile,Malta,Uruguay,Denmark,Zimbabwe,Ireland,Egypt,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Afghanistan,Switzerland,Thailand,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Oman,Bosnia and Herzegovina,Russian Federation,Bolivia (Plurinational State of),Western Sahara,Latvia,Ukraine,Kuwait,South Africa,Mauritania,Tajikistan,Croatia,Bulgaria,Myanmar,China
1961,9157.0,,10280.0,9759.0,6417.0,,6271.0,,10669.0,16482.0,,,9375.0,11102.0,3500.0,10224.0,7715.0,20000.0,,18866.0,10789.0,20646.0,12026.0,8796.0,8420.0,7564.0,,10961.0,10581.0,6497.0,33330.0,8000.0,,,11702.0,22808.0,23960.0,25594.0,19691.0,29185.0,,,,7470.0,15391.0,6974.0,,16489.0,10522.0,7595.0,10929.0,8697.0,,4106.0,37541.0,16667.0,27262.0,11000.0,,27845.0,10124.0,,10000.0,,10588.0,,1895.0,5768.0,12690.0,,23640.0,4608.0,28400.0,,,18164.0,,,17105.0,3608.0,6471.0,16002.0,12838.0,6121.0,35126.0,21505.0,35211.0,26116.0,2232.0,8398.0,8963.0,28547.0,,10800.0,31457.0,,10588.0,,32624.0,,,,,6582.0,,,,,6207.0,6667.0,,,20071.0,,10522.0
1962,11102.0,,11488.0,10940.0,6217.0,,6271.0,,7142.0,16740.0,,,9704.0,11111.0,5800.0,8405.0,9713.0,20000.0,,20870.0,9559.0,22041.0,14916.0,9511.0,7000.0,7030.0,,16880.0,12500.0,3400.0,38140.0,8000.0,,,12568.0,25299.0,27581.0,22990.0,19834.0,25879.0,,,,7844.0,13533.0,6955.0,,18839.0,11443.0,13670.0,10364.0,9167.0,,5362.0,42987.0,17143.0,28830.0,10909.0,,20889.0,11253.0,,10000.0,,10256.0,,2198.0,5445.0,13616.0,,32451.0,11033.0,26900.0,,,13150.0,,,9714.0,12216.0,7391.0,17200.0,12878.0,8724.0,39772.0,24189.0,36731.0,26611.0,8354.0,8829.0,7407.0,28169.0,,10800.0,35348.0,,10455.0,,36355.0,,,,,6576.0,,,,,6935.0,6667.0,,,19795.0,,11443.0
1963,8901.0,,12698.0,12080.0,6317.0,,5600.0,,16051.0,15676.0,,,10000.0,11129.0,7000.0,8770.0,6729.0,17500.0,,17877.0,14674.0,20274.0,14309.0,8016.0,6000.0,7890.0,,19268.0,15046.0,3037.0,37686.0,8000.0,,,11834.0,23470.0,29088.0,14398.0,19760.0,26933.0,,,,7986.0,14971.0,7048.0,,18808.0,10776.0,13104.0,10217.0,9048.0,,4852.0,38264.0,17500.0,26952.0,11250.0,,25823.0,8781.0,,13333.0,,10732.0,,2614.0,6937.0,13736.0,,30346.0,9759.0,25661.0,,,18769.0,,,6859.0,8907.0,6667.0,17999.0,14553.0,3909.0,36225.0,30850.0,33921.0,26488.0,7431.0,13189.0,5570.0,31125.0,,10800.0,29664.0,,10556.0,,35155.0,,,,,6848.0,,,,,5286.0,6667.0,,,17988.0,,10776.0
1964,12139.0,,14307.0,13390.0,6293.0,,5029.0,,17733.0,17821.0,,,10000.0,11157.0,4286.0,10258.0,9199.0,20000.0,,15675.0,14948.0,19595.0,13953.0,7347.0,5714.0,4933.0,,16495.0,11636.0,10621.0,41853.0,8103.0,,,14491.0,20953.0,28774.0,22557.0,17008.0,34446.0,,,,8057.0,14472.0,7180.0,,20209.0,12647.0,9314.0,10195.0,10433.0,,4121.0,43150.0,17778.0,26638.0,11250.0,,26413.0,7787.0,,12000.0,,10909.0,,2514.0,5532.0,12798.0,,33476.0,8324.0,31333.0,,,14659.0,,,7735.0,8025.0,6706.0,19100.0,13569.0,10180.0,41049.0,37472.0,29987.0,26850.0,4933.0,12847.0,15941.0,25147.0,,10857.0,35043.0,,10538.0,,36943.0,,,,,6624.0,,,,,7966.0,7000.0,,,21344.0,,12647.0
1965,9464.0,,10929.0,10204.0,6368.0,,4547.0,,14081.0,20854.0,,,9333.0,11176.0,6250.0,9865.0,8182.0,18000.0,,20201.0,10529.0,19531.0,13762.0,9400.0,6000.0,5921.0,,19187.0,11913.0,11030.0,37648.0,8202.0,,,16603.0,21397.0,30363.0,24511.0,20988.0,30085.0,,,,8539.0,16840.0,7192.0,,23071.0,14797.0,17202.0,10157.0,11000.0,,5735.0,37810.0,18000.0,23758.0,11200.0,,25656.0,8069.0,,12500.0,,10833.0,,3527.0,5907.0,15290.0,,29678.0,10120.0,30897.0,,,19889.0,,,8598.0,8544.0,6719.0,19333.0,17540.0,9835.0,39615.0,38191.0,32788.0,24642.0,6010.0,12602.0,12935.0,29228.0,,10857.0,30817.0,,10200.0,,37517.0,,,,,6122.0,,,,,5000.0,6667.0,,,23574.0,,14796.0
1966,13224.0,,14461.0,13819.0,5369.0,,4548.0,,16133.0,19654.0,,,9000.0,11197.0,4000.0,12000.0,8429.0,16667.0,,18714.0,10665.0,17273.0,14997.0,9023.0,6400.0,5369.0,,21721.0,14022.0,3534.0,30406.0,8303.0,,,19814.0,23419.0,28093.0,29558.0,20619.0,33567.0,,,,9141.0,18096.0,7101.0,,20582.0,10483.0,6276.0,8653.0,11436.0,,4471.0,34706.0,16667.0,30696.0,11200.0,,21560.0,8321.0,,12500.0,,10487.0,,3293.0,5571.0,14140.0,,29816.0,6042.0,24770.0,,,18577.0,,,10737.0,3369.0,7063.0,22751.0,12684.0,6534.0,37410.0,37500.0,34172.0,24895.0,3294.0,13627.0,4335.0,28484.0,,10714.0,33333.0,,10190.0,,35162.0,,,,,6452.0,,,,,6129.0,6667.0,,,25585.0,,10484.0
1967,11864.0,,8853.0,7897.0,5435.0,,4546.0,,6669.0,20646.0,,,11755.0,11293.0,3400.0,9905.0,7347.0,13684.0,,20869.0,11850.0,15607.0,17174.0,8314.0,5200.0,5653.0,,16751.0,13945.0,8289.0,40320.0,8421.0,,,22028.0,27339.0,35037.0,27443.0,21629.0,36006.0,,,,8529.0,17668.0,6900.0,,21785.0,14388.0,10759.0,9315.0,11624.0,,6952.0,41570.0,14769.0,33328.0,11111.0,,27181.0,8550.0,,13029.0,,10487.0,,3015.0,6696.0,16315.0,,35797.0,9133.0,29506.0,,,19682.0,,,10946.0,7224.0,7368.0,23321.0,14558.0,4537.0,37460.0,37778.0,37061.0,17620.0,6086.0,14411.0,12921.0,29302.0,,11297.0,37517.0,,14674.0,,37778.0,,,,,6512.0,,,,,6538.0,6667.0,,,25466.0,,14388.0
1968,13740.0,,13291.0,12277.0,6221.0,,6733.0,,11182.0,20193.0,,,8592.0,11304.0,5167.0,8144.0,8344.0,12632.0,,23426.0,10319.0,16000.0,17894.0,10380.0,5000.0,5629.0,,19811.0,13040.0,2762.0,37166.0,8387.0,,,14182.0,29750.0,32861.0,29542.0,23554.0,34968.0,,,,10035.0,14423.0,7099.0,,23557.0,10686.0,6276.0,8408.0,8490.0,,6985.0,36379.0,14778.0,32298.0,11034.0,,35319.0,12400.0,,12000.0,,9076.0,,2459.0,6599.0,14722.0,,36844.0,8114.0,31908.0,,,20008.0,,,,15044.0,4380.0,21867.0,13194.0,12148.0,40251.0,38000.0,41043.0,19385.0,7434.0,13957.0,6363.0,32305.0,,11388.0,37070.0,,5078.0,,34447.0,,,,,6604.0,7032.0,,,15000.0,5781.0,6875.0,,,20073.0,,10687.0
1969,13361.0,,12187.0,11167.0,6226.0,,7621.0,,11896.0,17683.0,,,8138.0,11239.0,6667.0,8333.0,10349.0,12222.0,,23812.0,12473.0,15551.0,18376.0,8788.0,5828.0,6181.0,,21345.0,14140.0,7453.0,35820.0,8511.0,,,15860.0,32061.0,33067.0,30430.0,25667.0,36595.0,,,,8674.0,15285.0,7117.0,,24039.0,10522.0,14064.0,9007.0,8649.0,,4605.0,39198.0,14700.0,34097.0,11034.0,,26292.0,12840.0,,6067.0,,9141.0,,3470.0,6466.0,16672.0,,35487.0,10013.0,26546.0,,,22544.0,,,,9855.0,2680.0,18061.0,12682.0,10942.0,40276.0,33333.0,39723.0,18871.0,6334.0,11627.0,8106.0,28686.0,,11514.0,36041.0,,7778.0,,35903.0,,,,,6718.0,6019.0,,,16667.0,3448.0,6875.0,,,21987.0,,10522.0
1970,16490.0,,12282.0,11755.0,6583.0,,7900.0,,14800.0,17802.0,,,9036.0,11351.0,5033.0,10778.0,10675.0,13333.0,,19476.0,10303.0,17045.0,13953.0,9824.0,4712.0,5965.0,,22202.0,12621.0,1356.0,30451.0,8579.0,,,21478.0,28442.0,27772.0,30263.0,23254.0,31106.0,,,,10603.0,14357.0,7019.0,,23049.0,11395.0,7735.0,9121.0,,,5181.0,31947.0,14636.0,31468.0,11000.0,,31541.0,11367.0,,9333.0,,9278.0,,2446.0,6542.0,17548.0,,31587.0,2086.0,31220.0,,,23133.0,,,,10210.0,5921.0,20557.0,12110.0,10974.0,35612.0,35714.0,36495.0,22723.0,6685.0,15672.0,7798.0,25354.0,,11746.0,34704.0,,10667.0,,33566.0,,,,,6627.0,5986.0,,,20000.0,7500.0,6875.0,,,28933.0,,11396.0
