,India,Dominica,Melanesia,Bhutan,Malaysia,Grenada,Sri Lanka,Honduras,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Malawi,United Republic of Tanzania,Trinidad and Tobago,Papua New Guinea,Saint Vincent and the Grenadines,Guatemala,Togo,Kenya,Madagascar,Saint Lucia,Ethiopia PDR,Thailand
1961,3000.0,-1.0,-1.0,1750.0,550.0,469.0,1000.0,-1.0,900.0,280.0,-1.0,3300.0,-1.0,200.0,75.0,-1.0,80.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1
1962,4000.0,-1.0,0.0,1800.0,200.0,758.0,1000.0,-1.0,900.0,290.0,-1.0,3200.0,-1.0,200.0,75.0,-1.0,80.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1
1963,4000.0,-1.0,0.0,1850.0,300.0,885.0,1000.0,-1.0,850.0,300.0,-1.0,6000.0,-1.0,200.0,80.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1
1964,4000.0,-1.0,0.0,1900.0,500.0,768.0,1000.0,-1.0,940.0,310.0,-1.0,6400.0,-1.0,200.0,80.0,-1.0,80.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1
1965,4000.0,-1.0,0.0,1950.0,300.0,1568.0,1000.0,-1.0,970.0,320.0,-1.0,4900.0,-1.0,200.0,85.0,-1.0,120.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1
1966,4000.0,-1.0,0.0,1950.0,210.0,1450.0,1000.0,-1.0,1100.0,330.0,-1.0,5800.0,-1.0,200.0,85.0,-1.0,90.0,442.0,-1.0,-1.0,-1.0,5.0,-1.0,-1
1967,3000.0,-1.0,0.0,2000.0,210.0,1450.0,1000.0,-1.0,1150.0,340.0,-1.0,6350.0,-1.0,200.0,85.0,-1.0,90.0,530.0,-1.0,-1.0,-1.0,6.0,-1.0,-1
1968,3000.0,-1.0,0.0,2000.0,210.0,1558.0,1000.0,-1.0,1000.0,350.0,-1.0,7470.0,-1.0,228.0,90.0,-1.0,90.0,615.0,-1.0,-1.0,-1.0,6.0,-1.0,-1
1969,3000.0,-1.0,0.0,2050.0,210.0,1839.0,1000.0,-1.0,1200.0,410.0,-1.0,8158.0,-1.0,257.0,90.0,-1.0,120.0,760.0,-1.0,-1.0,-1.0,7.0,-1.0,-1
1970,3000.0,-1.0,0.0,2050.0,235.0,2117.0,1000.0,-1.0,950.0,407.0,-1.0,9612.0,-1.0,215.0,90.0,-1.0,150.0,980.0,-1.0,-1.0,-1.0,8.0,-1.0,-1
1971,3600.0,-1.0,0.0,2100.0,300.0,1817.0,1000.0,-1.0,1200.0,550.0,-1.0,9005.0,-1.0,201.0,95.0,-1.0,150.0,718.0,-1.0,-1.0,-1.0,8.0,-1.0,-1
1972,2900.0,-1.0,0.0,2100.0,230.0,1664.0,1000.0,-1.0,1200.0,450.0,-1.0,10442.0,-1.0,161.0,95.0,-1.0,118.0,762.0,-1.0,-1.0,-1.0,11.0,-1.0,-1
1973,3200.0,-1.0,0.0,2150.0,210.0,1673.0,1000.0,-1.0,1200.0,589.0,-1.0,10883.0,-1.0,740.0,97.0,-1.0,131.0,1360.0,-1.0,-1.0,-1.0,13.0,-1.0,-1
1974,4800.0,-1.0,0.0,2150.0,210.0,2022.0,1000.0,-1.0,1200.0,520.0,-1.0,13217.0,-1.0,820.0,98.0,-1.0,164.0,1542.0,-1.0,-1.0,-1.0,13.0,-1.0,-1
1975,5200.0,-1.0,0.0,2200.0,210.0,1743.0,2000.0,-1.0,800.0,600.0,-1.0,14634.0,-1.0,1010.0,99.0,-1.0,151.0,1837.0,-1.0,-1.0,-1.0,10.0,-1.0,-1
1976,4400.0,-1.0,0.0,2250.0,210.0,2640.0,1000.0,-1.0,1000.0,900.0,-1.0,14374.0,-1.0,610.0,100.0,-1.0,115.0,2041.0,-1.0,-1.0,-1.0,12.0,-1.0,-1
1977,4500.0,-1.0,0.0,2300.0,210.0,2815.0,1000.0,-1.0,1000.0,900.0,-1.0,19138.0,-1.0,500.0,102.0,-1.0,120.0,3660.0,-1.0,-1.0,-1.0,13.0,-1.0,-1
1978,5100.0,-1.0,0.0,2400.0,210.0,2358.0,1000.0,-1.0,1100.0,900.0,-1.0,16336.0,-1.0,500.0,105.0,-1.0,144.0,4645.0,-1.0,10.0,-1.0,15.0,-1.0,-1
1979,5300.0,-1.0,0.0,2500.0,210.0,2685.0,1000.0,-1.0,1200.0,900.0,-1.0,17952.0,-1.0,700.0,108.0,-1.0,169.0,3443.0,-1.0,20.0,-1.0,16.0,100.0,-1
1980,5500.0,-1.0,0.0,2600.0,325.0,2613.0,1428.0,-1.0,1300.0,800.0,-1.0,18353.0,-1.0,500.0,110.0,-1.0,213.0,5008.0,-1.0,10.0,-1.0,18.0,100.0,-1
1981,9400.0,-1.0,50.0,2800.0,325.0,3306.0,1446.0,-1.0,1400.0,800.0,-1.0,18603.0,-1.0,750.0,115.0,50.0,72.0,5030.0,-1.0,10.0,-1.0,7.0,100.0,-1
1982,8050.0,-1.0,40.0,2770.0,320.0,2363.0,1428.0,-1.0,1500.0,1000.0,-1.0,15028.0,-1.0,850.0,120.0,40.0,65.0,6334.0,-1.0,10.0,-1.0,12.0,100.0,-1
1983,8900.0,-1.0,90.0,2800.0,340.0,1959.0,1425.0,-1.0,1600.0,1000.0,-1.0,14878.0,-1.0,500.0,122.0,90.0,91.0,7820.0,-1.0,10.0,-1.0,13.0,100.0,-1
1984,9300.0,-1.0,200.0,3013.0,305.0,2839.0,1448.0,-1.0,1700.0,1100.0,-1.0,17982.0,-1.0,400.0,124.0,200.0,95.0,7348.0,-1.0,10.0,-1.0,14.0,200.0,-1
1985,10020.0,-1.0,380.0,3000.0,345.0,2137.0,1438.0,-1.0,2000.0,1200.0,-1.0,14250.0,50.0,300.0,125.0,380.0,87.0,7450.0,-1.0,10.0,-1.0,15.0,150.0,-1
1986,9710.0,-1.0,420.0,3500.0,390.0,2750.0,1432.0,400.0,2000.0,1200.0,-1.0,15072.0,50.0,350.0,128.0,420.0,92.0,8970.0,-1.0,10.0,-1.0,15.0,100.0,-1
1987,9270.0,-1.0,450.0,4100.0,410.0,3100.0,1261.0,400.0,1800.0,1300.0,-1.0,15404.0,50.0,750.0,130.0,450.0,101.0,10819.0,-1.0,10.0,20.0,17.0,100.0,-1
1988,8560.0,3.0,380.0,4200.0,435.0,2120.0,1320.0,400.0,1500.0,1500.0,-1.0,14718.0,50.0,500.0,130.0,380.0,145.0,11907.0,-1.0,10.0,20.0,17.0,100.0,-1
1989,10120.0,3.0,300.0,4400.0,520.0,2000.0,1326.0,400.0,1700.0,2000.0,-1.0,16398.0,50.0,600.0,130.0,300.0,82.0,11500.0,-1.0,20.0,20.0,18.0,100.0,-1
1990,9560.0,4.0,180.0,4600.0,565.0,2030.0,1546.0,393.0,1800.0,1500.0,-1.0,18453.0,45.0,900.0,105.0,180.0,110.0,11500.0,-1.0,18.0,10.0,15.0,90.0,-1
1991,9520.0,4.0,120.0,4900.0,594.0,1750.0,1800.0,350.0,2000.0,2000.0,-1.0,17943.0,230.0,700.0,49.0,120.0,89.0,12360.0,-1.0,49.0,10.0,20.0,0.0,-1
1992,9210.0,2.0,100.0,5200.0,570.0,2000.0,2000.0,330.0,2149.0,2238.0,-1.0,19100.0,224.0,663.0,58.0,100.0,90.0,12650.0,40.0,49.0,10.0,22.0,0.0,-1
1993,10870.0,4.0,80.0,5000.0,610.0,2500.0,2000.0,333.0,2291.0,2500.0,100.0,22599.0,218.0,634.0,67.0,80.0,61.0,12927.0,5.0,25.0,11.0,20.0,-1.0,-1
1994,10700.0,2.0,85.0,4800.0,630.0,2850.0,2070.0,300.0,2500.0,2700.0,100.0,20570.0,213.0,625.0,76.0,85.0,104.0,14968.0,13.0,46.0,11.0,22.0,-1.0,-1
1995,11700.0,2.0,80.0,4500.0,543.0,2197.0,2120.0,353.0,2355.0,2920.0,100.0,20217.0,207.0,635.0,85.0,80.0,114.0,15621.0,14.0,48.0,11.0,25.0,-1.0,-1
1996,12600.0,2.0,70.0,4000.0,492.0,2398.0,2210.0,310.0,2300.0,3000.0,100.0,19955.0,201.0,654.0,94.0,70.0,122.0,21500.0,13.0,49.0,11.0,25.0,-1.0,-1
1997,11700.0,2.0,76.0,3500.0,300.0,2725.0,2170.0,372.0,2339.0,4000.0,100.0,20600.0,196.0,650.0,103.0,76.0,114.0,21300.0,5.0,50.0,11.0,26.0,-1.0,-1
1998,9000.0,2.0,60.0,3000.0,600.0,2500.0,2190.0,400.0,2384.0,4505.0,100.0,19900.0,190.0,700.0,112.0,60.0,125.0,17830.0,8.0,52.0,12.0,26.0,-1.0,-1
1999,10700.0,2.0,60.0,2500.0,575.0,2940.0,2120.0,320.0,2400.0,4335.0,100.0,14300.0,185.0,746.0,126.0,60.0,115.0,14720.0,13.0,53.0,12.0,26.0,-1.0,-1
2000,14500.0,2.0,45.0,2000.0,599.0,2784.0,2080.0,330.0,2461.0,4900.0,100.0,21031.0,179.0,771.0,135.0,45.0,139.0,15640.0,20.0,70.0,12.0,27.0,-1.0,-1
2001,15200.0,2.0,50.0,1500.0,540.0,2351.0,2010.0,600.0,2500.0,6080.0,100.0,23787.0,173.0,796.0,140.0,50.0,153.0,15911.0,20.0,50.0,10.0,27.0,-1.0,-1
2002,15400.0,4.0,215.0,1000.0,513.0,3280.0,2010.0,490.0,2558.0,6179.0,100.0,26786.0,168.0,820.0,145.0,215.0,200.0,19000.0,20.0,53.0,10.0,28.0,-1.0,-1
