,Paraguay,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Belize,Nepal,Malaysia,India,Dominican Republic,Philippines,Brazil,Australia & New Zealand,Cook Islands,Ethiopia,Indonesia,Maldives,Puerto Rico,Pakistan,Zimbabwe,Bangladesh,Venezuela (Bolivarian Republic of),Melanesia,Yemen,Guyana,Democratic Republic of the Congo,Bahamas,United States of America,Iran (Islamic Republic of),Guatemala,Nigeria,French Guiana,Argentina,Haiti,Costa Rica,Cuba,El Salvador,Dominica,Fiji,Rwanda,Morocco,Congo,Mexico,Ecuador,Honduras,Panama,Israel,Réunion,China,Suriname,Côte d'Ivoire,Colombia,Jamaica,Trinidad and Tobago,Chile,Guinea-Bissau,Polynesia,South Africa,Samoa,Australia,Thailand,Ghana,"China, mainland",Oman,Mali,Timor-Leste
1961,-1.0,103448.0,44595.0,158228.0,203538.0,83333.0,-1.0,-1.0,95000.0,380000.0,80031.0,34766.0,127500.0,135087.0,200000.0,-1.0,111111.0,-1.0,71429.0,-1.0,-1.0,88235.0,134782.0,-1.0,-1.0,-1.0,170270.0,-1.0,297875.0,-1.0,-1.0,71429.0,-1.0,-1.0,-1.0,314286.0,130435.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,213602.0,275000.0,-1.0,-1.0,-1.0,-1.0,203538.0,-1.0,-1.0,405405.0,45625.0,-1.0,58929.0,-1.0,187531.0,84892.0,187500.0,135087.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1962,-1.0,103448.0,44737.0,160494.0,201365.0,83333.0,-1.0,-1.0,83333.0,331429.0,80723.0,33791.0,127500.0,135087.0,200000.0,-1.0,111111.0,-1.0,70455.0,-1.0,-1.0,88889.0,136206.0,-1.0,-1.0,-1.0,170667.0,-1.0,333500.0,-1.0,-1.0,71429.0,-1.0,-1.0,-1.0,328571.0,134783.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,214526.0,273469.0,-1.0,-1.0,-1.0,-1.0,201365.0,-1.0,-1.0,418919.0,46875.0,-1.0,60714.0,-1.0,192701.0,86659.0,192683.0,135087.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1963,-1.0,103448.0,44872.0,161677.0,198623.0,83333.0,-1.0,-1.0,96000.0,337143.0,83000.0,38132.0,126463.0,148521.0,200000.0,-1.0,109091.0,-1.0,70213.0,-1.0,-1.0,89474.0,138068.0,-1.0,-1.0,-1.0,171053.0,-1.0,319800.0,-1.0,-1.0,71429.0,-1.0,-1.0,-1.0,328571.0,141800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,221220.0,272000.0,-1.0,-1.0,-1.0,-1.0,198623.0,-1.0,-1.0,421053.0,46914.0,-1.0,60714.0,-1.0,192874.0,76400.0,192857.0,148521.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1964,-1.0,103448.0,45000.0,162791.0,201724.0,83333.0,-1.0,-1.0,100000.0,251667.0,85523.0,43333.0,126488.0,133370.0,200000.0,-1.0,109091.0,-1.0,70370.0,-1.0,-1.0,90000.0,150170.0,-1.0,-1.0,-1.0,169231.0,-1.0,343750.0,-1.0,-1.0,71429.0,-1.0,-1.0,-1.0,300000.0,128305.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,218725.0,274510.0,-1.0,-1.0,-1.0,-1.0,201724.0,-1.0,-1.0,434211.0,47531.0,-1.0,60870.0,-1.0,193039.0,88356.0,193023.0,133370.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1965,-1.0,103448.0,45122.0,162921.0,201095.0,83333.0,-1.0,-1.0,100000.0,298333.0,81714.0,58521.0,129524.0,146754.0,200000.0,-1.0,107692.0,-1.0,71429.0,-1.0,-1.0,86364.0,153029.0,-1.0,-1.0,-1.0,169620.0,-1.0,274719.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,300000.0,146629.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,235221.0,266992.0,-1.0,-1.0,-1.0,-1.0,201095.0,-1.0,-1.0,435897.0,47561.0,-1.0,60870.0,-1.0,193197.0,81260.0,193182.0,146754.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1966,-1.0,103448.0,44706.0,167091.0,179187.0,83333.0,-1.0,-1.0,112000.0,257500.0,84243.0,61958.0,128488.0,107643.0,200000.0,-1.0,107143.0,-1.0,71186.0,-1.0,-1.0,76457.0,137595.0,-1.0,-1.0,-1.0,170000.0,-1.0,353042.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,312500.0,207141.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,227371.0,261818.0,-1.0,-1.0,-1.0,-1.0,179187.0,-1.0,-1.0,448718.0,48171.0,-1.0,61207.0,-1.0,195662.0,84177.0,195652.0,107643.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1967,-1.0,103448.0,44444.0,167340.0,210734.0,84000.0,-1.0,-1.0,103333.0,261250.0,83178.0,65766.0,128466.0,166763.0,200000.0,-1.0,107143.0,-1.0,71186.0,-1.0,-1.0,113747.0,141860.0,-1.0,-1.0,-1.0,169136.0,-1.0,323813.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,312500.0,177259.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,220743.0,259739.0,-1.0,-1.0,-1.0,-1.0,210734.0,-1.0,-1.0,450000.0,48171.0,-1.0,60345.0,-1.0,191507.0,83783.0,191489.0,166763.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1968,-1.0,103448.0,44444.0,140332.0,210531.0,84615.0,-1.0,-1.0,97143.0,227778.0,83427.0,62033.0,128444.0,135733.0,200000.0,-1.0,100000.0,-1.0,70313.0,-1.0,-1.0,93859.0,139290.0,-1.0,-1.0,-1.0,168675.0,-1.0,333813.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,312500.0,221799.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,260759.0,225722.0,-1.0,-1.0,-1.0,-1.0,210531.0,-1.0,-1.0,462500.0,48148.0,-1.0,58621.0,-1.0,197921.0,90179.0,197917.0,135733.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1969,-1.0,103448.0,42000.0,143672.0,213682.0,86667.0,-1.0,-1.0,88571.0,246667.0,84816.0,58987.0,129348.0,131164.0,150000.0,-1.0,102857.0,-1.0,70769.0,-1.0,-1.0,92447.0,143610.0,-1.0,-1.0,-1.0,169412.0,-1.0,242361.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,288889.0,121051.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,233550.0,261905.0,-1.0,-1.0,-1.0,-1.0,213682.0,-1.0,-1.0,345455.0,46914.0,-1.0,58929.0,-1.0,193699.0,82327.0,193878.0,131164.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
1970,-1.0,103448.0,42000.0,145452.0,203219.0,88889.0,-1.0,-1.0,91429.0,197111.0,86857.0,69979.0,127500.0,129340.0,150000.0,-1.0,107143.0,-1.0,96000.0,-1.0,-1.0,91213.0,148062.0,-1.0,-1.0,-1.0,170460.0,-1.0,283050.0,-1.0,-1.0,77778.0,-1.0,-1.0,-1.0,288889.0,72915.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,222434.0,259067.0,-1.0,-1.0,-1.0,-1.0,203219.0,-1.0,-1.0,354545.0,45342.0,-1.0,57143.0,-1.0,189841.0,93242.0,190000.0,129340.0,98485.0,-1.0,-1.0,-1.0,200000.0,-1.0
