,"China, Taiwan Province of",Puerto Rico,United States of America,Romania,Norway,Australia,The former Yugoslav Republic of Macedonia,Slovakia,United Republic of Tanzania,Belgium,Japan,Uruguay,Republic of Moldova,Wallis and Futuna Islands,Qatar,Mauritius,Papua New Guinea,South Africa,China,Serbia and Montenegro,Serbia,Australia & New Zealand,El Salvador,Chile,Canada,Zimbabwe,New Zealand,Austria,Israel,Indonesia,Poland,Switzerland,Trinidad and Tobago,Melanesia,Greece,France,Nigeria,Bosnia and Herzegovina,Hungary,Barbados,Bolivia (Plurinational State of),Samoa,Jamaica,Kazakhstan,American Samoa,Brunei Darussalam,Mexico,Guinea,Ukraine,"China, mainland",Peru,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Thailand,Occupied Palestinian Territory,Liberia
1961,,-1.0,263297.0,-1.0,-1.0,900.0,,,2600.0,,26500.0,1000.0,,9.0,,-1.0,6192.0,15000.0,-1.0,,,1450.0,-1.0,12500.0,25000.0,-1.0,550.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,6192.0,,-1.0,138000.0,,,,23180.0,10.0,8.0,,2.0,-1.0,-1.0,110000.0,,-1.0,17500.0,13000.0,21.0,,-1.0,2500.0,-1.0,3800.0
1962,,-1.0,263030.0,-1.0,-1.0,950.0,,,2700.0,,26700.0,1000.0,,9.0,,-1.0,6500.0,15000.0,-1.0,,,1500.0,-1.0,12600.0,27000.0,-1.0,550.0,-1.0,-1.0,105000.0,-1.0,-1.0,-1.0,6500.0,,-1.0,112000.0,,,,25337.0,12.0,10.0,,2.0,-1.0,-1.0,105000.0,,-1.0,18000.0,28000.0,23.0,,-1.0,2500.0,-1.0,3800.0
1963,,-1.0,242630.0,-1.0,-1.0,1000.0,,,4300.0,,25600.0,1000.0,,9.0,,-1.0,7000.0,15000.0,-1.0,,,1550.0,-1.0,12800.0,23000.0,-1.0,550.0,-1.0,-1.0,110000.0,-1.0,-1.0,-1.0,7000.0,,-1.0,114000.0,,,,27796.0,15.0,12.0,,2.0,-1.0,-1.0,95000.0,,-1.0,18000.0,20000.0,26.0,,-1.0,2900.0,-1.0,3800.0
1964,,-1.0,222934.0,-1.0,-1.0,1100.0,,,3400.0,,25800.0,1000.0,,9.0,,-1.0,7300.0,16000.0,-1.0,,,1650.0,-1.0,13000.0,28000.0,-1.0,550.0,-1.0,-1.0,115000.0,-1.0,-1.0,-1.0,7300.0,,-1.0,147000.0,,,,28291.0,18.0,15.0,,2.0,-1.0,-1.0,100000.0,,-1.0,18000.0,18000.0,29.0,,-1.0,3000.0,-1.0,3800.0
1965,,-1.0,233205.0,-1.0,-1.0,1200.0,,,2800.0,,25900.0,1000.0,,9.0,,-1.0,7500.0,16000.0,-1.0,,,1770.0,-1.0,13044.0,28000.0,-1.0,570.0,-1.0,-1.0,120000.0,-1.0,-1.0,-1.0,7500.0,,-1.0,140000.0,,,,34070.0,20.0,17.0,,2.0,-1.0,-1.0,80000.0,,-1.0,15390.0,20000.0,31.0,,-1.0,3100.0,-1.0,3900.0
1966,,-1.0,259161.0,-1.0,-1.0,1300.0,,,3900.0,,26300.0,1157.0,,9.0,,-1.0,7800.0,17000.0,-1.0,,,2052.0,-1.0,11300.0,32000.0,-1.0,752.0,-1.0,-1.0,125000.0,-1.0,-1.0,-1.0,7800.0,,-1.0,114000.0,,,,42410.0,22.0,25.0,,2.0,-1.0,-1.0,110000.0,,-1.0,22410.0,22000.0,33.0,,-1.0,3250.0,-1.0,3900.0
1967,,-1.0,267655.0,-1.0,-1.0,1400.0,,,3900.0,,26000.0,1200.0,,10.0,,-1.0,8000.0,17000.0,-1.0,,,2180.0,-1.0,10600.0,30000.0,-1.0,780.0,-1.0,-1.0,130000.0,-1.0,-1.0,-1.0,8000.0,,-1.0,116000.0,,,,43480.0,22.0,15.0,,2.0,-1.0,-1.0,120000.0,,-1.0,24335.0,22000.0,34.0,,-1.0,3500.0,-1.0,4000.0
1968,,-1.0,280346.0,-1.0,-1.0,1509.0,,,3900.0,,24400.0,1300.0,,10.0,,-1.0,8500.0,17000.0,-1.0,,,2429.0,-1.0,10200.0,33500.0,-1.0,920.0,-1.0,-1.0,139000.0,-1.0,-1.0,-1.0,8500.0,,-1.0,110000.0,,,,44280.0,23.0,25.0,,2.0,-1.0,-1.0,145000.0,,-1.0,19010.0,23000.0,35.0,,-1.0,3750.0,-1.0,4000.0
1969,,-1.0,258105.0,-1.0,-1.0,1804.0,,,4200.0,,24700.0,1400.0,,10.0,,-1.0,8200.0,17000.0,-1.0,,,2781.0,-1.0,9700.0,33800.0,-1.0,977.0,-1.0,-1.0,142000.0,-1.0,-1.0,-1.0,8200.0,,-1.0,137000.0,,,,30000.0,25.0,5.0,,2.0,-1.0,-1.0,130000.0,,-1.0,25270.0,26000.0,37.0,,-1.0,4000.0,-1.0,4000.0
1970,,-1.0,244285.0,-1.0,-1.0,2303.0,,,4500.0,,27300.0,1508.0,,10.0,,-1.0,8900.0,18000.0,-1.0,,,3644.0,-1.0,9300.0,31220.0,-1.0,1341.0,-1.0,-1.0,145000.0,-1.0,-1.0,-1.0,8900.0,,-1.0,145000.0,,,,31000.0,25.0,7.0,,2.0,-1.0,-1.0,155000.0,,-1.0,24605.0,23000.0,37.0,,-1.0,4250.0,-1.0,4000.0
