,Ukraine,Georgia,Germany,Serbia,Bolivia (Plurinational State of),Austria,Belarus,Croatia,Poland,USSR,Armenia,Slovakia,Azerbaijan,Bosnia and Herzegovina,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Albania,Yugoslav SFR,Uzbekistan,Peru,Chile,Hungary,Spain,Kazakhstan,Bulgaria,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Portugal,Republic of Moldova,Slovenia,Czechoslovakia,Russian Federation,Czechia,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1,119140.0,-1.0,-1.0,3498.0,-1.0,-1.0,56400.0,51000.0,-1.0,-1.0,-1.0,-1.0,-1.0,11929.0,-1.0,4064.0,7000.0,35900.0,-1.0,-1.0,-1.0,55400.0,-1.0,-1.0,8980.0,149385.0,3000.0,-1.0,2556.0,-1.0,-1.0,10724.0,-1.0,-1.0,23200.0,-1.0,-1.0
1962,-1.0,-1,131500.0,-1.0,-1.0,2814.0,-1.0,-1.0,36300.0,54000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4813.0,-1.0,5166.0,6000.0,31100.0,-1.0,-1.0,-1.0,48800.0,-1.0,-1.0,9157.0,159890.0,3000.0,-1.0,4000.0,-1.0,-1.0,5207.0,-1.0,-1.0,24330.0,-1.0,-1.0
1963,-1.0,-1,121786.0,-1.0,-1.0,3026.0,-1.0,-1.0,43400.0,69000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7845.0,-1.0,4564.0,5000.0,31600.0,-1.0,-1.0,-1.0,43700.0,-1.0,-1.0,10092.0,73309.0,3500.0,-1.0,4000.0,-1.0,-1.0,7552.0,-1.0,-1.0,23800.0,-1.0,-1.0
1964,-1.0,-1,126349.0,-1.0,-1.0,2651.0,-1.0,-1.0,54700.0,77000.0,-1.0,-1.0,-1.0,-1.0,-1.0,13698.0,-1.0,5844.0,5000.0,32500.0,-1.0,-1.0,-1.0,35700.0,-1.0,-1.0,10626.0,247996.0,3500.0,-1.0,4000.0,-1.0,-1.0,9877.0,-1.0,-1.0,26000.0,-1.0,-1.0
1965,-1.0,-1,85215.0,-1.0,-1.0,2540.0,-1.0,-1.0,33700.0,78000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10070.0,-1.0,5582.0,5000.0,23500.0,-1.0,-1.0,-1.0,26799.0,-1.0,-1.0,12307.0,160126.0,4000.0,-1.0,4000.0,-1.0,-1.0,4057.0,-1.0,-1.0,24000.0,-1.0,-1.0
1966,-1.0,-1,130041.0,-1.0,-1.0,2965.0,-1.0,-1.0,68200.0,72000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5988.0,-1.0,7451.0,6000.0,27800.0,-1.0,-1.0,-1.0,37340.0,-1.0,-1.0,15640.0,81148.0,4200.0,-1.0,2000.0,-1.0,-1.0,10114.0,-1.0,-1.0,25000.0,-1.0,-1.0
1967,-1.0,-1,128395.0,-1.0,-1.0,2676.0,-1.0,-1.0,33300.0,67000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10319.0,-1.0,7300.0,5000.0,27100.0,-1.0,-1.0,-1.0,27324.0,-1.0,-1.0,15369.0,80095.0,4500.0,-1.0,2000.0,-1.0,-1.0,6530.0,-1.0,-1.0,25000.0,-1.0,-1.0
1968,-1.0,-1,161442.0,-1.0,-1.0,3507.0,-1.0,-1.0,50400.0,136000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7303.0,-1.0,7164.0,6000.0,31100.0,-1.0,-1.0,-1.0,40720.0,-1.0,-1.0,20976.0,124650.0,4500.0,-1.0,1360.0,-1.0,-1.0,9101.0,-1.0,-1.0,25000.0,-1.0,-1.0
1969,-1.0,-1,126965.0,-1.0,-1.0,3325.0,-1.0,-1.0,45600.0,52000.0,-1.0,-1.0,-1.0,-1.0,-1.0,9593.0,-1.0,10596.0,6500.0,36480.0,-1.0,-1.0,-1.0,30932.0,-1.0,-1.0,17551.0,142926.0,4700.0,-1.0,2620.0,-1.0,-1.0,9783.0,-1.0,-1.0,26000.0,-1.0,-1.0
1970,-1.0,-1,150580.0,-1.0,-1.0,3362.0,-1.0,-1.0,30100.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6623.0,-1.0,8942.0,7000.0,38687.0,-1.0,-1.0,-1.0,40478.0,-1.0,-1.0,15033.0,112853.0,5000.0,-1.0,3470.0,-1.0,-1.0,9679.0,-1.0,-1.0,32000.0,-1.0,-1.0
