,Ukraine,Peru,Georgia,Belarus,Croatia,Serbia,India,Melanesia,Armenia,Brazil,Belgium,Nepal,Pakistan,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Iraq,Republic of Korea,Cyprus,Spain,New Zealand,New Caledonia,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Slovenia,Czechoslovakia,Kyrgyzstan,Argentina,Luxembourg,Democratic People's Republic of Korea,Germany,Austria,Morocco,Bhutan,Switzerland,Mexico,USSR,Romania,Azerbaijan,Jordan,Bosnia and Herzegovina,China,Uzbekistan,Yugoslav SFR,Portugal,Slovakia,Lebanon,Czechia,Yemen,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Australia,France,Egypt,Republic of Moldova,Poland,"China, mainland",Russian Federation,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1,-1.0,-1.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,-1.0,25.0,-1.0,190.0,-1.0,-1,-1.0,0.0,57590.0,4400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,792.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,47950.0,33000.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1,-1.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,25.0,-1.0,167.0,-1.0,-1,-1.0,0.0,57790.0,4400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,642.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,48600.0,31000.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1,-1.0,-1.0,-1.0,-1.0,650.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,163.0,-1.0,-1,-1.0,0.0,57020.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,685.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2800.0,-1.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,49350.0,29800.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1,-1.0,-1.0,-1.0,-1.0,700.0,-1.0,-1.0,-1.0,-1.0,30.0,80.0,167.0,-1.0,-1,-1.0,0.0,57950.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,709.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2800.0,-1.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,49500.0,28400.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1,-1.0,-1.0,-1.0,-1.0,750.0,-1.0,-1.0,-1.0,-1.0,45.0,80.0,191.0,-1.0,-1,-1.0,0.0,56860.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,852.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2800.0,-1.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,49667.0,27600.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18000.0,-1,-1.0,-1.0,-1.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,65.0,80.0,182.0,-1.0,-1,-1.0,0.0,58920.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,878.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,50000.0,27200.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12500.0,-1,-1.0,-1.0,-1.0,-1.0,850.0,-1.0,-1.0,-1.0,-1.0,80.0,100.0,184.0,-1.0,-1,-1.0,0.0,59250.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,932.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,49833.0,27000.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1,-1.0,-1.0,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,-1.0,80.0,100.0,179.0,-1.0,-1,-1.0,0.0,59570.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,1336.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3400.0,-1.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,46667.0,26700.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1,-1.0,-1.0,-1.0,-1.0,950.0,-1.0,-1.0,-1.0,-1.0,70.0,100.0,176.0,-1.0,-1,-1.0,0.0,60860.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,1467.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3430.0,-1.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,46667.0,26000.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,90.0,120.0,265.0,-1.0,-1,-1.0,0.0,62000.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,1491.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3470.0,-1.0,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,47733.0,24700.0,-1.0
