,Germany,Peru,Chile,Hungary,Morocco,Syrian Arab Republic,South Africa,Portugal,Australia & New Zealand,USSR,Australia,Ecuador,France,Egypt,Lithuania,Poland,Russian Federation,Greece,Italy
1961,3938.0,40.0,0.0,2700.0,100.0,0.0,5175.0,228.0,68.0,107400.0,68.0,122.0,0.0,700.0,-1.0,21280.0,-1.0,722.0,2600.0
1962,3921.0,42.0,0.0,3500.0,100.0,0.0,5865.0,232.0,107.0,135600.0,107.0,113.0,0.0,700.0,-1.0,22120.0,-1.0,540.0,2500.0
1963,4135.0,44.0,0.0,4000.0,100.0,0.0,2760.0,240.0,48.0,126000.0,48.0,102.0,0.0,700.0,-1.0,17780.0,-1.0,397.0,2200.0
1964,4107.0,45.0,0.0,3900.0,100.0,0.0,5060.0,240.0,47.0,72840.0,47.0,109.0,0.0,600.0,-1.0,21000.0,-1.0,453.0,1700.0
1965,3796.0,38.0,0.0,3900.0,50.0,0.0,4905.0,232.0,40.0,79320.0,40.0,104.0,0.0,500.0,-1.0,21000.0,-1.0,360.0,1400.0
1966,3516.0,39.0,0.0,4100.0,50.0,1.0,4649.0,339.0,72.0,72840.0,72.0,95.0,0.0,510.0,-1.0,18900.0,-1.0,292.0,1400.0
1967,2943.0,41.0,0.0,4000.0,50.0,2.0,4728.0,327.0,249.0,71760.0,249.0,106.0,0.0,510.0,-1.0,15680.0,-1.0,179.0,1300.0
1968,3244.0,53.0,0.0,2600.0,50.0,2.0,4531.0,347.0,278.0,67560.0,278.0,94.0,0.0,510.0,-1.0,14980.0,-1.0,146.0,1200.0
1969,2578.0,63.0,0.0,1700.0,50.0,6.0,4137.0,370.0,726.0,74400.0,726.0,117.0,0.0,550.0,-1.0,14980.0,-1.0,112.0,1000.0
1970,3109.0,70.0,0.0,1800.0,75.0,3.0,2070.0,307.0,1994.0,57240.0,1994.0,81.0,0.0,420.0,-1.0,13580.0,-1.0,104.0,700.0
1971,3075.0,55.0,0.0,1700.0,85.0,11.0,2070.0,284.0,2554.0,67200.0,2554.0,81.0,0.0,510.0,-1.0,11760.0,-1.0,96.0,600.0
1972,2536.0,54.0,0.0,1200.0,85.0,12.0,2070.0,186.0,3730.0,59280.0,3730.0,72.0,0.0,510.0,-1.0,10500.0,-1.0,77.0,500.0
1973,2275.0,60.0,0.0,1000.0,90.0,28.0,1610.0,196.0,6977.0,52440.0,6977.0,65.0,0.0,690.0,-1.0,12040.0,-1.0,64.0,500.0
1974,2384.0,63.0,0.0,1000.0,90.0,41.0,690.0,204.0,7803.0,49560.0,7803.0,33.0,0.0,370.0,-1.0,10460.0,-1.0,56.0,400.0
1975,2405.0,67.0,3.0,960.0,95.0,124.0,460.0,244.0,6340.0,43200.0,6340.0,30.0,0.0,370.0,-1.0,10675.0,-1.0,48.0,400.0
1976,2792.0,102.0,60.0,997.0,95.0,74.0,460.0,233.0,4524.0,42600.0,4524.0,12.0,0.0,465.0,-1.0,9169.0,-1.0,48.0,400.0
1977,2534.0,148.0,204.0,998.0,100.0,70.0,460.0,249.0,3792.0,36360.0,3792.0,15.0,0.0,450.0,-1.0,8732.0,-1.0,40.0,300.0
1978,2422.0,180.0,240.0,1030.0,110.0,65.0,460.0,185.0,5926.0,34560.0,5926.0,11.0,0.0,285.0,-1.0,5694.0,-1.0,22.0,300.0
1979,2440.0,209.0,480.0,1052.0,115.0,72.0,460.0,211.0,6605.0,33120.0,6605.0,12.0,0.0,343.0,-1.0,7347.0,-1.0,24.0,300.0
1980,2500.0,246.0,928.0,1069.0,120.0,41.0,460.0,149.0,9024.0,33720.0,9024.0,19.0,0.0,600.0,-1.0,5027.0,-1.0,16.0,300.0
1981,2702.0,202.0,600.0,2442.0,125.0,37.0,460.0,212.0,14384.0,32160.0,14384.0,22.0,0.0,450.0,-1.0,7626.0,-1.0,16.0,300.0
1982,2671.0,166.0,720.0,2275.0,130.0,31.0,460.0,184.0,21217.0,36600.0,21217.0,21.0,0.0,453.0,-1.0,12342.0,-1.0,24.0,300.0
1983,2867.0,170.0,840.0,2352.0,130.0,11.0,460.0,12.0,33254.0,34440.0,33254.0,25.0,0.0,350.0,-1.0,16053.0,-1.0,24.0,300.0
1984,2805.0,170.0,970.0,1147.0,130.0,23.0,460.0,10.0,32909.0,26160.0,32909.0,27.0,0.0,360.0,-1.0,16659.0,-1.0,24.0,300.0
1985,2888.0,160.0,894.0,1125.0,135.0,18.0,460.0,9.0,41979.0,22320.0,41979.0,48.0,0.0,370.0,-1.0,17320.0,-1.0,16.0,280.0
1986,2625.0,154.0,857.0,1188.0,140.0,11.0,460.0,8.0,56836.0,19440.0,56836.0,40.0,0.0,380.0,-1.0,16286.0,-1.0,16.0,272.0
1987,2615.0,132.0,809.0,864.0,150.0,8.0,460.0,9.0,47591.0,16800.0,47591.0,41.0,200.0,385.0,-1.0,16297.0,-1.0,14.0,270.0
1988,3099.0,108.0,1028.0,912.0,250.0,1.0,460.0,7.0,45367.0,18000.0,45367.0,570.0,220.0,390.0,-1.0,18495.0,-1.0,12.0,250.0
1989,3040.0,154.0,1244.0,1061.0,255.0,16.0,414.0,2.0,44383.0,9240.0,44383.0,65.0,244.0,400.0,-1.0,14420.0,-1.0,12.0,290.0
1990,600.0,175.0,992.0,653.0,265.0,12.0,345.0,1.0,52559.0,7320.0,52559.0,111.0,369.0,410.0,-1.0,15820.0,-1.0,15.0,260.0
1991,200.0,298.0,1021.0,308.0,270.0,9.0,322.0,2.0,57818.0,7320.0,57818.0,123.0,370.0,415.0,-1.0,16800.0,-1.0,12.0,270.0
1992,100.0,375.0,1523.0,523.0,265.0,2.0,345.0,1.0,64422.0,-1.0,64422.0,137.0,336.0,418.0,0.0,10360.0,2000.0,8.0,250.0
1993,40.0,417.0,2489.0,303.0,270.0,5.0,418.0,1.0,78792.0,-1.0,78792.0,152.0,410.0,420.0,0.0,7700.0,1600.0,8.0,270.0
1994,40.0,497.0,2981.0,300.0,249.0,8.0,299.0,1.0,74088.0,-1.0,74088.0,236.0,308.0,415.0,0.0,6300.0,1800.0,8.0,280.0
1995,0.0,530.0,2142.0,250.0,275.0,8.0,368.0,0.0,70560.0,-1.0,70560.0,198.0,220.0,420.0,0.0,6300.0,1800.0,8.0,270.0
1996,0.0,607.0,1825.0,99.0,1000.0,6.0,414.0,0.0,79800.0,-1.0,79800.0,142.0,255.0,420.0,0.0,6160.0,1800.0,8.0,270.0
1997,0.0,607.0,2303.0,177.0,1070.0,5.0,375.0,0.0,78736.0,-1.0,78736.0,117.0,313.0,485.0,0.0,1763.0,1800.0,8.0,270.0
1998,0.0,590.0,2247.0,100.0,1050.0,3.0,437.0,0.0,75432.0,-1.0,75432.0,106.0,489.0,420.0,0.0,2831.0,1800.0,32.0,270.0
1999,0.0,730.0,2644.0,36.0,994.0,4.0,338.0,0.0,66080.0,-1.0,66080.0,128.0,1111.0,477.0,0.0,2286.0,2000.0,24.0,270.0
2000,0.0,363.0,1955.0,173.0,977.0,3.0,340.0,0.0,63784.0,-1.0,63784.0,135.0,1255.0,445.0,0.0,2016.0,2000.0,38.0,300.0
2001,0.0,371.0,1865.0,50.0,1188.0,4.0,253.0,0.0,57400.0,-1.0,57400.0,241.0,1348.0,418.0,0.0,625.0,2000.0,32.0,300.0
2002,0.0,349.0,1886.0,22.0,1117.0,4.0,232.0,0.0,47650.0,-1.0,47650.0,267.0,1110.0,430.0,0.0,1247.0,2000.0,24.0,300.0
2003,7164.0,335.0,2298.0,30.0,1135.0,2.0,163.0,0.0,47299.0,-1.0,47299.0,274.0,894.0,410.0,0.0,1627.0,2200.0,23.0,300.0
2004,7720.0,348.0,3036.0,30.0,1091.0,2.0,324.0,0.0,42392.0,-1.0,42392.0,128.0,715.0,260.0,0.0,4046.0,2500.0,24.0,300.0
2005,6560.0,299.0,3419.0,25.0,1161.0,2.0,368.0,0.0,41236.0,-1.0,41236.0,128.0,660.0,260.0,0.0,3559.0,2800.0,29.0,300.0
