,Slovakia,USSR,Cabo Verde,South Africa,Eritrea,Kazakhstan,Ethiopia PDR,Pakistan,Czechoslovakia,Ethiopia,Czechia,Germany,Ukraine,Republic of Korea
1961,,1000.0,84.0,60.0,,,2600.0,899.0,60.0,,,439.0,,140.0
1962,,1000.0,105.0,60.0,,,2800.0,1162.0,49.0,,,318.0,,133.0
1963,,1000.0,77.0,60.0,,,2600.0,1191.0,80.0,,,175.0,,152.0
1964,,1100.0,77.0,72.0,,,2600.0,1198.0,65.0,,,228.0,,165.0
1965,,650.0,84.0,72.0,,,2500.0,1316.0,44.0,,,185.0,,188.0
1966,,500.0,70.0,72.0,,,2600.0,1098.0,17.0,,,111.0,,210.0
1967,,500.0,56.0,84.0,,,2700.0,1220.0,11.0,,,55.0,,211.0
1968,,450.0,42.0,84.0,,,2800.0,1101.0,40.0,,,55.0,,212.0
1969,,520.0,56.0,84.0,,,2800.0,1192.0,40.0,,,61.0,,231.0
1970,,600.0,14.0,84.0,,,2900.0,1069.0,45.0,,,76.0,,216.0
1971,,700.0,14.0,96.0,,,3000.0,1203.0,37.0,,,117.0,,228.0
1972,,550.0,7.0,96.0,,,3040.0,1503.0,120.0,,,57.0,,240.0
1973,,450.0,7.0,108.0,,,2134.0,1801.0,339.0,,,19.0,,268.0
1974,,250.0,7.0,108.0,,,4888.0,2100.0,346.0,,,28.0,,303.0
1975,,150.0,0.0,108.0,,,2592.0,2400.0,380.0,,,124.0,,368.0
1976,,100.0,0.0,108.0,,,2410.0,2400.0,262.0,,,125.0,,349.0
1977,,100.0,0.0,108.0,,,2424.0,2100.0,204.0,,,75.0,,332.0
1978,,125.0,0.0,108.0,,,2441.0,1861.0,178.0,,,57.0,,455.0
1979,,100.0,0.0,108.0,,,2471.0,1534.0,116.0,,,41.0,,434.0
1980,,130.0,0.0,108.0,,,3026.0,1202.0,132.0,,,39.0,,473.0
1981,,125.0,0.0,108.0,,,3452.0,1053.0,183.0,,,51.0,,475.0
1982,,130.0,0.0,108.0,,,3094.0,905.0,251.0,,,63.0,,532.0
1983,,110.0,0.0,108.0,,,3623.0,900.0,263.0,,,65.0,,526.0
1984,,140.0,0.0,108.0,,,3343.0,750.0,227.0,,,56.0,,562.0
1985,,100.0,0.0,108.0,,,2792.0,602.0,200.0,,,46.0,,683.0
1986,,200.0,0.0,108.0,,,2326.0,601.0,218.0,,,53.0,,782.0
1987,,850.0,0.0,108.0,,,2309.0,600.0,257.0,,,71.0,,742.0
1988,,850.0,0.0,108.0,,,2591.0,601.0,343.0,,,74.0,,795.0
1989,,836.0,0.0,110.0,,,2650.0,600.0,609.0,,,0.0,,742.0
1990,,784.0,0.0,117.0,,,3180.0,670.0,1241.0,,,0.0,,815.0
1991,,784.0,0.0,110.0,,,2988.0,883.0,157.0,,,0.0,,998.0
1992,,,0.0,93.0,,1500.0,2988.0,635.0,157.0,,,0.0,0.0,825.0
1993,80.0,,0.0,87.0,760.0,1000.0,,570.0,,4715.0,21.0,0.0,0.0,652.0
1994,84.0,,0.0,99.0,800.0,1500.0,,610.0,,4465.0,32.0,0.0,0.0,730.0
1995,49.0,,0.0,117.0,740.0,1000.0,,743.0,,4829.0,33.0,0.0,270.0,653.0
1996,51.0,,0.0,93.0,598.0,1000.0,,669.0,,3904.0,42.0,0.0,300.0,643.0
1997,50.0,,0.0,102.0,760.0,800.0,,659.0,,4766.0,49.0,0.0,300.0,699.0
1998,70.0,,0.0,95.0,918.0,1200.0,,639.0,,4422.0,67.0,0.0,300.0,590.0
1999,70.0,,0.0,110.0,644.0,1200.0,,1503.0,,5131.0,257.0,0.0,300.0,600.0
2000,91.0,,0.0,144.0,563.0,1500.0,,3008.0,,6713.0,245.0,0.0,350.0,581.0
2001,105.0,,0.0,120.0,800.0,1500.0,,6003.0,,4644.0,224.0,0.0,350.0,530.0
2002,119.0,,0.0,103.0,860.0,1500.0,,5812.0,,4994.0,210.0,0.0,350.0,574.0
2003,126.0,,0.0,102.0,970.0,1500.0,,7543.0,,5634.0,246.0,0.0,350.0,487.0
2004,140.0,,0.0,89.0,1015.0,1500.0,,9045.0,,7177.0,309.0,0.0,400.0,479.0
2005,154.0,,0.0,102.0,963.0,1000.0,,9006.0,,6138.0,151.0,0.0,400.0,533.0
2006,168.0,,0.0,73.0,1052.0,1000.0,,10500.0,,5494.0,86.0,0.0,400.0,570.0
2007,175.0,,0.0,76.0,1027.0,500.0,,12006.0,,5705.0,84.0,0.0,400.0,535.0
2008,189.0,,0.0,83.0,1112.0,800.0,,13508.0,,5136.0,140.0,0.0,400.0,593.0
2009,203.0,,0.0,68.0,1050.0,1000.0,,14216.0,,4952.0,210.0,0.0,400.0,668.0
2010,198.0,,0.0,72.0,1134.0,1000.0,,13823.0,,6180.0,196.0,0.0,400.0,643.0
2011,9.0,,0.0,72.0,1140.0,1000.0,,14103.0,,6073.0,151.0,0.0,400.0,595.0
2012,14.0,,0.0,84.0,1140.0,1000.0,,14253.0,,5417.0,147.0,0.0,400.0,603.0
2013,79.0,,0.0,67.0,1105.0,1000.0,,14255.0,,5052.0,147.0,0.0,400.0,749.0
2014,79.0,,0.0,67.0,1105.0,1000.0,,14501.0,,5052.0,147.0,0.0,400.0,749.0
