,Peru,"China, Taiwan Province of",Morocco,Mexico,Romania,Philippines,Jordan,China,Côte d'Ivoire,Japan,Iraq,Jamaica,Venezuela (Bolivarian Republic of),Polynesia,United States of America,Barbados,France,Egypt,Micronesia,Poland,French Polynesia,Argentina,Guam,Turkey
1961,1500.0,16518.0,-1.0,-1.0,-1,-1.0,-1,16518.0,-1.0,63250.0,-1.0,50.0,1700.0,80.0,637521.0,-1.0,172420.0,-1.0,-1.0,-1.0,80.0,25500.0,-1.0,15000.0
1962,1500.0,16867.0,-1.0,-1.0,-1,-1.0,-1,16867.0,-1.0,66600.0,-1.0,80.0,1800.0,80.0,595736.0,-1.0,168980.0,-1.0,-1.0,-1.0,80.0,27100.0,-1.0,15000.0
1963,1500.0,18372.0,-1.0,-1.0,-1,-1.0,-1,18372.0,-1.0,72400.0,-1.0,100.0,2000.0,81.0,616637.0,-1.0,190480.0,-1.0,-1.0,-1.0,81.0,23200.0,-1.0,18000.0
1964,1500.0,20461.0,-1.0,-1.0,-1,-1.0,-1,20461.0,-1.0,77150.0,-1.0,120.0,2100.0,81.0,607929.0,-1.0,194230.0,-1.0,-1.0,-1.0,81.0,25900.0,-1.0,18000.0
1965,1682.0,21513.0,-1.0,-1.0,-1,-1.0,-1,21513.0,-1.0,76100.0,-1.0,150.0,2200.0,82.0,666668.0,-1.0,184840.0,-1.0,-1.0,-1.0,82.0,23400.0,-1.0,18000.0
1966,1851.0,20943.0,-1.0,-1.0,-1,-1.0,-1,20943.0,-1.0,84100.0,-1.0,154.0,2335.0,83.0,638264.0,-1.0,214940.0,-1.0,-1.0,-1.0,83.0,24300.0,-1.0,20000.0
1967,2513.0,21985.0,-1.0,-1.0,-1,-1.0,-1,21985.0,-1.0,81700.0,-1.0,340.0,2471.0,84.0,749911.0,-1.0,203990.0,-1.0,-1.0,-1.0,84.0,27000.0,-1.0,20000.0
1968,2249.0,21465.0,-1.0,-1.0,-1,-1.0,-1,21465.0,-1.0,83400.0,-1.0,400.0,2615.0,85.0,724292.0,-1.0,200020.0,-1.0,-1.0,-1.0,85.0,30900.0,-1.0,20354.0
1969,2326.0,36134.0,-1.0,-1.0,-1,-1.0,-1,36134.0,-1.0,82400.0,-1.0,203.0,2529.0,85.0,664917.0,-1.0,202780.0,-1.0,-1.0,-1.0,85.0,23700.0,-1.0,38619.0
1970,3608.0,26115.0,-1.0,-1.0,-1,-1.0,-1,26115.0,-1.0,84900.0,-1.0,384.0,2709.0,86.0,658749.0,-1.0,213070.0,-1.0,-1.0,-1.0,86.0,23100.0,-1.0,50000.0
1971,3975.0,26321.0,-1.0,-1.0,-1,-1.0,-1,26321.0,-1.0,92200.0,-1.0,599.0,3100.0,87.0,681700.0,-1.0,233360.0,-1.0,-1.0,-1.0,87.0,29400.0,-1.0,50000.0
1972,5517.0,27814.0,-1.0,-1.0,-1,-1.0,-1,27814.0,-1.0,95600.0,-1.0,635.0,3193.0,88.0,698755.0,-1.0,185030.0,-1.0,-1.0,-1.0,88.0,36300.0,-1.0,58000.0
1973,4877.0,35002.0,-1.0,-1.0,-1,-1.0,-1,35002.0,-1.0,91500.0,-1.0,579.0,3453.0,89.0,810384.0,-1.0,194900.0,-1.0,-1.0,-1.0,89.0,40400.0,-1.0,60000.0
1974,7357.0,45151.0,-1.0,-1.0,-1,-1.0,-1,45151.0,-1.0,88200.0,-1.0,454.0,3746.0,90.0,811336.0,-1.0,225530.0,-1.0,-1.0,-1.0,90.0,39131.0,-1.0,60000.0
1975,9763.0,40658.0,-1.0,-1.0,-1,-1.0,-1,40658.0,-1.0,87600.0,-1.0,784.0,3885.0,95.0,748378.0,-1.0,213204.0,-1.0,-1.0,-1.0,95.0,27890.0,-1.0,50000.0
1976,7950.0,44261.0,-1.0,-1.0,-1,-1.0,-1,44261.0,-1.0,87500.0,-1.0,875.0,2543.0,116.0,677935.0,-1.0,144335.0,-1.0,25.0,-1.0,116.0,28331.0,25.0,55000.0
1977,8479.0,43886.0,-1.0,-1.0,-1,-1.0,-1,43886.0,-1.0,94700.0,-1.0,787.0,2570.0,94.0,743570.0,-1.0,238168.0,-1.0,43.0,-1.0,94.0,24900.0,43.0,40000.0
1978,7683.0,49016.0,-1.0,-1.0,-1,-1.0,-1,49016.0,-1.0,93000.0,35800.0,806.0,3507.0,125.0,782579.0,-1.0,258030.0,-1.0,90.0,-1.0,125.0,23600.0,90.0,50000.0
1979,7838.0,50345.0,-1.0,-1.0,-1,-1.0,-1,50345.0,-1.0,97400.0,49100.0,568.0,3786.0,162.0,830550.0,-1.0,223000.0,-1.0,134.0,-1.0,162.0,31200.0,134.0,56000.0
1980,8506.0,52204.0,-1.0,45494.0,-1,-1.0,-1,52204.0,-1.0,94200.0,71900.0,672.0,3696.0,141.0,775902.0,-1.0,165000.0,-1.0,41.0,-1.0,141.0,33400.0,41.0,65000.0
1981,8094.0,54346.0,-1.0,29323.0,-1,-1.0,-1,54346.0,-1.0,96300.0,77300.0,814.0,3797.0,177.0,741438.0,510.0,210700.0,-1.0,70.0,-1.0,177.0,38600.0,70.0,70000.0
1982,8390.0,58502.0,-1.0,34027.0,-1,-1.0,-1,58502.0,-1.0,96000.0,86500.0,764.0,3899.0,173.0,584097.0,509.0,242900.0,-1.0,53.0,-1.0,173.0,33200.0,53.0,65000.0
1983,8629.0,56533.0,-1.0,32978.0,-1,-1.0,-1,56533.0,-1.0,98400.0,77800.0,1105.0,4660.0,138.0,532887.0,533.0,168200.0,-1.0,58.0,-1.0,138.0,33900.0,58.0,65000.0
1984,11206.0,54934.0,-1.0,42654.0,-1,-1.0,-1,54934.0,-1.0,99100.0,79600.0,1367.0,4736.0,188.0,604282.0,384.0,183900.0,-1.0,70.0,-1.0,188.0,32700.0,70.0,55000.0
1985,8028.0,62334.0,-1.0,26657.0,-1,-1.0,-1,62334.0,-1.0,93900.0,78000.0,1581.0,4635.0,144.0,637285.0,340.0,231000.0,-1.0,93.0,-1.0,144.0,35000.0,93.0,50000.0
1986,8856.0,62775.0,-1.0,35802.0,-1,-1.0,-1,62775.0,-1.0,99300.0,84300.0,1801.0,4181.0,120.0,552840.0,409.0,236500.0,-1.0,84.0,-1.0,120.0,36000.0,84.0,35000.0
1987,8413.0,61269.0,-1.0,42685.0,-1,-1.0,-1,61269.0,-1.0,99000.0,76000.0,1792.0,4524.0,92.0,622170.0,546.0,232600.0,-1.0,70.0,-1.0,92.0,37000.0,70.0,35000.0
1988,8000.0,50640.0,-1.0,41254.0,-1,-1.0,-1,50640.0,-1.0,93000.0,74100.0,1081.0,4192.0,143.0,533680.0,577.0,236000.0,-1.0,81.0,-1.0,143.0,38000.0,81.0,35000.0
1989,10168.0,30501.0,4000.0,57026.0,-1,-1.0,-1,30501.0,-1.0,95300.0,64500.0,2179.0,4099.0,117.0,788970.0,521.0,234400.0,-1.0,83.0,-1.0,117.0,36000.0,83.0,30000.0
1990,10618.0,27516.0,6000.0,38674.0,-1,21923.0,-1,27516.0,-1.0,90300.0,88000.0,2087.0,3685.0,108.0,722400.0,446.0,200883.0,350.0,87.0,59000.0,108.0,38000.0,87.0,31000.0
1991,11594.0,27419.0,8000.0,47993.0,-1,21362.0,-1,27419.0,-1.0,82400.0,67400.0,3079.0,3490.0,127.0,696550.0,831.0,300822.0,350.0,90.0,63000.0,127.0,38500.0,90.0,33000.0
1992,11672.0,24618.0,10000.0,50418.0,-1,21583.0,-1,24618.0,-1.0,83600.0,95000.0,2322.0,3225.0,104.0,764300.0,1035.0,287551.0,400.0,92.0,48000.0,104.0,39000.0,92.0,35000.0
1993,12124.0,25130.0,14000.0,36898.0,-1,22510.0,-1,25130.0,-1.0,74800.0,100000.0,3248.0,3098.0,120.0,786250.0,750.0,274100.0,1000.0,94.0,66000.0,120.0,40000.0,94.0,33000.0
1994,10161.0,21654.0,17000.0,41594.0,-1,24313.0,-1,21654.0,-1.0,75100.0,98000.0,3984.0,3547.0,141.0,930500.0,490.0,308500.0,400.0,92.0,45000.0,141.0,41000.0,92.0,38000.0
1995,11206.0,23013.0,20000.0,55083.0,-1,24571.0,-1,23013.0,-1.0,75200.0,99000.0,7062.0,3583.0,150.0,841500.0,1948.0,325900.0,350.0,93.0,62000.0,150.0,42000.0,93.0,36000.0
