,Senegal,Mali,Benin,Guinea-Bissau,Côte d'Ivoire,Nigeria,Gambia,Burkina Faso,Niger,Guinea
1961,-1.0,50000.0,8000.0,20000.0,16000.0,70000.0,12000.0,51257.0,700.0,80000.0
1962,-1.0,50000.0,8000.0,20000.0,16000.0,72000.0,12000.0,6508.0,700.0,80000.0
1963,-1.0,50000.0,8000.0,20000.0,18000.0,74000.0,12000.0,18841.0,700.0,80000.0
1964,-1.0,50000.0,8000.0,24000.0,18000.0,76000.0,12500.0,16000.0,700.0,80000.0
1965,-1.0,50000.0,8000.0,24000.0,18000.0,77000.0,12500.0,16000.0,720.0,80000.0
1966,-1.0,45605.0,8000.0,25000.0,18000.0,79000.0,12500.0,16000.0,750.0,80000.0
1967,-1.0,50000.0,8000.0,25000.0,19000.0,80000.0,12500.0,15120.0,750.0,80000.0
1968,-1.0,50000.0,8000.0,25000.0,19000.0,81000.0,12500.0,15913.0,800.0,80000.0
1969,-1.0,50000.0,8000.0,20000.0,18750.0,45000.0,12500.0,40000.0,800.0,80000.0
1970,-1.0,60000.0,7400.0,20000.0,3700.0,28000.0,13000.0,44300.0,800.0,80000.0
1971,-1.0,48000.0,7400.0,20000.0,3700.0,27000.0,13000.0,20200.0,800.0,80000.0
1972,-1.0,55000.0,8500.0,18000.0,3700.0,25000.0,13000.0,25000.0,900.0,80000.0
1973,-1.0,60000.0,7488.0,18000.0,3700.0,26000.0,13500.0,20000.0,900.0,80000.0
1974,-1.0,60000.0,9000.0,18000.0,4000.0,27000.0,3000.0,13160.0,2500.0,80000.0
1975,-1.0,60000.0,6000.0,18000.0,4150.0,26000.0,2400.0,13000.0,3200.0,80000.0
1976,-1.0,60000.0,6000.0,18000.0,4150.0,25000.0,1800.0,13000.0,4300.0,80000.0
1977,-1.0,60000.0,6000.0,15000.0,4170.0,25000.0,1200.0,13000.0,2500.0,80000.0
1978,-1.0,54300.0,6000.0,15000.0,4200.0,27000.0,1800.0,13050.0,3200.0,80000.0
1979,-1.0,31900.0,6000.0,15000.0,4250.0,27000.0,400.0,11722.0,3280.0,80000.0
1980,-1.0,49300.0,6000.0,15000.0,9200.0,30000.0,2100.0,10120.0,3400.0,80000.0
1981,-1.0,70300.0,6000.0,10000.0,9600.0,32000.0,3200.0,8958.0,2600.0,80000.0
1982,-1.0,40200.0,6000.0,10000.0,10200.0,32000.0,1500.0,11804.0,5800.0,80000.0
1983,-1.0,51300.0,4077.0,10000.0,10500.0,30000.0,700.0,15360.0,6650.0,80000.0
1984,-1.0,44936.0,3887.0,10000.0,11200.0,35000.0,300.0,17045.0,6000.0,100000.0
1985,-1.0,28772.0,4492.0,7000.0,12000.0,38000.0,500.0,11950.0,6300.0,100000.0
1986,-1.0,22668.0,4846.0,5000.0,14000.0,44000.0,300.0,12806.0,4000.0,100000.0
1987,-1.0,28793.0,5224.0,4000.0,14000.0,46000.0,560.0,12332.0,5377.0,100000.0
1988,-1.0,31986.0,5810.0,2402.0,14000.0,53000.0,-1.0,18761.0,6000.0,97473.0
1989,-1.0,29637.0,4550.0,2793.0,15000.0,60000.0,-1.0,19118.0,6000.0,103305.0
1990,-1.0,47647.0,5632.0,3526.0,16000.0,65000.0,-1.0,19500.0,3167.0,113337.0
1991,-1.0,55971.0,5471.0,1750.0,17000.0,72000.0,-1.0,25300.0,950.0,124137.0
1992,-1.0,31232.0,5672.0,2222.0,18000.0,78000.0,-1.0,21500.0,439.0,135929.0
1993,-1.0,39505.0,4200.0,2855.0,14000.0,81700.0,-1.0,22505.0,1200.0,145000.0
1994,-1.0,54476.0,3600.0,3561.0,15000.0,93000.0,-1.0,23468.0,1300.0,133334.0
1995,-1.0,45758.0,2130.0,2997.0,17000.0,108000.0,-1.0,17429.0,1500.0,128270.0
1996,-1.0,24391.0,3039.0,3350.0,19000.0,125000.0,-1.0,14958.0,2300.0,129591.0
1997,5284.0,23678.0,2817.0,4040.0,22000.0,127000.0,-1.0,19493.0,2000.0,130922.0
1998,3001.0,19681.0,2671.0,6500.0,20361.0,131000.0,-1.0,19128.0,2165.0,132270.0
1999,4469.0,44059.0,2624.0,7000.0,20797.0,134000.0,-1.0,16562.0,2322.0,133632.0
2000,2128.0,25045.0,3579.0,6500.0,21244.0,133000.0,-1.0,15994.0,2300.0,162244.0
2001,1383.0,42241.0,2957.0,4800.0,21698.0,143000.0,-1.0,18124.0,2715.0,160794.0
2002,1840.0,34757.0,3571.0,3500.0,22155.0,166000.0,-1.0,12078.0,2953.0,167852.0
2003,2000.0,37910.0,2750.0,2500.0,18095.0,165000.0,-1.0,11135.0,2500.0,175221.0
2004,2341.0,38000.0,2675.0,3500.0,18708.0,180000.0,-1.0,11849.0,3636.0,182913.0
2005,2176.0,49704.0,3216.0,4500.0,19325.0,198000.0,-1.0,10539.0,4105.0,190943.0
2006,1450.0,45772.0,2547.0,3600.0,13000.0,175000.0,-1.0,13397.0,5263.0,199326.0
2007,1984.0,46477.0,2732.0,469.0,13520.0,121000.0,-1.0,18083.0,3992.0,208076.0
2008,6795.0,37283.0,3116.0,636.0,13000.0,119000.0,-1.0,23869.0,11200.0,237638.0
2009,4146.0,62310.0,1718.0,706.0,14000.0,130000.0,-1.0,33583.0,2538.0,289916.0
2010,1649.0,66875.0,1466.0,612.0,14481.0,150303.0,-1.0,22481.0,11329.0,313081.0
2011,2448.0,65252.0,1214.0,692.0,13852.0,166970.0,-1.0,21691.0,11612.0,343697.0
2012,1796.0,43809.0,1800.0,837.0,13473.0,172144.0,-1.0,26833.0,11329.0,442690.0
2013,2446.0,34709.0,1926.0,991.0,12319.0,177000.0,-1.0,24567.0,10300.0,455393.0
2014,3286.0,55704.0,1931.0,1119.0,13278.0,180549.0,-1.0,11400.0,10300.0,459563.0
