,Slovakia,USSR,Poland,Turkey,Belarus,Denmark,Kyrgyzstan,Georgia,Greece,Azerbaijan,Portugal,France,Republic of Moldova,Italy,Slovenia,Hungary,Germany,Russian Federation,Tajikistan,Cameroon,Tunisia,Iran (Islamic Republic of),Uzbekistan,China,United States of America,Armenia,"China, mainland",Chile,Cyprus,Mongolia,Spain,Croatia,Bulgaria,Ukraine,Romania
1961,,-1.0,-1.0,205041.0,,-1.0,,,-1.0,,480.0,-1.0,,52600.0,,-1.0,,,,-1.0,-1.0,10000.0,,-1.0,7530.0,,-1.0,,252.0,-1.0,23500.0,,-1.0,,-1.0
1962,,-1.0,-1.0,211954.0,,-1.0,,,-1.0,,480.0,-1.0,,52400.0,,-1.0,,,,-1.0,-1.0,10000.0,,-1.0,7280.0,,-1.0,,266.0,-1.0,23600.0,,-1.0,,-1.0
1963,,-1.0,-1.0,213676.0,,-1.0,,,-1.0,,500.0,-1.0,,52500.0,,-1.0,,,,-1.0,-1.0,7000.0,,-1.0,7000.0,,-1.0,,280.0,-1.0,23800.0,,-1.0,,-1.0
1964,,-1.0,-1.0,223030.0,,-1.0,,,-1.0,,550.0,-1.0,,52600.0,,-1.0,,,,-1.0,-1.0,7000.0,,-1.0,6920.0,,-1.0,,280.0,-1.0,23900.0,,-1.0,,-1.0
1965,,-1.0,-1.0,226667.0,,-1.0,,,-1.0,,600.0,-1.0,,52300.0,,-1.0,,,,-1.0,-1.0,7000.0,,-1.0,6800.0,,-1.0,,294.0,-1.0,24100.0,,-1.0,,-1.0
1966,,-1.0,-1.0,232727.0,,-1.0,,,-1.0,,700.0,-1.0,,54300.0,,-1.0,,,,-1.0,-1.0,7000.0,,-1.0,6640.0,,-1.0,,308.0,-1.0,24000.0,,-1.0,,-1.0
1967,,-1.0,-1.0,236679.0,,-1.0,,,-1.0,,740.0,-1.0,,57800.0,,-1.0,,,,-1.0,-1.0,7000.0,,-1.0,6600.0,,-1.0,,316.0,-1.0,24300.0,,-1.0,,-1.0
1968,,-1.0,-1.0,225455.0,,-1.0,,,-1.0,,740.0,-1.0,,59000.0,,-1.0,,,,-1.0,-1.0,7000.0,,-1.0,6470.0,,-1.0,,322.0,-1.0,24300.0,,-1.0,,-1.0
1969,,-1.0,-1.0,223919.0,,-1.0,,,-1.0,,760.0,-1.0,,60000.0,,-1.0,,,,-1.0,-1.0,7000.0,,-1.0,6430.0,,-1.0,,308.0,-1.0,24400.0,,-1.0,,-1.0
1970,,-1.0,-1.0,223318.0,,-1.0,,,-1.0,,770.0,-1.0,,60400.0,,-1.0,,,,-1.0,-1.0,7000.0,,-1.0,6600.0,,-1.0,,308.0,-1.0,24900.0,,-1.0,,-1.0
