,Cameroon,Burkina Faso,Mali,Democratic Republic of the Congo,Niger
1961,6364.0,10000.0,8000.0,6080.0,-1.0
1962,6250.0,10000.0,8000.0,6080.0,-1.0
1963,6154.0,10000.0,8000.0,6080.0,-1.0
1964,6154.0,10000.0,8000.0,6080.0,-1.0
1965,6154.0,10000.0,8000.0,6080.0,-1.0
1966,6364.0,10000.0,8000.0,6080.0,-1.0
1967,4501.0,10000.0,8000.0,6080.0,-1.0
1968,4813.0,10000.0,8000.0,6080.0,-1.0
1969,7882.0,10000.0,8000.0,6080.0,-1.0
1970,5458.0,10000.0,8000.0,6080.0,-1.0
1971,5797.0,10000.0,8000.0,6077.0,-1.0
1972,7272.0,10000.0,8000.0,6077.0,-1.0
1973,5214.0,10000.0,8000.0,6077.0,-1.0
1974,5200.0,10000.0,8000.0,6077.0,-1.0
1975,6003.0,10000.0,8000.0,6077.0,-1.0
1976,5635.0,10000.0,8000.0,6077.0,-1.0
1977,5532.0,10000.0,8000.0,6077.0,-1.0
1978,6350.0,10000.0,8000.0,6077.0,-1.0
1979,6146.0,10000.0,8000.0,6077.0,-1.0
1980,6267.0,10000.0,5901.0,6077.0,-1.0
1981,6138.0,10000.0,5676.0,6288.0,-1.0
1982,6129.0,10000.0,5893.0,6288.0,-1.0
1983,6190.0,10000.0,5133.0,6288.0,-1.0
1984,6281.0,10000.0,5441.0,6288.0,-1.0
1985,6237.0,10134.0,4694.0,6288.0,-1.0
1986,6233.0,9782.0,6923.0,6288.0,-1.0
1987,6239.0,10514.0,6453.0,6288.0,-1.0
1988,6218.0,10375.0,4777.0,6444.0,-1.0
1989,6211.0,9964.0,4521.0,6444.0,-1.0
1990,6250.0,6854.0,6925.0,6445.0,-1.0
1991,6190.0,7195.0,7962.0,6168.0,-1.0
1992,6250.0,7728.0,7381.0,6191.0,-1.0
1993,6170.0,11819.0,5349.0,6130.0,-1.0
1994,6200.0,9448.0,2059.0,6083.0,-1.0
1995,6190.0,9524.0,7783.0,5814.0,-1.0
1996,6182.0,12613.0,5243.0,5758.0,-1.0
1997,6348.0,7860.0,6401.0,5736.0,-1.0
1998,6230.0,12067.0,7877.0,6069.0,-1.0
1999,10051.0,12595.0,8122.0,5580.0,-1.0
2000,9466.0,8975.0,6831.0,5406.0,4411.0
2001,7633.0,11687.0,6500.0,5210.0,4798.0
2002,7516.0,10203.0,6847.0,4944.0,4507.0
2003,7401.0,9997.0,7347.0,4778.0,2574.0
2004,7289.0,7837.0,9500.0,4180.0,3940.0
2005,12846.0,9701.0,8533.0,4180.0,3382.0
2006,12265.0,8716.0,6254.0,4180.0,5712.0
2007,9398.0,8687.0,8301.0,4322.0,2921.0
2008,9460.0,11014.0,5764.0,4417.0,4174.0
2009,8604.0,10897.0,6337.0,4324.0,4186.0
2010,9504.0,12946.0,6997.0,4165.0,4301.0
2011,6300.0,11230.0,6751.0,4238.0,4288.0
2012,8096.0,11336.0,6663.0,4312.0,4641.0
2013,8444.0,11582.0,5650.0,4284.0,4800.0
2014,8750.0,11154.0,6082.0,4256.0,4593.0
