,Paraguay,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Cameroon,Burkina Faso,Israel,Dominican Republic,South Sudan,Brazil,Lao People's Democratic Republic,Benin,Thailand,Ethiopia,Indonesia,Pakistan,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Bangladesh,Republic of Korea,Togo,Venezuela (Bolivarian Republic of),Cyprus,Uzbekistan,Nicaragua,Greece,Eritrea,Niger,Bulgaria,United States of America,Iran (Islamic Republic of),Guatemala,Sudan,Mali,Nigeria,Senegal,Tajikistan,Syrian Arab Republic,Myanmar,Cambodia,Haiti,Costa Rica,Guinea,India,El Salvador,Viet Nam,Chad,Morocco,Ethiopia PDR,Congo,USSR,Mexico,Ecuador,Honduras,Egypt,Sudan (former),Sri Lanka,China,Yugoslav SFR,Côte d'Ivoire,Colombia,Angola,Democratic Republic of the Congo,Lebanon,United Republic of Tanzania,Yemen,Occupied Palestinian Territory,Jordan,Italy,Panama,Sierra Leone,Somalia,Central African Republic,"China, mainland",Iraq,Gambia,Uganda,Saudi Arabia,Turkey
1961,-1.0,1829.0,-1.0,200.0,4501.0,2500.0,2532.0,1895.0,1100.0,301.0,-1.0,3000.0,-1.0,400.0,12400.0,-1.0,-1,11180.0,-1.0,5020.0,19000.0,26416.0,2832.0,1000.0,24868.0,102.0,-1.0,6900.0,6374.0,-1.0,-1.0,95.0,1361.0,6000.0,700.0,-1.0,-1.0,56000.0,-1.0,-1.0,4200.0,64738.0,7868.0,220.0,100.0,808.0,372000.0,1700.0,3080.0,5000.0,30.0,30500.0,50.0,300.0,146820.0,552.0,532.0,10469.0,232000.0,5290.0,195501.0,400.0,2000.0,22000.0,1600.0,2054.0,400.0,12193.0,5700.0,-1.0,2200.0,1465.0,183.0,1000.0,4500.0,4500.0,191000.0,4530.0,-1.0,34000.0,1500.0,44000.0
1962,-1.0,1626.0,-1.0,191.0,4028.0,4000.0,4635.0,5660.0,1700.0,320.0,-1.0,4500.0,-1.0,420.0,16000.0,-1.0,-1,8130.0,-1.0,4890.0,19200.0,26416.0,3063.0,1000.0,28084.0,108.0,-1.0,6100.0,4658.0,-1.0,-1.0,196.0,500.0,6000.0,1400.0,-1.0,-1.0,60000.0,-1.0,-1.0,5900.0,76478.0,11767.0,225.0,64.0,179.0,492000.0,1400.0,3825.0,5000.0,30.0,30600.0,50.0,160.0,157849.0,587.0,461.0,16931.0,142000.0,8098.0,259028.0,375.0,2000.0,21000.0,1600.0,4893.0,500.0,9144.0,6100.0,-1.0,1900.0,1100.0,189.0,1000.0,4500.0,9000.0,255000.0,5086.0,-1.0,34000.0,1500.0,41000.0
1963,-1.0,1524.0,-1.0,220.0,2487.0,2000.0,2389.0,4130.0,1400.0,340.0,-1.0,1500.0,-1.0,440.0,16000.0,-1.0,-1,8130.0,-1.0,4660.0,19200.0,25400.0,2971.0,1000.0,30879.0,112.0,-1.0,4700.0,11169.0,-1.0,-1.0,262.0,600.0,7000.0,1300.0,-1.0,-1.0,53000.0,-1.0,-1.0,5322.0,84908.0,12300.0,230.0,80.0,820.0,439000.0,900.0,3385.0,5000.0,30.0,31000.0,50.0,200.0,169268.0,598.0,505.0,25553.0,173900.0,7360.0,270487.0,960.0,2000.0,25000.0,1800.0,1595.0,360.0,10908.0,5700.0,-1.0,1700.0,1165.0,195.0,1000.0,4500.0,9000.0,268000.0,6078.0,-1.0,35000.0,1550.0,40000.0
1964,-1.0,406.0,-1.0,100.0,2308.0,2500.0,3231.0,6000.0,1550.0,338.0,-1.0,3000.0,-1.0,460.0,13100.0,-1.0,-1,9140.0,-1.0,4260.0,19200.0,22352.0,3818.0,1000.0,46561.0,51.0,-1.0,5800.0,7700.0,-1.0,-1.0,318.0,400.0,6000.0,1000.0,-1.0,-1.0,56000.0,-1.0,-1.0,6527.0,53848.0,10000.0,235.0,80.0,890.0,484000.0,1300.0,3300.0,5000.0,30.0,31600.0,50.0,90.0,171697.0,933.0,470.0,23466.0,183700.0,7366.0,311308.0,600.0,2000.0,27000.0,3000.0,2017.0,140.0,11708.0,6200.0,-1.0,1690.0,1130.0,202.0,1000.0,5000.0,8300.0,309000.0,7776.0,-1.0,30000.0,1550.0,34000.0
1965,-1.0,1118.0,-1.0,80.0,2923.0,2000.0,1583.0,6000.0,920.0,300.0,-1.0,3500.0,-1.0,480.0,18300.0,-1.0,-1,7110.0,-1.0,3770.0,19800.0,24384.0,4164.0,1000.0,54125.0,61.0,-1.0,6300.0,4278.0,-1.0,-1.0,46.0,-1.0,6000.0,1400.0,-1.0,-1.0,61000.0,-1.0,-1.0,4900.0,100400.0,8000.0,240.0,80.0,200.0,424000.0,2200.0,3200.0,5000.0,30.0,32600.0,50.0,90.0,154401.0,1837.0,214.0,22496.0,160088.0,6710.0,258923.0,300.0,2000.0,30000.0,2500.0,4875.0,150.0,11971.0,6200.0,-1.0,1400.0,1100.0,209.0,1000.0,6000.0,7500.0,256000.0,9488.0,-1.0,30000.0,1600.0,34000.0
1966,-1.0,1118.0,-1.0,19.0,1827.0,2300.0,1974.0,4000.0,470.0,293.0,-1.0,1000.0,-1.0,500.0,19900.0,-1.0,-1,7110.0,-1.0,3440.0,21000.0,27400.0,5232.0,1100.0,60000.0,51.0,-1.0,5628.0,5723.0,-1.0,-1.0,636.0,-1.0,8000.0,1300.0,-1.0,-1.0,64000.0,-1.0,-1.0,5700.0,57780.0,9800.0,240.0,80.0,400.0,416000.0,4900.0,3200.0,4600.0,30.0,36800.0,50.0,30.0,166669.0,2246.0,700.0,11263.0,133000.0,4914.0,291827.0,300.0,2000.0,20000.0,2800.0,3707.0,150.0,8949.0,6600.0,-1.0,800.0,1210.0,216.0,800.0,15500.0,9300.0,290000.0,10914.0,-1.0,34000.0,1600.0,32000.0
1967,-1.0,3000.0,-1.0,19.0,3439.0,2400.0,3449.0,4000.0,650.0,287.0,-1.0,5000.0,-1.0,800.0,22700.0,-1.0,-1,9140.0,-1.0,2900.0,21000.0,30500.0,6119.0,1100.0,80542.0,102.0,-1.0,6663.0,6466.0,-1.0,-1.0,1267.0,-1.0,7000.0,4100.0,-1.0,-1.0,53000.0,-1.0,-1.0,9300.0,56611.0,4900.0,240.0,80.0,400.0,445000.0,4700.0,3300.0,4600.0,30.0,51000.0,50.0,100.0,155323.0,1117.0,722.0,8000.0,186368.0,7275.0,299439.0,400.0,2000.0,11000.0,2400.0,3930.0,109.0,11051.0,7155.0,-1.0,400.0,1155.0,220.0,800.0,15500.0,13000.0,296000.0,11975.0,-1.0,17000.0,1700.0,40000.0
1968,-1.0,3000.0,-1.0,21.0,2816.0,3000.0,3770.0,7949.0,400.0,280.0,-1.0,1000.0,-1.0,1100.0,21900.0,-1.0,-1,8130.0,-1.0,1000.0,21600.0,31500.0,6537.0,1100.0,76222.0,91.0,-1.0,7034.0,3838.0,-1.0,-1.0,645.0,-1.0,8000.0,5200.0,-1.0,-1.0,55000.0,-1.0,-1.0,8344.0,107925.0,8900.0,400.0,80.0,400.0,422500.0,1400.0,3300.0,12000.0,30.0,59700.0,100.0,60.0,159060.0,1965.0,744.0,10000.0,154000.0,7262.0,246816.0,310.0,2000.0,15700.0,2000.0,4500.0,97.0,11186.0,7255.0,-1.0,500.0,1085.0,220.0,800.0,15500.0,14000.0,244000.0,12025.0,-1.0,23000.0,1800.0,50000.0
1969,-1.0,3000.0,-1.0,32.0,2905.0,4000.0,5140.0,3755.0,550.0,274.0,-1.0,1500.0,-1.0,1500.0,18600.0,-1.0,-1,8130.0,-1.0,350.0,22200.0,30500.0,7708.0,1100.0,82552.0,102.0,-1.0,7351.0,3167.0,-1.0,-1.0,290.0,-1.0,8000.0,4839.0,-1.0,-1.0,58000.0,-1.0,-1.0,5732.0,83117.0,10800.0,600.0,80.0,400.0,448100.0,1500.0,3300.0,18437.0,40.0,69400.0,100.0,100.0,174965.0,1675.0,766.0,16000.0,174000.0,7971.0,258905.0,310.0,2000.0,14600.0,1500.0,5000.0,80.0,11712.0,7255.0,-1.0,181.0,1123.0,100.0,800.0,15500.0,14000.0,256000.0,12045.0,-1.0,21800.0,1700.0,41000.0
1970,-1.0,3000.0,-1.0,114.0,1784.0,2237.0,5047.0,6310.0,500.0,267.0,-1.0,4000.0,-1.0,1553.0,20200.0,-1.0,-1,10160.0,-1.0,570.0,21000.0,27400.0,10386.0,1200.0,125639.0,102.0,-1.0,6723.0,6310.0,-1.0,-1.0,337.0,-1.0,6000.0,8280.0,-1.0,-1.0,30000.0,-1.0,-1.0,2840.0,101707.0,10000.0,800.0,80.0,400.0,562300.0,1900.0,3400.0,11000.0,50.0,81300.0,100.0,100.0,179444.0,2256.0,788.0,20000.0,297000.0,13000.0,264784.0,500.0,2000.0,17900.0,3000.0,5700.0,112.0,11315.0,5455.0,-1.0,192.0,1240.0,109.0,804.0,22000.0,13000.0,263000.0,13325.0,-1.0,17000.0,1800.0,36000.0
1971,-1.0,3500.0,-1.0,106.0,1511.0,3200.0,6787.0,4008.0,450.0,261.0,-1.0,3500.0,-1.0,2164.0,21300.0,-1.0,-1,13474.0,-1.0,450.0,16800.0,28977.0,13393.0,1200.0,93937.0,234.0,-1.0,4655.0,5388.0,-1.0,70.0,168.0,-1.0,4500.0,6745.0,-1.0,-1.0,32000.0,-1.0,-1.0,4258.0,132108.0,7700.0,1000.0,80.0,400.0,449500.0,1400.0,3000.0,11100.0,50.0,93100.0,100.0,40.0,180294.0,1890.0,810.0,20567.0,296000.0,8000.0,281511.0,400.0,2000.0,31400.0,2000.0,5200.0,105.0,10526.0,7455.0,-1.0,210.0,1230.0,109.0,800.0,13300.0,12000.0,280000.0,14000.0,-1.0,31000.0,1597.0,43000.0
1972,-1.0,3900.0,-1.0,147.0,1300.0,3000.0,5700.0,5646.0,400.0,254.0,-1.0,2500.0,-1.0,1089.0,21300.0,-1.0,-1,10262.0,-1.0,330.0,20400.0,25869.0,14337.0,1200.0,59245.0,203.0,-1.0,2212.0,4228.0,-1.0,30.0,200.0,-1.0,3000.0,10635.0,-1.0,-1.0,33000.0,-1.0,-1.0,9541.0,113439.0,6600.0,1500.0,80.0,400.0,385400.0,2086.0,3000.0,11150.0,50.0,80000.0,100.0,60.0,160572.0,2090.0,832.0,24000.0,340000.0,6706.0,260300.0,400.0,2000.0,28300.0,2000.0,4700.0,124.0,8015.0,7955.0,-1.0,307.0,1180.0,125.0,800.0,17200.0,12000.0,259000.0,7078.0,-1.0,28500.0,408.0,33000.0
1973,-1.0,4200.0,-1.0,111.0,1659.0,3000.0,5055.0,5298.0,500.0,248.0,-1.0,2500.0,-1.0,601.0,23400.0,-1.0,-1,12396.0,-1.0,240.0,22800.0,25447.0,16882.0,1300.0,78438.0,10.0,-1.0,3481.0,3655.0,-1.0,80.0,197.0,-1.0,4500.0,12811.0,-1.0,-1.0,35000.0,-1.0,-1.0,5108.0,70702.0,6500.0,2000.0,80.0,400.0,484600.0,3100.0,3000.0,15000.0,50.0,93000.0,100.0,50.0,178169.0,893.0,946.0,21000.0,244000.0,6913.0,258659.0,200.0,2000.0,18100.0,2000.0,4600.0,105.0,11515.0,7556.0,-1.0,107.0,845.0,121.0,800.0,23200.0,11000.0,257000.0,5693.0,-1.0,30700.0,85.0,26000.0
1974,-1.0,4700.0,-1.0,118.0,1640.0,4000.0,5698.0,8000.0,150.0,250.0,-1.0,2500.0,-1.0,590.0,31100.0,-1.0,-1,8128.0,-1.0,300.0,24000.0,28439.0,16877.0,1500.0,71824.0,150.0,-1.0,3864.0,2321.0,-1.0,100.0,269.0,-1.0,4000.0,10060.0,-1.0,-1.0,36000.0,-1.0,-1.0,13186.0,154795.0,6000.0,3000.0,80.0,400.0,392200.0,3835.0,3200.0,12000.0,50.0,105000.0,158.0,20.0,159865.0,1673.0,876.0,13910.0,224000.0,8319.0,227640.0,200.0,2000.0,17200.0,2000.0,5100.0,157.0,9747.0,7256.0,-1.0,133.0,540.0,82.0,900.0,26500.0,12851.0,226000.0,6391.0,-1.0,30000.0,909.0,29000.0
