,Austria,Slovakia,Japan,Poland,Canada,USSR,Switzerland,Belgium-Luxembourg,Republic of Korea,Ukraine,Georgia,Greece,Czechoslovakia,Ethiopia,France,Czechia,Romania,Serbia,Slovenia,Hungary,Ireland,Russian Federation,Portugal,Yugoslav SFR,Belgium,Albania,China,United States of America,Serbia and Montenegro,Australia & New Zealand,Democratic People's Republic of Korea,"China, mainland",United Kingdom,Argentina,Australia,Spain,Croatia,Bulgaria,Germany,South Africa,New Zealand
1961,138.0,,1574.0,1958.0,519.0,6305.0,,908.0,,,,31.0,5881.0,,1946.0,,240.0,,,244.0,,,,5260.0,,-1.0,500.0,16082.0,,2053.0,1000.0,500.0,10160.0,150.0,1681.0,567.0,,187.0,13876.0,91.0,372.0
1962,125.0,,1640.0,2200.0,660.0,6000.0,,1026.0,,,,43.0,7097.0,,1580.0,,240.0,,,412.0,,,,5250.0,,-1.0,550.0,20063.0,,2076.0,1350.0,550.0,13210.0,188.0,1673.0,827.0,,235.0,16886.0,72.0,403.0
1963,158.0,,2100.0,2600.0,655.0,4100.0,,1289.0,,,,54.0,9033.0,,2323.0,,240.0,,,388.0,,,,4720.0,,-1.0,500.0,23325.0,,2009.0,1500.0,500.0,14220.0,131.0,1708.0,1169.0,,412.0,20747.0,127.0,301.0
1964,167.0,,2780.0,3100.0,691.0,8200.0,,1345.0,,,,55.0,6890.0,,2358.0,,270.0,,,504.0,,,,6110.0,,-1.0,600.0,24212.0,,1309.0,1500.0,600.0,13210.0,108.0,1009.0,1328.0,,614.0,20994.0,45.0,300.0
1965,122.0,,2730.0,2096.0,651.0,6000.0,20.0,1707.0,,,,96.0,7194.0,,1999.0,,270.0,,,459.0,,,,4890.0,,-1.0,650.0,25428.0,,1887.0,1500.0,650.0,13210.0,114.0,1417.0,1221.0,,493.0,20108.0,69.0,470.0
1966,156.0,,3120.0,2100.0,810.0,7800.0,20.0,1344.0,3.0,,,162.0,9259.0,,2556.0,,270.0,,,440.0,,,,5510.0,,-1.0,650.0,25205.0,,2365.0,1600.0,650.0,11177.0,129.0,1879.0,1247.0,,606.0,20270.0,91.0,486.0
1967,142.0,,3190.0,2300.0,693.0,9500.0,22.0,1502.0,8.0,,,169.0,7306.0,,2136.0,,270.0,,,559.0,,,,5300.0,,-1.0,680.0,22452.0,,1783.0,1600.0,680.0,11180.0,191.0,1311.0,1177.0,,560.0,25346.0,45.0,472.0
1968,140.0,,3311.0,2000.0,674.0,9200.0,17.0,1565.0,14.0,,,114.0,8416.0,,1996.0,,300.0,,,384.0,,,,5110.0,,-1.0,700.0,19837.0,,2233.0,1600.0,700.0,10160.0,195.0,1867.0,1336.0,,368.0,24657.0,59.0,366.0
1969,140.0,,2449.0,1700.0,722.0,8800.0,23.0,1762.0,6.0,,,133.0,10591.0,,1733.0,,300.0,,,443.0,,,200.0,5065.0,,-1.0,720.0,18943.0,,2699.0,1500.0,720.0,10160.0,140.0,2172.0,1186.0,,489.0,25408.0,77.0,527.0
1970,119.0,,2520.0,2400.0,815.0,8500.0,20.0,1705.0,4.0,,,274.0,10468.0,,1771.0,,300.0,,,325.0,,,200.0,5252.0,,-1.0,725.0,20803.0,,2513.0,1500.0,725.0,12190.0,176.0,2048.0,1478.0,,524.0,29269.0,91.0,465.0
1971,125.0,,2420.0,1900.0,719.0,8700.0,17.0,1933.0,35.0,,,280.0,7552.0,,1836.0,,300.0,,,238.0,,,200.0,4410.0,,-1.0,750.0,22525.0,,2182.0,1500.0,750.0,11177.0,205.0,1706.0,1153.0,,634.0,26864.0,91.0,476.0
1972,119.0,,2340.0,2500.0,542.0,8700.0,22.0,1860.0,72.0,,,290.0,10717.0,,1892.0,,300.0,,,256.0,,,200.0,4900.0,,-1.0,750.0,23273.0,,2261.0,1500.0,750.0,9144.0,204.0,1847.0,2067.0,,543.0,32900.0,45.0,414.0
1973,131.0,,2540.0,3200.0,600.0,10900.0,21.0,1933.0,156.0,,,290.0,10305.0,,2120.0,,300.0,,,268.0,,,400.0,5684.0,,-1.0,740.0,24843.0,,2460.0,1500.0,740.0,10161.0,241.0,2112.0,2405.0,,651.0,41015.0,45.0,348.0
