,Kenya,"China, Taiwan Province of",Mozambique,Guyana,Myanmar,Burkina Faso,Montserrat,Brazil,Philippines,Martinique,Lao People's Democratic Republic,Australia & New Zealand,Nepal,Ethiopia,Indonesia,Maldives,Zimbabwe,Bangladesh,Malawi,Melanesia,New Caledonia,Rwanda,Bahamas,Guatemala,United Arab Emirates,Senegal,Madagascar,Saint Lucia,Haiti,Guinea,Israel,Dominica,Fiji,Cabo Verde,Chad,Wallis and Futuna Islands,Sri Lanka,Italy,Egypt,Sudan (former),China,Colombia,United Republic of Tanzania,Micronesia (Federated States of),Occupied Palestinian Territory,Guinea-Bissau,Saint Vincent and the Grenadines,Namibia,Micronesia,"China, mainland",Mali,Thailand,Costa Rica,Seychelles,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Grenada,Dominican Republic,South Sudan,El Salvador,Benin,Cook Islands,Pakistan,Japan,Australia,Togo,Venezuela (Bolivarian Republic of),Antigua and Barbuda,Belize,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Somalia,Cuba,French Guiana,Argentina,Cambodia,Timor-Leste,Paraguay,India,Guadeloupe,Niger,Morocco,Bhutan,Congo,Mexico,Ecuador,Honduras,Puerto Rico,Viet Nam,Suriname,Côte d'Ivoire,Jamaica,Trinidad and Tobago,South Africa,Polynesia,Panama,Sierra Leone,Samoa,Réunion,Central African Republic,Ghana,Oman,Gambia,Nigeria,Swaziland
1961,150.0,478.0,4800.0,-1.0,-1.0,-1.0,-1.0,40600.0,17000.0,-1.0,150.0,272.0,-1.0,-1.0,70000.0,-1.0,-1.0,40000.0,4000.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,6000.0,-1.0,-1.0,12000.0,100.0,-1.0,4.0,50.0,-1.0,2.0,4394.0,-1,7141.0,5000.0,30478.0,960.0,5000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,30000.0,760.0,60000.0,-1.0,-1.0,210.0,2500.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,48.0,34400.0,-1.0,272.0,-1,5709.0,-1.0,-1.0,-1.0,-1.0,7900.0,-1.0,100.0,800.0,-1.0,-1.0,5800.0,-1.0,-1.0,850000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8968.0,650.0,-1.0,800.0,3000.0,-1.0,5500.0,-1.0,-1.0,1000.0,150.0,-1.0,-1.0,100.0,-1.0,-1.0,400.0,385.0,-1.0,40000.0,-1.0
1962,150.0,506.0,4800.0,-1.0,-1.0,-1.0,-1.0,41500.0,18000.0,-1.0,150.0,272.0,-1.0,-1.0,70000.0,-1.0,-1.0,44000.0,4000.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,6700.0,-1.0,-1.0,12000.0,100.0,-1.0,4.0,50.0,-1.0,2.0,5000.0,-1,7982.0,5000.0,30506.0,960.0,5000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,30000.0,780.0,60000.0,-1.0,-1.0,220.0,2500.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1,-1.0,-1.0,48.0,41280.0,-1.0,272.0,-1,5739.0,-1.0,-1.0,-1.0,-1.0,7300.0,-1.0,100.0,800.0,-1.0,-1.0,5600.0,-1.0,-1.0,850000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8876.0,650.0,-1.0,800.0,3000.0,-1.0,5500.0,-1.0,-1.0,1500.0,152.0,-1.0,-1.0,102.0,-1.0,-1.0,400.0,385.0,-1.0,40000.0,-1.0
1963,150.0,589.0,4800.0,-1.0,-1.0,-1.0,-1.0,42000.0,24000.0,-1.0,150.0,284.0,-1.0,-1.0,75000.0,-1.0,-1.0,41000.0,4000.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,6700.0,-1.0,-1.0,12000.0,130.0,-1.0,4.0,50.0,-1.0,2.0,4348.0,-1,7982.0,5000.0,30589.0,980.0,5000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,30000.0,800.0,60000.0,-1.0,-1.0,230.0,2500.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1,-1.0,-1.0,50.0,41300.0,-1.0,284.0,-1,5769.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,100.0,900.0,-1.0,-1.0,6400.0,-1.0,-1.0,850000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8719.0,597.0,-1.0,680.0,3000.0,-1.0,5500.0,-1.0,-1.0,1500.0,155.0,-1.0,-1.0,103.0,-1.0,-1.0,400.0,385.0,-1.0,40000.0,-1.0
1964,150.0,614.0,4800.0,-1.0,-1.0,-1.0,-1.0,41000.0,25000.0,-1.0,150.0,293.0,-1.0,-1.0,68000.0,-1.0,-1.0,42000.0,4000.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,7500.0,-1.0,-1.0,12000.0,150.0,-1.0,4.0,50.0,-1.0,2.0,4926.0,-1,8822.0,5000.0,30614.0,980.0,5000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,30000.0,820.0,60000.0,-1.0,-1.0,250.0,2500.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1,-1.0,-1.0,52.0,38400.0,-1.0,293.0,-1,5800.0,-1.0,-1.0,-1.0,-1.0,7800.0,-1.0,100.0,900.0,-1.0,-1.0,6497.0,-1.0,-1.0,850000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8890.0,643.0,-1.0,620.0,3000.0,-1.0,5500.0,-1.0,-1.0,1000.0,159.0,-1.0,-1.0,105.0,-1.0,-1.0,400.0,385.0,-1.0,40000.0,-1.0
1965,200.0,710.0,4800.0,-1.0,-1.0,-1.0,-1.0,42537.0,35000.0,-1.0,150.0,239.0,-1.0,-1.0,75000.0,-1.0,-1.0,38000.0,4100.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,7500.0,-1.0,-1.0,12000.0,170.0,-1.0,4.0,50.0,-1.0,2.0,4488.0,-1,9242.0,5000.0,30710.0,1000.0,5000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,30000.0,840.0,60000.0,-1.0,-1.0,250.0,2620.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,55.0,51400.0,-1.0,239.0,-1,5831.0,-1.0,-1.0,-1.0,-1.0,7500.0,-1.0,100.0,1800.0,-1.0,-1.0,7010.0,-1.0,-1.0,850000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10301.0,733.0,-1.0,620.0,3000.0,-1.0,5500.0,-1.0,-1.0,1000.0,164.0,-1.0,-1.0,107.0,-1.0,-1.0,457.0,385.0,-1.0,50000.0,-1.0
1966,200.0,868.0,4800.0,-1.0,-1.0,-1.0,-1.0,44437.0,35000.0,-1.0,150.0,289.0,-1.0,-1.0,70000.0,-1.0,-1.0,38000.0,4300.0,4.0,-1.0,-1.0,-1.0,-1.0,10.0,4000.0,8000.0,-1.0,-1.0,12000.0,200.0,-1.0,4.0,50.0,-1.0,2.0,4132.0,-1,9998.0,5000.0,40868.0,1020.0,6000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,40000.0,860.0,60000.0,-1.0,-1.0,260.0,2967.0,-1.0,-1.0,1350.0,-1.0,-1.0,-1,-1.0,-1.0,55.0,50991.0,-1.0,289.0,-1,5862.0,-1.0,-1.0,-1.0,-1.0,7800.0,-1.0,100.0,600.0,-1.0,-1.0,7100.0,-1.0,-1.0,850000.0,-1.0,-1.0,-1.0,-1.0,-1.0,11185.0,729.0,-1.0,530.0,3000.0,-1.0,6000.0,-1.0,-1.0,1000.0,166.0,-1.0,-1.0,109.0,-1.0,-1.0,404.0,385.0,-1.0,50000.0,-1.0
1967,200.0,1060.0,4800.0,-1.0,-1.0,-1.0,-1.0,43323.0,35000.0,-1.0,150.0,332.0,-1.0,-1.0,80000.0,-1.0,-1.0,38000.0,4600.0,4.0,-1.0,-1.0,-1.0,-1.0,15.0,4000.0,8000.0,-1.0,-1.0,12000.0,200.0,-1.0,4.0,50.0,-1.0,2.0,4273.0,-1,10082.0,5000.0,40060.0,1040.0,6000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,39000.0,880.0,70000.0,-1.0,-1.0,270.0,3077.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1,-1.0,-1.0,57.0,52610.0,-1.0,332.0,-1,5894.0,-1.0,-1.0,-1.0,-1.0,8100.0,-1.0,100.0,1168.0,-1.0,-1.0,7270.0,-1.0,-1.0,862000.0,-1.0,-1.0,-1.0,-1.0,-1.0,11278.0,749.0,-1.0,540.0,3000.0,-1.0,6000.0,-1.0,-1.0,1000.0,169.0,-1.0,-1.0,110.0,-1.0,-1.0,499.0,385.0,-1.0,50000.0,-1.0
1968,200.0,1099.0,4800.0,-1.0,-1.0,-1.0,-1.0,44531.0,37000.0,-1.0,150.0,336.0,-1.0,-1.0,80000.0,-1.0,-1.0,39000.0,4600.0,4.0,-1.0,-1.0,-1.0,-1.0,25.0,4000.0,8000.0,-1.0,-1.0,12000.0,100.0,-1.0,4.0,50.0,-1.0,2.0,5140.0,-1,10082.0,5000.0,48099.0,1060.0,6000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,47000.0,900.0,70000.0,-1.0,-1.0,270.0,3874.0,-1.0,-1.0,1450.0,-1.0,-1.0,-1,-1.0,-1.0,58.0,53014.0,-1.0,336.0,-1,5926.0,-1.0,-1.0,-1.0,-1.0,8300.0,-1.0,100.0,1286.0,-1.0,-1.0,6000.0,-1.0,-1.0,862000.0,-1.0,-1.0,-1.0,-1.0,-1.0,11557.0,731.0,-1.0,540.0,3000.0,-1.0,6000.0,-1.0,-1.0,1500.0,173.0,-1.0,-1.0,113.0,-1.0,-1.0,500.0,385.0,-1.0,50000.0,-1.0
1969,250.0,1235.0,4800.0,-1.0,-1.0,-1.0,-1.0,44598.0,40000.0,-1.0,150.0,333.0,-1.0,-1.0,80000.0,-1.0,-1.0,40076.0,4600.0,5.0,-1.0,-1.0,-1.0,-1.0,35.0,4800.0,8000.0,-1.0,-1.0,12000.0,100.0,-1.0,5.0,50.0,-1.0,2.0,4956.0,-1,10502.0,5200.0,44235.0,1080.0,6000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,43000.0,920.0,70000.0,-1.0,-1.0,290.0,4947.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1,-1.0,-1.0,58.0,51800.0,-1.0,333.0,-1,5957.0,-1.0,-1.0,-1.0,-1.0,8400.0,-1.0,100.0,353.0,-1.0,-1.0,4510.0,-1.0,-1.0,862000.0,-1.0,-1.0,-1.0,-1.0,-1.0,12430.0,579.0,-1.0,400.0,3000.0,-1.0,6000.0,-1.0,-1.0,1000.0,175.0,-1.0,-1.0,115.0,-1.0,-1.0,500.0,385.0,-1.0,50000.0,-1.0
1970,500.0,1641.0,4800.0,-1.0,-1.0,-1.0,-1.0,44665.0,45500.0,-1.0,150.0,353.0,-1.0,-1.0,56000.0,-1.0,-1.0,41659.0,5000.0,5.0,-1.0,-1.0,-1.0,-1.0,40.0,5000.0,8000.0,-1.0,-1.0,12000.0,100.0,-1.0,5.0,50.0,-1.0,2.0,4484.0,-1,10922.0,5300.0,50641.0,1080.0,7000.0,-1,-1.0,-1.0,-1.0,-1.0,-1,49000.0,940.0,70000.0,-1.0,7.0,290.0,5390.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,60.0,55038.0,-1.0,353.0,-1,5988.0,-1.0,-1.0,570.0,-1.0,8500.0,-1.0,100.0,1008.0,50.0,-1.0,4500.0,-1.0,-1.0,862000.0,-1.0,-1.0,-1.0,-1.0,-1.0,16594.0,622.0,-1.0,400.0,3000.0,-1.0,6500.0,-1.0,-1.0,1500.0,180.0,-1.0,-1.0,118.0,-1.0,-1.0,500.0,385.0,-1.0,60000.0,-1.0
