,Brunei Darussalam,Congo
1961,-1,-1.0
1962,-1,-1.0
1963,-1,-1.0
1964,-1,-1.0
1965,-1,-1.0
1966,-1,-1.0
1967,-1,-1.0
1968,-1,-1.0
1969,-1,-1.0
1970,-1,-1.0
1971,-1,-1.0
1972,-1,-1.0
1973,-1,-1.0
1974,-1,-1.0
1975,-1,-1.0
1976,-1,-1.0
1977,-1,-1.0
1978,-1,-1.0
1979,-1,-1.0
1980,-1,-1.0
1981,-1,-1.0
1982,-1,-1.0
1983,-1,-1.0
1984,-1,-1.0
1985,-1,-1.0
1986,-1,-1.0
1987,-1,-1.0
1988,-1,-1.0
1989,-1,-1.0
1990,-1,35000.0
1991,-1,36000.0
1992,-1,37000.0
1993,-1,38000.0
1994,-1,39000.0
1995,-1,40000.0
1996,-1,41000.0
1997,-1,42000.0
1998,-1,43000.0
1999,-1,44000.0
2000,-1,45000.0
2001,-1,46000.0
2002,-1,47000.0
2003,-1,48557.0
2004,-1,50274.0
2005,-1,52000.0
2006,-1,55613.0
2007,-1,64911.0
2008,-1,71122.0
2009,-1,77434.0
2010,-1,85000.0
2011,-1,85000.0
2012,-1,89325.0
2013,-1,81591.0
2014,-1,77079.0
