,Peru,Gambia,Ghana,Morocco
1961,1800.0,,,
1962,1800.0,,,
1963,1200.0,,,
1964,1800.0,,,
1965,1700.0,,,
1966,1600.0,,,
1967,1450.0,,,
1968,1300.0,,,
1969,1400.0,,,
1970,1700.0,,,
1971,1650.0,,,
1972,1250.0,,,
1973,1350.0,,,
1974,1380.0,,,
1975,1390.0,,,
1976,1300.0,,,
1977,1320.0,,,
1978,1250.0,,,
1979,1180.0,,,
1980,1120.0,,,
1981,1300.0,,,
1982,1480.0,,,
1983,1550.0,,,
1984,1680.0,,,
1985,4100.0,,,
1986,5100.0,,,
1987,7100.0,,,
1988,5100.0,,,
1989,6500.0,,,
1990,3000.0,-1.0,,
1991,3200.0,-1.0,,
1992,3017.0,-1.0,,
1993,2900.0,-1.0,,-1.0
1994,3500.0,-1.0,,-1.0
1995,3850.0,-1.0,,-1.0
1996,3100.0,-1.0,-1.0,-1.0
1997,3100.0,-1.0,-1.0,-1.0
1998,3850.0,-1.0,-1.0,-1.0
1999,8500.0,-1.0,-1.0,-1.0
2000,7800.0,-1.0,-1.0,-1.0
2001,8000.0,-1.0,,-1.0
2002,8200.0,-1.0,,-1.0
2003,9000.0,-1.0,,-1.0
2004,9300.0,-1.0,,-1.0
2005,9500.0,-1.0,,-1.0
2006,10800.0,-1.0,,-1.0
2007,11500.0,-1.0,,-1.0
2008,12000.0,-1.0,,-1.0
2009,12000.0,-1.0,,-1.0
2010,11500.0,-1.0,,-1.0
2011,11500.0,,,-1.0
2012,11300.0,,,-1.0
2013,11300.0,,,-1.0
2014,11300.0,,,-1.0
