,Democratic Republic of the Congo,Niger,Senegal,Cameroon,Burkina Faso,Mali
1961,12500.0,-1.0,-1,11000.0,7000.0,10000.0
1962,12500.0,-1.0,-1,12000.0,7000.0,10000.0
1963,12500.0,-1.0,-1,13000.0,7000.0,10000.0
1964,12500.0,-1.0,-1,13000.0,7000.0,10000.0
1965,12500.0,-1.0,-1,13000.0,7000.0,10000.0
1966,12500.0,-1.0,-1,11000.0,7000.0,10000.0
1967,12500.0,-1.0,-1,11390.0,7000.0,10000.0
1968,12500.0,-1.0,-1,10211.0,7000.0,10000.0
1969,12500.0,-1.0,-1,15376.0,7000.0,10000.0
1970,12500.0,-1.0,-1,20874.0,7000.0,10000.0
1971,13000.0,-1.0,-1,19772.0,7000.0,10000.0
1972,13000.0,-1.0,-1,18500.0,8000.0,10000.0
1973,13000.0,-1.0,-1,20801.0,8000.0,10000.0
1974,13000.0,-1.0,-1,21174.0,8000.0,10000.0
1975,13000.0,-1.0,-1,28875.0,8000.0,10000.0
1976,13000.0,-1.0,-1,32258.0,8000.0,10000.0
1977,13000.0,-1.0,-1,34026.0,8000.0,10000.0
1978,13000.0,-1.0,-1,10000.0,8000.0,10000.0
1979,13000.0,-1.0,-1,9200.0,9000.0,10000.0
1980,13000.0,-1.0,-1,10500.0,9000.0,14000.0
1981,13200.0,-1.0,-1,14500.0,9000.0,12000.0
1982,13200.0,-1.0,-1,15500.0,9000.0,15000.0
1983,13200.0,-1.0,-1,10500.0,9000.0,9065.0
1984,13200.0,-1.0,-1,11000.0,9000.0,19200.0
1985,13200.0,-1.0,-1,7800.0,12000.0,18024.0
1986,13200.0,-1.0,-1,11000.0,10000.0,19136.0
1987,13200.0,-1.0,-1,6700.0,10000.0,19218.0
1988,13500.0,-1.0,-1,10500.0,13000.0,26420.0
1989,13500.0,-1.0,-1,8900.0,20000.0,16159.0
1990,14944.0,-1.0,-1,8000.0,35600.0,24000.0
1991,14430.0,-1.0,-1,8400.0,46700.0,24369.0
1992,11000.0,-1.0,-1,8800.0,39855.0,25000.0
1993,11500.0,-1.0,-1,9400.0,39059.0,26000.0
1994,12000.0,-1.0,-1,10000.0,42778.0,28564.0
1995,13000.0,-1.0,-1,10500.0,35395.0,9206.0
1996,13596.0,-1.0,-1,11000.0,27650.0,16034.0
1997,13992.0,-1.0,-1,11500.0,31934.0,14562.0
1998,13500.0,-1.0,-1,12200.0,33016.0,12453.0
1999,14990.0,-1.0,-1,8934.0,31255.0,26738.0
2000,15798.0,13699.0,-1,8974.0,24489.0,24244.0
2001,16738.0,11961.0,-1,11508.0,32240.0,20000.0
2002,18000.0,33185.0,-1,12084.0,35525.0,16861.0
2003,19044.0,21204.0,-1,12688.0,35193.0,45351.0
2004,22249.0,24768.0,-1,13322.0,35533.0,20000.0
2005,22751.0,30095.0,-1,16192.0,41210.0,20120.0
2006,23254.0,31366.0,-1,16005.0,43288.0,28858.0
2007,23000.0,41661.0,-1,23438.0,43288.0,22750.0
2008,23000.0,48661.0,-1,25245.0,50457.0,45302.0
2009,24000.0,72249.0,-1,29805.0,41032.0,39416.0
2010,22967.0,63879.0,-1,30836.0,45947.0,37098.0
2011,23247.0,51536.0,-1,49008.0,43412.0,34783.0
2012,23502.0,70404.0,-1,42958.0,57445.0,34742.0
2013,24359.0,68301.0,-1,43392.0,48831.0,37062.0
2014,25235.0,70505.0,-1,43516.0,50428.0,37702.0
