,Jordan,Australia,Madagascar,Pakistan,Mexico,Azerbaijan,Italy,Mauritius,Turkey,Syrian Arab Republic,Tunisia,Iran (Islamic Republic of),Uzbekistan,China,United States of America,Greece,Australia & New Zealand,Morocco,"China, mainland",Cameroon,Cyprus,Afghanistan,Côte d'Ivoire,Spain,Kyrgyzstan
1961,,-1.0,-1.0,,,,2800.0,-1.0,5280.0,2000.0,,6000.0,,4000.0,,634.0,0.0,-1.0,4000.0,,,,-1.0,,
1962,,-1.0,-1.0,,,,1200.0,-1.0,5100.0,900.0,,7000.0,,4500.0,,740.0,0.0,-1.0,4500.0,,,,-1.0,,
1963,,-1.0,-1.0,,,,2500.0,-1.0,9890.0,900.0,,5000.0,,5000.0,,868.0,0.0,-1.0,5000.0,,,,-1.0,,
1964,,-1.0,-1.0,,,,1300.0,-1.0,6000.0,1300.0,,8000.0,,5500.0,,790.0,0.0,-1.0,5500.0,,,,-1.0,,
1965,,-1.0,-1.0,,,,2000.0,-1.0,8170.0,600.0,,7000.0,,6000.0,,1253.0,0.0,-1.0,6000.0,,,,-1.0,,
1966,,-1.0,-1.0,,,,1300.0,-1.0,15000.0,1500.0,,15000.0,,6500.0,,826.0,0.0,-1.0,6500.0,,,,-1.0,,
1967,,-1.0,-1.0,,,,1900.0,-1.0,8500.0,1500.0,,4000.0,,7000.0,,924.0,0.0,-1.0,7000.0,,,,-1.0,,
1968,,-1.0,-1.0,,,,1300.0,-1.0,18700.0,1483.0,,18500.0,,8000.0,,1116.0,0.0,-1.0,8000.0,,,,-1.0,,
1969,,-1.0,-1.0,,,,2700.0,-1.0,4300.0,1681.0,,17500.0,,9000.0,,1031.0,0.0,-1.0,9000.0,,,,-1.0,,
1970,,-1.0,-1.0,,,,1300.0,-1.0,14200.0,4009.0,15.0,16800.0,,10000.0,,1260.0,0.0,-1.0,10000.0,,,,-1.0,,
1971,,-1.0,-1.0,,,,2600.0,-1.0,9000.0,1191.0,16.0,18500.0,,12000.0,,1035.0,0.0,-1.0,12000.0,,,,-1.0,,
1972,,-1.0,-1.0,,,,900.0,-1.0,29000.0,5903.0,18.0,27500.0,,12500.0,,1257.0,0.0,-1.0,12500.0,,,,-1.0,,
1973,,-1.0,-1.0,,,,2400.0,-1.0,6500.0,1884.0,22.0,31000.0,,13000.0,,1223.0,0.0,-1.0,13000.0,,,,-1.0,,
1974,,-1.0,-1.0,,,,600.0,-1.0,23000.0,5080.0,27.0,42000.0,,15000.0,,1566.0,0.0,-1.0,15000.0,,,,-1.0,,
1975,10.0,-1.0,-1.0,,,,2200.0,-1.0,31000.0,8530.0,25.0,26000.0,,16000.0,,1430.0,0.0,-1.0,16000.0,,,0.0,-1.0,,
1976,10.0,-1.0,-1.0,,,,500.0,-1.0,4800.0,3703.0,24.0,40000.0,,17000.0,,1899.0,0.0,-1.0,17000.0,,,3700.0,-1.0,,
1977,10.0,-1.0,-1.0,,,,360.0,-1.0,40000.0,5389.0,25.0,27000.0,,18000.0,2087.0,1640.0,0.0,-1.0,18000.0,,,2700.0,-1.0,,
1978,10.0,-1.0,-1.0,,,,370.0,-1.0,6300.0,6868.0,27.0,69000.0,,16500.0,1179.0,1487.0,0.0,-1.0,16500.0,,3.0,3800.0,-1.0,,
1979,10.0,-1.0,-1.0,40.0,,,1600.0,-1.0,20000.0,5153.0,26.0,9000.0,,17000.0,7802.0,2190.0,0.0,-1.0,17000.0,,3.0,2000.0,-1.0,,
1980,51.0,-1.0,-1.0,90.0,,,1560.0,-1.0,7500.0,7814.0,50.0,23000.0,,18000.0,12247.0,2514.0,0.0,-1.0,18000.0,,3.0,3200.0,-1.0,,
1981,48.0,-1.0,-1.0,120.0,,,1700.0,-1.0,25000.0,9189.0,62.0,122137.0,,18500.0,6622.0,2253.0,0.0,-1.0,18500.0,,4.0,2600.0,-1.0,,
1982,47.0,-1.0,-1.0,140.0,,,160.0,-1.0,13000.0,8011.0,60.0,96121.0,,19000.0,19685.0,2150.0,0.0,-1.0,19000.0,,4.0,3200.0,-1.0,,
1983,50.0,-1.0,-1.0,170.0,,,1450.0,-1.0,25000.0,9200.0,70.0,119631.0,,20000.0,11975.0,3269.0,0.0,-1.0,20000.0,,6.0,2500.0,-1.0,,
1984,32.0,-1.0,-1.0,210.0,2.0,,200.0,-1.0,23000.0,10800.0,100.0,93839.0,,18000.0,28620.0,3600.0,0.0,-1.0,18000.0,,5.0,3000.0,-1.0,,
1985,30.0,-1.0,-1.0,222.0,13.0,,2000.0,-1.0,35000.0,12028.0,120.0,104657.0,,19000.0,12290.0,4067.0,0.0,-1.0,19000.0,,10.0,2200.0,-1.0,,
1986,30.0,-1.0,-1.0,232.0,24.0,,200.0,-1.0,30000.0,14300.0,150.0,97639.0,,21000.0,33970.0,3670.0,0.0,-1.0,21000.0,,7.0,2600.0,-1.0,,
1987,30.0,-1.0,-1.0,252.0,,,3000.0,-1.0,30000.0,12474.0,180.0,113684.0,,22000.0,15000.0,4348.0,0.0,-1.0,22000.0,,18.0,2000.0,-1.0,,
1988,30.0,-1.0,-1.0,252.0,,,240.0,-1.0,15000.0,17900.0,200.0,126274.0,,20000.0,42600.0,4244.0,0.0,-1.0,20000.0,,20.0,2200.0,-1.0,,
1989,,-1.0,-1.0,245.0,,,2010.0,-1.0,40000.0,15600.0,400.0,130359.0,,21500.0,17690.0,5551.0,0.0,-1.0,21500.0,,17.0,1700.0,-1.0,,
1990,0.0,-1.0,250.0,250.0,0.0,,200.0,10.0,14000.0,13000.0,600.0,162831.0,,22000.0,54430.0,3439.0,-1.0,50.0,22000.0,-1.0,20.0,2000.0,-1.0,0.0,
1991,0.0,-1.0,250.0,361.0,15.0,,2400.0,20.0,64000.0,14400.0,620.0,182484.0,,23000.0,34930.0,4989.0,-1.0,50.0,23000.0,-1.0,25.0,2000.0,-1.0,3344.0,
1992,0.0,-1.0,250.0,285.0,117.0,-1.0,156.0,14.0,29000.0,20200.0,800.0,201632.0,150.0,21500.0,66680.0,4786.0,-1.0,50.0,21500.0,-1.0,30.0,2100.0,-1.0,3310.0,-1.0
1993,0.0,-1.0,250.0,230.0,54.0,-1.0,1799.0,15.0,50000.0,13700.0,900.0,229332.0,200.0,24000.0,68950.0,5573.0,-1.0,50.0,24000.0,-1.0,27.0,2200.0,-1.0,3275.0,-1.0
1994,0.0,-1.0,260.0,210.0,12.0,-1.0,2000.0,11.0,40000.0,14925.0,900.0,195000.0,125.0,25000.0,58500.0,5351.0,-1.0,50.0,25000.0,-1.0,18.0,2300.0,-1.0,3241.0,-1.0
1995,0.0,-1.0,260.0,200.0,15.0,-1.0,2200.0,10.0,36000.0,14538.0,900.0,238778.0,150.0,26051.0,67130.0,5591.0,-1.0,50.0,26051.0,-1.0,30.0,2400.0,-1.0,3207.0,-1.0
1996,0.0,-1.0,260.0,360.0,13.0,-1.0,2500.0,5.0,60000.0,24324.0,1000.0,260085.0,170.0,28000.0,47630.0,8892.0,-1.0,50.0,28000.0,-1.0,35.0,2500.0,-1.0,3173.0,-1.0
1997,0.0,-1.0,270.0,238.0,52.0,-1.0,5000.0,8.0,70000.0,29428.0,1200.0,314000.0,180.0,30000.0,81900.0,9137.0,-1.0,60.0,30000.0,-1.0,32.0,2600.0,-1.0,3138.0,-1.0
1998,0.0,-1.0,260.0,238.0,59.0,-1.0,5000.0,7.0,35000.0,35684.0,1200.0,131000.0,200.0,26000.0,85280.0,8072.0,-1.0,50.0,26000.0,-1.0,30.0,2600.0,100.0,3104.0,-1.0
1999,0.0,-1.0,260.0,194.0,36.0,-1.0,2649.0,7.0,40000.0,30133.0,1200.0,304000.0,220.0,29000.0,55790.0,9027.0,-1.0,49.0,29000.0,-1.0,18.0,2800.0,140.0,3070.0,100.0
2000,15.0,-1.0,230.0,209.0,31.0,-1.0,2768.0,5.0,75000.0,39923.0,1600.0,112000.0,200.0,22000.0,110220.0,9536.0,-1.0,50.0,22000.0,-1.0,15.0,2800.0,153.0,3036.0,123.0
2001,17.0,-1.0,210.0,196.0,21.0,-1.0,1762.0,5.0,30000.0,37436.0,1100.0,249000.0,211.0,26000.0,73030.0,9540.0,-1.0,30.0,26000.0,-1.0,15.0,2800.0,166.0,3001.0,147.0
2002,19.0,-1.0,200.0,195.0,7.0,-1.0,1877.0,5.0,35000.0,52840.0,800.0,249000.0,250.0,28000.0,137440.0,8860.0,-1.0,46.0,28000.0,-1.0,15.0,2800.0,179.0,2967.0,178.0
