,Seychelles,Guadeloupe,Kenya,Fiji,Belgium,Comoros,Mexico,Cook Islands,China,Indonesia,Zimbabwe,Malawi,Melanesia,Papua New Guinea,Polynesia,Tonga,Réunion,Portugal,French Polynesia,"China, mainland",Madagascar,Turkey,Uganda
1961,4.0,4.0,-1.0,-1,-1,90.0,232.0,2.0,-1.0,100.0,-1.0,-1.0,0.0,-1.0,195.0,-1.0,45.0,-1,193.0,-1.0,700.0,-1.0,10.0
1962,7.0,2.0,-1.0,-1,-1,48.0,202.0,2.0,-1.0,100.0,-1.0,-1.0,0.0,-1.0,195.0,-1.0,35.0,-1,193.0,-1.0,600.0,-1.0,10.0
1963,2.0,2.0,-1.0,-1,-1,207.0,92.0,2.0,-1.0,150.0,-1.0,-1.0,0.0,-1.0,162.0,-1.0,60.0,-1,160.0,-1.0,1000.0,-1.0,10.0
1964,1.0,4.0,-1.0,-1,-1,175.0,90.0,2.0,-1.0,150.0,-1.0,-1.0,0.0,-1.0,102.0,-1.0,45.0,-1,100.0,-1.0,1050.0,-1.0,10.0
1965,1.0,3.0,-1.0,-1,-1,167.0,94.0,2.0,-1.0,150.0,-1.0,-1.0,0.0,-1.0,134.0,-1.0,60.0,-1,132.0,-1.0,1130.0,-1.0,10.0
1966,5.0,3.0,-1.0,-1,-1,134.0,95.0,2.0,-1.0,200.0,-1.0,-1.0,0.0,-1.0,87.0,-1.0,24.0,-1,85.0,-1.0,1380.0,-1.0,10.0
1967,5.0,2.0,-1.0,-1,-1,145.0,67.0,2.0,-1.0,200.0,-1.0,-1.0,0.0,-1.0,44.0,-1.0,35.0,-1,42.0,-1.0,1390.0,-1.0,10.0
1968,1.0,2.0,-1.0,-1,-1,138.0,59.0,2.0,-1.0,200.0,-1.0,-1.0,0.0,-1.0,66.0,10.0,36.0,-1,54.0,-1.0,995.0,-1.0,10.0
1969,1.0,2.0,-1.0,-1,-1,207.0,52.0,2.0,-1.0,200.0,-1.0,-1.0,0.0,-1.0,44.0,10.0,46.0,-1,32.0,-1.0,1400.0,-1.0,10.0
1970,1.0,2.0,-1.0,-1,-1,144.0,49.0,2.0,-1.0,250.0,-1.0,-1.0,0.0,-1.0,27.0,10.0,53.0,-1,15.0,-1.0,1200.0,-1.0,10.0
1971,1.0,3.0,-1.0,-1,-1,206.0,67.0,2.0,-1.0,250.0,-1.0,-1.0,0.0,-1.0,42.0,10.0,38.0,-1,30.0,-1.0,1720.0,-1.0,10.0
1972,1.0,3.0,-1.0,-1,-1,207.0,46.0,2.0,-1.0,250.0,-1.0,-1.0,0.0,-1.0,49.0,10.0,32.0,-1,37.0,-1.0,1800.0,-1.0,10.0
