,Jamaica,Puerto Rico,Philippines,Panama,Trinidad and Tobago,Dominican Republic,Pakistan,Burundi,Grenada,Nepal,Kenya,Haiti,Democratic Republic of the Congo,Bangladesh,United Republic of Tanzania,Uganda,Comoros,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),India,Myanmar,Malawi,Bahamas
1961,7285.0,8044.0,,7000.0,7895.0,15923.0,4082.0,10952.0,11538.0,6250.0,,4746.0,6200.0,7173.0,6250.0,3001.0,,,5297.0,8492.0,3802.0,6500.0,11034.0
1962,7393.0,8368.0,,7000.0,8000.0,15577.0,5495.0,10952.0,11538.0,6000.0,,4831.0,6200.0,7532.0,6250.0,3042.0,,,5284.0,5586.0,4221.0,6585.0,10938.0
1963,7415.0,7934.0,,7000.0,8528.0,15962.0,4869.0,10952.0,11692.0,5769.0,,4833.0,6200.0,8369.0,5986.0,3024.0,,,4864.0,6452.0,4330.0,6667.0,11176.0
1964,7399.0,8066.0,,6500.0,8400.0,15988.0,4068.0,10952.0,11692.0,5556.0,,4917.0,6200.0,8369.0,4960.0,3003.0,,,4553.0,5483.0,5007.0,6739.0,11429.0
1965,7500.0,8083.0,,6500.0,8904.0,16154.0,4484.0,10952.0,11846.0,5804.0,,5000.0,6200.0,8369.0,5002.0,3077.0,,,4810.0,7331.0,3285.0,6731.0,11316.0
1966,7512.0,9266.0,,6500.0,9861.0,16269.0,5490.0,10952.0,12000.0,5603.0,,5083.0,6200.0,8369.0,5117.0,1781.0,,,5100.0,6780.0,3234.0,6739.0,11500.0
1967,7798.0,9042.0,,6500.0,9855.0,16462.0,5237.0,10952.0,11538.0,6250.0,,5000.0,6346.0,8369.0,5182.0,3857.0,,,5220.0,4481.0,2247.0,6737.0,11852.0
1968,6199.0,11542.0,,6500.0,10057.0,16538.0,5348.0,10952.0,11538.0,5952.0,,5081.0,6346.0,8369.0,5831.0,3034.0,,,5461.0,6534.0,3202.0,6735.0,12195.0
1969,6333.0,10850.0,,6000.0,9525.0,16429.0,2951.0,10952.0,11290.0,6154.0,,5079.0,6346.0,8175.0,5602.0,5032.0,,,5340.0,7180.0,4342.0,6733.0,12530.0
1970,6718.0,10583.0,,7132.0,11338.0,16667.0,5839.0,10952.0,10833.0,6061.0,,5159.0,6346.0,8046.0,4943.0,5000.0,,,5371.0,6903.0,4027.0,6731.0,12857.0
