,Kenya,Bolivia (Plurinational State of),Peru,Myanmar,Israel,South Sudan,Iran (Islamic Republic of),Nepal,Ethiopia,Pakistan,The former Yugoslav Republic of Macedonia,Greece,Iraq,Malawi,Cyprus,Spain,Eritrea,Bulgaria,Australia & New Zealand,Bangladesh,Algeria,Argentina,Uganda,India,Morocco,Ethiopia PDR,Mexico,Romania,Italy,Jordan,Bosnia and Herzegovina,Tunisia,Colombia,Libya,Yugoslav SFR,Lebanon,United Republic of Tanzania,Occupied Palestinian Territory,Chile,Kazakhstan,Syrian Arab Republic,Australia,Portugal,Egypt,Sudan (former),Turkey
1961,0.0,73.0,218.0,5292.0,234.0,-1.0,11730.0,1800.0,-1.0,59712.0,-1.0,2117.0,306.0,1050.0,63.0,28500.0,-1.0,46.0,0.0,2873.0,750.0,350.0,160.0,388000.0,7000.0,9900.0,5113.0,0.0,5600.0,509.0,-1.0,1620.0,1188.0,32.0,112.0,84.0,200.0,0.0,535.0,-1.0,2007.0,0.0,3376.0,300.0,3.0,10560.0
1962,0.0,71.0,231.0,6345.0,219.0,-1.0,11850.0,1800.0,-1.0,61311.0,-1.0,2237.0,215.0,1050.0,65.0,28000.0,-1.0,51.0,0.0,2792.0,850.0,275.0,160.0,359000.0,7000.0,10080.0,3668.0,0.0,5400.0,280.0,-1.0,1890.0,1200.0,32.0,108.0,70.0,280.0,0.0,538.0,-1.0,1561.0,0.0,3524.0,400.0,115.0,9840.0
1963,0.0,70.0,238.0,6860.0,224.0,-1.0,11970.0,1800.0,-1.0,55665.0,-1.0,2284.0,168.0,1190.0,67.0,25000.0,-1.0,54.0,0.0,2590.0,912.0,393.0,160.0,332000.0,6500.0,10080.0,4793.0,0.0,5100.0,510.0,-1.0,2250.0,1220.0,40.0,112.0,102.0,220.0,0.0,503.0,-1.0,2059.0,0.0,3583.0,5000.0,119.0,10200.0
1964,0.0,70.0,223.0,4927.0,352.0,-1.0,12080.0,1800.0,-1.0,60521.0,-1.0,2843.0,245.0,1190.0,69.0,24000.0,-1.0,70.0,0.0,2570.0,1540.0,385.0,160.0,279000.0,6700.0,10200.0,5431.0,0.0,4900.0,765.0,-1.0,1350.0,1240.0,40.0,112.0,113.0,85.0,0.0,586.0,-1.0,3286.0,0.0,3704.0,6000.0,142.0,10200.0
1965,0.0,71.0,95.0,5276.0,297.0,-1.0,12210.0,1800.0,-1.0,53480.0,-1.0,2494.0,229.0,1330.0,71.0,26000.0,-1.0,103.0,0.0,2730.0,1058.0,235.0,160.0,358000.0,7800.0,10200.0,5716.0,0.0,4700.0,312.0,-1.0,2160.0,1200.0,64.0,120.0,233.0,220.0,0.0,608.0,-1.0,1260.0,0.0,3635.0,400.0,5.0,9960.0
1966,0.0,71.0,156.0,5272.0,295.0,-1.0,12310.0,1800.0,-1.0,62201.0,-1.0,1944.0,239.0,1400.0,57.0,26500.0,-1.0,119.0,0.0,2955.0,1232.0,210.0,160.0,262000.0,7375.0,10380.0,6748.0,0.0,4500.0,330.0,-1.0,2340.0,1280.0,64.0,120.0,202.0,300.0,0.0,651.0,-1.0,2580.0,0.0,3855.0,530.0,74.0,10200.0
1967,0.0,73.0,14.0,4962.0,407.0,-1.0,12430.0,1900.0,-1.0,56029.0,-1.0,1536.0,253.0,1400.0,73.0,25000.0,-1.0,29.0,0.0,3075.0,1787.0,232.0,160.0,225000.0,6055.0,10500.0,7077.0,0.0,4200.0,168.0,-1.0,1845.0,1280.0,80.0,120.0,208.0,1458.0,0.0,1130.0,-1.0,2352.0,0.0,3565.0,690.0,148.0,10800.0
1968,0.0,74.0,196.0,7471.0,379.0,-1.0,12550.0,1900.0,-1.0,47950.0,-1.0,1637.0,267.0,1470.0,84.0,19000.0,-1.0,33.0,0.0,3420.0,1447.0,352.0,160.0,370000.0,4250.0,10620.0,7216.0,0.0,3800.0,168.0,-1.0,2340.0,1360.0,80.0,108.0,192.0,1368.0,0.0,609.0,-1.0,3010.0,0.0,3045.0,625.0,202.0,10800.0
1969,0.0,74.0,331.0,6374.0,344.0,-1.0,12670.0,1900.0,-1.0,46398.0,-1.0,1812.0,276.0,1505.0,63.0,17000.0,-1.0,38.0,0.0,3500.0,1189.0,240.0,160.0,267000.0,7900.0,10800.0,7290.0,0.0,3300.0,115.0,-1.0,2340.0,1440.0,40.0,124.0,162.0,1413.0,0.0,790.0,-1.0,1243.0,0.0,2730.0,375.0,67.0,12000.0
1970,0.0,74.0,182.0,6521.0,186.0,-1.0,12790.0,1900.0,-1.0,45711.0,-1.0,2028.0,247.0,1540.0,42.0,15000.0,-1.0,56.0,0.0,3660.0,1070.0,166.0,160.0,344000.0,5400.0,11100.0,7518.0,0.0,2400.0,64.0,-1.0,2700.0,1280.0,38.0,120.0,144.0,1460.0,0.0,1126.0,-1.0,1448.0,0.0,2035.0,375.0,84.0,13200.0
