,Austria,Slovakia,Japan,Poland,Canada,USSR,Switzerland,Belgium-Luxembourg,Republic of Korea,Belgium,Greece,Czechoslovakia,Ethiopia,France,Czechia,Romania,Serbia,Slovenia,Hungary,Ireland,Russian Federation,Portugal,Yugoslav SFR,Georgia,Albania,China,United States of America,Serbia and Montenegro,Australia & New Zealand,Democratic People's Republic of Korea,"China, mainland",United Kingdom,Argentina,Australia,Spain,South Africa,Bulgaria,Germany,Ukraine,New Zealand
1961,13019.0,,15740.0,8900.0,14377.0,11763.0,,13695.0,,,10333.0,7051.0,,17070.0,,3750.0,,,2811.0,,,,13770.0,,,,17354.0,,21143.0,5000.0,,12553.0,5837.0,21831.0,6244.0,9100.0,2664.0,14012.0,,18507.0
1962,11161.0,,16400.0,8800.0,17647.0,11194.0,,14805.0,,,14333.0,8103.0,,13609.0,,3750.0,,,4473.0,,,,14151.0,,,,16921.0,,20991.0,5000.0,,16321.0,6528.0,20808.0,8180.0,9000.0,2597.0,16212.0,,21784.0
1963,13860.0,,16154.0,10400.0,16499.0,4713.0,,17466.0,,,13500.0,9983.0,,19025.0,,3750.0,,,4268.0,,,,12553.0,,,,17626.0,,19754.0,5000.0,,16733.0,6753.0,20431.0,10290.0,9769.0,4149.0,18581.0,,16630.0
1964,14034.0,,17595.0,11923.0,16297.0,9011.0,,17266.0,,,18333.0,7537.0,,19093.0,,3750.0,,,5466.0,,,,14794.0,,,,18352.0,,11965.0,5000.0,,15545.0,6835.0,11466.0,11235.0,9000.0,5638.0,17977.0,,14019.0
1965,10339.0,,15083.0,8384.0,16275.0,6250.0,15385.0,21284.0,,,13714.0,7861.0,,16575.0,,3750.0,,,4899.0,,,,12590.0,,,,19216.0,,18144.0,5000.0,,15545.0,7308.0,17515.0,10701.0,9857.0,4283.0,16464.0,,20346.0
1966,13448.0,,16508.0,10000.0,19471.0,7800.0,14286.0,15962.0,288.0,,27000.0,9587.0,,20934.0,,3750.0,,,4922.0,,,,14275.0,,,,19342.0,,22653.0,5000.0,,13809.0,7818.0,23226.0,10704.0,9100.0,5279.0,15480.0,,20681.0
1967,13028.0,,17337.0,10952.0,18189.0,9314.0,16923.0,16451.0,1356.0,,23472.0,7598.0,,17523.0,,3750.0,,,6253.0,,,,13625.0,,,,18618.0,,17111.0,5000.0,,14540.0,8197.0,16205.0,11199.0,4500.0,4770.0,18435.0,,20258.0
1968,12963.0,,18394.0,9091.0,17552.0,8598.0,13077.0,16956.0,3889.0,,17015.0,8867.0,,15041.0,,3750.0,,,4824.0,,,,13036.0,,,,17260.0,,21828.0,5000.0,,13948.0,8125.0,23078.0,13591.0,5900.0,3132.0,17632.0,,17103.0
1969,13084.0,,15306.0,7083.0,18465.0,8302.0,17692.0,19363.0,789.0,,17051.0,11219.0,,16364.0,,3750.0,,,5731.0,,,13333.0,13318.0,,,,17338.0,,25510.0,5000.0,,15691.0,6667.0,26848.0,10821.0,6417.0,4061.0,18242.0,,21165.0
1970,11900.0,,15652.0,10000.0,20324.0,8252.0,14286.0,17505.0,261.0,,17019.0,11192.0,,17095.0,,3750.0,,,6075.0,,,13333.0,13979.0,,,,18558.0,,21225.0,5000.0,,17718.0,7788.0,21904.0,11919.0,7583.0,4525.0,19609.0,,18675.0
1971,14368.0,,15220.0,7308.0,18020.0,8365.0,13077.0,18658.0,2273.0,,17500.0,8074.0,,17353.0,,3750.0,,,5777.0,,,13333.0,11751.0,,,,19260.0,,20682.0,5000.0,,15345.0,7736.0,21088.0,8166.0,7000.0,5391.0,15341.0,,19350.0
1972,12143.0,,14625.0,9615.0,15056.0,8286.0,16923.0,16202.0,11250.0,,17059.0,11174.0,,15307.0,,4286.0,,,6448.0,,,13333.0,12513.0,,,,19364.0,,18921.0,5000.0,,13291.0,8226.0,19483.0,12348.0,3462.0,4548.0,16226.0,,16761.0
1973,13100.0,,15875.0,12308.0,17143.0,9646.0,16154.0,16298.0,42162.0,,17059.0,10607.0,,16036.0,,4286.0,,,6700.0,,,13333.0,13945.0,,,,19551.0,,18665.0,5000.0,,14769.0,8828.0,19757.0,12718.0,3214.0,5102.0,18696.0,,13976.0
1974,10935.0,,15120.0,10000.0,11050.0,9027.0,15385.0,19551.0,12963.0,,17442.0,7533.0,,17564.0,,5125.0,,,4836.0,,,15000.0,13321.0,,,,19712.0,,22777.0,5000.0,,15693.0,8939.0,23650.0,14054.0,3145.0,6118.0,16207.0,,18566.0
1975,13182.0,,15333.0,11362.0,16667.0,6333.0,16154.0,16701.0,3566.0,,17442.0,10258.0,,18777.0,,5663.0,,,4102.0,,,13333.0,11898.0,,,,19524.0,,19080.0,5000.0,,11857.0,7199.0,19912.0,12605.0,3719.0,6732.0,15915.0,,15299.0
1976,8983.0,,16179.0,11033.0,16667.0,6000.0,14615.0,16482.0,5174.0,,17442.0,8718.0,,16562.0,,6706.0,,,5138.0,,,12963.0,12479.0,,,,20956.0,,18690.0,5000.0,,13390.0,4986.0,19036.0,13609.0,4127.0,7970.0,14365.0,,16911.0
1977,15455.0,,17798.0,10618.0,16667.0,9583.0,19231.0,18796.0,6481.0,,17442.0,10688.0,,18345.0,,4944.0,,,6504.0,,,13846.0,13033.0,,,,20130.0,,19631.0,5000.0,,12203.0,7647.0,21157.0,11306.0,3980.0,5839.0,18751.0,,11202.0
1978,11724.0,,17561.0,8084.0,17143.0,4059.0,17500.0,16803.0,6000.0,,17442.0,8666.0,,17222.0,,5792.0,,,7815.0,12414.0,,13333.0,13614.0,,,,19976.0,,19816.0,5000.0,,15932.0,7813.0,21687.0,11963.0,5311.0,5239.0,16598.0,,10500.0
1979,12520.0,,15377.0,9853.0,17143.0,5200.0,16667.0,20102.0,10400.0,,17442.0,10080.0,,20503.0,,5978.0,,,8072.0,12388.0,,14667.0,14082.0,,,,19364.0,,21234.0,5000.0,,18070.0,7801.0,21954.0,14150.0,6651.0,6616.0,17963.0,,16603.0
1980,13130.0,,15603.0,6791.0,17143.0,3750.0,15833.0,18000.0,10680.0,,17442.0,8214.0,,17966.0,,6196.0,,,8890.0,10133.0,,14000.0,14789.0,,,,22825.0,,19356.0,5000.0,,17018.0,8718.0,19551.0,11754.0,6609.0,5890.0,14625.0,,18013.0
1981,13259.0,,11382.0,11476.0,,5000.0,15833.0,19306.0,11250.0,,17341.0,10651.0,,18750.0,,5682.0,,,10692.0,10267.0,,14667.0,15879.0,,,,20585.0,,19348.0,5000.0,,15000.0,8235.0,19820.0,12837.0,6522.0,6576.0,16761.0,,16378.0
1982,15507.0,,12644.0,13153.0,,5000.0,18182.0,22196.0,11290.0,,16750.0,10291.0,,20000.0,,5000.0,,,10694.0,11733.0,,16000.0,17022.0,,,,22227.0,,18429.0,5000.0,,17458.0,8293.0,18462.0,12059.0,6522.0,7262.0,19972.0,,18218.0
1983,14225.0,,15924.0,10961.0,,5000.0,14167.0,18005.0,12308.0,,17333.0,9515.0,,20000.0,,5714.0,,,7582.0,14667.0,,15333.0,13438.0,,,,20690.0,,16641.0,5000.0,,15000.0,7762.0,15130.0,14946.0,6522.0,5288.0,18004.0,,31408.0
1984,14247.0,,17772.0,14081.0,,6667.0,13529.0,19097.0,12500.0,,,8781.0,,20000.0,,4286.0,,,8528.0,14474.0,,16000.0,16696.0,,,,20449.0,,19791.0,5000.0,,15518.0,9639.0,19149.0,14582.0,6522.0,6496.0,17370.0,,24663.0
1985,14805.0,,17960.0,11010.0,,7333.0,14762.0,17399.0,14925.0,,,10553.0,,21667.0,,4286.0,,,10415.0,14857.0,,16000.0,15300.0,,,17692.0,19833.0,,15725.0,5000.0,17692.0,13690.0,8612.0,14701.0,16662.0,6522.0,6103.0,17485.0,,24828.0
1986,14581.0,,19604.0,11607.0,,6000.0,19500.0,18295.0,15714.0,,,8099.0,,22000.0,,4286.0,,,10912.0,12059.0,,20184.0,13988.0,,,17500.0,21947.0,,15360.0,4865.0,17500.0,12051.0,8734.0,13943.0,12797.0,6522.0,8152.0,16717.0,,28571.0
1987,14114.0,,18603.0,11097.0,,6667.0,19500.0,18411.0,11648.0,,,9344.0,,14000.0,,4286.0,,,11874.0,12059.0,,19870.0,16861.0,,,18000.0,19739.0,,16036.0,5000.0,18000.0,12319.0,12759.0,14655.0,11929.0,6739.0,8122.0,15619.0,,27211.0
1988,14111.0,,19347.0,10622.0,,7692.0,18261.0,14709.0,13779.0,,,11890.0,,18154.0,,4286.0,,,11398.0,11429.0,,11407.0,14919.0,,,17143.0,18378.0,,19866.0,5000.0,17143.0,12603.0,11694.0,18770.0,10826.0,6957.0,8982.0,14780.0,,29220.0
