,Ukraine,Germany,Austria,Belarus,Morocco,Switzerland,USSR,Slovakia,Ecuador,Syrian Arab Republic,Egypt,Greece,Latvia,Lebanon,Peru,Occupied Palestinian Territory,Chile,Hungary,Spain,South Africa,France,Australia & New Zealand,Australia,Portugal,Martinique,Lithuania,Poland,Russian Federation,Argentina,Italy
1961,-1.0,18591.0,-1.0,-1.0,2000.0,-1.0,712000.0,-1.0,2400.0,-1.0,5926.0,7809.0,-1.0,-1.0,1000.0,-1.0,-1.0,10667.0,13825.0,105000.0,-1.0,1497.0,1497.0,5300.0,-1,-1.0,164000.0,-1.0,400.0,38436.0
1962,-1.0,19688.0,-1.0,-1.0,2000.0,-1.0,895000.0,-1.0,3800.0,-1.0,7690.0,9027.0,-1.0,-1.0,990.0,-1.0,-1.0,7940.0,12975.0,225000.0,-1.0,1217.0,1217.0,5700.0,-1,-1.0,152000.0,-1.0,400.0,37421.0
1963,-1.0,19604.0,-1.0,-1.0,2000.0,-1.0,1130000.0,-1.0,3540.0,-1.0,7777.0,6750.0,-1.0,-1.0,1040.0,-1.0,-1.0,10793.0,13342.0,255000.0,-1.0,1909.0,1909.0,5800.0,-1,-1.0,158000.0,-1.0,450.0,35241.0
1964,-1.0,20675.0,-1.0,-1.0,2000.0,-1.0,1050000.0,-1.0,3180.0,-1.0,7824.0,4960.0,-1.0,-1.0,1090.0,-1.0,-1.0,10378.0,12545.0,120000.0,-1.0,854.0,854.0,6000.0,-1,-1.0,127000.0,-1.0,450.0,31441.0
1965,-1.0,20534.0,-1.0,-1.0,2000.0,-1.0,607000.0,-1.0,3413.0,-1.0,6857.0,5660.0,-1.0,-1.0,1120.0,-1.0,-1.0,11020.0,10715.0,220000.0,-1.0,843.0,843.0,6000.0,-1,-1.0,150000.0,-1.0,400.0,24416.0
1966,-1.0,18980.0,-1.0,-1.0,1000.0,-1.0,661000.0,-1.0,3240.0,5.0,4621.0,4500.0,-1.0,-1.0,955.0,-1.0,-1.0,11093.0,12300.0,213273.0,-1.0,712.0,712.0,5800.0,-1,-1.0,150000.0,-1.0,270.0,19687.0
1967,-1.0,17580.0,-1.0,-1.0,1000.0,-1.0,607000.0,-1.0,2964.0,10.0,4621.0,3656.0,-1.0,-1.0,980.0,-1.0,-1.0,9588.0,12008.0,202139.0,-1.0,1291.0,1291.0,8477.0,-1,-1.0,135000.0,-1.0,200.0,19499.0
1968,-1.0,14716.0,-1.0,-1.0,1000.0,-1.0,598000.0,-1.0,3310.0,35.0,4621.0,2240.0,-1.0,-1.0,1035.0,-1.0,-1.0,5908.0,10400.0,205565.0,-1.0,4446.0,4446.0,8176.0,-1,-1.0,112000.0,-1.0,600.0,18052.0
1969,-1.0,16220.0,-1.0,-1.0,1000.0,-1.0,563000.0,-1.0,2930.0,35.0,5041.0,1820.0,-1.0,-1.0,1320.0,-1.0,-1.0,8075.0,8862.0,197000.0,-1.0,4965.0,4965.0,8671.0,-1,-1.0,107000.0,-1.0,600.0,16618.0
1970,-1.0,12892.0,-1.0,-1.0,1000.0,-1.0,620000.0,-1.0,3660.0,105.0,3800.0,1400.0,-1.0,-1.0,1565.0,-1.0,-1.0,7400.0,4700.0,179869.0,-1.0,12969.0,12969.0,9254.0,-1,-1.0,107000.0,-1.0,600.0,14488.0
1971,-1.0,15544.0,-1.0,-1.0,1500.0,-1.0,477000.0,-1.0,2525.0,50.0,4621.0,1300.0,-1.0,-1.0,1750.0,-1.0,-1.0,7930.0,6700.0,90000.0,-1.0,35613.0,35613.0,7680.0,-1,-1.0,97000.0,-1.0,450.0,9880.0
