,India,"China, Taiwan Province of",Myanmar,Malaysia,Sri Lanka,Bangladesh,Thailand,Nepal,China,Indonesia,Maldives,Bhutan
1961,135000.0,623.0,11331.0,6000.0,-1.0,82600.0,-1.0,-1.0,623.0,65000.0,3.0,-1.0
1962,135000.0,752.0,10927.0,3800.0,-1.0,82600.0,-1.0,-1.0,752.0,65000.0,3.0,-1.0
1963,135000.0,821.0,12545.0,5500.0,-1.0,82200.0,-1.0,-1.0,821.0,65000.0,3.0,-1.0
1964,135000.0,832.0,16188.0,4500.0,-1.0,79700.0,-1.0,-1.0,832.0,70000.0,3.0,-1.0
1965,131000.0,989.0,20235.0,5000.0,-1.0,71200.0,-1.0,-1.0,989.0,70000.0,3.0,-1.0
1966,137000.0,1088.0,20235.0,4500.0,-1.0,44900.0,-1.0,-1.0,1088.0,70000.0,3.0,-1.0
1967,142000.0,1065.0,21044.0,5000.0,-1.0,38900.0,-1.0,-1.0,1065.0,70000.0,3.0,-1.0
1968,147000.0,1205.0,21853.0,3000.0,-1.0,38000.0,-1.0,-1.0,1205.0,70000.0,3.0,-1.0
1969,157000.0,1233.0,23067.0,2500.0,-1.0,40900.0,-1.0,-1.0,1233.0,75000.0,3.0,-1.0
1970,160700.0,1261.0,23877.0,2000.0,-1.0,40100.0,-1.0,-1.0,1261.0,75000.0,3.0,-1.0
1971,167300.0,1333.0,24686.0,2500.0,-1.0,40100.0,-1.0,-1.0,1333.0,75000.0,3.0,-1.0
1972,174300.0,1347.0,25091.0,2800.0,-1.0,37683.0,-1.0,-1.0,1347.0,75000.0,3.0,-1.0
1973,178200.0,1261.0,25495.0,3000.0,-1.0,37573.0,-1.0,-1.0,1261.0,80000.0,3.0,-1.0
1974,184500.0,1400.0,25900.0,2800.0,-1.0,37116.0,-1.0,-1.0,1400.0,80000.0,5.0,-1.0
1975,189200.0,1450.0,26000.0,2300.0,-1.0,37336.0,-1.0,-1.0,1450.0,80000.0,5.0,-1.0
1976,177500.0,1550.0,26000.0,2100.0,-1.0,37049.0,-1.0,-1.0,1550.0,80000.0,18.0,-1.0
1977,179100.0,1600.0,26305.0,2000.0,-1.0,37387.0,-1.0,-1.0,1600.0,85000.0,4.0,-1.0
1978,170800.0,1927.0,25091.0,1800.0,-1.0,37118.0,-1.0,-1.0,1927.0,85000.0,2.0,-1.0
1979,179200.0,2201.0,26000.0,2000.0,-1.0,36661.0,-1.0,-1.0,2201.0,85000.0,2.0,-1.0
1980,180600.0,2326.0,26427.0,2700.0,-1.0,36227.0,-1.0,-1.0,2326.0,85000.0,3.0,-1.0
1981,185200.0,2839.0,26475.0,1300.0,-1.0,36432.0,-1.0,-1.0,2839.0,90000.0,6.0,-1.0
1982,182600.0,3125.0,26300.0,1100.0,-1.0,35368.0,-1.0,-1.0,3125.0,90000.0,4.0,-1.0
1983,184300.0,3944.0,26700.0,900.0,-1.0,35613.0,9600.0,-1.0,3944.0,90000.0,10.0,-1.0
1984,186100.0,4645.0,27900.0,600.0,-1.0,35182.0,9600.0,-1.0,4645.0,94058.0,14.0,-1.0
1985,185500.0,6082.0,27500.0,1000.0,-1.0,34559.0,12000.0,-1.0,6082.0,70177.0,14.0,-1.0
1986,185600.0,6960.0,27900.0,2000.0,-1.0,33945.0,9300.0,-1.0,6960.0,87872.0,14.0,-1.0
1987,194800.0,9553.0,28700.0,2000.0,-1.0,34233.0,8000.0,-1.0,9553.0,73170.0,14.0,-1.0
1988,199800.0,16092.0,29100.0,1100.0,-1.0,34648.0,8000.0,-1.0,16092.0,94178.0,14.0,-1.0
1989,204300.0,22378.0,28700.0,1700.0,-1.0,34800.0,8500.0,-1.0,22378.0,93640.0,14.0,-1.0
1990,209500.0,24291.0,28929.0,2800.0,1500.0,34912.0,8134.0,1200.0,24291.0,95763.0,80.0,2500.0
1991,217000.0,26965.0,28937.0,2200.0,1560.0,35813.0,8539.0,1250.0,26965.0,95763.0,30.0,2226.0
1992,221800.0,29232.0,29626.0,2700.0,1734.0,35916.0,9101.0,1300.0,29232.0,95372.0,50.0,2354.0
1993,226600.0,32632.0,29345.0,2330.0,2000.0,35813.0,8321.0,1350.0,32632.0,83471.0,47.0,2484.0
1994,235500.0,36316.0,29500.0,1700.0,2458.0,35600.0,9652.0,1400.0,36316.0,82421.0,45.0,2616.0
1995,243900.0,42456.0,30000.0,600.0,3000.0,36000.0,10000.0,1450.0,42456.0,74838.0,43.0,2752.0
1996,255000.0,46381.0,30000.0,1200.0,4000.0,36400.0,8000.0,1500.0,46381.0,75754.0,42.0,3000.0
1997,261200.0,47614.0,30400.0,1680.0,4211.0,36000.0,10394.0,1550.0,47614.0,74700.0,38.0,3021.0
1998,268700.0,49401.0,30400.0,2400.0,4500.0,36000.0,9000.0,1600.0,49401.0,87500.0,38.0,3001.0
1999,280000.0,51207.0,30291.0,1805.0,4960.0,77000.0,11000.0,1700.0,51207.0,71400.0,24.0,3276.0
2000,290000.0,51617.0,33949.0,2000.0,5000.0,77000.0,13000.0,1750.0,51617.0,82600.0,17.0,3200.0
2001,290000.0,51027.0,34977.0,1500.0,6000.0,77800.0,14000.0,1800.0,51027.0,102021.0,50.0,3200.0
2002,290000.0,51203.0,35600.0,800.0,7000.0,77296.0,16000.0,1850.0,51203.0,107200.0,40.0,3658.0
2003,353400.0,50787.0,38000.0,727.0,8000.0,77296.0,16663.0,1900.0,50787.0,118780.0,51.0,3922.0
2004,365000.0,50058.0,40100.0,1047.0,10880.0,77700.0,33500.0,1974.0,50058.0,115832.0,8.0,3500.0
2005,364300.0,50337.0,42100.0,1313.0,11720.0,167640.0,13000.0,1999.0,50337.0,122705.0,40.0,5500.0
2006,381100.0,49290.0,45700.0,1800.0,11970.0,168680.0,16000.0,2024.0,49290.0,124958.0,260.0,5700.0
2007,382700.0,49831.0,48200.0,1300.0,12430.0,165270.0,23000.0,2054.0,49831.0,125600.0,2.0,5800.0
2008,386600.0,49300.0,51800.0,636.0,13840.0,173380.0,21000.0,2084.0,49300.0,137300.0,5.0,4000.0
2009,387100.0,48269.0,54600.0,643.0,14220.0,176350.0,24000.0,2098.0,48269.0,144200.0,7.0,6375.0
2010,400100.0,45832.0,55000.0,680.0,15080.0,178630.0,21007.0,2264.0,45832.0,146000.0,5.0,7280.0
2011,400100.0,45952.0,56000.0,341.0,15640.0,182389.0,17701.0,2698.0,45952.0,148500.0,3.0,9700.0
2012,464000.0,45521.0,56500.0,222.0,15910.0,230000.0,24000.0,3459.0,45521.0,143200.0,3.0,10000.0
2013,446000.0,45329.0,56300.0,45.0,16352.0,165000.0,18000.0,3455.0,45329.0,143100.0,3.0,8985.0
2014,452000.0,44511.0,55337.0,222.0,16423.0,165000.0,21715.0,4571.0,44511.0,137000.0,3.0,9054.0
