,Mali,Benin,Côte d'Ivoire,Nigeria,Ghana,Burkina Faso,Togo
1961,23000.0,21000.0,25000.0,10800.0,23636.0,25333.0,25000.0
1962,23333.0,21600.0,25000.0,10000.0,23636.0,24286.0,25000.0
1963,23667.0,25714.0,25000.0,10200.0,23636.0,25000.0,25000.0
1964,24167.0,20333.0,24000.0,10286.0,24375.0,25000.0,25000.0
1965,24667.0,25000.0,25000.0,10800.0,24000.0,24667.0,25000.0
1966,24677.0,25783.0,25000.0,10250.0,24000.0,25000.0,25000.0
1967,24375.0,24857.0,25000.0,11000.0,24706.0,25000.0,25000.0
1968,25000.0,23200.0,25000.0,10926.0,24706.0,24706.0,25000.0
1969,25313.0,26000.0,25000.0,10806.0,24444.0,24444.0,25000.0
1970,25625.0,25429.0,25000.0,10806.0,24444.0,24444.0,25000.0
1971,25938.0,23200.0,25000.0,10938.0,24444.0,25000.0,25300.0
1972,25000.0,24000.0,25000.0,11029.0,23529.0,24444.0,25000.0
1973,25625.0,20800.0,25000.0,10972.0,23529.0,24444.0,24672.0
1974,25161.0,27429.0,25000.0,10921.0,24706.0,25000.0,25000.0
1975,25161.0,24917.0,25000.0,11000.0,24000.0,25000.0,24523.0
1976,25625.0,26667.0,25000.0,10952.0,24706.0,25000.0,25000.0
1977,25588.0,25343.0,25000.0,10909.0,24444.0,25000.0,24848.0
1978,25758.0,25714.0,25000.0,10989.0,24444.0,24932.0,25000.0
1979,25714.0,25509.0,25000.0,10938.0,24444.0,25000.0,25450.0
1980,25758.0,26137.0,25135.0,11000.0,24444.0,25000.0,25041.0
1981,25758.0,26766.0,24595.0,10943.0,25000.0,25000.0,25392.0
1982,25758.0,24000.0,24667.0,10893.0,25556.0,25000.0,24461.0
1983,25758.0,23333.0,25700.0,10889.0,26190.0,25000.0,25514.0
1984,25758.0,25500.0,22000.0,10532.0,25000.0,25000.0,23400.0
1985,25758.0,26000.0,25333.0,10638.0,26190.0,24816.0,24562.0
1986,25758.0,25000.0,22570.0,11839.0,26250.0,24963.0,24822.0
1987,25758.0,25000.0,23148.0,12381.0,25000.0,24856.0,25680.0
1988,25758.0,25000.0,21948.0,13457.0,26000.0,25063.0,25000.0
1989,25758.0,23333.0,23578.0,15000.0,25000.0,25178.0,24865.0
1990,22397.0,19813.0,22834.0,15707.0,24762.0,25192.0,25584.0
1991,25428.0,25000.0,23424.0,15980.0,25245.0,25313.0,25000.0
1992,25429.0,22857.0,20203.0,16717.0,25000.0,25091.0,25000.0
1993,25430.0,24444.0,20548.0,16000.0,25253.0,25400.0,25000.0
1994,25431.0,25833.0,21983.0,18010.0,25000.0,25036.0,25000.0
1995,25433.0,24582.0,21210.0,16340.0,24762.0,25233.0,25059.0
1996,25434.0,24496.0,20986.0,16311.0,25000.0,25000.0,25040.0
1997,25435.0,24374.0,22236.0,16392.0,24975.0,24498.0,25000.0
1998,25436.0,24224.0,18810.0,16502.0,24651.0,24141.0,25000.0
1999,25437.0,24048.0,18392.0,16466.0,24762.0,23776.0,25730.0
2000,25438.0,23854.0,18292.0,15905.0,29545.0,23403.0,26181.0
2001,25439.0,23646.0,18079.0,15880.0,28612.0,23023.0,27078.0
2002,25441.0,22376.0,17682.0,15020.0,29305.0,22633.0,27674.0
2003,25441.0,21976.0,17172.0,16599.0,29417.0,22010.0,28244.0
2004,25437.0,20947.0,16842.0,16694.0,29867.0,21075.0,28995.0
2005,25442.0,20739.0,15916.0,15788.0,22474.0,20470.0,30000.0
2006,25432.0,20441.0,15972.0,15705.0,20672.0,19854.0,30000.0
2007,25306.0,20141.0,15608.0,17000.0,16780.0,19223.0,34286.0
2008,25333.0,19858.0,15426.0,13501.0,15252.0,18576.0,33635.0
2009,25481.0,19601.0,14910.0,9709.0,13834.0,17912.0,34063.0
2010,25554.0,19377.0,15539.0,9500.0,12619.0,17232.0,35047.0
2011,26000.0,18310.0,14685.0,10020.0,10885.0,16536.0,35000.0
2012,25610.0,19444.0,14149.0,11368.0,10921.0,15667.0,36923.0
2013,25000.0,19231.0,13850.0,10803.0,11026.0,15000.0,38788.0
2014,25226.0,18658.0,13517.0,10388.0,11065.0,14347.0,39221.0
