,USSR,Finland,Vanuatu,Fiji,French Guiana,Kenya,Guyana,Papua New Guinea,Somalia,Micronesia,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,Grenada,New Zealand,Honduras,Jamaica,Swaziland,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Sao Tome and Principe,Pakistan,Greece,Tajikistan,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,"China, Taiwan Province of",Pacific Islands Trust Territory,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Malta,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Belarus,Afghanistan,Trinidad and Tobago,Sudan,Mauritius,Georgia,Lithuania,Russian Federation,Tunisia,Paraguay,Venezuela (Bolivarian Republic of),Djibouti,Guadeloupe,South Africa,Myanmar,Eritrea,Australia & New Zealand,Australia,Panama,Togo,Thailand,Belize,Ethiopia,Bhutan,Lao People's Democratic Republic,Zambia,Botswana,Yemen,Suriname,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Jordan,Ethiopia PDR,Estonia,Melanesia,Malaysia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Peru,United States of America,"China, mainland",The former Yugoslav Republic of Macedonia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Cuba,Lesotho,Romania,Micronesia (Federated States of),Norway,Philippines,Iraq,Timor-Leste,Burundi,Belgium,Luxembourg,Czechia,Senegal,Italy,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Switzerland,Sierra Leone,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Oman,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Mexico,Guinea,Kuwait,Mauritania,Czechoslovakia,Sri Lanka,Guam,Côte d'Ivoire,Croatia,Bulgaria,Montenegro,Ukraine
1961,10379009.0,167965.0,35.0,1.0,1.0,33400.0,18.0,6.0,11650.0,9.0,18124.0,191775.0,,3922.0,1.0,701910.0,25366.0,259056.0,13.0,8132.0,5466.0,89.0,3669.0,,12250.0,40369.0,11470.0,5434.0,8.0,56994.0,58548.0,,10200.0,41560.0,213895.0,1015.0,74952.0,206138.0,81020.0,1848.0,9660.0,253000.0,8959.0,,4093.0,,84963.0,985.0,7.0,,2.0,2470.0,21108.0,10940.0,16050.0,999.0,4018.0,902855.0,53.0,,11009.0,0.0,0.0,7075.0,,21592.0,133.0,238678.0,1492.0,26970.0,76040.0,,8267.0,152.0,,46235.0,25.0,,3.0,,,,27407.0,1932.0,800.0,0.0,21.0,72455.0,7995.0,,202262.0,194130.0,1200.0,7188.0,6658.0,128.0,,1393.0,240.0,25600.0,1305.0,37227.0,13.0,11620.0,36948.0,54000.0,,,44.0,5300.0,7.0,19924.0,79000.0,1294005.0,19070.0,9644.0,170840.0,,86.0,152.0,623667.0,48932.0,23737.0,195468.0,30.0,27780.0,2090000.0,2515655.0,,1046000.0,650.0,31300.0,50100.0,19442.0,3619.0,3763.0,226612.0,,43300.0,38990.0,119341.0,300.0,3166.0,,,,27505.0,241800.0,52105.0,27197.0,,2516640.0,30834.0,,18853.0,119629.0,14800.0,813.0,22635.0,32828.0,,165.0,123011.0,43656.0,5.0,73000.0,552692.0,1940.0,410153.0,,4299.0,128.0,6551.0,11.0,769950.0,14678.0,2.0,334422.0,5125.0,0.0,4985.0,297101.0,750.0,1.0,9700.0,,129820.0,,
1962,10512804.0,194563.0,35.0,1.0,0.0,36283.0,19.0,6.0,11730.0,4.0,18452.0,207777.0,,3532.0,0.0,747360.0,25964.0,258160.0,13.0,8159.0,5416.0,103.0,3064.0,,9300.0,40216.0,11270.0,5598.0,8.0,55973.0,55949.0,,10200.0,45130.0,205010.0,1021.0,81718.0,201188.0,77420.0,1518.0,8701.0,266000.0,9932.0,,1937.0,,88221.0,1078.0,3.0,,2.0,2950.0,24312.0,10880.0,16890.0,955.0,3529.0,863791.0,56.0,,10334.0,0.0,0.0,8050.0,,20554.0,137.0,249367.0,1156.0,27367.0,70719.0,,7196.0,152.0,,46265.0,25.0,,3.0,,,,49800.0,1954.0,800.0,0.0,22.0,77975.0,7618.0,,200772.0,192613.0,1400.0,7673.0,8456.0,128.0,,1452.0,200.0,26250.0,1305.0,37937.0,9.0,11650.0,38085.0,53800.0,,,42.0,5300.0,10.0,21929.0,64000.0,1393525.0,18650.0,7075.0,171888.0,,84.0,217.0,743048.0,52058.0,22249.0,200094.0,75.0,27749.0,1974000.0,2469480.0,,1152000.0,650.0,31100.0,49025.0,21042.0,3420.0,3763.0,224162.0,,43296.0,37951.0,122288.0,270.0,3523.0,,,,30045.0,232600.0,53100.0,26868.0,,2470558.0,32208.0,,18940.0,185266.0,17700.0,858.0,22682.0,30459.0,,165.0,124215.0,41049.0,6.0,71000.0,509005.0,1940.0,438249.0,,3827.0,128.0,6819.0,11.0,793018.0,15867.0,2.0,367417.0,4975.0,0.0,5134.0,322379.0,640.0,1.0,10650.0,,136088.0,,
1963,10684600.0,186121.0,35.0,1.0,0.0,37654.0,23.0,9.0,11490.0,5.0,18847.0,210932.0,,3349.0,0.0,670400.0,28728.0,253306.0,13.0,9166.0,6075.0,70.0,3077.0,,11050.0,38401.0,11300.0,5794.0,8.0,59980.0,51143.0,,10350.0,32947.0,215385.0,1024.0,77436.0,221914.0,73920.0,1527.0,8767.0,250000.0,10163.0,,2780.0,,88780.0,1178.0,4.0,,2.0,3944.0,23765.0,11080.0,14790.0,1214.0,2916.0,869195.0,63.0,,10409.0,0.0,0.0,8890.0,,19923.0,128.0,250205.0,1604.0,27472.0,45213.0,,7463.0,152.0,,46470.0,23.0,,1.0,,,,52532.0,3208.0,845.0,0.0,15.0,75790.0,6957.0,,207536.0,198370.0,1400.0,8724.0,11135.0,167.0,,1485.0,240.0,26900.0,1095.0,38289.0,13.0,11650.0,35831.0,52550.0,,,39.0,4600.0,11.0,22834.0,91000.0,1287990.0,18175.0,8390.0,173149.0,,85.0,210.0,613455.0,54832.0,22857.0,212755.0,75.0,27028.0,1827000.0,2323795.0,,1141000.0,710.0,30650.0,45008.0,21412.0,2895.0,3729.0,210598.0,,45295.0,38455.0,110258.0,225.0,3733.0,,,,32165.0,232500.0,53111.0,28615.0,,2324973.0,32056.0,,18852.0,166244.0,14100.0,858.0,19033.0,30443.0,,165.0,116216.0,32530.0,7.0,67000.0,508486.0,2160.0,443717.0,,4209.0,136.0,6425.0,9.0,824630.0,15884.0,2.0,392472.0,5185.0,0.0,5134.0,270628.0,840.0,1.0,10650.0,,137630.0,,
1964,9954696.0,194809.0,35.0,2.0,0.0,41924.0,28.0,6.0,11410.0,3.0,19554.0,228145.0,,3978.0,0.0,663930.0,30663.0,242197.0,13.0,9165.0,5942.0,54.0,3066.0,,11400.0,39796.0,10420.0,6023.0,8.0,60931.0,55408.0,,10350.0,31026.0,230680.0,1110.0,70385.0,225797.0,95620.0,1552.0,7949.0,255000.0,10504.0,,2706.0,,82926.0,1178.0,2.0,,2.0,3960.0,24443.0,11700.0,14790.0,931.0,2772.0,855569.0,70.0,,9676.0,0.0,0.0,9555.0,,19168.0,113.0,257931.0,1453.0,34308.0,52117.0,,8466.0,152.0,,46325.0,16.0,,5.0,,,,50380.0,3263.0,863.0,0.0,8.0,68705.0,6502.0,,219336.0,210171.0,1300.0,9723.0,11871.0,158.0,,1533.0,300.0,27215.0,999.0,38033.0,6.0,12080.0,36553.0,52300.0,,,37.0,3800.0,13.0,22282.0,63000.0,1258525.0,18198.0,7928.0,174461.0,,80.0,196.0,606468.0,59713.0,22972.0,228889.0,75.0,27391.0,1716000.0,2303470.0,,1135000.0,710.0,30250.0,44001.0,20757.0,2870.0,4047.0,224510.0,,50284.0,42122.0,110270.0,225.0,3735.0,,,,34117.0,229600.0,52085.0,31893.0,,2304648.0,32628.0,,17205.0,160387.0,15700.0,792.0,20875.0,29886.0,,165.0,114330.0,27890.0,8.0,64000.0,484536.0,2460.0,454424.0,,4657.0,136.0,6935.0,9.0,795590.0,16050.0,2.0,406687.0,4825.0,0.0,6234.0,283050.0,650.0,1.0,10950.0,,137785.0,,
1965,9564638.0,204913.0,35.0,2.0,0.0,36934.0,21.0,8.0,11260.0,2.0,18710.0,227198.0,,4183.0,0.0,700410.0,30773.0,247247.0,12.0,9180.0,5609.0,86.0,3642.0,,12400.0,40159.0,10470.0,6210.0,9.0,59026.0,65803.0,,10350.0,34518.0,235900.0,1045.0,37992.0,242319.0,111172.0,1555.0,10630.0,271000.0,11561.0,,4172.0,,86609.0,1186.0,2.0,,2.0,4113.0,29663.0,12100.0,11527.0,1115.0,2817.0,858317.0,75.0,,9213.0,0.0,0.0,6223.0,,18438.0,140.0,265534.0,1523.0,34428.0,54088.0,,6070.0,172.0,,46355.0,15.0,,5.0,,,,32860.0,3044.0,964.0,0.0,7.0,70275.0,7253.0,,231032.0,221853.0,1500.0,11212.0,13749.0,188.0,,1569.0,260.0,27900.0,1468.0,35278.0,5.0,12880.0,37144.0,52000.0,,,34.0,3510.0,19.0,20136.0,94000.0,1227330.0,16130.0,5951.0,175703.0,,80.0,184.0,667690.0,54764.0,25389.0,187536.0,120.0,27707.0,1768000.0,2392455.0,,1082000.0,935.0,30600.0,42000.0,20296.0,2850.0,3760.0,236316.0,,44191.0,43158.0,117482.0,225.0,3865.0,,,,30735.0,217500.0,51074.0,32388.0,,2393641.0,33600.0,,15185.0,194993.0,12900.0,654.0,23781.0,31845.0,,165.0,113761.0,24275.0,9.0,66000.0,484809.0,2680.0,494349.0,,4708.0,144.0,6688.0,12.0,784660.0,16273.0,2.0,439057.0,4465.0,0.0,5234.0,274643.0,720.0,0.0,11550.0,,132633.0,,
1966,9599737.0,203082.0,38.0,17.0,0.0,42735.0,22.0,10.0,12080.0,2.0,18985.0,241300.0,,3901.0,0.0,707942.0,29790.0,238027.0,12.0,8751.0,5548.0,53.0,3880.0,,12700.0,40072.0,10900.0,7021.0,9.0,62981.0,73660.0,,10500.0,39878.0,214660.0,1045.0,66232.0,234292.0,109970.0,1565.0,11848.0,258000.0,11728.0,,4417.0,,107402.0,1388.0,2.0,,3.0,4192.0,27678.0,11342.0,16114.0,1183.0,2857.0,858853.0,80.0,,10150.0,0.0,0.0,8190.0,,20689.0,137.0,274640.0,1352.0,29374.0,56501.0,,7857.0,120.0,,45170.0,14.0,,7.0,,,,29988.0,3497.0,1021.0,0.0,13.0,89175.0,7602.0,,226836.0,218085.0,1400.0,10037.0,15134.0,181.0,,1626.0,280.0,28220.0,3453.0,34305.0,7.0,13680.0,38688.0,52350.0,,,32.0,4140.0,19.0,22135.0,65000.0,1229625.0,16440.0,5362.0,174419.0,,96.0,154.0,674501.0,55811.0,26270.0,194959.0,120.0,29304.0,1662000.0,2164925.0,,1085000.0,895.0,28470.0,37000.0,21374.0,2670.0,3956.0,229564.0,,43283.0,44958.0,109299.0,240.0,3855.0,,,,36931.0,208000.0,48074.0,32290.0,,2166313.0,38718.0,,16968.0,196757.0,14100.0,612.0,18024.0,36026.0,,165.0,111858.0,22597.0,6.0,64000.0,511043.0,2900.0,496511.0,,5335.0,152.0,5750.0,13.0,803444.0,15270.0,3.0,405526.0,4465.0,0.0,5234.0,270960.0,650.0,0.0,12233.0,,127564.0,,
1967,9576397.0,199017.0,40.0,29.0,0.0,48090.0,18.0,11.0,11650.0,2.0,17439.0,249424.0,,4106.0,1.0,737756.0,29423.0,281176.0,12.0,8408.0,5587.0,61.0,4045.0,,16500.0,39069.0,11310.0,8863.0,9.0,69444.0,68814.0,,10350.0,34336.0,217650.0,1045.0,64301.0,223425.0,119978.0,1625.0,11055.0,246000.0,11654.0,,3906.0,,72232.0,1574.0,2.0,,3.0,4219.0,28033.0,10676.0,17100.0,1054.0,3602.0,864755.0,80.0,,9463.0,0.0,0.0,7917.0,,29912.0,134.0,296144.0,1378.0,36028.0,59081.0,,6947.0,120.0,,42100.0,14.0,,4.0,,,,32252.0,3640.0,1232.0,0.0,8.0,95165.0,7471.0,,243893.0,235486.0,1600.0,9146.0,15561.0,199.0,,1698.0,280.0,28835.0,1741.0,33775.0,6.0,12340.0,40429.0,53350.0,,,29.0,3660.0,20.0,19090.0,56000.0,1210415.0,15870.0,6435.0,174576.0,,109.0,207.0,656518.0,56625.0,27270.0,202852.0,120.0,28137.0,1728000.0,2098330.0,,1181000.0,835.0,28610.0,36000.0,21162.0,2640.0,4060.0,238092.0,,44274.0,45122.0,90801.0,188.0,3890.0,,,,32823.0,210800.0,46042.0,32400.0,,2099904.0,28819.0,,24033.0,197096.0,14300.0,602.0,20809.0,29738.0,,165.0,112050.0,25207.0,4.0,59000.0,550151.0,3050.0,493178.0,,5657.0,152.0,5975.0,18.0,810380.0,15209.0,3.0,411245.0,4135.0,0.0,5242.0,270709.0,710.0,0.0,12833.0,,124197.0,,
1968,9746926.0,215653.0,40.0,21.0,0.0,46989.0,21.0,16.0,11750.0,2.0,17352.0,250130.0,,4016.0,1.0,771905.0,27162.0,325577.0,12.0,10889.0,5625.0,55.0,4132.0,,14700.0,38536.0,12910.0,7335.0,9.0,59278.0,60895.0,,10716.0,35938.0,205250.0,1054.0,63955.0,206187.0,117842.0,1650.0,11505.0,255000.0,11728.0,,3822.0,,70536.0,1072.0,2.0,,3.0,4260.0,28092.0,10988.0,18744.0,1023.0,3834.0,854945.0,83.0,,9109.0,0.0,0.0,7154.0,,21289.0,118.0,296555.0,904.0,36103.0,70388.0,,4612.0,100.0,,42300.0,9.0,,6.0,,,,22360.0,2590.0,1134.0,0.0,12.0,94085.0,7110.0,,255063.0,244175.0,1500.0,6410.0,14774.0,213.0,,1722.0,280.0,29505.0,2563.0,33073.0,5.0,13222.0,46051.0,53600.0,,,27.0,3870.0,20.0,18924.0,66000.0,1212015.0,14377.0,5183.0,176378.0,,103.0,213.0,680436.0,53675.0,27533.0,269536.0,105.0,27195.0,1722000.0,2184405.0,,1359000.0,710.0,32700.0,33036.0,21310.0,2410.0,3766.0,240940.0,,45249.0,48392.0,84812.0,210.0,3870.0,,,,32865.0,192600.0,46042.0,37150.0,,2185477.0,35924.0,,17257.0,191247.0,12300.0,570.0,18463.0,40608.0,,165.0,119020.0,20636.0,2.0,56000.0,590645.0,3170.0,502469.0,,5977.0,152.0,6050.0,22.0,776757.0,15840.0,3.0,383018.0,4345.0,0.0,5842.0,279320.0,735.0,0.0,14083.0,,122533.0,,
1969,9493632.0,229601.0,43.0,14.0,2.0,42650.0,26.0,20.0,10770.0,2.0,17655.0,254910.0,,4288.0,1.0,763453.0,25245.0,468934.0,12.0,12232.0,5664.0,55.0,4215.0,,14900.0,39160.0,10930.0,7578.0,9.0,64180.0,69761.0,,10770.0,29376.0,165050.0,1059.0,113982.0,172109.0,113246.0,1660.0,18492.0,262000.0,10531.0,,4510.0,,68964.0,621.0,2.0,,3.0,3263.0,28142.0,12296.0,20813.0,1155.0,3886.0,878231.0,83.0,,9252.0,0.0,0.0,6034.0,,20810.0,107.0,296781.0,778.0,33900.0,69708.0,,3677.0,100.0,,42010.0,11.0,,6.0,,,,35054.0,3383.0,1074.0,0.0,14.0,91068.0,6750.0,,294447.0,282215.0,1400.0,7626.0,16990.0,304.0,,1763.0,300.0,30375.0,2978.0,32266.0,3.0,10730.0,46578.0,54900.0,,,24.0,4041.0,21.0,19856.0,70000.0,1300550.0,13960.0,3690.0,178270.0,,101.0,179.0,690379.0,51445.0,25865.0,230341.0,105.0,30060.0,1784000.0,2158660.0,,1196000.0,710.0,31680.0,30009.0,20362.0,2745.0,3597.0,232430.0,,49248.0,48555.0,67723.0,242.0,3870.0,,,,30762.0,188000.0,45042.0,32880.0,,2159281.0,34635.0,,22667.0,184568.0,15200.0,564.0,22452.0,37330.0,,165.0,120020.0,16191.0,5.0,55000.0,561745.0,3170.0,479315.0,,6020.0,160.0,5843.0,20.0,764328.0,15993.0,3.0,401117.0,4345.0,0.0,5239.0,246728.0,745.0,0.0,13465.0,,122493.0,,
1970,9491106.0,230367.0,45.0,9.0,4.0,41910.0,27.0,22.0,9920.0,2.0,17012.0,272427.0,,4371.0,1.0,925522.0,26413.0,479334.0,11.0,13614.0,5703.0,69.0,2717.0,,18700.0,36233.0,11330.0,10490.0,9.0,64104.0,74888.0,,10890.0,29776.0,144350.0,1060.0,60978.0,212900.0,106202.0,1690.0,17608.0,270000.0,10531.0,,4251.0,,68978.0,573.0,2.0,,3.0,3663.0,27522.0,12395.0,3847.0,974.0,4135.0,885539.0,83.0,,8391.0,0.0,0.0,6594.0,,22128.0,91.0,299017.0,858.0,35820.0,68620.0,,3219.0,112.0,,43750.0,28.0,,6.0,,,,29534.0,3847.0,1011.0,0.0,15.0,82918.0,7001.0,,306330.0,292716.0,900.0,7483.0,21229.0,307.0,,1796.0,320.0,33726.0,3411.0,32591.0,3.0,10730.0,46996.0,56250.0,,,22.0,4170.0,21.0,19719.0,50000.0,1165470.0,15049.0,4748.0,179831.0,,98.0,150.0,679225.0,47308.0,26414.0,215165.0,113.0,29618.0,1889000.0,2258055.0,,1218000.0,690.0,34180.0,28000.0,20279.0,2680.0,3681.0,241644.0,,51248.0,49085.0,90891.0,162.0,3882.0,,,,30807.0,174600.0,46042.0,35510.0,,2258628.0,32994.0,,25278.0,189800.0,14200.0,567.0,21326.0,40122.0,,165.0,122021.0,12223.0,2.0,45000.0,540542.0,3390.0,477010.0,,6150.0,160.0,5903.0,18.0,725378.0,16106.0,3.0,412684.0,4345.0,0.0,5442.0,216899.0,700.0,0.0,13901.0,,128717.0,,
