,Austria,Slovakia,Japan,Bhutan,USSR,Belarus,Republic of Korea,Estonia,United Republic of Tanzania,Georgia,Greece,Czechoslovakia,Lithuania,France,Czechia,Poland,Ukraine,Bosnia and Herzegovina,Hungary,Ireland,Republic of Moldova,Russian Federation,Tajikistan,Kyrgyzstan,Yugoslav SFR,Slovenia,Kazakhstan,Brazil,United States of America,Serbia and Montenegro,Latvia,China,"China, mainland",Nepal,Canada,Uzbekistan,Croatia,Bulgaria,Guatemala,South Africa
1961,224.0,,43500.0,4300.0,1891000.0,,21548.0,,-1.0,,-1.0,889.0,,45200.0,,64000.0,,,-1.0,-1.0,,,,,12850.0,,,450.0,18000.0,,,2500000.0,2500000.0,-1.0,23269.0,,,-1.0,,15000.0
1962,214.0,,39500.0,4400.0,2287000.0,,18444.0,,-1.0,,-1.0,680.0,,40600.0,,57000.0,,,-1.0,-1.0,,,,,10950.0,,,950.0,16000.0,,,3300000.0,3300000.0,-1.0,18858.0,,,-1.0,,15000.0
1963,192.0,,37500.0,4600.0,1824000.0,,17042.0,,-1.0,,-1.0,749.0,,44800.0,,51000.0,,,-1.0,-1.0,,,,,10190.0,,,10000.0,18000.0,,,2700000.0,2700000.0,-1.0,20679.0,,,-1.0,,15000.0
1964,168.0,,34700.0,4700.0,1383000.0,,17474.0,,-1.0,,-1.0,574.0,,35400.0,,43000.0,,,-1.0,-1.0,,,,,9170.0,,,8000.0,20000.0,,,2500000.0,2500000.0,-1.0,24362.0,,,-1.0,,20000.0
1965,155.0,,31300.0,4850.0,1794000.0,,22333.0,,-1.0,,-1.0,496.0,,33200.0,,52000.0,,,-1.0,-1.0,,,,,8470.0,,,6100.0,8000.0,,,2500000.0,2500000.0,-1.0,22298.0,,,-1.0,,17000.0
1966,290.0,,28100.0,5000.0,1844000.0,,15722.0,,-1.0,,-1.0,547.0,,27900.0,,49000.0,,,-1.0,-1.0,,,,,7650.0,,,3300.0,13800.0,,,2800000.0,2800000.0,-1.0,22096.0,,,-1.0,,15000.0
1967,74.0,,25100.0,5150.0,1723000.0,,12835.0,,-1.0,,-1.0,480.0,,22100.0,,54000.0,,,-1.0,-1.0,,,,,7332.0,,,4300.0,15500.0,,,2400000.0,2400000.0,-1.0,30796.0,,,-1.0,,15000.0
1968,48.0,,23800.0,5300.0,1703000.0,,27417.0,,-1.0,,-1.0,255.0,,17900.0,,45000.0,,,-1.0,-1.0,,,,,7281.0,,,19000.0,15500.0,,,2200000.0,2200000.0,-1.0,33427.0,,,-1.0,,25000.0
1969,,,20500.0,5300.0,2043000.0,,11168.0,,-1.0,,-1.0,249.0,,17200.0,,63000.0,,,-1.0,-1.0,,,,,7048.0,,,9600.0,15540.0,,,2460000.0,2460000.0,-1.0,40873.0,,,-1.0,,25000.0
1970,,,18500.0,5400.0,1879000.0,,9978.0,,-1.0,,-1.0,207.0,,15800.0,,61000.0,,,-1.0,-1.0,,,,,6769.0,,,9600.0,16800.0,,,2530000.0,2530000.0,-1.0,61997.0,,,-1.0,,3500.0
