,"China, Taiwan Province of",Indonesia,Bhutan,China,Sri Lanka,Maldives,Malaysia,Thailand,Nepal,Bangladesh,Myanmar,India
1961,623.0,65000.0,-1.0,623.0,-1.0,3.0,6000.0,,-1.0,82600.0,11331.0,135000.0
1962,752.0,65000.0,-1.0,752.0,-1.0,3.0,3800.0,,-1.0,82600.0,10927.0,135000.0
1963,821.0,65000.0,-1.0,821.0,-1.0,3.0,5500.0,,-1.0,82200.0,12545.0,135000.0
1964,832.0,70000.0,-1.0,832.0,-1.0,3.0,4500.0,,-1.0,79700.0,16188.0,135000.0
1965,989.0,70000.0,-1.0,989.0,-1.0,3.0,5000.0,,-1.0,71200.0,20235.0,131000.0
1966,1088.0,70000.0,-1.0,1088.0,-1.0,3.0,4500.0,,-1.0,44900.0,20235.0,137000.0
1967,1065.0,70000.0,-1.0,1065.0,-1.0,3.0,5000.0,,-1.0,38900.0,21044.0,142000.0
1968,1205.0,70000.0,-1.0,1205.0,-1.0,3.0,3000.0,,-1.0,38000.0,21853.0,147000.0
1969,1233.0,75000.0,-1.0,1233.0,-1.0,3.0,2500.0,,-1.0,40900.0,23067.0,157000.0
1970,1261.0,75000.0,-1.0,1261.0,-1.0,3.0,2000.0,,-1.0,40100.0,23877.0,160700.0
1971,1333.0,75000.0,-1.0,1333.0,-1.0,3.0,2500.0,,-1.0,40100.0,24686.0,167300.0
1972,1347.0,75000.0,-1.0,1347.0,-1.0,3.0,2800.0,,-1.0,37683.0,25091.0,174300.0
1973,1261.0,80000.0,-1.0,1261.0,-1.0,3.0,3000.0,,-1.0,37573.0,25495.0,178200.0
1974,1400.0,80000.0,-1.0,1400.0,-1.0,5.0,2800.0,,-1.0,37116.0,25900.0,184500.0
1975,1450.0,80000.0,-1.0,1450.0,-1.0,5.0,2300.0,,-1.0,37336.0,26000.0,189200.0
1976,1550.0,80000.0,-1.0,1550.0,-1.0,18.0,2100.0,,-1.0,37049.0,26000.0,177500.0
1977,1600.0,85000.0,-1.0,1600.0,-1.0,4.0,2000.0,,-1.0,37387.0,26305.0,179100.0
1978,1927.0,85000.0,-1.0,1927.0,-1.0,2.0,1800.0,,-1.0,37118.0,25091.0,170800.0
1979,2201.0,85000.0,-1.0,2201.0,-1.0,2.0,2000.0,,-1.0,36661.0,26000.0,179200.0
1980,2326.0,85000.0,-1.0,2326.0,-1.0,3.0,2700.0,,-1.0,36227.0,26427.0,180600.0
1981,2839.0,90000.0,-1.0,2839.0,-1.0,6.0,1300.0,,-1.0,36432.0,26475.0,185200.0
1982,3125.0,90000.0,-1.0,3125.0,-1.0,4.0,1100.0,,-1.0,35368.0,26300.0,182600.0
1983,3944.0,90000.0,-1.0,3944.0,-1.0,10.0,900.0,9600.0,-1.0,35613.0,26700.0,184300.0
1984,4645.0,94058.0,-1.0,4645.0,-1.0,14.0,600.0,9600.0,-1.0,35182.0,27900.0,186100.0
1985,6082.0,70177.0,-1.0,6082.0,-1.0,14.0,1000.0,12000.0,-1.0,34559.0,27500.0,185500.0
1986,6960.0,87872.0,-1.0,6960.0,-1.0,14.0,2000.0,9300.0,-1.0,33945.0,27900.0,185600.0
1987,9553.0,73170.0,-1.0,9553.0,-1.0,14.0,2000.0,8000.0,-1.0,34233.0,28700.0,194800.0
1988,16092.0,94178.0,-1.0,16092.0,-1.0,14.0,1100.0,8000.0,-1.0,34648.0,29100.0,199800.0
1989,22378.0,93640.0,-1.0,22378.0,-1.0,14.0,1700.0,8500.0,-1.0,34800.0,28700.0,204300.0
1990,24291.0,95763.0,2500.0,24291.0,1500.0,80.0,2800.0,8134.0,1200.0,34912.0,28929.0,209500.0
1991,26965.0,95763.0,2226.0,26965.0,1560.0,30.0,2200.0,8539.0,1250.0,35813.0,28937.0,217000.0
1992,29232.0,95372.0,2354.0,29232.0,1734.0,50.0,2700.0,9101.0,1300.0,35916.0,29626.0,221800.0
1993,32632.0,83471.0,2484.0,32632.0,2000.0,47.0,2330.0,8321.0,1350.0,35813.0,29345.0,226600.0
1994,36316.0,82421.0,2616.0,36316.0,2458.0,45.0,1700.0,9652.0,1400.0,35600.0,29500.0,235500.0
1995,42456.0,74838.0,2752.0,42456.0,3000.0,43.0,600.0,10000.0,1450.0,36000.0,30000.0,243900.0
