,Costa Rica,Guinea,India,Bolivia (Plurinational State of),Peru,Malaysia,Cameroon,Congo,Gabon,Dominican Republic,Ecuador,Central African Republic,Mexico,Thailand,China,Indonesia,Côte d'Ivoire,Colombia,Brunei Darussalam,Viet Nam,Papua New Guinea,Philippines,Guinea-Bissau,Liberia,Democratic Republic of the Congo,Bangladesh,Singapore,Guatemala,Brazil,Ghana,Melanesia,"China, mainland",Sri Lanka,Nigeria,Myanmar,Cambodia,Timor-Leste
1961,200.0,-1.0,26992.0,2000.0,2682.0,789679.0,8900.0,110.0,-1.0,-1.0,-1.0,531.0,-1.0,186100.0,3900.0,693200.0,82.0,500.0,2020.0,78100.0,4339.0,3700.0,100.0,41205.0,38400.0,-1.0,1602.0,3500.0,22736.0,415.0,4339.0,3900.0,97588.0,58000.0,13209.0,39980.0,300.0
1962,210.0,-1.0,31357.0,2000.0,3387.0,793561.0,8800.0,155.0,-1.0,-1.0,-1.0,691.0,-1.0,195400.0,5100.0,690300.0,205.0,500.0,1730.0,82870.0,4576.0,4500.0,100.0,45392.0,38200.0,-1.0,1617.0,3500.0,21631.0,360.0,4576.0,5100.0,104046.0,62000.0,15081.0,41559.0,300.0
1963,149.0,-1.0,37200.0,1600.0,3222.0,830956.0,16200.0,155.0,-1.0,-1.0,-1.0,976.0,-1.0,198300.0,6700.0,698900.0,551.0,500.0,1390.0,81180.0,4836.0,5200.0,100.0,41342.0,41100.0,-1.0,1775.0,3600.0,20558.0,558.0,4836.0,6700.0,104751.0,66000.0,14225.0,40755.0,223.0
1964,158.0,-1.0,44248.0,2100.0,2698.0,870761.0,9830.0,155.0,-1.0,-1.0,-1.0,988.0,-1.0,210600.0,1100.0,696800.0,2045.0,500.0,1570.0,79200.0,5020.0,6002.0,200.0,43315.0,34500.0,-1.0,1524.0,3700.0,28323.0,1199.0,5020.0,1100.0,111562.0,75000.0,13390.0,45759.0,238.0
1965,103.0,-1.0,49387.0,2562.0,2428.0,916906.0,9300.0,200.0,-1.0,-1.0,-1.0,1120.0,-1.0,217400.0,16600.0,723000.0,3552.0,500.0,951.0,64800.0,5266.0,5942.0,394.0,52654.0,23700.0,-1.0,1524.0,3800.0,29290.0,914.0,5266.0,16600.0,118311.0,71000.0,13189.0,48781.0,243.0
1966,100.0,-1.0,53195.0,2019.0,2035.0,972838.0,11670.0,200.0,-1.0,-1.0,-1.0,995.0,-1.0,218100.0,23000.0,736675.0,4959.0,500.0,757.0,49500.0,6200.0,6370.0,82.0,55278.0,28200.0,-1.0,1522.0,3900.0,24347.0,1016.0,6200.0,23000.0,131015.0,73500.0,11847.0,51065.0,204.0
1967,70.0,-1.0,62502.0,2505.0,2000.0,990449.0,12840.0,250.0,-1.0,-1.0,-1.0,791.0,-1.0,219300.0,25100.0,709251.0,5857.0,500.0,514.0,47310.0,5525.0,6512.0,100.0,62590.0,30900.0,-1.0,1686.0,3988.0,21494.0,1016.0,5525.0,25100.0,143204.0,52000.0,11248.0,52982.0,1014.0
1968,30.0,-1.0,68844.0,1768.0,-1.0,1100287.0,10311.0,250.0,-1.0,-1.0,-1.0,810.0,-1.0,257800.0,21500.0,755640.0,6870.0,600.0,217.0,34295.0,5816.0,4700.0,80.0,64693.0,40900.0,-1.0,1761.0,4420.0,22958.0,1524.0,5816.0,21500.0,148719.0,55750.0,12113.0,49060.0,44.0
1969,-1.0,-1.0,79951.0,3000.0,-1.0,1268017.0,11541.0,300.0,-1.0,-1.0,-1.0,1210.0,-1.0,281800.0,32400.0,773433.0,8656.0,800.0,404.0,31850.0,5969.0,6100.0,80.0,65633.0,45000.0,-1.0,2540.0,4900.0,23950.0,2000.0,5969.0,32400.0,150834.0,60750.0,12215.0,45983.0,16.0
1970,-1.0,-1.0,89905.0,3450.0,-1.0,1269353.0,12229.0,400.0,-1.0,-1.0,-1.0,805.0,-1.0,287200.0,46200.0,802146.0,10927.0,800.0,344.0,33000.0,5302.0,6300.0,80.0,83415.0,42400.0,-1.0,2012.0,4867.0,24976.0,9000.0,5302.0,46200.0,159158.0,65250.0,12904.0,12763.0,1114.0
1971,-1.0,-1.0,92200.0,2900.0,-1.0,1318610.0,14356.0,500.0,-1.0,-1.0,-1.0,586.0,-1.0,316300.0,52400.0,780946.0,13493.0,800.0,166.0,37500.0,5907.0,7000.0,80.0,84575.0,40500.0,-1.0,1680.0,5000.0,24231.0,9000.0,5907.0,52400.0,140501.0,61750.0,13417.0,11000.0,1003.0
1972,-1.0,-1.0,101200.0,3000.0,-1.0,1304363.0,17252.0,500.0,-1.0,-1.0,-1.0,682.0,-1.0,336900.0,49900.0,800090.0,14208.0,800.0,70.0,22994.0,5589.0,7200.0,80.0,83289.0,38800.0,-1.0,1530.0,5142.0,25818.0,9400.0,5589.0,49900.0,143232.0,57199.0,14114.0,15312.0,121.0
1973,-1.0,-1.0,112400.0,2000.0,-1.0,1542523.0,17982.0,500.0,-1.0,-1.0,-1.0,513.0,-1.0,367700.0,54300.0,844255.0,14958.0,-1.0,363.0,20600.0,5845.0,7600.0,80.0,86000.0,33000.0,-1.0,1205.0,5216.0,23402.0,10300.0,5845.0,54300.0,154675.0,66250.0,15205.0,16500.0,1035.0
1974,-1.0,-1.0,125200.0,2400.0,-1.0,1524803.0,10500.0,700.0,-1.0,-1.0,-1.0,614.0,-1.0,382100.0,46800.0,816482.0,16084.0,-1.0,356.0,21979.0,6299.0,9400.0,80.0,88500.0,31500.0,-1.0,975.0,5046.0,18606.0,9900.0,6299.0,46800.0,132007.0,78000.0,15421.0,17750.0,150.0
1975,-1.0,-1.0,130100.0,2650.0,-1.0,1459331.0,16280.0,800.0,-1.0,-1.0,-1.0,550.0,-1.0,348700.0,68600.0,789847.0,16043.0,-1.0,400.0,24200.0,5555.0,15000.0,80.0,82300.0,28800.0,-1.0,864.0,7852.0,19348.0,10300.0,5555.0,68600.0,148751.0,67750.0,15154.0,10000.0,-1.0
1976,-1.0,-1.0,137800.0,3185.0,-1.0,1612481.0,18385.0,1000.0,-1.0,-1.0,-1.0,600.0,-1.0,392500.0,78800.0,856548.0,16435.0,-1.0,308.0,40226.0,4059.0,19000.0,80.0,84500.0,31100.0,-1.0,423.0,8349.0,20298.0,10100.0,4059.0,78800.0,152134.0,52500.0,14515.0,21000.0,0.0
1977,-1.0,-1.0,149600.0,4500.0,-1.0,1588053.0,17932.0,1400.0,-1.0,-1.0,476.0,600.0,-1.0,430900.0,91700.0,853978.0,17374.0,-1.0,160.0,43348.0,3903.0,19200.0,80.0,77800.0,29300.0,-1.0,45.0,8473.0,22560.0,9200.0,3903.0,91700.0,146243.0,59250.0,14940.0,15000.0,-1.0
1978,-1.0,-1.0,147000.0,4800.0,-1.0,1582453.0,15520.0,1500.0,-1.0,-1.0,710.0,500.0,-1.0,467000.0,101600.0,884982.0,18704.0,-1.0,145.0,41389.0,3000.0,18000.0,80.0,78000.0,20649.0,-1.0,40.0,8970.0,23708.0,9200.0,3000.0,101600.0,155662.0,57500.0,15021.0,18000.0,-1.0
1979,-1.0,-1.0,135400.0,4700.0,-1.0,1570127.0,16594.0,1600.0,-1.0,-1.0,522.0,600.0,-1.0,534300.0,108300.0,963939.0,19284.0,-1.0,140.0,42505.0,4260.0,19400.0,80.0,78900.0,20653.0,-1.0,40.0,10350.0,24959.0,9200.0,4260.0,108300.0,152704.0,56000.0,15443.0,10000.0,-1.0
1980,-1.0,-1.0,148400.0,4800.0,-1.0,1530000.0,17365.0,1744.0,-1.0,-1.0,520.0,600.0,5527.0,465200.0,113000.0,1020000.0,21626.0,-1.0,195.0,41000.0,4563.0,22400.0,80.0,81400.0,20468.0,-1.0,30.0,10340.0,27813.0,11200.0,4563.0,113000.0,133151.0,45000.0,15686.0,6000.0,-1.0
1981,-1.0,-1.0,153100.0,4800.0,-1.0,1510221.0,17566.0,1800.0,-1.0,-1.0,781.0,800.0,10531.0,507700.0,127700.0,963238.0,23464.0,-1.0,185.0,43578.0,4543.0,23800.0,80.0,82300.0,21495.0,-1.0,20.0,11900.0,30257.0,10100.0,4543.0,127700.0,123946.0,60000.0,15835.0,5000.0,-1.0
1982,-1.0,-1.0,152900.0,5000.0,-1.0,1494182.0,15995.0,1850.0,-1.0,-1.0,923.0,1000.0,10175.0,576000.0,152600.0,899214.0,26728.0,-1.0,175.0,46018.0,4301.0,26000.0,80.0,75000.0,22585.0,-1.0,17.0,12328.0,32795.0,9000.0,4301.0,152600.0,125230.0,50000.0,16027.0,7550.0,-1.0
1983,-1.0,-1.0,165900.0,5000.0,-1.0,1563716.0,16413.0,1900.0,-1.0,-1.0,1061.0,1200.0,10612.0,593900.0,172400.0,1006980.0,28899.0,-1.0,170.0,47215.0,4400.0,40500.0,0.0,81000.0,23705.0,-1.0,8.0,12364.0,35220.0,8900.0,4400.0,172400.0,139997.0,45000.0,17108.0,12000.0,-1.0
1984,-1.0,-1.0,175300.0,5200.0,-1.0,1530583.0,17679.0,1900.0,-1.0,-1.0,1795.0,1000.0,11748.0,617200.0,188779.0,1032598.0,34056.0,-1.0,170.0,47225.0,4693.0,43300.0,-1.0,93517.0,16000.0,-1.0,0.0,12374.0,36006.0,1000.0,4693.0,188779.0,141924.0,58000.0,15760.0,13000.0,-1.0
1985,-1.0,-1.0,186500.0,5000.0,-1.0,1469453.0,18469.0,2000.0,-1.0,-1.0,1806.0,1000.0,11251.0,773000.0,187900.0,1054966.0,38789.0,-1.0,180.0,47867.0,5019.0,44000.0,-1.0,97067.0,15000.0,-1.0,0.0,11320.0,40371.0,1000.0,5019.0,187900.0,137493.0,60000.0,15550.0,22000.0,-1.0
1986,-1.0,-1.0,200500.0,4500.0,-1.0,1538638.0,19900.0,2000.0,-1.0,-1.0,2415.0,1000.0,13388.0,956000.0,209709.0,1113133.0,46814.0,-1.0,180.0,50000.0,5105.0,48200.0,-1.0,100692.0,17560.0,-1.0,0.0,11612.0,37603.0,1000.0,5105.0,209709.0,137810.0,60000.0,15069.0,24000.0,-1.0
1987,-1.0,-1.0,219500.0,3600.0,-1.0,1578700.0,26300.0,2000.0,-1.0,-1.0,1232.0,1000.0,14950.0,1067000.0,238000.0,1130351.0,54577.0,-1.0,185.0,51700.0,4252.0,48600.0,-1.0,106800.0,17000.0,-1.0,-1.0,13680.0,26588.0,1300.0,4252.0,238000.0,121806.0,55300.0,15031.0,25000.0,-1.0
