,Slovakia,India,The former Yugoslav Republic of Macedonia,Occupied Palestinian Territory,Austria,Hungary,Czechoslovakia,Serbia and Montenegro,Serbia,Germany,Yugoslav SFR,Bulgaria,Romania,Italy,France,Croatia,Netherlands,Denmark,Czechia,Spain,Turkey
1961,-1.0,1000.0,-1.0,-1.0,1056.0,6821.0,13400.0,-1.0,-1.0,2816.0,3320.0,370.0,4100.0,-1,456.0,-1.0,462.0,251.0,-1.0,-1.0,18700.0
1962,-1.0,1000.0,-1.0,-1.0,1198.0,3771.0,11395.0,-1.0,-1.0,5386.0,1590.0,139.0,2200.0,-1,518.0,-1.0,46.0,36.0,-1.0,-1.0,19700.0
1963,-1.0,1000.0,-1.0,-1.0,1187.0,4714.0,9400.0,-1.0,-1.0,4074.0,1780.0,170.0,1200.0,-1,450.0,-1.0,15.0,2.0,-1.0,-1.0,19000.0
1964,-1.0,1000.0,-1.0,-1.0,1115.0,2880.0,6400.0,-1.0,-1.0,2515.0,1800.0,143.0,1600.0,-1,351.0,-1.0,30.0,1.0,-1.0,-1.0,8000.0
1965,-1.0,1000.0,-1.0,-1.0,322.0,3647.0,4400.0,-1.0,-1.0,1977.0,2390.0,118.0,2500.0,-1,536.0,-1.0,150.0,100.0,-1.0,-1.0,11000.0
1966,-1.0,1000.0,-1.0,-1.0,348.0,5299.0,6011.0,-1.0,-1.0,1433.0,1260.0,121.0,3100.0,-1,417.0,-1.0,586.0,100.0,-1.0,-1.0,12000.0
1967,-1.0,1000.0,-1.0,-1.0,346.0,7629.0,7000.0,-1.0,-1.0,1204.0,1950.0,189.0,4000.0,-1,274.0,-1.0,259.0,50.0,-1.0,-1.0,7000.0
1968,-1.0,1000.0,-1.0,-1.0,344.0,3346.0,7000.0,-1.0,-1.0,791.0,1320.0,135.0,1200.0,-1,361.0,-1.0,152.0,30.0,-1.0,-1.0,7800.0
1969,-1.0,1000.0,-1.0,-1.0,144.0,4243.0,7745.0,-1.0,-1.0,504.0,1350.0,135.0,1600.0,-1,254.0,-1.0,446.0,400.0,-1.0,-1.0,10800.0
1970,-1.0,1000.0,-1.0,-1.0,192.0,3377.0,5984.0,-1.0,-1.0,741.0,1302.0,95.0,2800.0,-1,390.0,-1.0,762.0,1300.0,-1.0,-1.0,7500.0
1971,-1.0,1000.0,-1.0,-1.0,138.0,5472.0,6192.0,-1.0,-1.0,786.0,2187.0,115.0,1900.0,-1,190.0,-1.0,1278.0,2584.0,-1.0,-1.0,13976.0
