,Paraguay,Burundi,Peru,Angola,Cameroon,Malaysia,Dominican Republic,Philippines,Brazil,Benin,Indonesia,Liberia,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Melanesia,Papua New Guinea,Guatemala,Democratic Republic of the Congo,Togo,Nigeria,Madagascar,Suriname,Senegal,Costa Rica,Guinea,Central African Republic,Equatorial Guinea,Congo,Gabon,Ecuador,Honduras,Solomon Islands,Mexico,China,Côte d'Ivoire,Colombia,Gambia,United Republic of Tanzania,Guinea-Bissau,Panama,Sierra Leone,Thailand,Ghana,"China, mainland",Nicaragua
1961,7900.0,800.0,-1.0,22000.0,30000.0,43302.0,-1.0,150.0,2000.0,30000.0,70000.0,10000.0,870.0,-1.0,55.0,-1.0,-1.0,229000.0,14500.0,2700000.0,-1.0,-1.0,7000.0,1500.0,225000.0,2800.0,2300.0,10000.0,1600.0,28000.0,1991.0,55.0,19419.0,-1.0,45000.0,800.0,2500.0,1100.0,19500.0,-1.0,31000.0,950.0,60000.0,-1.0,-1.0
1962,8100.0,800.0,-1.0,22000.0,28000.0,46175.0,-1.0,150.0,2300.0,30000.0,70000.0,11000.0,870.0,-1.0,55.0,-1.0,-1.0,221000.0,15000.0,2500000.0,-1.0,-1.0,7000.0,1900.0,225000.0,2800.0,2400.0,10000.0,1600.0,30000.0,2019.0,55.0,22193.0,-1.0,45000.0,1100.0,2500.0,2000.0,19500.0,-1.0,31000.0,950.0,60000.0,-1.0,-1.0
1963,8100.0,800.0,-1.0,21000.0,35000.0,49073.0,-1.0,150.0,2400.0,30000.0,75000.0,12000.0,750.0,-1.0,55.0,-1.0,-1.0,207000.0,15000.0,2600000.0,-1.0,-1.0,7000.0,3250.0,225000.0,2800.0,2500.0,12000.0,1600.0,30000.0,1973.0,55.0,19729.0,-1.0,45000.0,1250.0,2500.0,1750.0,13000.0,-1.0,31000.0,950.0,60000.0,-1.0,-1.0
1964,10700.0,800.0,-1.0,22000.0,37000.0,52900.0,-1.0,150.0,2900.0,30000.0,80000.0,13000.0,750.0,-1.0,55.0,-1.0,-1.0,188000.0,15000.0,2600000.0,-1.0,-1.0,7000.0,3250.0,225000.0,2800.0,3000.0,9000.0,2100.0,32000.0,1943.0,55.0,20927.0,-1.0,45000.0,1350.0,2500.0,1750.0,13000.0,-1.0,31000.0,950.0,85000.0,-1.0,-1.0
1965,13000.0,800.0,-1.0,18000.0,45000.0,59000.0,-1.0,150.0,4000.0,30000.0,80000.0,13500.0,750.0,-1.0,55.0,-1.0,-1.0,143000.0,15000.0,2700000.0,-1.0,-1.0,7000.0,3250.0,225000.0,2800.0,3000.0,6500.0,2200.0,38000.0,1889.0,55.0,20941.0,-1.0,45000.0,1500.0,3000.0,1200.0,13000.0,-1.0,31000.0,950.0,88900.0,-1.0,-1.0
1966,16500.0,800.0,-1.0,19000.0,33000.0,67400.0,-1.0,300.0,5200.0,30000.0,85000.0,14000.0,750.0,-1.0,55.0,-1.0,-1.0,145000.0,15000.0,2600000.0,-1.0,-1.0,7000.0,3220.0,225000.0,4500.0,3000.0,5000.0,2100.0,34000.0,2074.0,55.0,20971.0,-1.0,45000.0,1650.0,3000.0,1200.0,13000.0,-1.0,31000.0,950.0,89000.0,-1.0,-1.0
1967,13500.0,800.0,-1.0,20000.0,45000.0,78500.0,-1.0,300.0,4600.0,30000.0,85000.0,14000.0,670.0,-1.0,55.0,-1.0,-1.0,171000.0,15000.0,2100000.0,-1.0,-1.0,7000.0,3350.0,225000.0,4500.0,3000.0,5000.0,2100.0,42000.0,2302.0,55.0,18668.0,-1.0,45000.0,5600.0,3000.0,1200.0,13000.0,-1.0,31000.0,950.0,90900.0,-1.0,-1.0
1968,16000.0,900.0,-1.0,20000.0,47000.0,99100.0,-1.0,300.0,4900.0,30000.0,90000.0,14000.0,550.0,-1.0,55.0,-1.0,-1.0,220000.0,15000.0,2100000.0,-1.0,-1.0,7000.0,3600.0,225000.0,4500.0,3000.0,5000.0,2100.0,50000.0,2555.0,55.0,20514.0,-1.0,45000.0,10000.0,3000.0,1200.0,12000.0,-1.0,31000.0,950.0,100000.0,-1.0,1050.0
1969,14900.0,1100.0,-1.0,23000.0,43000.0,125400.0,-1.0,600.0,5500.0,30000.0,90000.0,12500.0,550.0,-1.0,110.0,-1.0,-1.0,222700.0,15000.0,2200000.0,-1.0,-1.0,7000.0,4240.0,225000.0,6500.0,3000.0,5500.0,2100.0,33000.0,2836.0,110.0,17496.0,-1.0,45000.0,10000.0,3000.0,1200.0,12500.0,-1.0,31000.0,950.0,100000.0,-1.0,1050.0
1970,18300.0,1200.0,31.0,21000.0,37000.0,149900.0,-1.0,1100.0,2200.0,30000.0,100000.0,13000.0,500.0,-1.0,110.0,-1.0,-1.0,214500.0,15000.0,2150000.0,-1.0,50.0,7000.0,4600.0,225000.0,6500.0,3000.0,5500.0,2100.0,25000.0,3148.0,110.0,13188.0,-1.0,45000.0,11500.0,3000.0,1200.0,9500.0,-1.0,31000.0,950.0,110900.0,-1.0,1050.0
