,Cuba,Jamaica,Vanuatu,France,Israel,Fiji,Australia,Venezuela (Bolivarian Republic of),Madagascar,Pakistan,French Guiana,United Republic of Tanzania,Philippines,Samoa,Saint Kitts and Nevis,Kiribati,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Senegal,Wallis and Futuna Islands,Zambia,Australia & New Zealand,Papua New Guinea,Suriname,Niue,China,Burkina Faso,Mozambique,Armenia,Sudan (former),Morocco,Jordan,Saint Lucia,Colombia,Spain,Malawi,India,Algeria,"China, Taiwan Province of",Ecuador,Réunion,Indonesia,Seychelles,Antigua and Barbuda,Tuvalu,South Sudan,Egypt,Melanesia,Malaysia,Paraguay,Mexico,Yemen,Haiti,Timor-Leste,Tunisia,Polynesia,Micronesia,Zimbabwe,Barbados,Turkey,Dominican Republic,Bahamas,Tonga,Iran (Islamic Republic of),Peru,Thailand,Guinea,"China, mainland",French Polynesia,Guadeloupe,Cyprus,United Arab Emirates,Côte d'Ivoire,Rwanda,New Zealand,Myanmar,Brazil,Liberia,Nauru
1961,2400.0,-1.0,35.0,,-1.0,40.0,-1.0,-1.0,15000.0,7400.0,-1.0,8000.0,177000.0,2580.0,-1.0,32.0,,250.0,245.0,-1.0,13000.0,-1.0,-1.0,5500.0,169.0,100.0,-1.0,4.0,60296.0,-1.0,2700.0,,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,225000.0,,3296.0,,-1.0,119000.0,18.0,-1.0,-1.0,,-1.0,175.0,-1.0,-1.0,8424.0,,-1.0,2000.0,-1.0,2649.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,,-1.0,63000.0,-1.0,57000.0,,-1.0,,,1380.0,-1.0,169.0,-1.0,-1.0,320.0,-1.0
1962,2400.0,-1.0,37.0,,-1.0,40.0,-1.0,-1.0,17000.0,11300.0,-1.0,8000.0,175000.0,2600.0,-1.0,33.0,,250.0,245.0,-1.0,13000.0,-1.0,-1.0,5500.0,195.0,100.0,-1.0,4.0,63375.0,-1.0,2700.0,,-1.0,8.0,-1.0,-1.0,-1.0,100.0,-1.0,235000.0,,3375.0,,-1.0,120000.0,18.0,-1.0,-1.0,,-1.0,177.0,-1.0,-1.0,8571.0,,-1.0,2000.0,-1.0,2674.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,,-1.0,63000.0,-1.0,60000.0,,-1.0,,,1380.0,-1.0,195.0,-1.0,-1.0,320.0,-1.0
1963,2400.0,-1.0,40.0,,-1.0,40.0,-1.0,-1.0,17000.0,12200.0,-1.0,9000.0,176000.0,2640.0,-1.0,34.0,,250.0,245.0,-1.0,13000.0,-1.0,-1.0,6000.0,154.0,100.0,-1.0,4.0,63453.0,-1.0,2700.0,,-1.0,9.0,-1.0,-1.0,-1.0,115.0,-1.0,235000.0,,3453.0,,-1.0,120000.0,18.0,-1.0,-1.0,,-1.0,180.0,-1.0,-1.0,8776.0,,-1.0,2000.0,-1.0,2719.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.0,,-1.0,63000.0,-1.0,60000.0,,-1.0,,,1380.0,-1.0,154.0,-1.0,-1.0,330.0,-1.0
1964,2400.0,-1.0,42.0,,-1.0,40.0,-1.0,-1.0,20000.0,13100.0,-1.0,9000.0,177000.0,2660.0,-1.0,35.0,,250.0,245.0,-1.0,14000.0,-1.0,-1.0,6000.0,166.0,100.0,-1.0,4.0,68124.0,-1.0,2700.0,,-1.0,15.0,-1.0,-1.0,-1.0,125.0,-1.0,235000.0,,4124.0,,-1.0,121000.0,19.0,-1.0,-1.0,,-1.0,182.0,-1.0,-1.0,8552.0,,-1.0,2000.0,-1.0,2744.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,,-1.0,63000.0,-1.0,64000.0,,-1.0,,,1380.0,-1.0,166.0,-1.0,-1.0,330.0,-1.0
1965,3000.0,-1.0,45.0,,-1.0,40.0,-1.0,-1.0,21000.0,11000.0,-1.0,9000.0,180000.0,2680.0,-1.0,36.0,,250.0,245.0,-1.0,17000.0,-1.0,-1.0,6000.0,166.0,100.0,-1.0,4.0,71713.0,-1.0,2700.0,,-1.0,30.0,-1.0,-1.0,-1.0,150.0,-1.0,237000.0,,4713.0,,-1.0,121000.0,19.0,-1.0,-1.0,,-1.0,185.0,-1.0,-1.0,9028.0,,-1.0,2000.0,-1.0,2769.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,85.0,,-1.0,63000.0,-1.0,67000.0,,-1.0,,,1380.0,-1.0,166.0,-1.0,-1.0,340.0,-1.0
1966,3000.0,-1.0,47.0,,-1.0,45.0,-1.0,-1.0,21000.0,13800.0,-1.0,9000.0,180000.0,2700.0,-1.0,37.0,,250.0,245.0,-1.0,15800.0,-1.0,-1.0,6000.0,291.0,100.0,-1.0,,95083.0,-1.0,2700.0,,-1.0,65.0,-1.0,-1.0,-1.0,345.0,-1.0,240000.0,,5083.0,,-1.0,122000.0,20.0,-1.0,-1.0,,-1.0,192.0,-1.0,-1.0,9189.0,,-1.0,2000.0,-1.0,2790.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,,-1.0,63000.0,-1.0,90000.0,,-1.0,,,1500.0,-1.0,291.0,-1.0,-1.0,340.0,-1.0
1967,3000.0,-1.0,50.0,,-1.0,49.0,-1.0,-1.0,21000.0,13400.0,-1.0,10000.0,181000.0,2730.0,-1.0,38.0,,250.0,245.0,-1.0,16700.0,-1.0,-1.0,6500.0,320.0,105.0,-1.0,,95892.0,-1.0,2800.0,,-1.0,61.0,-1.0,-1.0,-1.0,365.0,-1.0,245000.0,,5892.0,,-1.0,122000.0,20.0,-1.0,-1.0,,-1.0,204.0,-1.0,-1.0,9802.0,,-1.0,2000.0,-1.0,2825.0,38.0,-1.0,-1.0,-1.0,-1.0,-1.0,95.0,,-1.0,75600.0,-1.0,90000.0,,-1.0,,,1500.0,-1.0,320.0,-1.0,-1.0,350.0,-1.0
1968,4000.0,-1.0,53.0,,-1.0,36.0,-1.0,-1.0,22000.0,12200.0,-1.0,10000.0,180000.0,2760.0,-1.0,39.0,,250.0,245.0,-1.0,17000.0,-1.0,-1.0,7000.0,306.0,65.0,-1.0,,111250.0,-1.0,2800.0,,-1.0,200.0,-1.0,-1.0,-1.0,385.0,-1.0,250000.0,,6250.0,,-1.0,123000.0,20.0,-1.0,-1.0,,-1.0,154.0,-1.0,-1.0,10444.0,,-1.0,2200.0,-1.0,2860.0,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,,-1.0,75600.0,-1.0,105000.0,,-1.0,,,1600.0,-1.0,306.0,-1.0,-1.0,370.0,-1.0
1969,4000.0,-1.0,55.0,,-1.0,57.0,-1.0,-1.0,22000.0,13200.0,-1.0,12000.0,175000.0,2780.0,-1.0,40.0,,250.0,245.0,-1.0,18000.0,-1.0,-1.0,7000.0,494.0,35.0,-1.0,100.0,111710.0,-1.0,2800.0,,-1.0,153.0,-1.0,-1.0,-1.0,380.0,-1.0,258000.0,,6710.0,,-1.0,123000.0,20.0,-1.0,-1.0,,-1.0,147.0,-1.0,-1.0,11181.0,,-1.0,2200.0,-1.0,2985.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,105.0,,-1.0,79800.0,-1.0,105000.0,,-1.0,,,1700.0,-1.0,494.0,-1.0,-1.0,380.0,-1.0
1970,4000.0,-1.0,57.0,,-1.0,145.0,-1.0,-1.0,22000.0,11330.0,-1.0,12000.0,170000.0,2790.0,-1.0,41.0,,250.0,245.0,-1.0,17500.0,-1.0,-1.0,7000.0,264.0,115.0,-1.0,150.0,122080.0,-1.0,2800.0,,-1.0,77.0,-1.0,-1.0,-1.0,625.0,-1.0,255000.0,,7080.0,,-1.0,124000.0,20.0,-1.0,-1.0,,-1.0,317.0,-1.0,-1.0,11164.0,,-1.0,2200.0,-1.0,3050.0,41.0,-1.0,-1.0,-1.0,-1.0,-1.0,110.0,,11761.0,84000.0,-1.0,115000.0,,-1.0,,,2000.0,-1.0,264.0,-1.0,-1.0,390.0,-1.0
