,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Serbia and Montenegro,Croatia,Serbia,Melanesia,Indonesia,Canada,Liberia,Greece,Zimbabwe,The former Yugoslav Republic of Macedonia,Austria,Papua New Guinea,Japan,Norway,Bulgaria,Australia & New Zealand,United States of America,Barbados,Mauritius,American Samoa,Nigeria,Ukraine,Guinea,Israel,El Salvador,Belgium,Uruguay,Wallis and Futuna Islands,Qatar,Mexico,Switzerland,Romania,United Republic of Tanzania,Bosnia and Herzegovina,China,Côte d'Ivoire,Slovakia,Jamaica,Brunei Darussalam,Trinidad and Tobago,Occupied Palestinian Territory,Chile,Hungary,Polynesia,Kazakhstan,South Africa,Samoa,Australia,France,Thailand,Poland,"China, mainland",Puerto Rico,New Zealand,Republic of Moldova
1961,53300.0,90000.0,-1.0,-1.0,-1.0,-1.0,61976.0,400000.0,164670.0,10000.0,-1.0,-1.0,-1.0,-1.0,61976.0,279200.0,-1.0,-1.0,15000.0,2164958.0,-1.0,-1.0,4.0,277000.0,-1.0,228000.0,-1.0,-1.0,-1,2000.0,18.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,39000.0,-1.0,20.0,-1.0,-1.0,-1.0,136000.0,-1.0,25.0,-1.0,150000.0,3.0,7000.0,-1.0,10000.0,-1.0,-1.0,-1.0,8000.0,-1.0
1962,59300.0,100000.0,-1.0,-1.0,-1.0,-1.0,65000.0,420000.0,188132.0,10200.0,-1.0,-1.0,-1.0,-1.0,65000.0,269800.0,-1.0,-1.0,15500.0,2230484.0,-1.0,-1.0,4.0,248000.0,-1.0,210000.0,-1.0,-1.0,-1,2000.0,18.0,-1.0,-1.0,-1.0,-1.0,9500.0,-1.0,-1.0,85000.0,-1.0,30.0,-1.0,-1.0,-1.0,140000.0,-1.0,26.0,-1.0,148000.0,4.0,7500.0,-1.0,10000.0,-1.0,-1.0,-1.0,8000.0,-1.0
1963,65600.0,100000.0,-1.0,-1.0,-1.0,-1.0,70000.0,440000.0,143342.0,10300.0,-1.0,-1.0,-1.0,-1.0,70000.0,279400.0,-1.0,-1.0,16000.0,2128688.0,-1.0,-1.0,4.0,292000.0,-1.0,190000.0,-1.0,-1.0,-1,2000.0,18.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,-1.0,61000.0,-1.0,40.0,-1.0,-1.0,-1.0,144000.0,-1.0,27.0,-1.0,154000.0,5.0,8000.0,-1.0,11500.0,-1.0,-1.0,-1.0,8000.0,-1.0
1964,67900.0,100000.0,-1.0,-1.0,-1.0,-1.0,73000.0,460000.0,176926.0,10400.0,-1.0,-1.0,-1.0,-1.0,73000.0,264000.0,-1.0,-1.0,17000.0,1903354.0,-1.0,-1.0,4.0,280000.0,-1.0,200000.0,-1.0,-1.0,-1,2000.0,18.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1.0,-1.0,54000.0,-1.0,45.0,-1.0,-1.0,-1.0,150000.0,-1.0,28.0,-1.0,160000.0,6.0,9000.0,-1.0,12000.0,-1.0,-1.0,-1.0,8000.0,-1.0
1965,83400.0,83495.0,-1.0,-1.0,-1.0,-1.0,75000.0,480000.0,183510.0,10500.0,-1.0,-1.0,-1.0,-1.0,75000.0,261400.0,-1.0,-1.0,18100.0,2060251.0,-1.0,-1.0,4.0,290000.0,-1.0,160000.0,-1.0,-1.0,-1,2000.0,18.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,60000.0,-1.0,51.0,-1.0,-1.0,-1.0,156792.0,-1.0,29.0,-1.0,161000.0,7.0,10000.0,-1.0,12500.0,-1.0,-1.0,-1.0,8100.0,-1.0
1966,104800.0,108451.0,-1.0,-1.0,-1.0,-1.0,78000.0,500000.0,206630.0,10600.0,-1.0,-1.0,-1.0,-1.0,78000.0,270500.0,-1.0,-1.0,20125.0,2331725.0,-1.0,-1.0,5.0,244000.0,-1.0,227000.0,-1.0,-1.0,-1,2084.0,18.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,-1.0,67000.0,-1.0,84.0,-1.0,-1.0,-1.0,140000.0,-1.0,31.0,-1.0,170000.0,8.0,11500.0,-1.0,13000.0,-1.0,-1.0,-1.0,8625.0,-1.0
1967,109200.0,119730.0,-1.0,-1.0,-1.0,-1.0,80000.0,520000.0,195510.0,10800.0,-1.0,-1.0,-1.0,-1.0,80000.0,291700.0,-1.0,-1.0,23000.0,2503137.0,-1.0,-1.0,5.0,238000.0,-1.0,247000.0,-1.0,-1.0,-1,2100.0,20.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,-1.0,66000.0,-1.0,65.0,-1.0,-1.0,-1.0,130000.0,-1.0,33.0,-1.0,168000.0,8.0,12500.0,-1.0,14000.0,-1.0,-1.0,-1.0,10500.0,-1.0
1968,113500.0,89039.0,-1.0,-1.0,-1.0,-1.0,85000.0,556000.0,224720.0,11000.0,-1.0,-1.0,-1.0,-1.0,85000.0,278000.0,-1.0,-1.0,27996.0,2793615.0,-1.0,-1.0,5.0,282000.0,-1.0,290000.0,-1.0,-1.0,-1,2200.0,20.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,-1.0,70000.0,-1.0,67.0,-1.0,-1.0,-1.0,125000.0,-1.0,34.0,-1.0,169000.0,9.0,14665.0,-1.0,15000.0,-1.0,-1.0,-1.0,13331.0,-1.0
1969,90000.0,121807.0,-1.0,-1.0,-1.0,-1.0,82000.0,568000.0,232754.0,11000.0,-1.0,-1.0,-1.0,-1.0,82000.0,274600.0,-1.0,-1.0,29870.0,2503046.0,-1.0,-1.0,5.0,314000.0,-1.0,262000.0,-1.0,-1.0,-1,2300.0,20.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,-1.0,80000.0,-1.0,21.0,-1.0,-1.0,-1.0,120000.0,-1.0,35.0,-1.0,176000.0,10.0,15399.0,-1.0,16000.0,-1.0,-1.0,-1.0,14471.0,-1.0
1970,93000.0,133405.0,-1.0,-1.0,-1.0,-1.0,89000.0,581000.0,215277.0,11000.0,-1.0,-1.0,-1.0,-1.0,89000.0,302600.0,-1.0,-1.0,37681.0,2307231.0,-1.0,-1.0,5.0,361000.0,-1.0,312000.0,-1.0,-1.0,-1,2397.0,20.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1.0,-1.0,73000.0,-1.0,25.0,-1.0,-1.0,-1.0,116000.0,-1.0,35.0,-1.0,182000.0,10.0,18872.0,-1.0,17000.0,-1.0,-1.0,-1.0,18809.0,-1.0
